community_id	newman	bynode	totalfrac	diffraction
536	NA	1	1	1
24	0.3977164605137923	0.9623931623931624	0.9928909952606635	0.985781990521327
5	-2.6673779695246606e-4	0.993765364488256	0.9994666666666666	0.9989333333333333
9	-0.0013071895425161078	0.9896551724137931	0.9973890339425587	0.9947780678851175
15	0.49859154929577626	0.98615	0.9971910112359551	0.9943820224719101
10	0.7159006898157578	0.8635306679317728	0.858843537414966	0.717687074829932
21	NA	1	1	1
79	NA	1	1	1
1	NA	1	1	1
29	NA	1	1	1
3	0.6648451730418933	0.9939353099730458	0.9963768115942029	0.9927536231884058
34	NA	1	1	1
191	NA	1	1	1
7	NA	1	1	1
75	NA	1	1	1
40	NA	1	1	1
11	-0.0015236160488041972	0.9846368715083799	0.9959432048681541	0.9918864097363083
352	NA	1	1	1
16	NA	1	1	1
247	NA	1	1	1
14	NA	1	1	1
60	NA	1	1	1
489	NA	1	1	1
25	0.5710088148873653	0.8851190476190476	0.9178082191780822	0.8356164383561644
18	NA	1	1	1
6	NA	1	1	1
200	NA	1	1	1
107	NA	1	1	1
683	NA	1	1	1
47	NA	1	1	1
13	-0.003236245954721442	0.9862385321100917	0.9935483870967742	0.9870967741935484
17	0.4313917505581883	0.8579428869754504	0.8507853403141361	0.7015706806282722
86	NA	1	1	1
618	NA	1	1	1
76	NA	1	1	1
20	0.0481019195142679	0.27567974867742073	0.14135338345864662	-0.7172932330827068
459	-0.16666666666666666	0.1111111111111111	0.125	-0.75
28	NA	1	1	1
12	NA	1	1	1
8	0.9728997289972899	0.9875621890547264	0.992	0.984
26	NA	1	1	1
168	NA	1	1	1
45	NA	1	1	1
266	NA	1	1	1
4	NA	1	1	1
33	NA	1	1	1
2	-7.745933385233084e-4	0.9932241671372106	0.9984520123839009	0.9969040247678018
375	NA	1	1	1
114	NA	1	1	1
615	NA	1	1	1
35	NA	1	1	1
22	NA	1	1	1
42	0.6563573883161511	0.9774774774774775	0.98	0.96
622	NA	1	1	1
349	NA	1	1	1
129	NA	1	1	1
193	NA	1	1	1
19	NA	1	1	1
175	NA	1	1	1
610	NA	1	1	1
101	NA	1	1	1
66	NA	1	1	1
43	0.12297252448505472	0.372760424587416	0.21352313167259787	-0.5729537366548043
682	NA	1	1	1
402	NA	1	1	1
307	NA	1	1	1
608	NA	1	1	1
48	-0.005714285714267017	0.9696969696969697	0.9886363636363636	0.9772727272727273
634	NA	1	1	1
90	NA	1	1	1
27	NA	1	1	1
31	NA	1	1	1
54	NA	1	1	1
688	NA	1	1	1
134	NA	1	1	1
251	NA	1	1	1
600	NA	1	1	1
230	-0.24401913875598089	0.19047619047619047	0.23076923076923078	-0.5384615384615384
211	NA	1	1	1
221	NA	1	1	1
32	-0.05073041168658697	0.14396825396825397	0.06521739130434782	-0.8695652173913043
100	NA	1	1	1
95	NA	1	1	1
439	NA	1	1	1
158	NA	1	1	1
222	NA	1	1	1
111	NA	1	1	1
77	NA	1	1	1
197	NA	1	1	1
551	NA	1	1	1
105	NA	1	1	1
436	NA	1	1	1
172	NA	1	1	1
84	-0.6	0	0	-1
377	NA	1	1	1
379	NA	1	1	1
315	NA	1	1	1
30	NA	1	1	1
248	-0.6	0	0	-1
229	NA	1	1	1
395	NA	1	1	1
272	NA	1	1	1
62	NA	1	1	1
38	-0.024117041947651168	0.11375707625707626	0.08571428571428572	-0.8285714285714286
447	-0.1464968152866242	0.2	0.1	-0.8
212	NA	1	1	1
55	NA	1	1	1
188	NA	1	1	1
596	NA	1	1	1
632	NA	1	1	1
215	NA	1	1	1
152	NA	1	1	1
204	NA	1	1	1
701	NA	1	1	1
573	NA	1	1	1
41	NA	1	1	1
505	NA	1	1	1
470	NA	1	1	1
301	NA	1	1	1
39	0.03646237393328161	0.17875	0.14814814814814814	-0.7037037037037037
68	NA	1	1	1
250	NA	1	1	1
391	0.016997792494481218	0.23328911426737514	0.1643835616438356	-0.6712328767123288
71	-0.09090909090908979	0.7857142857142857	0.8333333333333334	0.6666666666666666
616	NA	1	1	1
383	NA	1	1	1
324	NA	1	1	1
233	NA	1	1	1
277	NA	1	1	1
70	NA	1	1	1
571	NA	1	1	1
189	NA	1	1	1
339	NA	1	1	1
187	NA	1	1	1
336	NA	1	1	1
92	NA	1	1	1
155	-1	0	0	-1
672	NA	1	1	1
282	NA	1	1	1
226	NA	1	1	1
138	NA	1	1	1
176	-1	0	0	-1
103	NA	1	1	1
91	NA	1	1	1
37	NA	1	1	1
674	NA	1	1	1
438	NA	1	1	1
143	NA	1	1	1
104	NA	1	1	1
679	NA	1	1	1
262	NA	1	1	1
115	NA	1	1	1
257	NA	1	1	1
258	NA	1	1	1
468	NA	1	1	1
58	NA	1	1	1
575	NA	1	1	1
110	NA	1	1	1
51	NA	1	1	1
36	NA	1	1	1
330	NA	1	1	1
328	NA	1	1	1
404	NA	1	1	1
67	NA	1	1	1
186	NA	1	1	1
183	NA	1	1	1
353	NA	1	1	1
81	NA	1	1	1
342	NA	1	1	1
458	NA	1	1	1
334	NA	1	1	1
273	NA	1	1	1
128	-1	0	0	-1
46	0.03279075253597546	0.1966684704184704	0.18	-0.64
308	NA	1	1	1
65	-0.05023364485981309	0.11231884057971014	0.06451612903225806	-0.8709677419354839
74	0.6140350877192986	0.9	0.9090909090909091	0.8181818181818182
53	-0.391304347826087	0	0	-1
357	NA	1	1	1
633	NA	1	1	1
125	-0.3333333333333333	0.5	0.5	0
556	NA	1	1	1
309	NA	1	1	1
649	NA	1	1	1
490	NA	1	1	1
237	NA	1	1	1
121	NA	1	1	1
475	NA	1	1	1
646	NA	1	1	1
96	-1	0	0	-1
542	NA	1	1	1
85	-0.38461538461538464	0	0	-1
344	NA	1	1	1
538	NA	1	1	1
228	NA	1	1	1
116	NA	1	1	1
506	NA	1	1	1
97	NA	1	1	1
242	NA	1	1	1
432	NA	1	1	1
515	NA	1	1	1
384	-0.3333333333333333	0.5	0.5	0
483	NA	1	1	1
162	NA	1	1	1
412	NA	1	1	1
417	NA	1	1	1
359	NA	1	1	1
167	NA	1	1	1
480	NA	1	1	1
463	NA	1	1	1
514	NA	1	1	1
494	NA	1	1	1
583	NA	1	1	1
255	NA	1	1	1
131	NA	1	1	1
253	NA	1	1	1
675	NA	1	1	1
72	NA	1	1	1
478	NA	1	1	1
623	NA	1	1	1
420	NA	1	1	1
124	-0.05527638190954773	0.12121212121212122	0.06666666666666667	-0.8666666666666667
332	NA	1	1	1
446	NA	1	1	1
119	NA	1	1	1
291	NA	1	1	1
454	NA	1	1	1
534	NA	1	1	1
194	NA	1	1	1
371	NA	1	1	1
157	NA	1	1	1
156	NA	1	1	1
443	-0.09090909090909091	0.3	0.25	-0.5
207	NA	1	1	1
394	NA	1	1	1
604	NA	1	1	1
694	NA	1	1	1
195	-0.03703703703703835	0.8333333333333334	0.9285714285714286	0.8571428571428571
368	NA	1	1	1
232	NA	1	1	1
94	NA	1	1	1
57	NA	1	1	1
227	NA	1	1	1
196	-1	0	0	-1
518	NA	1	1	1
435	NA	1	1	1
537	NA	1	1	1
555	NA	1	1	1
261	NA	1	1	1
581	NA	1	1	1
144	NA	1	1	1
407	NA	1	1	1
108	NA	1	1	1
288	NA	1	1	1
147	NA	1	1	1
145	NA	1	1	1
214	-0.25000000000000006	0	0	-1
535	NA	1	1	1
274	NA	1	1	1
142	0.0064516129032258715	0.3541666666666667	0.36363636363636365	-0.2727272727272727
550	NA	1	1	1
206	NA	1	1	1
565	NA	1	1	1
507	NA	1	1	1
351	-1	0	0	-1
406	NA	1	1	1
112	NA	1	1	1
254	NA	1	1	1
80	NA	1	1	1
170	NA	1	1	1
427	NA	1	1	1
275	NA	1	1	1
173	-1	0	0	-1
658	NA	1	1	1
663	NA	1	1	1
580	NA	1	1	1
533	NA	1	1	1
345	NA	1	1	1
290	NA	1	1	1
59	-0.38461538461538464	0	0	-1
399	-1	0	0	-1
380	NA	1	1	1
477	NA	1	1	1
681	NA	1	1	1
548	NA	1	1	1
209	NA	1	1	1
561	NA	1	1	1
546	NA	1	1	1
378	NA	1	1	1
385	NA	1	1	1
465	-0.3333333333333333	0.5	0.5	0
641	NA	1	1	1
234	NA	1	1	1
174	-0.05263157894736843	0.25	0.2	-0.6
141	NA	1	1	1
369	NA	1	1	1
78	NA	1	1	1
304	NA	1	1	1
294	NA	1	1	1
102	NA	1	1	1
313	NA	1	1	1
298	NA	1	1	1
333	NA	1	1	1
570	NA	1	1	1
