com_id	pg_gene	chr	order	size	cond
1	ENSG00000173276	1	327	2193	healthy
2	ENSG00000062485	1	270	2131	healthy
3	ENSG00000184887	1	201	1438	healthy
4	ENSG00000175707	1	176	1117	healthy
9	ENSG00000148773	1	70	819	healthy
5	ENSG00000175467	19	124	555	healthy
7	ENSG00000119138	1	82	414	healthy
6	ENSG00000168477	1	92	336	healthy
8	ENSG00000171223	1	58	311	healthy
10	ENSG00000038427	10	46	100	healthy
11	ENSG00000115946	11	34	81	healthy
19	ENSG00000138722	12	25	80	healthy
13	ENSG00000130176	1	36	67	healthy
12	ENSG00000241685	17	31	66	healthy
15	ENSG00000066248	2	38	59	healthy
14	ENSG00000101126	20	32	57	healthy
16	ENSG00000162618	1	32	56	healthy
18	ENSG00000105821	2	27	53	healthy
22	ENSG00000177125	19	26	49	healthy
17	ENSG00000145685	1	29	48	healthy
20	ENSG00000173692	1	28	43	healthy
46	ENSG00000163751	1	14	41	healthy
34	ENSG00000173372	1	19	40	healthy
28	ENSG00000213638	19	24	39	healthy
24	ENSG00000123243	10	25	38	healthy
27	ENSG00000168994	12	25	38	healthy
31	ENSG00000186010	19	23	36	healthy
53	ENSG00000134321	12	13	35	healthy
33	ENSG00000265354	10	26	33	healthy
45	ENSG00000110921	1	14	33	healthy
26	ENSG00000135870	1	25	33	healthy
78	ENSG00000174738	1	10	32	healthy
29	ENSG00000186687	14	25	32	healthy
21	ENSG00000132561	1	22	32	healthy
30	ENSG00000011114	14	23	31	healthy
23	ENSG00000136717	1	21	31	healthy
40	ENSG00000278540	6	19	31	healthy
25	ENSG00000134970	15	25	31	healthy
35	ENSG00000120616	1	18	29	healthy
42	ENSG00000099958	12	15	29	healthy
39	ENSG00000130724	19	19	28	healthy
36	ENSG00000108821	1	18	28	healthy
41	ENSG00000116824	11	14	27	healthy
32	ENSG00000197451	19	21	27	healthy
38	ENSG00000137872	1	20	27	healthy
37	ENSG00000182463	17	18	24	healthy
72	ENSG00000196150	1	15	21	healthy
83	ENSG00000196126	6	11	21	healthy
47	ENSG00000033327	11	16	20	healthy
74	ENSG00000135821	2	16	20	healthy
64	ENSG00000143387	2	14	20	healthy
43	ENSG00000095585	5	17	20	healthy
59	ENSG00000130772	2	14	20	healthy
57	ENSG00000100138	22	16	19	healthy
44	ENSG00000117013	1	15	19	healthy
71	ENSG00000189431	11	15	18	healthy
50	ENSG00000155755	10	14	18	healthy
58	ENSG00000196505	3	15	18	healthy
49	ENSG00000133678	3	15	18	healthy
61	ENSG00000151240	1	15	18	healthy
48	ENSG00000128585	19	15	18	healthy
52	ENSG00000138138	10	17	18	healthy
55	ENSG00000105711	19	14	17	healthy
62	ENSG00000213390	22	15	17	healthy
75	ENSG00000166024	10	14	17	healthy
68	ENSG00000135631	1	16	17	healthy
90	ENSG00000179262	4	13	17	healthy
51	ENSG00000100865	13	15	17	healthy
56	ENSG00000198642	9	14	17	healthy
86	ENSG00000125459	1	13	16	healthy
99	ENSG00000089195	8	11	16	healthy
79	ENSG00000110344	11	12	16	healthy
66	ENSG00000170561	16	14	16	healthy
69	ENSG00000141552	19	14	16	healthy
80	ENSG00000256053	14	12	16	healthy
54	ENSG00000121897	1	14	16	healthy
81	ENSG00000173402	1	14	16	healthy
91	ENSG00000156467	8	14	16	healthy
82	ENSG00000064961	19	12	15	healthy
60	ENSG00000176095	9	13	15	healthy
76	ENSG00000063177	19	12	15	healthy
65	ENSG00000172809	1	13	15	healthy
73	ENSG00000157916	1	15	15	healthy
104	ENSG00000160299	1	14	14	healthy
87	ENSG00000100034	20	12	14	healthy
77	ENSG00000272325	6	14	14	healthy
63	ENSG00000160746	3	13	14	healthy
114	ENSG00000145494	19	13	14	healthy
70	ENSG00000171055	2	10	14	healthy
67	ENSG00000184900	6	14	14	healthy
112	ENSG00000122034	13	13	14	healthy
85	ENSG00000204923	1	12	14	healthy
92	ENSG00000008282	12	12	13	healthy
93	ENSG00000130939	2	13	13	healthy
100	ENSG00000119280	1	9	13	healthy
97	ENSG00000204673	1	13	13	healthy
121	ENSG00000149591	1	11	13	healthy
84	ENSG00000160255	1	13	13	healthy
110	ENSG00000064102	11	11	13	healthy
119	ENSG00000114446	2	12	13	healthy
88	ENSG00000056736	1	12	13	healthy
139	ENSG00000133574	7	7	13	healthy
105	ENSG00000120885	1	12	12	healthy
122	ENSG00000129691	8	10	12	healthy
107	ENSG00000172269	11	13	12	healthy
109	ENSG00000198301	22	13	12	healthy
120	ENSG00000131495	14	11	12	healthy
96	ENSG00000066422	3	13	12	healthy
134	ENSG00000105997	7	8	12	healthy
