ensemblID	community
ENSG00000004864	4
ENSG00000006327	154
ENSG00000006576	195
ENSG00000006831	77
ENSG00000008018	77
ENSG00000011114	14
ENSG00000011451	15
ENSG00000013725	223
ENSG00000014824	77
ENSG00000017260	13
ENSG00000029363	154
ENSG00000033327	77
ENSG00000034152	154
ENSG00000035928	77
ENSG00000037280	23
ENSG00000037897	154
ENSG00000039068	4
ENSG00000042286	15
ENSG00000042445	15
ENSG00000043039	4
ENSG00000044446	77
ENSG00000046604	15
ENSG00000048740	341
ENSG00000049283	4
ENSG00000049540	13
ENSG00000050393	231
ENSG00000052749	154
ENSG00000053254	15
ENSG00000055813	341
ENSG00000056972	77
ENSG00000057663	4
ENSG00000058085	223
ENSG00000058799	4
ENSG00000059691	77
ENSG00000060237	4
ENSG00000060688	154
ENSG00000061337	13
ENSG00000062485	77
ENSG00000063241	77
ENSG00000064225	77
ENSG00000064270	111
ENSG00000064393	15
ENSG00000064961	4
ENSG00000064989	77
ENSG00000065135	13
ENSG00000065534	241
ENSG00000065717	101
ENSG00000065970	101
ENSG00000066084	4
ENSG00000066136	14
ENSG00000066279	117
ENSG00000066557	13
ENSG00000066629	4
ENSG00000066735	101
ENSG00000067057	155
ENSG00000067082	153
ENSG00000067167	231
ENSG00000067445	77
ENSG00000067606	4
ENSG00000067704	77
ENSG00000068323	15
ENSG00000068400	10
ENSG00000068903	77
ENSG00000070371	341
ENSG00000070495	154
ENSG00000070614	322
ENSG00000071054	155
ENSG00000071462	4
ENSG00000071553	4
ENSG00000071564	4
ENSG00000071626	10
ENSG00000072062	15
ENSG00000072110	241
ENSG00000072121	4
ENSG00000072571	117
ENSG00000072840	13
ENSG00000072952	241
ENSG00000072958	77
ENSG00000073614	155
ENSG00000073711	154
ENSG00000073712	77
ENSG00000074416	77
ENSG00000074527	241
ENSG00000074603	15
ENSG00000074660	341
ENSG00000075218	117
ENSG00000075275	111
ENSG00000075292	155
ENSG00000075336	15
ENSG00000075415	77
ENSG00000075426	154
ENSG00000075651	13
ENSG00000075790	4
ENSG00000076555	77
ENSG00000076826	4
ENSG00000076984	10
ENSG00000077092	13
ENSG00000077238	13
ENSG00000077274	10
ENSG00000077616	77
ENSG00000077721	15
ENSG00000078140	24
ENSG00000078237	154
