community_id	diameter
502	96722
496	98747
754	112775
757	1413280
450	242082
748	22143
755	158080
741	254406
427	48012
222	10645324
420	139833
608	258430
606	107090
734	130937
842	9083
599	301226
721	61036
717	36880
592	854105
582	19359
703	37478
850	37440
574	15596
573	52822
696	192474079
695	107281498
568	87677991
844	15623
691	107288
689	26863
824	258846
335	95285
682	160807
680	3120008
781	873930
679	91330
677	68788893
546	104580
673	105385
672	155793
777	487266
543	7848
819	33710
538	37777
665	175458
534	81080
662	99594
533	328441
532	55714
531	178132
657	160638
530	656303
529	78375
646	53465
528	142690
526	12610
641	2615052
640	155062
519	33626
797	44780
638	122496
801	44501
637	37274
636	174018
634	38631
630	23807
629	53843
838	59785
627	1862741
625	39332
818	83620
624	68171
623	125771
514	48687
622	93562
621	9283
619	112769
616	175613
512	72823
613	34967
611	47492
610	402619
436	86692
