ensemblID	community
ENSG00000001461	386
ENSG00000004534	3
ENSG00000005100	1
ENSG00000005483	6
ENSG00000005812	355
ENSG00000006695	1
ENSG00000006744	1
ENSG00000007168	1
ENSG00000007202	34
ENSG00000007520	13
ENSG00000010256	3
ENSG00000010322	3
ENSG00000011021	107
ENSG00000011258	57
ENSG00000011260	57
ENSG00000011275	31
ENSG00000011295	1
ENSG00000011376	3
ENSG00000013375	265
ENSG00000013392	265
ENSG00000015532	57
ENSG00000015676	45
ENSG00000016864	3
ENSG00000024048	32
ENSG00000025800	165
ENSG00000029725	1
ENSG00000031698	30
ENSG00000032742	50
ENSG00000033050	80
ENSG00000034693	91
ENSG00000035928	387
ENSG00000037637	107
ENSG00000038219	43
ENSG00000040531	1
ENSG00000040633	1
ENSG00000042317	15
ENSG00000042429	54
ENSG00000042753	140
ENSG00000044090	32
ENSG00000046651	300
ENSG00000047249	67
ENSG00000048405	6
ENSG00000049541	204
ENSG00000049656	99
ENSG00000050820	7
ENSG00000052723	30
ENSG00000053371	172
ENSG00000053372	129
ENSG00000054611	2
ENSG00000054793	867
ENSG00000054967	53
ENSG00000055070	107
ENSG00000055130	80
ENSG00000055147	383
ENSG00000055609	80
ENSG00000056736	646
ENSG00000057608	33
ENSG00000057663	29
ENSG00000057757	107
ENSG00000058600	110
ENSG00000060762	62
ENSG00000062194	77
ENSG00000063046	184
ENSG00000063245	44
ENSG00000063322	92
ENSG00000063978	43
ENSG00000064102	133
ENSG00000064419	60
ENSG00000064703	30
ENSG00000064999	257
ENSG00000065057	388
ENSG00000065135	30
ENSG00000065427	7
ENSG00000065457	7
ENSG00000065526	107
ENSG00000065559	1
ENSG00000065883	45
ENSG00000065970	179
ENSG00000066279	9
ENSG00000066336	174
ENSG00000066926	4
ENSG00000067064	33
ENSG00000067248	77
ENSG00000067369	12
ENSG00000067560	3
ENSG00000067596	51
ENSG00000067900	4
ENSG00000068024	34
ENSG00000068028	3
ENSG00000068097	39
ENSG00000068383	14
ENSG00000068394	861
ENSG00000068745	3
ENSG00000069248	46
ENSG00000069345	87
ENSG00000070047	11
ENSG00000070366	1
ENSG00000070367	28
ENSG00000070413	25
ENSG00000070423	21
ENSG00000070444	1
ENSG00000070718	85
ENSG00000070761	66
ENSG00000070770	66
ENSG00000070831	107
ENSG00000071189	45
ENSG00000071462	204
