community_id	diameter
536	115977
21	31748462
79	19983570
1	20289354
29	55379875
34	35654776
191	14590443
7	39973877
75	183971
40	48436002
352	13101813
16	20735927
247	317649
14	76714806
60	43360887
489	375898
18	33698709
6	32178315
200	7146681
107	230350
683	53465
47	35438204
86	2476008
618	22510
76	5220636
28	79989140
12	77878642
26	89988072
168	2626074
45	39021510
266	7123384
4	47680771
33	5507104
375	181861
114	631323
615	34521
35	38317776
22	32155394
622	320814
349	790549
129	10798894
193	7983237
19	33281464
175	3147893
610	116449
101	4992908
66	25114354
682	167657
402	1135479
307	1424923
608	262053
634	360410
90	52019589
27	2199267
31	9753290
54	25353312
688	18801
134	27602240
251	30594
600	607980
211	176766
221	2512866
100	429830
95	106883
439	53986
158	405623
222	1598728
111	848447
77	3497413
197	197990
551	224438
105	44793
436	67113
172	262088
377	31192
379	127378
315	329270
30	5338960
229	70189
395	1111305
272	811287
62	662501
212	43652
55	339670
188	629540
596	273804
632	74826
215	189896
152	319122
204	210380
701	13835
573	198886
41	51302757
505	160638
470	68715
301	16372
68	2498155
250	47169
616	18983
383	43308
324	1973769
233	531658
277	6494426
70	3441476
571	183029
189	99594
339	123775
187	49988
336	653190
92	55088
672	40978
282	73577
226	27876470
138	105960
103	36424956
91	30742791
37	28115605
674	130876
438	384298
143	63829453
104	28177
679	333743
262	175458
115	17259328
257	122820
258	673005
468	312450
58	14921481
575	103639
110	152374975
51	94746
36	15570023
330	90678
328	875615
404	906239
67	9301700
186	64146
183	2230915
353	47650
81	317864
342	1867803
458	444164
334	1653688
273	432218
308	8980011
357	32169
633	500132
556	178933
309	155793
649	192924
490	105385
237	160113
121	15444
475	146060
646	150550
542	179264
344	6581460
538	24984
228	84371
116	1194069
506	40417
97	4472264
242	4649324
432	139833
515	111864
483	160807
162	242731
412	32409
417	40494
359	424788
167	11353735
480	110319
463	110511
514	127200
494	32536
583	18963
255	48012
131	32797
253	36498
675	16147
72	175874
478	318043
623	276854
420	2529355
332	25311
446	398789
119	173472
291	786251
454	26863
534	39418
194	1281721
371	140660
157	215132
156	39136261
207	3120008
394	26309
604	162985
694	111927
368	195393
232	152506
94	20638438
57	1300050
227	107288
518	57254
435	86692
537	42803
555	376797
261	857171
581	106747
144	37168
407	2617228
108	240327
288	394367
147	608979
145	149634
535	129838
274	106479
550	70974
206	200418
565	99833
507	229398
406	1128556
112	7176573
254	213359
80	84841910
170	76702
427	242082
275	221268
658	35261
663	47193
580	44380
533	37478
345	72926
290	93357
380	274245
477	198331
681	72024
548	61297
209	109387
561	21270
546	48435
378	133784
385	153220
641	159114
234	1159625
141	31775672
369	535414
78	74579175
304	214685
294	866820
102	600867
313	192474079
298	3069247
333	422264
570	33540
180	14167963
319	76165
364	411636
532	37122
637	403192
338	257076
609	224097
270	6419994
558	185063
178	1616494
645	574947
287	50932
310	104455
502	127017
614	141872
569	98069
671	511802
127	199063
541	39337
500	36880
370	39896374
527	289303
659	511798
602	128613
466	258924
182	357296
579	167400
113	407335
355	100565
23	20984196
149	26463195
381	61036
271	211799
123	11302082
409	342860
346	156688
469	54595
246	46499
50	2961703
348	218721
305	139032
516	31919
617	104348
159	644407
244	48214
118	23834
217	1226684
241	5473266
280	55775
44	10907151
