community_id	diameter
1	115977
4	20289354
5	35654776
6	14590443
7	39973877
8	183971
9	48436002
10	13101813
11	317649
12	43360887
13	375898
14	7146681
15	230350
16	53465
676	8981932
17	2476008
18	22510
664	79989140
20	2626074
21	39021510
22	7123384
23	47680771
24	5507104
25	181861
26	631323
27	34521
661	32155394
28	320814
29	790549
30	10798894
31	7983237
663	33281464
32	3147893
33	116449
34	4992908
35	25114354
36	167657
37	1135479
38	1424923
39	262053
40	360410
41	52019589
42	25353312
43	18801
44	27602240
45	30594
46	607980
48	176766
49	2512866
51	429830
52	106883
53	53986
54	405623
55	1598728
56	848447
57	3497413
58	197990
59	224438
60	44793
61	67113
62	262088
64	31192
65	127378
66	329270
668	72057821
68	70189
69	811287
70	662501
73	43652
74	339670
75	629540
76	273804
77	74826
78	189896
79	319122
80	210380
81	13835
82	198886
83	51302757
84	160638
85	68715
86	16372
670	4474895
88	2498155
89	47169
91	18983
92	43308
93	1973769
94	531658
95	6494426
96	3441476
97	183029
98	99594
99	123775
100	49988
101	653190
102	55088
104	40978
105	73577
106	27876470
107	105960
109	130876
110	384298
111	63829453
112	28177
113	333743
114	175458
115	17259328
116	122820
117	673005
118	312450
119	14921481
120	103639
121	152374975
122	94746
123	90678
124	875615
125	906239
126	9301700
127	64146
128	2230915
129	47650
130	317864
131	1867803
132	444164
133	1653688
134	432218
137	8980011
141	32169
142	500132
144	178933
145	155793
146	192924
147	105385
148	160113
149	15444
150	146060
151	150550
153	179264
155	6581460
156	24984
157	84371
158	1194069
159	40417
160	4472264
161	4649324
162	139833
163	111864
165	160807
166	242731
167	32409
168	40494
169	424788
170	11353735
171	110319
172	110511
173	127200
174	32536
175	18963
176	48012
177	32797
178	36498
179	16147
180	175874
181	318043
182	276854
183	2529355
185	25311
186	398789
187	173472
188	786251
189	26863
190	39418
191	1281721
192	140660
193	215132
194	39136261
196	3120008
197	26309
198	162985
199	111927
201	195393
202	152506
203	20638438
204	1300050
205	107288
207	57254
208	86692
209	42803
210	376797
211	857171
212	106747
213	37168
214	2617228
215	240327
216	394367
217	608979
218	149634
220	129838
221	106479
223	70974
224	200418
225	99833
226	229398
228	1128556
229	7176573
230	213359
231	84841910
232	76702
233	242082
234	221268
236	35261
237	47193
238	44380
239	37478
240	72926
241	93357
244	274245
245	198331
246	72024
247	61297
248	109387
249	21270
250	48435
251	133784
252	153220
254	159114
256	31775672
257	535414
258	74579175
259	214685
260	866820
261	600867
262	192474079
263	3069247
264	422264
265	33540
266	14167963
267	76165
268	411636
269	37122
270	403192
271	257076
272	224097
273	6419994
274	185063
275	1616494
276	574947
277	50932
278	104455
279	127017
280	141872
281	98069
282	511802
283	199063
284	39337
285	36880
286	39896374
287	289303
288	511798
289	128613
290	258924
291	357296
292	167400
293	407335
294	100565
295	26463195
296	61036
297	211799
298	11302082
299	342860
300	156688
302	54595
303	46499
