community_id	diameter
130	115977
62	31748462
36	19983570
110	20289354
25	55379875
201	35654776
1	14590443
242	39973877
33	183971
13	48436002
131	51442353
276	20735927
89	317649
174	38788390
120	43360887
133	375898
84	33698709
256	32178315
144	7146681
134	230350
135	53465
28	35438204
136	2476008
137	22510
149	5220636
23	79989140
525	77878642
140	89988072
121	2626074
44	39021510
372	7123384
190	47680771
26	5507104
142	181861
143	631323
3	34521
83	38317776
145	320814
146	790549
2	10798894
148	7983237
349	33281464
234	3147893
8	116449
151	4992908
209	25114354
152	167657
153	1135479
112	1424923
154	262053
86	360410
504	52019589
101	2199267
61	9753290
75	25353312
157	18801
158	27602240
37	30594
100	607980
35	176766
160	2512866
163	429830
11	106883
164	53986
147	405623
14	1598728
166	848447
38	3497413
141	197990
168	224438
169	44793
170	67113
103	262088
171	31192
173	127378
52	329270
305	36623084
176	70189
503	1111305
177	811287
55	662501
179	43652
180	339670
4	629540
181	273804
5	74826
182	189896
183	319122
21	210380
184	13835
185	198886
302	51302757
187	160638
88	68715
53	16372
189	7760086
92	2498155
191	47169
194	18983
138	43308
156	1973769
195	531658
611	6494426
12	3441476
197	183029
198	99594
56	123775
199	49988
10	653190
200	55088
203	40978
204	73577
205	27876470
76	105960
207	36424956
356	30742791
63	28115605
211	130876
212	384298
232	63829453
7	28177
213	333743
214	175458
447	17259328
215	122820
216	673005
18	312450
97	14921481
218	103639
248	152374975
219	94746
220	15570023
74	90678
19	875615
221	906239
155	9301700
222	64146
223	2230915
224	47650
225	317864
9	1867803
227	444164
226	1653688
228	432218
230	8980011
31	32169
233	500132
188	178933
236	155793
237	192924
238	105385
239	160113
240	15444
241	146060
243	150550
245	179264
32	6581460
249	24984
670	84371
380	1194069
251	40417
592	4472264
49	4649324
252	139833
253	111864
257	160807
258	242731
259	32409
260	40494
261	424788
293	11353735
16	110319
263	110511
264	127200
265	32536
17	18963
266	48012
118	32797
267	36498
268	16147
45	175874
269	318043
270	276854
271	2529355
272	25311
273	398789
274	173472
278	786251
279	26863
280	39418
281	1281721
282	140660
69	215132
262	39136261
250	3120008
283	26309
284	162985
66	111927
286	195393
287	152506
412	20638438
288	1300050
289	107288
291	57254
292	86692
294	42803
295	376797
296	857171
299	106747
301	37168
186	2617228
277	240327
303	394367
27	608979
304	149634
196	129838
306	106479
307	70974
308	200418
309	99833
310	229398
29	1128556
312	7176573
313	213359
46	84841910
314	76702
315	242082
316	221268
318	35261
320	47193
321	44380
323	37478
22	72926
324	93357
51	274245
326	198331
327	72024
328	61297
329	109387
330	21270
331	48435
332	133784
333	153220
334	159114
43	1159625
59	31775672
335	535414
697	74579175
336	214685
337	866820
400	600867
298	192474079
338	3069247
77	422264
340	33540
24	14167963
341	76165
342	411636
343	37122
345	403192
30	257076
347	224097
165	6419994
348	185063
545	1616494
350	574947
351	50932
353	104455
354	127017
355	141872
357	98069
358	511802
360	199063
300	39337
361	36880
217	39896374
362	289303
363	511798
364	128613
365	258924
366	357296
367	167400
368	407335
369	100565
39	20984196
370	26463195
371	61036
319	211799
374	11302082
48	342860
47	156688
50	54595
376	46499
377	2961703
378	218721
379	139032
382	31919
81	104348
383	644407
385	48214
386	23834
94	1226684
85	5473266
41	55775
389	10907151
172	12943
391	20020
392	146613
393	26967
394	444704
395	94970
396	30112
397	98747
398	25804
399	23188
68	68766
401	33334
402	233566
404	374335
405	330020
406	29538488
407	140335
408	268803
409	62704
411	202916
414	128894
415	140880
416	96722
417	130937
418	5831661
419	120737
420	177629
421	66951
108	104324
105	98552
422	101379
423	2776156
192	205304
424	286840
426	72823
128	42928
429	39274
430	48687
431	108347
432	82167
434	52375
82	33626
116	1862741
127	225447
57	204439
437	64288
438	102976
439	198584
60	1182758
441	1204918
442	126876
443	84957
444	12610
445	254406
446	171016
70	236063
448	142690
449	40796
167	494669
73	4537316
450	169649
451	78375
452	312542
453	656303
454	75997
455	178132
456	313997
457	177333
458	36490
459	22143
461	304060
462	55714
463	789513
464	328441
465	144365
466	450330
467	81080
468	430753
285	120544
102	195889
470	457902
472	37777
339	207923
473	244357
474	4678921
95	65406
476	33500
477	112775
478	158080
479	66140
384	23187411
480	7848
482	1413280
483	124650
486	17742
487	430771
488	48705
78	941458
489	276914
490	104580
491	438850
72	9343
492	52888
493	210199
494	30909
495	15331
497	14044
500	85881
254	132728
501	6828
502	55015
505	82426
98	119419
507	33108
410	296484
511	613717
513	160955
469	284748
515	226041
516	103676
517	694821
518	530684
519	70843
520	62503
521	51514
522	114949
523	15442
524	895078
322	98217
526	487266
527	28517
90	265110
529	991012
530	244546
531	873930
532	44321
538	7772882
533	281099
475	252435
534	458245
535	217739
536	381574
537	168009
125	2141654
499	243672
540	42117
541	21615
506	3728530
162	51220
543	586470
544	121039
115	68171
547	7641
549	22490
550	254247
551	40561
553	216605
554	436041
555	64904
556	364246
557	52822
558	15596
559	11019
560	30093
561	25317
562	13788
126	17303
563	127510
564	15322
565	134666
566	44780
567	207978
568	139643
485	154743
569	10100
570	126367
571	19359
574	623507
575	353673
576	44501
577	85279633
578	77581
579	149998
99	1074466
580	53992
109	44837
528	175433
581	179476
93	92512
582	27168709
583	3491
584	49963
585	23113
586	116412
587	382229
588	101171
589	69968
590	69797
124	290949
591	398456
593	854105
594	28705173
595	90896
596	76008
597	184846
598	60189
599	410466
600	126031
602	56391
603	301226
604	41364
606	144977
607	39746
608	30478
609	31692
610	788558
612	303248
613	83620
614	14791
615	75988
104	30897
616	58552
617	33710
618	1241085
619	11450
620	182410
123	217492
621	141948
622	48856
623	42137
624	258846
625	154402
626	90039
627	53615
628	107090
630	100459
631	258430
632	79216
633	8278
634	402619
635	53368
636	47492
637	29851
638	34967
111	79946
639	12302
640	116789
641	726599
346	18499
642	77654
643	107292
644	175613
645	388760
646	95285
647	373142
648	11206
649	489491
650	112769
651	87013
652	276651
653	59646
654	9283
655	59785
656	93562
657	125771
658	39332
659	41929
660	94669
661	317044
662	53843
663	153492
664	145491
665	23807
666	69810
667	85829
668	9083
669	32163
671	26513
672	38631
122	156461
673	315687
674	174018
359	92371
675	130591
676	15623
678	37274
679	122496
680	59345
681	106306
682	244522
683	17115
684	346193
685	337567
548	16328
687	37440
688	155062
689	1213578
247	91330
690	58845
691	2615052
692	2606906
693	30239
694	155086
695	32588
696	250765
698	36622964
699	312372
700	1185375
701	198778
