comm1	comm2	jaccard
11	11	1
11	13	0
11	20	0
11	459	0
11	43	0
11	230	0
11	32	0
11	38	0
11	447	0
11	632	0
11	39	0
11	391	0
11	277	0.03571428571428571
11	138	0
11	143	0
11	46	0
11	65	0
11	633	0
11	124	0
11	94	0
11	142	0
11	174	0
11	88	0
11	531	0
11	692	0
11	52	0
11	539	0
11	243	0
11	434	0
13	11	0
13	13	1
13	20	0
13	459	0
13	43	0
13	230	0
13	32	0
13	38	0
13	447	0
13	632	0
13	39	0
13	391	0
13	277	0
13	138	0
13	143	0
13	46	0
13	65	0
13	633	0
13	124	0
13	94	0.5
13	142	0
13	174	0
13	88	0
13	531	0
13	692	0
13	52	0
13	539	0
13	243	0
13	434	0
20	11	0
20	13	0
20	20	1
20	459	0
20	43	0
20	230	0
20	32	0
20	38	0
20	447	0
20	632	0
20	39	0
20	391	0
20	277	0
20	138	0
20	143	0
20	46	0
20	65	0
20	633	0
20	124	0
20	94	0
20	142	0
20	174	0
20	88	0
20	531	0
20	692	0.04918032786885246
20	52	0
20	539	0.016666666666666666
20	243	0
20	434	0
459	11	0
459	13	0
459	20	0
459	459	1
459	43	0
459	230	0
459	32	0
459	38	0
459	447	0
459	632	0.023255813953488372
459	39	0
459	391	0.01694915254237288
459	277	0
459	138	0
459	143	0
459	46	0.012987012987012988
459	65	0
459	633	0
459	124	0
459	94	0
459	142	0
459	174	0
459	88	0
459	531	0
459	692	0
459	52	0
459	539	0
459	243	0
459	434	0
43	11	0
43	13	0
43	20	0
43	459	0
43	43	1
43	230	0
43	32	0
43	38	0
43	447	0
43	632	0
43	39	0
43	391	0
43	277	0
43	138	0
43	143	0
43	46	0.0196078431372549
43	65	0
43	633	0
43	124	0
43	94	0
43	142	0
43	174	0
43	88	0
43	531	0
43	692	0
43	52	0
43	539	0
43	243	0
43	434	0
230	11	0
230	13	0
230	20	0
230	459	0
230	43	0
230	230	1
230	32	0
230	38	0.047619047619047616
230	447	0
230	632	0
230	39	0
230	391	0
230	277	0.043478260869565216
230	138	0
230	143	0
230	46	0
230	65	0
230	633	0
230	124	0
230	94	0
230	142	0
230	174	0
230	88	0
230	531	0
230	692	0
230	52	0
230	539	0.07142857142857142
230	243	0
230	434	0
32	11	0
32	13	0
32	20	0
32	459	0
32	43	0
32	230	0
32	32	1
32	38	0
32	447	0
32	632	0
32	39	0
32	391	0
32	277	0
32	138	0
32	143	0
32	46	0
32	65	0
32	633	0
32	124	0
32	94	0
32	142	0
32	174	0.2
32	88	0
32	531	0
32	692	0
32	52	0
32	539	0
32	243	0
32	434	0
38	11	0
38	13	0
38	20	0
38	459	0
38	43	0
38	230	0.047619047619047616
38	32	0
38	38	1
38	447	0
38	632	0
38	39	0
38	391	0
38	277	0.047619047619047616
38	138	0
38	143	0
38	46	0.05172413793103448
38	65	0
38	633	0
38	124	0
38	94	0
38	142	0.027777777777777776
38	174	0
38	88	0
38	531	0
38	692	0
38	52	0
38	539	0.20689655172413793
38	243	0
38	434	0
447	11	0
447	13	0
447	20	0
447	459	0
447	43	0
447	230	0
447	32	0
447	38	0
447	447	1
447	632	0
447	39	0
447	391	0
447	277	0
447	138	0
447	143	0
447	46	0.043478260869565216
447	65	0
447	633	0
447	124	0
447	94	0
447	142	0
447	174	0
447	88	0
447	531	0
447	692	0
447	52	0
447	539	0
447	243	0
447	434	0
632	11	0
632	13	0
632	20	0
632	459	0.023255813953488372
632	43	0
632	230	0
632	32	0
632	38	0
632	447	0
632	632	1
632	39	0
632	391	0
632	277	0
632	138	0
632	143	0
632	46	0
632	65	0
632	633	0.375
632	124	0
632	94	0
632	142	0
632	174	0
632	88	0
632	531	0.3333333333333333
632	692	0
632	52	0
632	539	0
632	243	0
632	434	0
39	11	0
39	13	0
39	20	0
39	459	0
39	43	0
39	230	0
39	32	0
39	38	0
39	447	0
39	632	0
39	39	1
39	391	0
39	277	0
39	138	0
39	143	0
39	46	0.014705882352941176
39	65	0
39	633	0
39	124	0
39	94	0
39	142	0
39	174	0
39	88	0
39	531	0
39	692	0
39	52	0
39	539	0
39	243	0
39	434	0
391	11	0
391	13	0
391	20	0
391	459	0.01694915254237288
391	43	0
391	230	0
391	32	0
391	38	0
391	447	0
391	632	0
391	39	0
391	391	1
391	277	0
391	138	0
391	143	0
391	46	0
391	65	0
391	633	0
391	124	0
391	94	0
391	142	0
391	174	0
391	88	0
391	531	0
391	692	0
391	52	0
391	539	0
391	243	0
391	434	0
277	11	0.03571428571428571
277	13	0
277	20	0
277	459	0
277	43	0
277	230	0.043478260869565216
277	32	0
277	38	0.047619047619047616
277	447	0
277	632	0
277	39	0
277	391	0
277	277	1
277	138	0
277	143	0
277	46	0
277	65	0
277	633	0
277	124	0
277	94	0
277	142	0
277	174	0
277	88	0
277	531	0
277	692	0
277	52	0
277	539	0.05714285714285714
277	243	0
277	434	0
138	11	0
138	13	0
138	20	0
138	459	0
138	43	0
138	230	0
138	32	0
138	38	0
138	447	0
138	632	0
138	39	0
138	391	0
138	277	0
138	138	1
