comm1	comm2	terms1	terms2	jaccard
2	4	59	17	0
2	312	59	1	0
2	41	59	67	0.05
2	11	59	11	0
2	268	59	13	0
2	2	59	128	0
2	13	59	4	0
2	78	59	16	0
2	9	59	158	0
2	7	59	36	0.03260869565217391
2	344	59	2	0
2	5	59	5	0
2	274	59	9	0
2	45	59	38	0.22784810126582278
2	40	59	63	0.07017543859649122
2	6	59	1	0
2	8	59	100	0.012738853503184714
2	64	59	6	0.06557377049180328
2	75	59	17	0
2	34	59	18	0
2	18	59	13	0
2	32	59	2	0
2	31	59	24	0
2	20	59	15	0
2	121	59	11	0
2	101	59	1	0
2	46	59	8	0
2	133	59	1	0.01694915254237288
2	134	59	14	0.08955223880597014
2	176	59	3	0
2	36	59	7	0.06451612903225806
2	53	59	22	0
2	253	59	1	0
2	282	59	4	0
2	475	59	1	0
2	76	59	25	0
2	222	59	16	0.08695652173913043
2	322	59	6	0
2	65	59	24	0
2	221	59	11	0.1111111111111111
2	123	59	2	0
2	217	59	5	0
2	366	59	11	0
2	262	59	7	0
2	394	59	60	0.00847457627118644
2	118	59	23	0
2	239	59	16	0
2	83	59	35	0
5	4	14	17	0
5	312	14	1	0
5	41	14	67	0
5	11	14	11	0
5	268	14	13	0
5	2	14	128	0
5	13	14	4	0
5	78	14	16	0
5	9	14	158	0
5	7	14	36	0
5	344	14	2	0
5	5	14	5	0
5	274	14	9	0
5	45	14	38	0
5	40	14	63	0
5	6	14	1	0
5	8	14	100	0.11764705882352941
5	64	14	6	0
5	75	14	17	0
5	34	14	18	0
5	18	14	13	0
5	32	14	2	0
5	31	14	24	0
5	20	14	15	0
5	121	14	11	0
5	101	14	1	0
5	46	14	8	0
5	133	14	1	0
5	134	14	14	0
5	176	14	3	0
5	36	14	7	0
5	53	14	22	0
5	253	14	1	0
5	282	14	4	0
5	475	14	1	0
5	76	14	25	0
5	222	14	16	0
5	322	14	6	0
5	65	14	24	0
5	221	14	11	0
5	123	14	2	0
5	217	14	5	0
5	366	14	11	0
5	262	14	7	0
5	394	14	60	0
5	118	14	23	0
5	239	14	16	0
5	83	14	35	0
1	4	108	17	0.016260162601626018
1	312	108	1	0
1	41	108	67	0
1	11	108	11	0
1	268	108	13	0
1	2	108	128	0.7878787878787878
1	13	108	4	0
1	78	108	16	0
1	9	108	158	0
1	7	108	36	0
1	344	108	2	0
1	5	108	5	0
1	274	108	9	0.008620689655172414
1	45	108	38	0.06569343065693431
1	40	108	63	0.1958041958041958
1	6	108	1	0
1	8	108	100	0
1	64	108	6	0
1	75	108	17	0
1	34	108	18	0
1	18	108	13	0
1	32	108	2	0
1	31	108	24	0.21100917431192662
1	20	108	15	0
1	121	108	11	0
1	101	108	1	0
1	46	108	8	0
1	133	108	1	0
1	134	108	14	0
1	176	108	3	0
1	36	108	7	0
1	53	108	22	0
1	253	108	1	0
1	282	108	4	0
1	475	108	1	0
1	76	108	25	0
1	222	108	16	0
1	322	108	6	0
1	65	108	24	0
1	221	108	11	0
1	123	108	2	0
1	217	108	5	0
1	366	108	11	0.10185185185185185
1	262	108	7	0
1	394	108	60	0
1	118	108	23	0.07377049180327869
1	239	108	16	0
1	83	108	35	0
18	4	3	17	0
18	312	3	1	0
18	41	3	67	0
18	11	3	11	0
18	268	3	13	0
18	2	3	128	0
18	13	3	4	0
18	78	3	16	0
18	9	3	158	0
18	7	3	36	0
18	344	3	2	0
18	5	3	5	0
18	274	3	9	0
18	45	3	38	0
18	40	3	63	0
18	6	3	1	0
18	8	3	100	0
18	64	3	6	0
18	75	3	17	0
18	34	3	18	0
18	18	3	13	0
18	32	3	2	0
18	31	3	24	0
18	20	3	15	0
18	121	3	11	0
18	101	3	1	0
18	46	3	8	0
18	133	3	1	0
18	134	3	14	0
18	176	3	3	0
18	36	3	7	0
18	53	3	22	0
18	253	3	1	0
18	282	3	4	0
18	475	3	1	0
18	76	3	25	0
18	222	3	16	0
18	322	3	6	0
18	65	3	24	0
18	221	3	11	0
18	123	3	2	0
18	217	3	5	0
18	366	3	11	0
18	262	3	7	0
18	394	3	60	0
18	118	3	23	0
18	239	3	16	0
18	83	3	35	0
15	4	10	17	0
15	312	10	1	0
15	41	10	67	0
15	11	10	11	0
15	268	10	13	0
15	2	10	128	0
15	13	10	4	0.4
15	78	10	16	0
15	9	10	158	0
15	7	10	36	0
15	344	10	2	0
15	5	10	5	0
15	274	10	9	0
15	45	10	38	0
15	40	10	63	0
