comm1	comm2	terms1	terms2	jaccard
2	1	24	3	0
2	327	24	4	0
2	331	24	35	0
2	343	24	3	0
2	337	24	28	0.23809523809523808
2	351	24	1	0
2	345	24	10	0.030303030303030304
2	336	24	4	0
2	332	24	43	0
2	344	24	8	0
2	334	24	24	0.02127659574468085
2	335	24	5	0
2	342	24	9	0.17857142857142858
2	15	24	4	0
2	339	24	6	0
2	32	24	7	0
2	39	24	4	0
2	341	24	6	0.034482758620689655
2	255	24	14	0
5	1	6	3	0
5	327	6	4	0.42857142857142855
5	331	6	35	0
5	343	6	3	0
5	337	6	28	0
5	351	6	1	0
5	345	6	10	0
5	336	6	4	0
5	332	6	43	0
5	344	6	8	0
5	334	6	24	0
5	335	6	5	0
5	342	6	9	0
5	15	6	4	0
5	339	6	6	0
5	32	6	7	0
5	39	6	4	0
5	341	6	6	0
5	255	6	14	0
1	1	23	3	0
1	327	23	4	0
1	331	23	35	0.3488372093023256
1	343	23	3	0
1	337	23	28	0
1	351	23	1	0
1	345	23	10	0
1	336	23	4	0
1	332	23	43	0
1	344	23	8	0
1	334	23	24	0
1	335	23	5	0
1	342	23	9	0
1	15	23	4	0
1	339	23	6	0
1	32	23	7	0
1	39	23	4	0
1	341	23	6	0
1	255	23	14	0
18	1	2	3	0
18	327	2	4	0
18	331	2	35	0
18	343	2	3	0
18	337	2	28	0
18	351	2	1	0
18	345	2	10	0
18	336	2	4	0
18	332	2	43	0
18	344	2	8	0
18	334	2	24	0
18	335	2	5	0
18	342	2	9	0
18	15	2	4	0
18	339	2	6	0
18	32	2	7	0
18	39	2	4	0
18	341	2	6	0
18	255	2	14	0
15	1	8	3	0
15	327	8	4	0
15	331	8	35	0
15	343	8	3	0
15	337	8	28	0
15	351	8	1	0
15	345	8	10	0.6363636363636364
15	336	8	4	0
15	332	8	43	0
15	344	8	8	0
15	334	8	24	0
15	335	8	5	0
15	342	8	9	0
15	15	8	4	0
15	339	8	6	0
15	32	8	7	0
15	39	8	4	0
15	341	8	6	0
15	255	8	14	0
12	1	45	3	0
12	327	45	4	0
12	331	45	35	0
12	343	45	3	0
12	337	45	28	0
12	351	45	1	0
12	345	45	10	0
12	336	45	4	0
12	332	45	43	0.9555555555555556
12	344	45	8	0
12	334	45	24	0
12	335	45	5	0
12	342	45	9	0
12	15	45	4	0
12	339	45	6	0
12	32	45	7	0
12	39	45	4	0
12	341	45	6	0
12	255	45	14	0
8	1	12	3	0
8	327	12	4	0
8	331	12	35	0.021739130434782608
8	343	12	3	0
8	337	12	28	0
8	351	12	1	0
8	345	12	10	0
8	336	12	4	0
8	332	12	43	0
8	344	12	8	0.25
8	334	12	24	0
8	335	12	5	0.21428571428571427
8	342	12	9	0
8	15	12	4	0
8	339	12	6	0
8	32	12	7	0
8	39	12	4	0
8	341	12	6	0
8	255	12	14	0
6	1	4	3	0
6	327	4	4	0
6	331	4	35	0
6	343	4	3	0
6	337	4	28	0
6	351	4	1	0
6	345	4	10	0
6	336	4	4	0
6	332	4	43	0
6	344	4	8	0.09090909090909091
6	334	4	24	0
6	335	4	5	0
6	342	4	9	0
6	15	4	4	0
6	339	4	6	0
6	32	4	7	0
6	39	4	4	0
6	341	4	6	0
6	255	4	14	0
266	1	4	3	0
266	327	4	4	0
266	331	4	35	0
266	343	4	3	0
266	337	4	28	0
266	351	4	1	0
266	345	4	10	0
266	336	4	4	0
266	332	4	43	0
266	344	4	8	0
266	334	4	24	0
266	335	4	5	0
266	342	4	9	0
266	15	4	4	1
266	339	4	6	0
266	32	4	7	0
266	39	4	4	0
266	341	4	6	0
266	255	4	14	0
13	1	24	3	0
13	327	24	4	0
13	331	24	35	0
13	343	24	3	0
13	337	24	28	0.04
13	351	24	1	0
13	345	24	10	0
13	336	24	4	0
13	332	24	43	0
13	344	24	8	0
13	334	24	24	0.5483870967741935
13	335	24	5	0
13	342	24	9	0
13	15	24	4	0
13	339	24	6	0
13	32	24	7	0
13	39	24	4	0
13	341	24	6	0
13	255	24	14	0
397	1	7	3	0
397	327	7	4	0
397	331	7	35	0
397	343	7	3	0
397	337	7	28	0
397	351	7	1	0
397	345	7	10	0
397	336	7	4	0
397	332	7	43	0
397	344	7	8	0
397	334	7	24	0
397	335	7	5	0
397	342	7	9	0
397	15	7	4	0
397	339	7	6	0
397	32	7	7	1
397	39	7	4	0
397	341	7	6	0
397	255	7	14	0
65	1	4	3	0
65	327	4	4	0
65	331	4	35	0
65	343	4	3	0
65	337	4	28	0
65	351	4	1	0
65	345	4	10	0
65	336	4	4	0
65	332	4	43	0
65	344	4	8	0
65	334	4	24	0
65	335	4	5	0
65	342	4	9	0
65	15	4	4	0
65	339	4	6	0
65	32	4	7	0
65	39	4	4	1
65	341	4	6	0
65	255	4	14	0
326	1	10	3	0
326	327	10	4	0
326	331	10	35	0
326	343	10	3	0
326	337	10	28	0
326	351	10	1	0
326	345	10	10	0
326	336	10	4	0
326	332	10	43	0.0392156862745098
326	344	10	8	0
326	334	10	24	0
326	335	10	5	0
326	342	10	9	0
326	15	10	4	0
326	339	10	6	0
326	32	10	7	0
326	39	10	4	0.16666666666666666
326	341	10	6	0
326	255	10	14	0
104	1	14	3	0
104	327	14	4	0
104	331	14	35	0
104	343	14	3	0.13333333333333333
104	337	14	28	0
104	351	14	1	0
104	345	14	10	0
104	336	14	4	0
104	332	14	43	0
104	344	14	8	0
104	334	14	24	0
104	335	14	5	0
104	342	14	9	0
104	15	14	4	0
104	339	14	6	0
104	32	14	7	0
104	39	14	4	0
104	341	14	6	0
104	255	14	14	1
