comm1	comm2	terms1	terms2	jaccard
4	4	17	13	0.5
4	77	17	150	0
4	223	17	2	0
4	13	17	57	0
4	341	17	4	0
4	241	17	2	0
4	101	17	20	0
4	117	17	150	0
4	153	17	45	0.01639344262295082
4	10	17	36	0
4	322	17	133	0
4	70	17	8	0
4	7	17	8	0
4	2	17	22	0
4	251	17	4	0
4	266	17	16	0
4	19	17	35	0
312	4	1	13	0
312	77	1	150	0
312	223	1	2	0
312	13	1	57	0
312	341	1	4	0
312	241	1	2	0
312	101	1	20	0
312	117	1	150	0
312	153	1	45	0
312	10	1	36	0
312	322	1	133	0
312	70	1	8	0
312	7	1	8	0
312	2	1	22	0
312	251	1	4	0
312	266	1	16	0
312	19	1	35	0
41	4	67	13	0
41	77	67	150	0
41	223	67	2	0.029850746268656716
41	13	67	57	0.04201680672268908
41	341	67	4	0
41	241	67	2	0
41	101	67	20	0
41	117	67	150	0
41	153	67	45	0.027522935779816515
41	10	67	36	0
41	322	67	133	0.10497237569060773
41	70	67	8	0
41	7	67	8	0
41	2	67	22	0
41	251	67	4	0
41	266	67	16	0
41	19	67	35	0.275
11	4	11	13	0
11	77	11	150	0
11	223	11	2	0
11	13	11	57	0
11	341	11	4	0
11	241	11	2	0
11	101	11	20	0
11	117	11	150	0
11	153	11	45	0
11	10	11	36	0.14634146341463414
11	322	11	133	0
11	70	11	8	0
11	7	11	8	0
11	2	11	22	0
11	251	11	4	0
11	266	11	16	0
11	19	11	35	0
268	4	13	13	0
268	77	13	150	0
268	223	13	2	0
268	13	13	57	0
268	341	13	4	0
268	241	13	2	0
268	101	13	20	0
268	117	13	150	0
268	153	13	45	0
268	10	13	36	0
268	322	13	133	0
268	70	13	8	0
268	7	13	8	0
268	2	13	22	0
268	251	13	4	0
268	266	13	16	0
268	19	13	35	0
2	4	128	13	0
2	77	128	150	0.782051282051282
2	223	128	2	0
2	13	128	57	0
2	341	128	4	0
2	241	128	2	0
2	101	128	20	0
2	117	128	150	0
2	153	128	45	0
2	10	128	36	0
2	322	128	133	0
2	70	128	8	0
2	7	128	8	0
2	2	128	22	0
2	251	128	4	0
2	266	128	16	0
2	19	128	35	0
13	4	4	13	0
13	77	4	150	0
13	223	4	2	0
13	13	4	57	0
13	341	4	4	0
13	241	4	2	0.5
13	101	4	20	0
13	117	4	150	0
13	153	4	45	0
13	10	4	36	0
13	322	4	133	0
13	70	4	8	0
13	7	4	8	0
13	2	4	22	0
13	251	4	4	0
13	266	4	16	0
13	19	4	35	0
78	4	16	13	0
78	77	16	150	0
78	223	16	2	0
78	13	16	57	0
78	341	16	4	0
78	241	16	2	0
78	101	16	20	0.125
78	117	16	150	0
78	153	16	45	0
78	10	16	36	0
78	322	16	133	0.02054794520547945
78	70	16	8	0
78	7	16	8	0
78	2	16	22	0
78	251	16	4	0
78	266	16	16	0
78	19	16	35	0
9	4	158	13	0
9	77	158	150	0
9	223	158	2	0
9	13	158	57	0
9	341	158	4	0
9	241	158	2	0
9	101	158	20	0
9	117	158	150	0.9493670886075949
9	153	158	45	0.015
9	10	158	36	0
9	322	158	133	0
9	70	158	8	0
9	7	158	8	0
9	2	158	22	0
9	251	158	4	0
9	266	158	16	0.023529411764705882
9	19	158	35	0
7	4	36	13	0.020833333333333332
7	77	36	150	0
7	223	36	2	0
7	13	36	57	0.03333333333333333
7	341	36	4	0
7	241	36	2	0
7	101	36	20	0
7	117	36	150	0.010869565217391304
7	153	36	45	0.723404255319149
7	10	36	36	0
7	322	36	133	0.03048780487804878
7	70	36	8	0
7	7	36	8	0
7	2	36	22	0.017543859649122806
7	251	36	4	0
7	266	36	16	0
7	19	36	35	0
344	4	2	13	0
344	77	2	150	0.013333333333333334
344	223	2	2	0
344	13	2	57	0
344	341	2	4	0
344	241	2	2	0
344	101	2	20	0
344	117	2	150	0
344	153	2	45	0
344	10	2	36	0
344	322	2	133	0
344	70	2	8	0
344	7	2	8	0
344	2	2	22	0
344	251	2	4	0
344	266	2	16	0
344	19	2	35	0
5	4	5	13	0
5	77	5	150	0
5	223	5	2	0
5	13	5	57	0
5	341	5	4	0
5	241	5	2	0
5	101	5	20	0
5	117	5	150	0
5	153	5	45	0
5	10	5	36	0.1388888888888889
5	322	5	133	0
5	70	5	8	0
5	7	5	8	0
5	2	5	22	0
5	251	5	4	0
5	266	5	16	0
5	19	5	35	0
274	4	9	13	0
274	77	9	150	0.006329113924050633
274	223	9	2	0
274	13	9	57	0
274	341	9	4	0
274	241	9	2	0
274	101	9	20	0
274	117	9	150	0
274	153	9	45	0
274	10	9	36	0
274	322	9	133	0
274	70	9	8	0
274	7	9	8	0
274	2	9	22	0
274	251	9	4	0
274	266	9	16	0
274	19	9	35	0
45	4	38	13	0
45	77	38	150	0.062146892655367235
45	223	38	2	0
45	13	38	57	0.15853658536585366
45	341	38	4	0
45	241	38	2	0
45	101	38	20	0
45	117	38	150	0
45	153	38	45	0
45	10	38	36	0
45	322	38	133	0.0058823529411764705
45	70	38	8	0
45	7	38	8	0
45	2	38	22	0
45	251	38	4	0
45	266	38	16	0
45	19	38	35	0
40	4	63	13	0
40	77	63	150	0.28313253012048195
40	223	63	2	0
40	13	63	57	0.043478260869565216
40	341	63	4	0
40	241	63	2	0
40	101	63	20	0
40	117	63	150	0
40	153	63	45	0
40	10	63	36	0
40	322	63	133	0
40	70	63	8	0
40	7	63	8	0
40	2	63	22	0
40	251	63	4	0
40	266	63	16	0
40	19	63	35	0
6	4	1	13	0
6	77	1	150	0
6	223	1	2	0
6	13	1	57	0
6	341	1	4	0
6	241	1	2	0
6	101	1	20	0
6	117	1	150	0
6	153	1	45	0
6	10	1	36	0
6	322	1	133	0
6	70	1	8	0
6	7	1	8	0
6	2	1	22	0
6	251	1	4	0
6	266	1	16	0
6	19	1	35	0
8	4	100	13	0
8	77	100	150	0
8	223	100	2	0
8	13	100	57	0.00641025641025641
8	341	100	4	0
8	241	100	2	0
8	101	100	20	0
8	117	100	150	0
8	153	100	45	0.0661764705882353
8	10	100	36	0
8	322	100	133	0.5328947368421053
8	70	100	8	0
8	7	100	8	0
8	2	100	22	0
8	251	100	4	0
8	266	100	16	0
8	19	100	35	0.015037593984962405
64	4	6	13	0
64	77	6	150	0
64	223	6	2	0
64	13	6	57	0.06779661016949153
64	341	6	4	0
64	241	6	2	0
64	101	6	20	0
64	117	6	150	0
64	153	6	45	0
64	10	6	36	0
64	322	6	133	0
64	70	6	8	0
64	7	6	8	0.07692307692307693
64	2	6	22	0
64	251	6	4	0
64	266	6	16	0
64	19	6	35	0
75	4	17	13	0
75	77	17	150	0
75	223	17	2	0
75	13	17	57	0
75	341	17	4	0
75	241	17	2	0
75	101	17	20	0.027777777777777776
75	117	17	150	0
75	153	17	45	0
75	10	17	36	0.019230769230769232
75	322	17	133	0
75	70	17	8	0
75	7	17	8	0
75	2	17	22	0
75	251	17	4	0
75	266	17	16	0
75	19	17	35	0
34	4	18	13	0
34	77	18	150	0
34	223	18	2	0
34	13	18	57	0
34	341	18	4	0
34	241	18	2	0
34	101	18	20	0
34	117	18	150	0
34	153	18	45	0
34	10	18	36	0
34	322	18	133	0
34	70	18	8	0
34	7	18	8	0
34	2	18	22	0
34	251	18	4	0
34	266	18	16	0
34	19	18	35	0.019230769230769232
18	4	13	13	0
18	77	13	150	0
18	223	13	2	0
18	13	13	57	0
18	341	13	4	0
18	241	13	2	0
18	101	13	20	0
18	117	13	150	0
18	153	13	45	0
18	10	13	36	0.32432432432432434
18	322	13	133	0
18	70	13	8	0
18	7	13	8	0
18	2	13	22	0
18	251	13	4	0
18	266	13	16	0
18	19	13	35	0
32	4	2	13	0
32	77	2	150	0
32	223	2	2	0
32	13	2	57	0
32	341	2	4	0
32	241	2	2	0
32	101	2	20	0
32	117	2	150	0
32	153	2	45	0
32	10	2	36	0.05555555555555555
32	322	2	133	0
32	70	2	8	0
32	7	2	8	0
32	2	2	22	0
32	251	2	4	0
32	266	2	16	0
32	19	2	35	0
31	4	24	13	0
31	77	24	150	0.152317880794702
31	223	24	2	0
31	13	24	57	0
31	341	24	4	0
31	241	24	2	0
31	101	24	20	0
31	117	24	150	0
31	153	24	45	0
31	10	24	36	0
31	322	24	133	0
31	70	24	8	0
31	7	24	8	0
31	2	24	22	0
