ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
hsa05168	Herpes simplex virus 1 infection	63/327	204/2757	2.39863015545075e-14	5.70873976997279e-12	5.70873976997279e-12	ENSG00000083812/ENSG00000089335/ENSG00000111361/ENSG00000112081/ENSG00000115875/ENSG00000120784/ENSG00000122386/ENSG00000127666/ENSG00000130818/ENSG00000142065/ENSG00000146587/ENSG00000153896/ENSG00000157429/ENSG00000159882/ENSG00000162231/ENSG00000167232/ENSG00000167554/ENSG00000167637/ENSG00000171466/ENSG00000171469/ENSG00000171817/ENSG00000171827/ENSG00000172888/ENSG00000173039/ENSG00000177873/ENSG00000180257/ENSG00000180855/ENSG00000181007/ENSG00000183309/ENSG00000183647/ENSG00000185252/ENSG00000186017/ENSG00000188283/ENSG00000188785/ENSG00000196150/ENSG00000196214/ENSG00000196458/ENSG00000196693/ENSG00000196967/ENSG00000197050/ENSG00000197362/ENSG00000197372/ENSG00000197566/ENSG00000197782/ENSG00000197808/ENSG00000197841/ENSG00000198040/ENSG00000198182/ENSG00000204611/ENSG00000256294/ENSG00000256771/ENSG00000267680/ENSG00000275111/ENSG00000062370/ENSG00000081386/ENSG00000124193/ENSG00000100650/ENSG00000026103/ENSG00000143190/ENSG00000161298/ENSG00000083817/ENSG00000169951/ENSG00000168661	63	25
hsa00190	Oxidative phosphorylation	61/366	84/2757	5.16543553676881e-37	1.26036627097159e-34	1.13095851752412e-34	ENSG00000099795/ENSG00000110717/ENSG00000110955/ENSG00000112695/ENSG00000115286/ENSG00000116459/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000135390/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000143252/ENSG00000147123/ENSG00000152234/ENSG00000154518/ENSG00000154723/ENSG00000156467/ENSG00000158864/ENSG00000159199/ENSG00000164258/ENSG00000164405/ENSG00000165264/ENSG00000165629/ENSG00000166136/ENSG00000167283/ENSG00000167863/ENSG00000169020/ENSG00000169021/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000204370/ENSG00000213619/ENSG00000241468/ENSG00000241837/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000010256/ENSG00000006695/ENSG00000111775/ENSG00000099624/ENSG00000004779/ENSG00000125356/ENSG00000065518	61	60
hsa04714	Thermogenesis	71/366	131/2757	1.07434180015393e-30	1.31069699618779e-28	1.17612154964219e-28	ENSG00000074416/ENSG00000099795/ENSG00000110717/ENSG00000110955/ENSG00000112695/ENSG00000115286/ENSG00000116459/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000135390/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000143252/ENSG00000147123/ENSG00000152234/ENSG00000154518/ENSG00000154723/ENSG00000156467/ENSG00000157184/ENSG00000158864/ENSG00000159199/ENSG00000163626/ENSG00000164258/ENSG00000164398/ENSG00000164405/ENSG00000165264/ENSG00000165629/ENSG00000166136/ENSG00000167283/ENSG00000167863/ENSG00000169020/ENSG00000169021/ENSG00000169418/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000177666/ENSG00000178449/ENSG00000178537/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000204370/ENSG00000204673/ENSG00000213619/ENSG00000241468/ENSG00000241837/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000010256/ENSG00000006695/ENSG00000111775/ENSG00000099624/ENSG00000004779/ENSG00000125356/ENSG00000065518/ENSG00000106603	71	60
hsa05016	Huntington disease	69/366	144/2757	1.57264903668448e-25	1.27908788317005e-23	1.1477578934399e-23	ENSG00000079215/ENSG00000083290/ENSG00000099795/ENSG00000110717/ENSG00000110955/ENSG00000112695/ENSG00000115286/ENSG00000116459/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000132912/ENSG00000135390/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000141510/ENSG00000143252/ENSG00000147123/ENSG00000152234/ENSG00000154518/ENSG00000154723/ENSG00000156467/ENSG00000157954/ENSG00000158864/ENSG00000159199/ENSG00000164258/ENSG00000164405/ENSG00000165264/ENSG00000165629/ENSG00000165637/ENSG00000166136/ENSG00000167863/ENSG00000169021/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000177700/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000196961/ENSG00000204370/ENSG00000213619/ENSG00000241837/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000005075/ENSG00000010256/ENSG00000099817/ENSG00000111775/ENSG00000099624/ENSG00000004779/ENSG00000125356/ENSG00000065518/ENSG00000110046/ENSG00000122705	69	60
hsa05012	Parkinson disease	65/366	140/2757	4.65784067347149e-23	2.84128281081761e-21	2.54955489495282e-21	ENSG00000008018/ENSG00000099341/ENSG00000099795/ENSG00000110717/ENSG00000110955/ENSG00000112695/ENSG00000115286/ENSG00000116459/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000126267/ENSG00000126602/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000135390/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000141510/ENSG00000143252/ENSG00000147123/ENSG00000152234/ENSG00000154518/ENSG00000154723/ENSG00000156026/ENSG00000156467/ENSG00000158864/ENSG00000159199/ENSG00000164258/ENSG00000164405/ENSG00000165264/ENSG00000165629/ENSG00000165637/ENSG00000166136/ENSG00000167863/ENSG00000169021/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000204370/ENSG00000213619/ENSG00000241837/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000010256/ENSG00000111775/ENSG00000099624/ENSG00000004779/ENSG00000100348/ENSG00000125356/ENSG00000065518/ENSG00000064692	65	60
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	51/366	94/2757	4.72559393976838e-22	2.30608984260697e-20	2.06931271467752e-20	ENSG00000099795/ENSG00000105221/ENSG00000108788/ENSG00000110717/ENSG00000112695/ENSG00000115286/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000121879/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000143252/ENSG00000147123/ENSG00000156467/ENSG00000158864/ENSG00000164258/ENSG00000164405/ENSG00000165264/ENSG00000166136/ENSG00000169021/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000186951/ENSG00000189043/ENSG00000204370/ENSG00000213619/ENSG00000245848/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000010256/ENSG00000111775/ENSG00000004779/ENSG00000125356/ENSG00000065518	51	60
hsa01200	Carbon metabolism	39/366	66/2757	8.41258434559909e-19	3.42111763387696e-17	3.06985534014844e-17	ENSG00000062485/ENSG00000084754/ENSG00000091140/ENSG00000091483/ENSG00000100412/ENSG00000105220/ENSG00000105953/ENSG00000113790/ENSG00000114054/ENSG00000117118/ENSG00000119689/ENSG00000119711/ENSG00000122729/ENSG00000122971/ENSG00000127884/ENSG00000131069/ENSG00000131828/ENSG00000136143/ENSG00000138413/ENSG00000142657/ENSG00000143252/ENSG00000146085/ENSG00000146701/ENSG00000150768/ENSG00000160211/ENSG00000163541/ENSG00000163931/ENSG00000166123/ENSG00000168237/ENSG00000168291/ENSG00000172340/ENSG00000173599/ENSG00000175198/ENSG00000176974/ENSG00000177156/ENSG00000204370/ENSG00000073578/ENSG00000130313/ENSG00000140905	39	60
hsa00020	Citrate cycle (TCA cycle)	22/366	24/2757	6.21424379596396e-18	2.16610783745029e-16	1.94370332264737e-16	ENSG00000062485/ENSG00000091140/ENSG00000091483/ENSG00000100412/ENSG00000100889/ENSG00000105953/ENSG00000117118/ENSG00000119689/ENSG00000122729/ENSG00000131828/ENSG00000136143/ENSG00000138413/ENSG00000143252/ENSG00000146701/ENSG00000150768/ENSG00000163541/ENSG00000168291/ENSG00000172340/ENSG00000173599/ENSG00000204370/ENSG00000073578/ENSG00000131473	22	60
hsa05010	Alzheimer disease	65/366	171/2757	2.22030288145417e-17	6.77192378843522e-16	6.07661841240089e-16	ENSG00000083290/ENSG00000099795/ENSG00000105221/ENSG00000110717/ENSG00000110955/ENSG00000112695/ENSG00000115286/ENSG00000116459/ENSG00000117118/ENSG00000119013/ENSG00000119421/ENSG00000121879/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000131495/ENSG00000133318/ENSG00000135390/ENSG00000135940/ENSG00000136521/ENSG00000139180/ENSG00000140740/ENSG00000143252/ENSG00000147123/ENSG00000152234/ENSG00000154518/ENSG00000154723/ENSG00000156026/ENSG00000156467/ENSG00000157954/ENSG00000158864/ENSG00000159199/ENSG00000164258/ENSG00000164405/ENSG00000165264/ENSG00000165629/ENSG00000165637/ENSG00000166136/ENSG00000167863/ENSG00000169021/ENSG00000170906/ENSG00000173660/ENSG00000174886/ENSG00000176340/ENSG00000178741/ENSG00000179091/ENSG00000183648/ENSG00000184076/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000204370/ENSG00000213619/ENSG00000241837/ENSG00000023228/ENSG00000090266/ENSG00000073578/ENSG00000010256/ENSG00000111775/ENSG00000099624/ENSG00000004779/ENSG00000125356/ENSG00000065518/ENSG00000110046	65	60
hsa00280	Valine, leucine and isoleucine degradation	24/366	35/2757	4.68254389284384e-14	1.26948967761544e-12	1.13914518094914e-12	ENSG00000081760/ENSG00000083123/ENSG00000084754/ENSG00000091140/ENSG00000105552/ENSG00000111275/ENSG00000113790/ENSG00000114054/ENSG00000117054/ENSG00000117305/ENSG00000119711/ENSG00000122971/ENSG00000127884/ENSG00000137992/ENSG00000138029/ENSG00000138796/ENSG00000146085/ENSG00000167315/ENSG00000175198/ENSG00000183044/ENSG00000078070/ENSG00000083720/ENSG00000106049/ENSG00000143149	24	60
hsa00640	Propanoate metabolism	20/366	26/2757	1.94615580833483e-13	4.74862017233698e-12	4.26105692772257e-12	ENSG00000076555/ENSG00000083123/ENSG00000084754/ENSG00000091140/ENSG00000093144/ENSG00000103150/ENSG00000113790/ENSG00000114054/ENSG00000119711/ENSG00000122971/ENSG00000127884/ENSG00000131069/ENSG00000136143/ENSG00000137992/ENSG00000146085/ENSG00000163541/ENSG00000172340/ENSG00000175198/ENSG00000183044/ENSG00000278540	20	60
hsa04723	Retrograde endocannabinoid signaling	26/366	60/2757	6.45050669188121e-09	1.4308396661991e-07	1.2839286046998e-07	ENSG00000074416/ENSG00000099795/ENSG00000110717/ENSG00000115286/ENSG00000119013/ENSG00000119421/ENSG00000131495/ENSG00000136521/ENSG00000139180/ENSG00000147123/ENSG00000158864/ENSG00000164258/ENSG00000165264/ENSG00000166136/ENSG00000170906/ENSG00000174886/ENSG00000183648/ENSG00000184983/ENSG00000186010/ENSG00000189043/ENSG00000213619/ENSG00000023228/ENSG00000090266/ENSG00000004779/ENSG00000125356/ENSG00000065518	26	60
hsa01212	Fatty acid metabolism	17/366	30/2757	2.01617214976473e-08	4.09955003785495e-07	3.67862988729003e-07	ENSG00000084754/ENSG00000113790/ENSG00000116171/ENSG00000117054/ENSG00000122971/ENSG00000127884/ENSG00000138029/ENSG00000138796/ENSG00000157184/ENSG00000164398/ENSG00000167315/ENSG00000170522/ENSG00000206527/ENSG00000278540/ENSG00000012660/ENSG00000099797/ENSG00000072778	17	60
hsa00071	Fatty acid degradation	15/366	24/2757	2.25512664019229e-08	4.23269923236091e-07	3.79810802558701e-07	ENSG00000084754/ENSG00000105607/ENSG00000111275/ENSG00000113790/ENSG00000117054/ENSG00000122971/ENSG00000127884/ENSG00000138029/ENSG00000138796/ENSG00000157184/ENSG00000164398/ENSG00000167315/ENSG00000167969/ENSG00000143149/ENSG00000072778	15	60
hsa04260	Cardiac muscle contraction	18/366	34/2757	3.2129718763518e-08	5.59975098449885e-07	5.02479812241484e-07	ENSG00000112695/ENSG00000126267/ENSG00000127184/ENSG00000127540/ENSG00000131174/ENSG00000135940/ENSG00000140740/ENSG00000151062/ENSG00000156467/ENSG00000164405/ENSG00000169021/ENSG00000173660/ENSG00000176340/ENSG00000178741/ENSG00000179091/ENSG00000184076/ENSG00000010256/ENSG00000111775	18	60
hsa00620	Pyruvate metabolism	14/366	22/2757	4.89469177242513e-08	7.96203194981154e-07	7.14453255203107e-07	ENSG00000076555/ENSG00000091140/ENSG00000091483/ENSG00000100889/ENSG00000111275/ENSG00000131069/ENSG00000131828/ENSG00000146701/ENSG00000150768/ENSG00000168291/ENSG00000173599/ENSG00000278540/ENSG00000063854/ENSG00000143149	14	60
