comm1	comm2	terms1	terms2	jaccard
1	4	10	13	0.7692307692307693
1	77	10	150	0
1	223	10	2	0
1	13	10	57	0
1	341	10	4	0
1	241	10	2	0
1	101	10	20	0
1	117	10	150	0
1	153	10	45	0.018518518518518517
1	10	10	36	0
1	322	10	133	0
1	70	10	8	0
1	7	10	8	0
1	2	10	22	0
1	251	10	4	0
1	266	10	16	0
1	19	10	35	0
327	4	13	13	0
327	77	13	150	0
327	223	13	2	0
327	13	13	57	0
327	341	13	4	0
327	241	13	2	0
327	101	13	20	0
327	117	13	150	0
327	153	13	45	0.017543859649122806
327	10	13	36	0
327	322	13	133	0.08955223880597014
327	70	13	8	0
327	7	13	8	0
327	2	13	22	0
327	251	13	4	0
327	266	13	16	0
327	19	13	35	0
331	4	161	13	0
331	77	161	150	0.8294117647058824
331	223	161	2	0
331	13	161	57	0
331	341	161	4	0
331	241	161	2	0
331	101	161	20	0
331	117	161	150	0
331	153	161	45	0
331	10	161	36	0
331	322	161	133	0
331	70	161	8	0
331	7	161	8	0
331	2	161	22	0
331	251	161	4	0
331	266	161	16	0
331	19	161	35	0
343	4	4	13	0
343	77	4	150	0
343	223	4	2	0.5
343	13	4	57	0
343	341	4	4	0
343	241	4	2	0
343	101	4	20	0
343	117	4	150	0
343	153	4	45	0.020833333333333332
343	10	4	36	0
343	322	4	133	0.022388059701492536
343	70	4	8	0
343	7	4	8	0
343	2	4	22	0
343	251	4	4	0
343	266	4	16	0
343	19	4	35	0.08333333333333333
337	4	46	13	0
337	77	46	150	0
337	223	46	2	0
337	13	46	57	0.3037974683544304
337	341	46	4	0
337	241	46	2	0
337	101	46	20	0
337	117	46	150	0
337	153	46	45	0.03409090909090909
337	10	46	36	0
337	322	46	133	0
337	70	46	8	0
337	7	46	8	0
337	2	46	22	0
337	251	46	4	0
337	266	46	16	0
337	19	46	35	0
351	4	4	13	0
351	77	4	150	0
351	223	4	2	0
351	13	4	57	0
351	341	4	4	0
351	241	4	2	0
351	101	4	20	0
351	117	4	150	0
351	153	4	45	0
351	10	4	36	0
351	322	4	133	0
351	70	4	8	0
351	7	4	8	0
351	2	4	22	0
351	251	4	4	0
351	266	4	16	0
351	19	4	35	0
345	4	13	13	0
345	77	13	150	0
345	223	13	2	0
345	13	13	57	0
345	341	13	4	0
345	241	13	2	0.15384615384615385
345	101	13	20	0
345	117	13	150	0
345	153	13	45	0
345	10	13	36	0
345	322	13	133	0.006896551724137931
345	70	13	8	0
345	7	13	8	0
345	2	13	22	0
345	251	13	4	0
345	266	13	16	0
345	19	13	35	0
336	4	5	13	0
336	77	5	150	0
336	223	5	2	0
336	13	5	57	0
336	341	5	4	0
336	241	5	2	0
336	101	5	20	0.19047619047619047
336	117	5	150	0
336	153	5	45	0
336	10	5	36	0
336	322	5	133	0
336	70	5	8	0
336	7	5	8	0
336	2	5	22	0
336	251	5	4	0
336	266	5	16	0
336	19	5	35	0
332	4	149	13	0
332	77	149	150	0
332	223	149	2	0
332	13	149	57	0
332	341	149	4	0
332	241	149	2	0
332	101	149	20	0
332	117	149	150	0.9290322580645162
332	153	149	45	0.015706806282722512
332	10	149	36	0
332	322	149	133	0
332	70	149	8	0
332	7	149	8	0
332	2	149	22	0
332	251	149	4	0
332	266	149	16	0.024844720496894408
332	19	149	35	0
344	4	17	13	0
344	77	17	150	0
344	223	17	2	0
344	13	17	57	0
344	341	17	4	0
344	241	17	2	0
344	101	17	20	0.6818181818181818
344	117	17	150	0
344	153	17	45	0
344	10	17	36	0.4722222222222222
344	322	17	133	0
344	70	17	8	0
344	7	17	8	0
344	2	17	22	0
344	251	17	4	0
344	266	17	16	0
344	19	17	35	0
334	4	42	13	0.018518518518518517
334	77	42	150	0
334	223	42	2	0
334	13	42	57	0.03125
334	341	42	4	0
334	241	42	2	0
334	101	42	20	0
334	117	42	150	0.005235602094240838
334	153	42	45	0.6415094339622641
334	10	42	36	0
334	322	42	133	0.029411764705882353
334	70	42	8	0
334	7	42	8	0
334	2	42	22	0
334	251	42	4	0
334	266	42	16	0
334	19	42	35	0
335	4	15	13	0
335	77	15	150	0
335	223	15	2	0
335	13	15	57	0
335	341	15	4	0
335	241	15	2	0
335	101	15	20	0
335	117	15	150	0
335	153	15	45	0
335	10	15	36	0.4166666666666667
335	322	15	133	0
335	70	15	8	0
335	7	15	8	0
335	2	15	22	0
335	251	15	4	0
335	266	15	16	0
335	19	15	35	0
342	4	25	13	0
342	77	25	150	0.011560693641618497
342	223	25	2	0
342	13	25	57	0.18840579710144928
342	341	25	4	0
342	241	25	2	0
342	101	25	20	0
342	117	25	150	0
342	153	25	45	0
342	10	25	36	0
342	322	25	133	0.006369426751592357
342	70	25	8	0
342	7	25	8	0
342	2	25	22	0
342	251	25	4	0
342	266	25	16	0
342	19	25	35	0
15	4	8	13	0
15	77	8	150	0
15	223	8	2	0
15	13	8	57	0
15	341	8	4	0
15	241	8	2	0
15	101	8	20	0
15	117	8	150	0
15	153	8	45	0
15	10	8	36	0
15	322	8	133	0
15	70	8	8	0
15	7	8	8	1
15	2	8	22	0
15	251	8	4	0
15	266	8	16	0
15	19	8	35	0
339	4	8	13	0
339	77	8	150	0
339	223	8	2	0
339	13	8	57	0
339	341	8	4	0
339	241	8	2	0
339	101	8	20	0
339	117	8	150	0
339	153	8	45	0
339	10	8	36	0
339	322	8	133	0
339	70	8	8	1
339	7	8	8	0
339	2	8	22	0
339	251	8	4	0
339	266	8	16	0
339	19	8	35	0
32	4	22	13	0
32	77	22	150	0
32	223	22	2	0
32	13	22	57	0
32	341	22	4	0
32	241	22	2	0
32	101	22	20	0
32	117	22	150	0
32	153	22	45	0
32	10	22	36	0
32	322	22	133	0.013071895424836602
32	70	22	8	0
32	7	22	8	0
32	2	22	22	1
32	251	22	4	0
32	266	22	16	0
32	19	22	35	0.05555555555555555
