comm1	comm2	jaccard
1	4	0.2857142857142857
1	312	0
1	41	0
1	11	0
1	268	0
1	2	0
1	13	0
1	78	0
1	9	0
1	7	0
1	344	0
1	5	0
1	274	0
1	45	0
1	40	0
1	6	0
1	8	0
1	64	0
1	75	0
1	34	0
1	18	0
1	32	0
1	31	0
1	20	0
1	121	0
1	101	0
1	46	0
1	133	0
1	134	0
1	176	0
1	36	0
1	53	0
1	253	0
1	282	0
1	475	0
1	76	0
1	222	0
1	322	0
1	65	0
1	221	0
1	123	0
1	217	0
1	366	0
1	262	0
1	394	0
1	118	0
1	239	0
1	83	0
327	4	0
327	312	0
327	41	0
327	11	0
327	268	0
327	2	0
327	13	0
327	78	0
327	9	0
327	7	0
327	344	0
327	5	0
327	274	0
327	45	0
327	40	0
327	6	0
327	8	0.044444444444444446
327	64	0
327	75	0
327	34	0
327	18	0
327	32	0
327	31	0
327	20	0
327	121	0
327	101	0
327	46	0
327	133	0
327	134	0
327	176	0
327	36	0
327	53	0
327	253	0
327	282	0
327	475	0
327	76	0
327	222	0
327	322	0
327	65	0
327	221	0
327	123	0
327	217	0
327	366	0
327	262	0
327	394	0
327	118	0
327	239	0
327	83	0
331	4	0
331	312	0
331	41	0
331	11	0
331	268	0
331	2	0.45
331	13	0
331	78	0
331	9	0
331	7	0
331	344	0.027777777777777776
331	5	0
331	274	0.024390243902439025
331	45	0.02040816326530612
331	40	0.12244897959183673
331	6	0
331	8	0
331	64	0
331	75	0
331	34	0
331	18	0
331	32	0
331	31	0.09302325581395349
331	20	0
331	121	0
331	101	0
331	46	0
331	133	0
331	134	0
331	176	0
331	36	0
331	53	0
331	253	0
331	282	0
331	475	0
331	76	0
331	222	0
331	322	0
331	65	0
331	221	0
331	123	0
331	217	0
331	366	0
331	262	0
331	394	0
331	118	0
331	239	0
331	83	0
343	4	0
343	312	0
343	41	0.16666666666666666
343	11	0
343	268	0
343	2	0
343	13	0
343	78	0
343	9	0
343	7	0
343	344	0
343	5	0
343	274	0
343	45	0
343	40	0
343	6	0
343	8	0
343	64	0
343	75	0
343	34	0
343	18	0
343	32	0
343	31	0
343	20	0
343	121	0
343	101	0
343	46	0
343	133	0
343	134	0
343	176	0
343	36	0
343	53	0
343	253	0
343	282	0
343	475	0
343	76	0
343	222	0
343	322	0
343	65	0
343	221	0
343	123	0
343	217	0
343	366	0
343	262	0.14285714285714285
343	394	0
343	118	0
343	239	0
343	83	0.13333333333333333
337	4	0
337	312	0
337	41	0.045454545454545456
337	11	0
337	268	0
337	2	0
337	13	0
337	78	0
337	9	0
337	7	0.021739130434782608
337	344	0
337	5	0
337	274	0
337	45	0
337	40	0
337	6	0.03571428571428571
337	8	0.014285714285714285
337	64	0.06896551724137931
337	75	0
337	34	0.19444444444444445
337	18	0
337	32	0
337	31	0
337	20	0
337	121	0
337	101	0
337	46	0
337	133	0.03571428571428571
337	134	0
337	176	0
337	36	0.03125
337	53	0
337	253	0
337	282	0
337	475	0
337	76	0
337	222	0
337	322	0
337	65	0
337	221	0.06451612903225806
337	123	0
337	217	0
337	366	0
337	262	0
337	394	0
337	118	0
337	239	0
337	83	0
351	4	0
351	312	0
351	41	0
351	11	0
351	268	0
351	2	0
351	13	0
351	78	0
351	9	0
351	7	0
351	344	0
351	5	0
351	274	0
351	45	0
351	40	0
351	6	0
351	8	0
351	64	0
351	75	0
351	34	0
351	18	0
351	32	0
351	31	0
351	20	0
351	121	0
351	101	0
351	46	0
351	133	0
351	134	0
351	176	0
351	36	0
351	53	0
351	253	0
351	282	0
351	475	0
351	76	0
351	222	0
351	322	0
351	65	0
351	221	0
351	123	0
351	217	0
351	366	0
351	262	0
351	394	0
351	118	0
351	239	0
351	83	0
345	4	0
345	312	0
345	41	0
345	11	0
345	268	0
345	2	0
345	13	0.18181818181818182
345	78	0
