comm1	comm2	terms1	terms2	jaccard
11	32	6	3	0
11	9	6	43	0
11	174	6	38	0
11	155	6	6	0
11	10	6	15	0
11	144	6	9	0
11	95	6	3	0
11	149	6	1	0
11	120	6	7	0
11	175	6	8	0
11	173	6	6	0
11	97	6	30	0
11	86	6	13	0
11	69	6	12	0
11	147	6	23	0.03571428571428571
11	221	6	4	0
11	112	6	7	0
11	111	6	17	0
11	213	6	7	0
11	70	6	40	0
11	73	6	3	0
11	151	6	5	0
11	114	6	1	0
11	209	6	4	0
11	128	6	3	0
11	253	6	7	0
11	134	6	16	0
11	168	6	2	0
11	185	6	6	0
11	108	6	7	0
11	197	6	2	0
11	152	6	17	0
11	176	6	7	0
11	104	6	14	0
11	123	6	1	0
11	201	6	1	0
13	32	2	3	0
13	9	2	43	0
13	174	2	38	0
13	155	2	6	0
13	10	2	15	0
13	144	2	9	0
13	95	2	3	0
13	149	2	1	0
13	120	2	7	0
13	175	2	8	0
13	173	2	6	0
13	97	2	30	0
13	86	2	13	0
13	69	2	12	0
13	147	2	23	0
13	221	2	4	0
13	112	2	7	0
13	111	2	17	0
13	213	2	7	0
13	70	2	40	0
13	73	2	3	0
13	151	2	5	0
13	114	2	1	0
13	209	2	4	0
13	128	2	3	0
13	253	2	7	0
13	134	2	16	0
13	168	2	2	0
13	185	2	6	0
13	108	2	7	0
13	197	2	2	0
13	152	2	17	0
13	176	2	7	0
13	104	2	14	0
13	123	2	1	0
13	201	2	1	0
20	32	47	3	0
20	9	47	43	0.6363636363636364
20	174	47	38	0
20	155	47	6	0
20	10	47	15	0
20	144	47	9	0.05660377358490566
20	95	47	3	0
20	149	47	1	0
20	120	47	7	0
20	175	47	8	0
20	173	47	6	0
20	97	47	30	0
20	86	47	13	0
20	69	47	12	0
20	147	47	23	0
20	221	47	4	0
20	112	47	7	0
20	111	47	17	0
20	213	47	7	0
20	70	47	40	0
20	73	47	3	0
20	151	47	5	0
20	114	47	1	0
20	209	47	4	0
20	128	47	3	0
20	253	47	7	0
20	134	47	16	0
20	168	47	2	0
20	185	47	6	0
20	108	47	7	0
20	197	47	2	0
20	152	47	17	0.04918032786885246
20	176	47	7	0
20	104	47	14	0.016666666666666666
20	123	47	1	0
20	201	47	1	0
459	32	38	3	0
459	9	38	43	0
459	174	38	38	1
459	155	38	6	0
459	10	38	15	0
459	144	38	9	0
459	95	38	3	0
459	149	38	1	0
459	120	38	7	0
459	175	38	8	0
459	173	38	6	0.023255813953488372
459	97	38	30	0
459	86	38	13	0
459	69	38	12	0
459	147	38	23	0
459	221	38	4	0
459	112	38	7	0
459	111	38	17	0
459	213	38	7	0
459	70	38	40	0.012987012987012988
459	73	38	3	0
459	151	38	5	0
459	114	38	1	0
459	209	38	4	0
459	128	38	3	0
459	253	38	7	0
459	134	38	16	0
459	168	38	2	0
459	185	38	6	0
459	108	38	7	0
459	197	38	2	0
459	152	38	17	0
459	176	38	7	0
459	104	38	14	0
459	123	38	1	0
459	201	38	1	0
43	32	12	3	0
43	9	12	43	0
43	174	12	38	0
43	155	12	6	0
43	10	12	15	0.8
43	144	12	9	0
43	95	12	3	0
43	149	12	1	0
43	120	12	7	0
43	175	12	8	0
43	173	12	6	0
43	97	12	30	0
43	86	12	13	0
43	69	12	12	0
43	147	12	23	0
43	221	12	4	0
43	112	12	7	0
43	111	12	17	0
43	213	12	7	0
43	70	12	40	0.0196078431372549
43	73	12	3	0
43	151	12	5	0
43	114	12	1	0
43	209	12	4	0
43	128	12	3	0
43	253	12	7	0
43	134	12	16	0
43	168	12	2	0
43	185	12	6	0
43	108	12	7	0
43	197	12	2	0
43	152	12	17	0
43	176	12	7	0
43	104	12	14	0
43	123	12	1	0
43	201	12	1	0
230	32	1	3	0
230	9	1	43	0
230	174	1	38	0
230	155	1	6	0
230	10	1	15	0
230	144	1	9	0
230	95	1	3	0
230	149	1	1	1
230	120	1	7	0.14285714285714285
230	175	1	8	0
230	173	1	6	0
230	97	1	30	0
230	86	1	13	0.07692307692307693
230	69	1	12	0
230	147	1	23	0.043478260869565216
230	221	1	4	0
230	112	1	7	0
230	111	1	17	0
230	213	1	7	0
230	70	1	40	0
230	73	1	3	0
230	151	1	5	0
230	114	1	1	0
230	209	1	4	0
230	128	1	3	0
230	253	1	7	0
230	134	1	16	0
230	168	1	2	0
230	185	1	6	0
230	108	1	7	0
230	197	1	2	0
230	152	1	17	0
230	176	1	7	0
230	104	1	14	0.07142857142857142
230	123	1	1	0
230	201	1	1	0
32	32	4	3	0
32	9	4	43	0
32	174	4	38	0
32	155	4	6	0
32	10	4	15	0
32	144	4	9	0
32	95	4	3	0
32	149	4	1	0
32	120	4	7	0
32	175	4	8	0
32	173	4	6	0
32	97	4	30	0
32	86	4	13	0
32	69	4	12	0
32	147	4	23	0
32	221	4	4	0
32	112	4	7	0
32	111	4	17	0
32	213	4	7	0
32	70	4	40	0
32	73	4	3	0
32	151	4	5	0
32	114	4	1	0
32	209	4	4	0
32	128	4	3	0
32	253	4	7	0
32	134	4	16	0
32	168	4	2	0.2
32	185	4	6	0
32	108	4	7	0
32	197	4	2	0
32	152	4	17	0
32	176	4	7	0
32	104	4	14	0
32	123	4	1	0
32	201	4	1	0
38	32	21	3	0
38	9	21	43	0
38	174	21	38	0
38	155	21	6	0
38	10	21	15	0
38	144	21	9	0
38	95	21	3	0
38	149	21	1	0.047619047619047616
38	120	21	7	0.21739130434782608
38	175	21	8	0
38	173	21	6	0
38	97	21	30	0
38	86	21	13	0.4166666666666667
38	69	21	12	0
38	147	21	23	0.047619047619047616
38	221	21	4	0
38	112	21	7	0
38	111	21	17	0
38	213	21	7	0
38	70	21	40	0.05172413793103448
38	73	21	3	0
38	151	21	5	0
38	114	21	1	0
38	209	21	4	0
38	128	21	3	0
38	253	21	7	0
38	134	21	16	0.027777777777777776
38	168	21	2	0
38	185	21	6	0
38	108	21	7	0
38	197	21	2	0
38	152	21	17	0
38	176	21	7	0
38	104	21	14	0.20689655172413793
38	123	21	1	0
38	201	21	1	0
447	32	8	3	0
447	9	8	43	0
447	174	8	38	0
447	155	8	6	0
447	10	8	15	0
447	144	8	9	0
447	95	8	3	0
447	149	8	1	0
447	120	8	7	0
447	175	8	8	1
447	173	8	6	0
447	97	8	30	0
447	86	8	13	0
447	69	8	12	0
447	147	8	23	0
447	221	8	4	0
447	112	8	7	0
447	111	8	17	0
447	213	8	7	0
447	70	8	40	0.043478260869565216
447	73	8	3	0
447	151	8	5	0
447	114	8	1	0
447	209	8	4	0
447	128	8	3	0
447	253	8	7	0
447	134	8	16	0
447	168	8	2	0
447	185	8	6	0
447	108	8	7	0
447	197	8	2	0
447	152	8	17	0
447	176	8	7	0
447	104	8	14	0
447	123	8	1	0
447	201	8	1	0
632	32	6	3	0
632	9	6	43	0
632	174	6	38	0.023255813953488372
632	155	6	6	0
632	10	6	15	0
632	144	6	9	0
632	95	6	3	0
632	149	6	1	0
632	120	6	7	0
632	175	6	8	0
632	173	6	6	1
632	97	6	30	0
632	86	6	13	0
632	69	6	12	0
632	147	6	23	0
632	221	6	4	0
632	112	6	7	0
632	111	6	17	0
632	213	6	7	0
632	70	6	40	0
632	73	6	3	0
632	151	6	5	0.375
632	114	6	1	0
632	209	6	4	0
632	128	6	3	0
632	253	6	7	0
632	134	6	16	0
632	168	6	2	0
632	185	6	6	0
632	108	6	7	0
632	197	6	2	0.3333333333333333
632	152	6	17	0
632	176	6	7	0
632	104	6	14	0
632	123	6	1	0
632	201	6	1	0
39	32	29	3	0
39	9	29	43	0
39	174	29	38	0
39	155	29	6	0
39	10	29	15	0
39	144	29	9	0
39	95	29	3	0
39	149	29	1	0
39	120	29	7	0
39	175	29	8	0
39	173	29	6	0
39	97	29	30	0.5945945945945946
39	86	29	13	0
39	69	29	12	0
39	147	29	23	0
39	221	29	4	0
39	112	29	7	0
39	111	29	17	0
39	213	29	7	0
39	70	29	40	0.014705882352941176
39	73	29	3	0
39	151	29	5	0
39	114	29	1	0
39	209	29	4	0
39	128	29	3	0
39	253	29	7	0
39	134	29	16	0
39	168	29	2	0
39	185	29	6	0
39	108	29	7	0
39	197	29	2	0
39	152	29	17	0
39	176	29	7	0
39	104	29	14	0
39	123	29	1	0
39	201	29	1	0
391	32	22	3	0
391	9	22	43	0
391	174	22	38	0.01694915254237288
391	155	22	6	0
391	10	22	15	0
391	144	22	9	0
391	95	22	3	0
391	149	22	1	0
391	120	22	7	0
391	175	22	8	0
391	173	22	6	0
391	97	22	30	0
391	86	22	13	0
391	69	22	12	0.4782608695652174
391	147	22	23	0
391	221	22	4	0
391	112	22	7	0
391	111	22	17	0
391	213	22	7	0
391	70	22	40	0
391	73	22	3	0
391	151	22	5	0
391	114	22	1	0
391	209	22	4	0
391	128	22	3	0
391	253	22	7	0
391	134	22	16	0
391	168	22	2	0
391	185	22	6	0
391	108	22	7	0
391	197	22	2	0
391	152	22	17	0
391	176	22	7	0
391	104	22	14	0
391	123	22	1	0
391	201	22	1	0
277	32	23	3	0
277	9	23	43	0
277	174	23	38	0
277	155	23	6	0
277	10	23	15	0
277	144	23	9	0.03225806451612903
277	95	23	3	0
277	149	23	1	0.043478260869565216
277	120	23	7	0.07142857142857142
277	175	23	8	0
277	173	23	6	0
277	97	23	30	0
277	86	23	13	0.058823529411764705
277	69	23	12	0
277	147	23	23	1
277	221	23	4	0
277	112	23	7	0
277	111	23	17	0
277	213	23	7	0
277	70	23	40	0
277	73	23	3	0
277	151	23	5	0
277	114	23	1	0
277	209	23	4	0
277	128	23	3	0
277	253	23	7	0
277	134	23	16	0
277	168	23	2	0
277	185	23	6	0
277	108	23	7	0
277	197	23	2	0
277	152	23	17	0
277	176	23	7	0
277	104	23	14	0.05714285714285714
277	123	23	1	0
277	201	23	1	0
138	32	7	3	0
138	9	7	43	0
138	174	7	38	0
138	155	7	6	0
138	10	7	15	0
138	144	7	9	0
138	95	7	3	0
138	149	7	1	0
138	120	7	7	0
138	175	7	8	0
138	173	7	6	0
138	97	7	30	0
138	86	7	13	0
138	69	7	12	0
138	147	7	23	0
138	221	7	4	0
138	112	7	7	1
138	111	7	17	0
138	213	7	7	0
138	70	7	40	0
138	73	7	3	0.1111111111111111
138	151	7	5	0
138	114	7	1	0
138	209	7	4	0
138	128	7	3	0
138	253	7	7	0
138	134	7	16	0.045454545454545456
138	168	7	2	0
138	185	7	6	0
138	108	7	7	0
138	197	7	2	0
138	152	7	17	0
138	176	7	7	0
138	104	7	14	0
138	123	7	1	0.14285714285714285
138	201	7	1	0.14285714285714285
143	32	17	3	0
143	9	17	43	0
143	174	17	38	0
143	155	17	6	0
143	10	17	15	0
143	144	17	9	0
143	95	17	3	0
143	149	17	1	0
143	120	17	7	0
143	175	17	8	0
143	173	17	6	0
143	97	17	30	0
143	86	17	13	0
143	69	17	12	0
143	147	17	23	0
143	221	17	4	0
143	112	17	7	0
143	111	17	17	1
143	213	17	7	0
143	70	17	40	0
143	73	17	3	0
143	151	17	5	0
143	114	17	1	0
143	209	17	4	0
143	128	17	3	0
143	253	17	7	0
143	134	17	16	0
143	168	17	2	0
143	185	17	6	0
143	108	17	7	0
143	197	17	2	0
143	152	17	17	0
143	176	17	7	0
143	104	17	14	0
143	123	17	1	0
143	201	17	1	0
46	32	40	3	0
46	9	40	43	0
46	174	40	38	0.012987012987012988
46	155	40	6	0
46	10	40	15	0.018518518518518517
46	144	40	9	0
46	95	40	3	0
46	149	40	1	0
46	120	40	7	0
46	175	40	8	0.043478260869565216
46	173	40	6	0
46	97	40	30	0.014492753623188406
46	86	40	13	0
46	69	40	12	0
