comm1	comm2	terms1	terms2	jaccard
11	150	6	6	1
11	206	6	6	0
11	208	6	185	0
11	139	6	88	0
11	54	6	40	0
11	159	6	1	0
11	161	6	8	0
11	80	6	69	0
11	178	6	10	0
11	5	6	17	0
11	484	6	61	0
11	193	6	53	0
11	611	6	48	0.038461538461538464
11	76	6	9	0
11	232	6	31	0
11	129	6	96	0
11	231	6	15	0
11	233	6	15	0
11	344	6	3	0
11	412	6	4	0
11	381	6	23	0
11	91	6	5	0
11	65	6	12	0
11	95	6	8	0
11	539	6	51	0
11	87	6	16	0
11	572	6	46	0
11	620	6	2	0
11	122	6	2	0
13	150	6	6	0
13	206	6	6	1
13	208	6	185	0
13	139	6	88	0
13	54	6	40	0.022222222222222223
13	159	6	1	0
13	161	6	8	0
13	80	6	69	0
13	178	6	10	0
13	5	6	17	0
13	484	6	61	0
13	193	6	53	0
13	611	6	48	0
13	76	6	9	0
13	232	6	31	0
13	129	6	96	0
13	231	6	15	0
13	233	6	15	0
13	344	6	3	0
13	412	6	4	0.6666666666666666
13	381	6	23	0
13	91	6	5	0
13	65	6	12	0
13	95	6	8	0
13	539	6	51	0
13	87	6	16	0
13	572	6	46	0
13	620	6	2	0
13	122	6	2	0
20	150	183	6	0
20	206	183	6	0
20	208	183	185	0.978494623655914
20	139	183	88	0
20	54	183	40	0.00904977375565611
20	159	183	1	0
20	161	183	8	0
20	80	183	69	0
20	178	183	10	0
20	5	183	17	0
20	484	183	61	0
20	193	183	53	0
20	611	183	48	0.02666666666666667
20	76	183	9	0
20	232	183	31	0
20	129	183	96	0
20	231	183	15	0
20	233	183	15	0
20	344	183	3	0
20	412	183	4	0
20	381	183	23	0
20	91	183	5	0
20	65	183	12	0
20	95	183	8	0
20	539	183	51	0.0684931506849315
20	87	183	16	0
20	572	183	46	0.03153153153153153
20	620	183	2	0
20	122	183	2	0
459	150	88	6	0
459	206	88	6	0
459	208	88	185	0
459	139	88	88	1
459	54	88	40	0
459	159	88	1	0
459	161	88	8	0
459	80	88	69	0.03289473684210526
459	178	88	10	0
459	5	88	17	0.029411764705882353
459	484	88	61	0
459	193	88	53	0.044444444444444446
459	611	88	48	0
459	76	88	9	0
459	232	88	31	0
459	129	88	96	0.05142857142857143
459	231	88	15	0
459	233	88	15	0
459	344	88	3	0
459	412	88	4	0
459	381	88	23	0
459	91	88	5	0
459	65	88	12	0.041666666666666664
459	95	88	8	0
459	539	88	51	0.007246376811594203
459	87	88	16	0
459	572	88	46	0.03875968992248062
459	620	88	2	0
459	122	88	2	0
43	150	36	6	0
43	206	36	6	0.024390243902439025
43	208	36	185	0.0091324200913242
43	139	36	88	0
43	54	36	40	0.9
43	159	36	1	0
43	161	36	8	0
43	80	36	69	0
43	178	36	10	0
43	5	36	17	0
43	484	36	61	0
43	193	36	53	0
43	611	36	48	0
43	76	36	9	0
43	232	36	31	0
43	129	36	96	0.015384615384615385
43	231	36	15	0
43	233	36	15	0
43	344	36	3	0
43	412	36	4	0
43	381	36	23	0
43	91	36	5	0
43	65	36	12	0
43	95	36	8	0
43	539	36	51	0
43	87	36	16	0
43	572	36	46	0
43	620	36	2	0
43	122	36	2	0
230	150	1	6	0
230	206	1	6	0
230	208	1	185	0
230	139	1	88	0
230	54	1	40	0
230	159	1	1	1
230	161	1	8	0
230	80	1	69	0.014492753623188406
230	178	1	10	0
230	5	1	17	0
230	484	1	61	0
230	193	1	53	0
230	611	1	48	0.020833333333333332
230	76	1	9	0
230	232	1	31	0
230	129	1	96	0
230	231	1	15	0
230	233	1	15	0
230	344	1	3	0
230	412	1	4	0
230	381	1	23	0.043478260869565216
230	91	1	5	0
230	65	1	12	0
230	95	1	8	0
230	539	1	51	0
230	87	1	16	0
230	572	1	46	0.021739130434782608
230	620	1	2	0
230	122	1	2	0
32	150	8	6	0
32	206	8	6	0
32	208	8	185	0
32	139	8	88	0
32	54	8	40	0
32	159	8	1	0
32	161	8	8	1
32	80	8	69	0
32	178	8	10	0
32	5	8	17	0
32	484	8	61	0
32	193	8	53	0
32	611	8	48	0
32	76	8	9	0
32	232	8	31	0
32	129	8	96	0
32	231	8	15	0
32	233	8	15	0
32	344	8	3	0
32	412	8	4	0
32	381	8	23	0
32	91	8	5	0.08333333333333333
32	65	8	12	0
32	95	8	8	0
32	539	8	51	0
32	87	8	16	0
32	572	8	46	0
32	620	8	2	0
32	122	8	2	0
38	150	69	6	0
38	206	69	6	0
38	208	69	185	0
38	139	69	88	0.03289473684210526
38	54	69	40	0
38	159	69	1	0.014492753623188406
38	161	69	8	0
38	80	69	69	1
38	178	69	10	0
38	5	69	17	0
38	484	69	61	0
38	193	69	53	0
38	611	69	48	0.09345794392523364
38	76	69	9	0
38	232	69	31	0
38	129	69	96	0.03773584905660377
38	231	69	15	0
38	233	69	15	0
38	344	69	3	0
38	412	69	4	0
38	381	69	23	0.045454545454545456
38	91	69	5	0
38	65	69	12	0
38	95	69	8	0
38	539	69	51	0
38	87	69	16	0
38	572	69	46	0.41975308641975306
38	620	69	2	0
38	122	69	2	0
447	150	10	6	0
447	206	10	6	0
447	208	10	185	0
447	139	10	88	0
447	54	10	40	0
447	159	10	1	0
447	161	10	8	0
447	80	10	69	0
447	178	10	10	1
447	5	10	17	0
447	484	10	61	0
447	193	10	53	0
447	611	10	48	0
447	76	10	9	0
447	232	10	31	0
447	129	10	96	0.019230769230769232
447	231	10	15	0
447	233	10	15	0
447	344	10	3	0
447	412	10	4	0
447	381	10	23	0
447	91	10	5	0
447	65	10	12	0
447	95	10	8	0
447	539	10	51	0
447	87	10	16	0
447	572	10	46	0
447	620	10	2	0
447	122	10	2	0
632	150	17	6	0
632	206	17	6	0
632	208	17	185	0
632	139	17	88	0.029411764705882353
632	54	17	40	0
632	159	17	1	0
632	161	17	8	0
632	80	17	69	0
632	178	17	10	0
632	5	17	17	1
632	484	17	61	0.02631578947368421
632	193	17	53	0
632	611	17	48	0
632	76	17	9	0
632	232	17	31	0
632	129	17	96	0.02727272727272727
632	231	17	15	0
632	233	17	15	0.45454545454545453
632	344	17	3	0
632	412	17	4	0
632	381	17	23	0
632	91	17	5	0
632	65	17	12	0
632	95	17	8	0.47058823529411764
632	539	17	51	0.030303030303030304
632	87	17	16	0
632	572	17	46	0
632	620	17	2	0
632	122	17	2	0
39	150	61	6	0
39	206	61	6	0
39	208	61	185	0
39	139	61	88	0
39	54	61	40	0
39	159	61	1	0
39	161	61	8	0
39	80	61	69	0
39	178	61	10	0
39	5	61	17	0.02631578947368421
39	484	61	61	1
39	193	61	53	0
39	611	61	48	0
39	76	61	9	0
39	232	61	31	0
39	129	61	96	0.00641025641025641
39	231	61	15	0
39	233	61	15	0.02702702702702703
39	344	61	3	0
39	412	61	4	0
39	381	61	23	0
39	91	61	5	0.03125
39	65	61	12	0
39	95	61	8	0.029850746268656716
39	539	61	51	0.009009009009009009
39	87	61	16	0.013157894736842105
39	572	61	46	0
39	620	61	2	0
39	122	61	2	0
391	150	53	6	0
391	206	53	6	0
391	208	53	185	0
391	139	53	88	0.044444444444444446
391	54	53	40	0
391	159	53	1	0
391	161	53	8	0
391	80	53	69	0
391	178	53	10	0
391	5	53	17	0
391	484	53	61	0
391	193	53	53	1
391	611	53	48	0
391	76	53	9	0
391	232	53	31	0
391	129	53	96	0.04195804195804196
391	231	53	15	0
391	233	53	15	0
391	344	53	3	0
391	412	53	4	0
391	381	53	23	0
391	91	53	5	0
391	65	53	12	0
391	95	53	8	0
391	539	53	51	0
391	87	53	16	0
391	572	53	46	0.03125
391	620	53	2	0
391	122	53	2	0
277	150	48	6	0.038461538461538464
277	206	48	6	0
277	208	48	185	0.02643171806167401
277	139	48	88	0
277	54	48	40	0
277	159	48	1	0.020833333333333332
277	161	48	8	0
277	80	48	69	0.09345794392523364
277	178	48	10	0
277	5	48	17	0
277	484	48	61	0
277	193	48	53	0
277	611	48	48	1
277	76	48	9	0
277	232	48	31	0
277	129	48	96	0
277	231	48	15	0
277	233	48	15	0
277	344	48	3	0
277	412	48	4	0
277	381	48	23	0.028985507246376812
277	91	48	5	0
277	65	48	12	0
277	95	48	8	0
277	539	48	51	0
277	87	48	16	0
277	572	48	46	0.14634146341463414
277	620	48	2	0
277	122	48	2	0
138	150	9	6	0
138	206	9	6	0
138	208	9	185	0
138	139	9	88	0
138	54	9	40	0
138	159	9	1	0
138	161	9	8	0
138	80	9	69	0
138	178	9	10	0
138	5	9	17	0
138	484	9	61	0
138	193	9	53	0
138	611	9	48	0
138	76	9	9	1
138	232	9	31	0
138	129	9	96	0
138	231	9	15	0.09090909090909091
138	233	9	15	0
138	344	9	3	0
138	412	9	4	0
138	381	9	23	0.03225806451612903
138	91	9	5	0
138	65	9	12	0
138	95	9	8	0
138	539	9	51	0
138	87	9	16	0
138	572	9	46	0
138	620	9	2	0.2222222222222222
138	122	9	2	0.2222222222222222
143	150	31	6	0
143	206	31	6	0
143	208	31	185	0
143	139	31	88	0
143	54	31	40	0
143	159	31	1	0
143	161	31	8	0
143	80	31	69	0
143	178	31	10	0
143	5	31	17	0
143	484	31	61	0
143	193	31	53	0
143	611	31	48	0
143	76	31	9	0
143	232	31	31	1
143	129	31	96	0
143	231	31	15	0
143	233	31	15	0
143	344	31	3	0
143	412	31	4	0
143	381	31	23	0
143	91	31	5	0
143	65	31	12	0
143	95	31	8	0
143	539	31	51	0
143	87	31	16	0
143	572	31	46	0
143	620	31	2	0
143	122	31	2	0
46	150	96	6	0
46	206	96	6	0
46	208	96	185	0
46	139	96	88	0.05142857142857143
46	54	96	40	0.014925373134328358
46	159	96	1	0
46	161	96	8	0
46	80	96	69	0.03773584905660377
46	178	96	10	0.019230769230769232
46	5	96	17	0.02727272727272727
46	484	96	61	0.00641025641025641
46	193	96	53	0.04195804195804196
46	611	96	48	0
46	76	96	9	0
46	232	96	31	0
46	129	96	96	1
46	231	96	15	0.01834862385321101
46	233	96	15	0
46	344	96	3	0
46	412	96	4	0
46	381	96	23	0
46	91	96	5	0
46	65	96	12	0
46	95	96	8	0
