comm1	comm2	terms1	terms2	jaccard
2	11	59	6	0
2	13	59	6	0
2	20	59	183	0
2	459	59	88	0
2	43	59	36	0
2	230	59	1	0
2	32	59	8	0
2	38	59	69	0.007874015748031496
2	447	59	10	0
2	632	59	17	0.08571428571428572
2	39	59	61	0.08108108108108109
2	391	59	53	0
2	277	59	48	0
2	138	59	9	0
2	143	59	31	0
2	46	59	96	0.05442176870748299
2	65	59	15	0.08823529411764706
2	633	59	15	0.08823529411764706
2	124	59	3	0
2	94	59	4	0
2	142	59	23	0
2	174	59	5	0.04918032786885246
2	88	59	12	0
2	531	59	8	0.06349206349206349
2	692	59	51	0
2	52	59	16	0
2	539	59	46	0
2	243	59	2	0
2	434	59	2	0
5	11	14	6	0
5	13	14	6	0
5	20	14	183	0
5	459	14	88	0
5	43	14	36	0
5	230	14	1	0
5	32	14	8	0
5	38	14	69	0
5	447	14	10	0
5	632	14	17	0
5	39	14	61	0
5	391	14	53	0
5	277	14	48	0
5	138	14	9	0
5	143	14	31	0
5	46	14	96	0
5	65	14	15	0
5	633	14	15	0
5	124	14	3	0
5	94	14	4	0
5	142	14	23	0
5	174	14	5	0
5	88	14	12	0
5	531	14	8	0
5	692	14	51	0
5	52	14	16	0
5	539	14	46	0
5	243	14	2	0
5	434	14	2	0
1	11	108	6	0
1	13	108	6	0
1	20	108	183	0
1	459	108	88	0
1	43	108	36	0
1	230	108	1	0
1	32	108	8	0
1	38	108	69	0
1	447	108	10	0
1	632	108	17	0
1	39	108	61	0.005952380952380952
1	391	108	53	0
1	277	108	48	0
1	138	108	9	0
1	143	108	31	0
1	46	108	96	0
1	65	108	15	0
1	633	108	15	0
1	124	108	3	0
1	94	108	4	0
1	142	108	23	0
1	174	108	5	0
1	88	108	12	0
1	531	108	8	0
1	692	108	51	0
1	52	108	16	0.008130081300813009
1	539	108	46	0
1	243	108	2	0
1	434	108	2	0
18	11	3	6	0
18	13	3	6	0
18	20	3	183	0
18	459	3	88	0
18	43	3	36	0
18	230	3	1	0
18	32	3	8	0
18	38	3	69	0
18	447	3	10	0
18	632	3	17	0
18	39	3	61	0
18	391	3	53	0
18	277	3	48	0
18	138	3	9	0
18	143	3	31	0
18	46	3	96	0
18	65	3	15	0
18	633	3	15	0
18	124	3	3	0
18	94	3	4	0
18	142	3	23	0
18	174	3	5	0
18	88	3	12	0
18	531	3	8	0
18	692	3	51	0
18	52	3	16	0
18	539	3	46	0
18	243	3	2	0
18	434	3	2	0
15	11	10	6	0
15	13	10	6	0
15	20	10	183	0
15	459	10	88	0
15	43	10	36	0
15	230	10	1	0
15	32	10	8	0
15	38	10	69	0
15	447	10	10	0
15	632	10	17	0
15	39	10	61	0
15	391	10	53	0
15	277	10	48	0
15	138	10	9	0
15	143	10	31	0
15	46	10	96	0
15	65	10	15	0
15	633	10	15	0
15	124	10	3	0.18181818181818182
15	94	10	4	0
15	142	10	23	0
15	174	10	5	0
15	88	10	12	0
15	531	10	8	0
15	692	10	51	0
15	52	10	16	0
15	539	10	46	0
15	243	10	2	0
15	434	10	2	0
12	11	150	6	0
12	13	150	6	0
12	20	150	183	0.7253886010362695
12	459	150	88	0
12	43	150	36	0.005405405405405406
12	230	150	1	0
12	32	150	8	0
12	38	150	69	0
12	447	150	10	0
12	632	150	17	0
12	39	150	61	0
12	391	150	53	0
12	277	150	48	0.01020408163265306
12	138	150	9	0
12	143	150	31	0
12	46	150	96	0
12	65	150	15	0
12	633	150	15	0
12	124	150	3	0
12	94	150	4	0
12	142	150	23	0
12	174	150	5	0
12	88	150	12	0
12	531	150	8	0
12	692	150	51	0.03608247422680412
12	52	150	16	0
12	539	150	46	0
12	243	150	2	0
12	434	150	2	0
8	11	31	6	0
8	13	31	6	0.1935483870967742
8	20	31	183	0
8	459	31	88	0
8	43	31	36	0.425531914893617
8	230	31	1	0
8	32	31	8	0
8	38	31	69	0
8	447	31	10	0
8	632	31	17	0
8	39	31	61	0
8	391	31	53	0
8	277	31	48	0
8	138	31	9	0
8	143	31	31	0
8	46	31	96	0.016
8	65	31	15	0
8	633	31	15	0
8	124	31	3	0
8	94	31	4	0.12903225806451613
8	142	31	23	0
8	174	31	5	0
8	88	31	12	0
8	531	31	8	0
8	692	31	51	0
8	52	31	16	0
8	539	31	46	0
8	243	31	2	0
8	434	31	2	0
6	11	9	6	0
6	13	9	6	0
6	20	9	183	0
6	459	9	88	0
6	43	9	36	0.25
6	230	9	1	0
6	32	9	8	0
6	38	9	69	0
6	447	9	10	0
6	632	9	17	0
6	39	9	61	0
6	391	9	53	0
6	277	9	48	0
6	138	9	9	0
6	143	9	31	0
6	46	9	96	0
6	65	9	15	0
6	633	9	15	0
6	124	9	3	0
6	94	9	4	0
6	142	9	23	0
6	174	9	5	0
6	88	9	12	0
6	531	9	8	0
6	692	9	51	0
6	52	9	16	0
6	539	9	46	0
6	243	9	2	0
6	434	9	2	0
266	11	8	6	0
266	13	8	6	0
266	20	8	183	0
266	459	8	88	0
266	43	8	36	0
266	230	8	1	0
266	32	8	8	1
266	38	8	69	0
266	447	8	10	0
266	632	8	17	0
266	39	8	61	0
266	391	8	53	0
266	277	8	48	0
266	138	8	9	0
266	143	8	31	0
266	46	8	96	0
266	65	8	15	0
266	633	8	15	0
266	124	8	3	0
266	94	8	4	0
266	142	8	23	0
266	174	8	5	0.08333333333333333
266	88	8	12	0
266	531	8	8	0
266	692	8	51	0
266	52	8	16	0
266	539	8	46	0
266	243	8	2	0
266	434	8	2	0
13	11	48	6	0
13	13	48	6	0
13	20	48	183	0.008733624454148471
13	459	48	88	0
13	43	48	36	0
13	230	48	1	0
13	32	48	8	0
13	38	48	69	0.017391304347826087
13	447	48	10	0
13	632	48	17	0.031746031746031744
13	39	48	61	0
13	391	48	53	0
13	277	48	48	0
13	138	48	9	0
13	143	48	31	0
13	46	48	96	0.07462686567164178
13	65	48	15	0.03278688524590164
13	633	48	15	0.03278688524590164
13	124	48	3	0
13	94	48	4	0
13	142	48	23	0
13	174	48	5	0
13	88	48	12	0
13	531	48	8	0.037037037037037035
13	692	48	51	0
13	52	48	16	0.015873015873015872
13	539	48	46	0
13	243	48	2	0
13	434	48	2	0
397	11	22	6	0
397	13	22	6	0
397	20	22	183	0
397	459	22	88	0.018518518518518517
397	43	22	36	0
397	230	22	1	0
397	32	22	8	0
397	38	22	69	0
397	447	22	10	0
397	632	22	17	0
397	39	22	61	0
397	391	22	53	0.41509433962264153
397	277	22	48	0
397	138	22	9	0
397	143	22	31	0
397	46	22	96	0.05357142857142857
397	65	22	15	0
397	633	22	15	0
397	124	22	3	0
397	94	22	4	0
397	142	22	23	0
397	174	22	5	0
397	88	22	12	0
397	531	22	8	0
397	692	22	51	0
397	52	22	16	0
397	539	22	46	0.046153846153846156
397	243	22	2	0
397	434	22	2	0
65	11	4	6	0
65	13	4	6	0
65	20	4	183	0
65	459	4	88	0
65	43	4	36	0
65	230	4	1	0
65	32	4	8	0
65	38	4	69	0.013888888888888888
65	447	4	10	0
65	632	4	17	0
65	39	4	61	0
65	391	4	53	0
65	277	4	48	0
65	138	4	9	0
65	143	4	31	0
65	46	4	96	0
65	65	4	15	0
65	633	4	15	0
65	124	4	3	0
65	94	4	4	0
65	142	4	23	0.038461538461538464
65	174	4	5	0
