comm1	comm2	terms1	terms2	jaccard
32	32	5	5	1
32	9	5	148	0
32	174	5	88	0
32	155	5	6	0
32	10	5	46	0
32	144	5	15	0
32	95	5	4	0
32	149	5	1	0
32	120	5	8	0
32	175	5	10	0
32	173	5	17	0
32	97	5	64	0
32	86	5	55	0
32	69	5	28	0
32	147	5	48	0
32	221	5	4	0
32	112	5	9	0
32	111	5	31	0
32	213	5	14	0
32	70	5	96	0
32	73	5	10	0
32	151	5	15	0
32	114	5	3	0
32	209	5	8	0
32	128	5	5	0
32	253	5	9	0
32	134	5	23	0
32	168	5	5	0
32	185	5	8	0
32	108	5	8	0
32	197	5	8	0
32	152	5	51	0
32	176	5	16	0
32	104	5	46	0
32	123	5	2	0
32	201	5	2	0
9	32	148	5	0
9	9	148	148	1
9	174	148	88	0
9	155	148	6	0
9	10	148	46	0.0051813471502590676
9	144	148	15	0.04487179487179487
9	95	148	4	0
9	149	148	1	0
9	120	148	8	0
9	175	148	10	0
9	173	148	17	0
9	97	148	64	0
9	86	148	55	0
9	69	148	28	0
9	147	148	48	0.02617801047120419
9	221	148	4	0
9	112	148	9	0
9	111	148	31	0
9	213	148	14	0
9	70	148	96	0
9	73	148	10	0
9	151	148	15	0
9	114	148	3	0
9	209	148	8	0
9	128	148	5	0
9	253	148	9	0
9	134	148	23	0
9	168	148	5	0
9	185	148	8	0
9	108	148	8	0
9	197	148	8	0
9	152	148	51	0.08743169398907104
9	176	148	16	0
9	104	148	46	0.0374331550802139
9	123	148	2	0
9	201	148	2	0
174	32	88	5	0
174	9	88	148	0
174	174	88	88	1
174	155	88	6	0
174	10	88	46	0
174	144	88	15	0
174	95	88	4	0
174	149	88	1	0
174	120	88	8	0
174	175	88	10	0
174	173	88	17	0.029411764705882353
174	97	88	64	0
174	86	88	55	0.043795620437956206
174	69	88	28	0.017543859649122806
174	147	88	48	0
174	221	88	4	0
174	112	88	9	0
174	111	88	31	0
174	213	88	14	0
174	70	88	96	0.05142857142857143
174	73	88	10	0
174	151	88	15	0
174	114	88	3	0
174	209	88	8	0
174	128	88	5	0
174	253	88	9	0
174	134	88	23	0
174	168	88	5	0
174	185	88	8	0
174	108	88	8	0.043478260869565216
174	197	88	8	0
174	152	88	51	0.007246376811594203
