comm1	comm2	terms1	terms2	jaccard
32	671	3	41	0.023255813953488372
32	672	3	10	0
32	673	3	12	0
32	665	3	42	0
32	19	3	38	0
32	47	3	1	0
32	50	3	4	0
32	71	3	21	0
32	72	3	8	0
32	77	3	6	0
32	87	3	29	0
32	678	3	22	0
32	95	3	23	0
32	107	3	7	0
32	111	3	17	0
32	136	3	40	0
32	138	3	4	0
32	142	3	5	0
32	184	3	1	0
32	203	3	1	0
32	222	3	16	0
32	255	3	2	0
32	356	3	6	0
32	413	3	2	0
32	482	3	17	0
32	490	3	7	0
32	519	3	14	0
32	573	3	1	0
32	628	3	1	0
9	671	43	41	0.012048192771084338
9	672	43	10	0
9	673	43	12	0
9	665	43	42	0.6346153846153846
9	19	43	38	0
9	47	43	1	0
9	50	43	4	0
9	71	43	21	0
9	72	43	8	0
9	77	43	6	0
9	87	43	29	0
9	678	43	22	0
9	95	43	23	0
9	107	43	7	0
9	111	43	17	0
9	136	43	40	0
9	138	43	4	0
9	142	43	5	0
9	184	43	1	0
9	203	43	1	0
9	222	43	16	0
9	255	43	2	0
9	356	43	6	0
9	413	43	2	0
9	482	43	17	0.05263157894736842
9	490	43	7	0
9	519	43	14	0.017857142857142856
9	573	43	1	0
9	628	43	1	0
174	671	38	41	0
174	672	38	10	0
174	673	38	12	0
174	665	38	42	0
174	19	38	38	1
174	47	38	1	0
174	50	38	4	0
174	71	38	21	0
174	72	38	8	0
174	77	38	6	0.023255813953488372
174	87	38	29	0
174	678	38	22	0.01694915254237288
174	95	38	23	0
174	107	38	7	0
174	111	38	17	0
174	136	38	40	0.012987012987012988
174	138	38	4	0
174	142	38	5	0
174	184	38	1	0
174	203	38	1	0
174	222	38	16	0
174	255	38	2	0
174	356	38	6	0
174	413	38	2	0
174	482	38	17	0
174	490	38	7	0
174	519	38	14	0
174	573	38	1	0
174	628	38	1	0
155	671	6	41	0
155	672	6	10	0
155	673	6	12	0
155	665	6	42	0
155	19	6	38	0
155	47	6	1	0
155	50	6	4	0
155	71	6	21	0
155	72	6	8	0
155	77	6	6	0
155	87	6	29	0
155	678	6	22	0
155	95	6	23	0
155	107	6	7	0
155	111	6	17	0
155	136	6	40	0
155	138	6	4	0
155	142	6	5	0
155	184	6	1	0
155	203	6	1	0
155	222	6	16	0
155	255	6	2	0
155	356	6	6	0
155	413	6	2	0
155	482	6	17	0
155	490	6	7	0
155	519	6	14	0
155	573	6	1	0
155	628	6	1	0
10	671	15	41	0.01818181818181818
10	672	15	10	0.47058823529411764
10	673	15	12	0.6875
10	665	15	42	0
10	19	15	38	0
10	47	15	1	0
10	50	15	4	0
10	71	15	21	0
10	72	15	8	0
10	77	15	6	0
10	87	15	29	0
10	678	15	22	0
10	95	15	23	0
10	107	15	7	0
10	111	15	17	0
10	136	15	40	0.018518518518518517
10	138	15	4	0
10	142	15	5	0
10	184	15	1	0
10	203	15	1	0
10	222	15	16	0
10	255	15	2	0
10	356	15	6	0
10	413	15	2	0
10	482	15	17	0
10	490	15	7	0
10	519	15	14	0
10	573	15	1	0
10	628	15	1	0
144	671	9	41	0.041666666666666664
144	672	9	10	0
144	673	9	12	0
144	665	9	42	0.0625
144	19	9	38	0
144	47	9	1	0
144	50	9	4	0
144	71	9	21	0
144	72	9	8	0
144	77	9	6	0
144	87	9	29	0
144	678	9	22	0
144	95	9	23	0.03225806451612903
144	107	9	7	0
144	111	9	17	0
144	136	9	40	0
144	138	9	4	0
144	142	9	5	0
144	184	9	1	0
144	203	9	1	0
144	222	9	16	0
144	255	9	2	0
144	356	9	6	0
144	413	9	2	0
144	482	9	17	0
144	490	9	7	0
144	519	9	14	0
144	573	9	1	0
144	628	9	1	0
95	671	3	41	0
95	672	3	10	0
95	673	3	12	0
95	665	3	42	0
95	19	3	38	0
95	47	3	1	0
95	50	3	4	0
95	71	3	21	0
95	72	3	8	0
95	77	3	6	0
95	87	3	29	0
95	678	3	22	0
95	95	3	23	0
95	107	3	7	0
95	111	3	17	0
95	136	3	40	0
95	138	3	4	0
95	142	3	5	0
95	184	3	1	0
95	203	3	1	0
95	222	3	16	0
95	255	3	2	0
95	356	3	6	0
95	413	3	2	0
95	482	3	17	0
95	490	3	7	0
95	519	3	14	0
95	573	3	1	0
95	628	3	1	0
149	671	1	41	0
149	672	1	10	0
149	673	1	12	0
149	665	1	42	0
149	19	1	38	0
149	47	1	1	1
149	50	1	4	0
149	71	1	21	0.047619047619047616
149	72	1	8	0
149	77	1	6	0
149	87	1	29	0
149	678	1	22	0
149	95	1	23	0.043478260869565216
149	107	1	7	0
149	111	1	17	0
149	136	1	40	0
149	138	1	4	0
149	142	1	5	0
149	184	1	1	0
149	203	1	1	0
149	222	1	16	0
149	255	1	2	0
149	356	1	6	0
149	413	1	2	0
149	482	1	17	0
149	490	1	7	0
149	519	1	14	0.07142857142857142
149	573	1	1	0
149	628	1	1	0
120	671	7	41	0
120	672	7	10	0
120	673	7	12	0
120	665	7	42	0
120	19	7	38	0
120	47	7	1	0.14285714285714285
120	50	7	4	0
120	71	7	21	0.21739130434782608
120	72	7	8	0
120	77	7	6	0
120	87	7	29	0
120	678	7	22	0
120	95	7	23	0.07142857142857142
120	107	7	7	0
120	111	7	17	0
120	136	7	40	0
120	138	7	4	0
120	142	7	5	0
120	184	7	1	0
120	203	7	1	0
120	222	7	16	0
120	255	7	2	0
120	356	7	6	0
120	413	7	2	0
120	482	7	17	0
120	490	7	7	0
120	519	7	14	0.10526315789473684
120	573	7	1	0
120	628	7	1	0
175	671	8	41	0
175	672	8	10	0
175	673	8	12	0
175	665	8	42	0
175	19	8	38	0
175	47	8	1	0
175	50	8	4	0
175	71	8	21	0
175	72	8	8	1
175	77	8	6	0
175	87	8	29	0
175	678	8	22	0
175	95	8	23	0
175	107	8	7	0
175	111	8	17	0
175	136	8	40	0.043478260869565216
175	138	8	4	0
175	142	8	5	0
175	184	8	1	0
175	203	8	1	0
175	222	8	16	0
175	255	8	2	0
175	356	8	6	0
175	413	8	2	0
175	482	8	17	0
175	490	8	7	0
175	519	8	14	0
175	573	8	1	0
175	628	8	1	0
173	671	6	41	0
173	672	6	10	0
173	673	6	12	0
173	665	6	42	0
173	19	6	38	0.023255813953488372
173	47	6	1	0
173	50	6	4	0
173	71	6	21	0
173	72	6	8	0
173	77	6	6	1
173	87	6	29	0
173	678	6	22	0
173	95	6	23	0
173	107	6	7	0
173	111	6	17	0
173	136	6	40	0
173	138	6	4	0
173	142	6	5	0.375
173	184	6	1	0
173	203	6	1	0
173	222	6	16	0
173	255	6	2	0
173	356	6	6	0
173	413	6	2	0.3333333333333333
173	482	6	17	0
173	490	6	7	0
173	519	6	14	0
173	573	6	1	0
173	628	6	1	0
97	671	30	41	0
97	672	30	10	0
97	673	30	12	0
97	665	30	42	0
97	19	30	38	0
97	47	30	1	0
97	50	30	4	0
97	71	30	21	0
97	72	30	8	0
97	77	30	6	0
97	87	30	29	0.5945945945945946
97	678	30	22	0
97	95	30	23	0
97	107	30	7	0
97	111	30	17	0
97	136	30	40	0.014492753623188406
97	138	30	4	0
97	142	30	5	0
97	184	30	1	0
97	203	30	1	0
97	222	30	16	0
97	255	30	2	0
97	356	30	6	0
97	413	30	2	0
97	482	30	17	0
97	490	30	7	0
97	519	30	14	0
97	573	30	1	0
97	628	30	1	0
86	671	13	41	0
86	672	13	10	0
86	673	13	12	0
86	665	13	42	0
86	19	13	38	0
86	47	13	1	0.07692307692307693
86	50	13	4	0
86	71	13	21	0.4166666666666667
86	72	13	8	0
86	77	13	6	0
86	87	13	29	0
86	678	13	22	0
86	95	13	23	0.058823529411764705
86	107	13	7	0
86	111	13	17	0
86	136	13	40	0
86	138	13	4	0
86	142	13	5	0
86	184	13	1	0
86	203	13	1	0
86	222	13	16	0
86	255	13	2	0
86	356	13	6	0
86	413	13	2	0
86	482	13	17	0
86	490	13	7	0
86	519	13	14	0.2857142857142857
86	573	13	1	0
86	628	13	1	0
69	671	12	41	0
69	672	12	10	0
69	673	12	12	0
69	665	12	42	0
69	19	12	38	0
69	47	12	1	0
69	50	12	4	0
69	71	12	21	0
69	72	12	8	0
69	77	12	6	0
69	87	12	29	0
69	678	12	22	0.4782608695652174
69	95	12	23	0
69	107	12	7	0
69	111	12	17	0
69	136	12	40	0
69	138	12	4	0
69	142	12	5	0
69	184	12	1	0
69	203	12	1	0
69	222	12	16	0
69	255	12	2	0
69	356	12	6	0
69	413	12	2	0
69	482	12	17	0
69	490	12	7	0
69	519	12	14	0
69	573	12	1	0
69	628	12	1	0
147	671	23	41	0.06666666666666667
147	672	23	10	0
147	673	23	12	0
147	665	23	42	0
147	19	23	38	0
147	47	23	1	0.043478260869565216
147	50	23	4	0
147	71	23	21	0.047619047619047616
147	72	23	8	0
147	77	23	6	0
147	87	23	29	0
147	678	23	22	0
147	95	23	23	1
147	107	23	7	0
147	111	23	17	0
147	136	23	40	0
147	138	23	4	0
147	142	23	5	0
147	184	23	1	0
147	203	23	1	0
147	222	23	16	0
147	255	23	2	0
147	356	23	6	0
147	413	23	2	0
147	482	23	17	0
147	490	23	7	0
147	519	23	14	0.05714285714285714
147	573	23	1	0
147	628	23	1	0
221	671	4	41	0
221	672	4	10	0
221	673	4	12	0
221	665	4	42	0
221	19	4	38	0
221	47	4	1	0
221	50	4	4	0
221	71	4	21	0
221	72	4	8	0
221	77	4	6	0
221	87	4	29	0
221	678	4	22	0
221	95	4	23	0
221	107	4	7	0
221	111	4	17	0
221	136	4	40	0
221	138	4	4	0
221	142	4	5	0
221	184	4	1	0
221	203	4	1	0
221	222	4	16	0
221	255	4	2	0
221	356	4	6	0
221	413	4	2	0
221	482	4	17	0
221	490	4	7	0
221	519	4	14	0
221	573	4	1	0
221	628	4	1	0
112	671	7	41	0
112	672	7	10	0
112	673	7	12	0
112	665	7	42	0
112	19	7	38	0
112	47	7	1	0
112	50	7	4	0
112	71	7	21	0
112	72	7	8	0
112	77	7	6	0
112	87	7	29	0
112	678	7	22	0
112	95	7	23	0
112	107	7	7	1
112	111	7	17	0
112	136	7	40	0
112	138	7	4	0.1
112	142	7	5	0
112	184	7	1	0
112	203	7	1	0
112	222	7	16	0.045454545454545456
112	255	7	2	0
112	356	7	6	0
112	413	7	2	0
112	482	7	17	0
112	490	7	7	0
112	519	7	14	0
112	573	7	1	0.14285714285714285
112	628	7	1	0.14285714285714285
111	671	17	41	0
111	672	17	10	0
111	673	17	12	0
111	665	17	42	0
111	19	17	38	0
111	47	17	1	0
111	50	17	4	0
111	71	17	21	0
111	72	17	8	0
111	77	17	6	0
111	87	17	29	0
111	678	17	22	0
111	95	17	23	0
111	107	17	7	0
111	111	17	17	1
111	136	17	40	0
111	138	17	4	0
111	142	17	5	0
111	184	17	1	0
111	203	17	1	0
111	222	17	16	0
111	255	17	2	0
111	356	17	6	0
111	413	17	2	0
111	482	17	17	0
111	490	17	7	0
111	519	17	14	0
111	573	17	1	0
111	628	17	1	0
213	671	7	41	0.02127659574468085
213	672	7	10	0
213	673	7	12	0
213	665	7	42	0
213	19	7	38	0
213	47	7	1	0
213	50	7	4	0
213	71	7	21	0
213	72	7	8	0
213	77	7	6	0
213	87	7	29	0
213	678	7	22	0
213	95	7	23	0
213	107	7	7	0
213	111	7	17	0
213	136	7	40	0
213	138	7	4	0
213	142	7	5	0
213	184	7	1	0
213	203	7	1	0
213	222	7	16	0
213	255	7	2	0
213	356	7	6	0
213	413	7	2	0
213	482	7	17	0
213	490	7	7	0
213	519	7	14	0
213	573	7	1	0
213	628	7	1	0
70	671	40	41	0
70	672	40	10	0.02040816326530612
70	673	40	12	0.0196078431372549
70	665	40	42	0
70	19	40	38	0.012987012987012988
70	47	40	1	0
70	50	40	4	0
70	71	40	21	0.05172413793103448
70	72	40	8	0.043478260869565216
70	77	40	6	0
70	87	40	29	0.014705882352941176
70	678	40	22	0
70	95	40	23	0
70	107	40	7	0
70	111	40	17	0
70	136	40	40	1
70	138	40	4	0
70	142	40	5	0
70	184	40	1	0
70	203	40	1	0
70	222	40	16	0
70	255	40	2	0
70	356	40	6	0
70	413	40	2	0
70	482	40	17	0
70	490	40	7	0
70	519	40	14	0
70	573	40	1	0
70	628	40	1	0
73	671	3	41	0
73	672	3	10	0
73	673	3	12	0
73	665	3	42	0
73	19	3	38	0
73	47	3	1	0
73	50	3	4	0
73	71	3	21	0
73	72	3	8	0
73	77	3	6	0
73	87	3	29	0
73	678	3	22	0
73	95	3	23	0
73	107	3	7	0.1111111111111111
73	111	3	17	0
73	136	3	40	0
73	138	3	4	0.4
73	142	3	5	0
73	184	3	1	0
73	203	3	1	0
73	222	3	16	0
73	255	3	2	0
73	356	3	6	0
73	413	3	2	0
73	482	3	17	0
73	490	3	7	0
73	519	3	14	0
73	573	3	1	0.3333333333333333
73	628	3	1	0.3333333333333333
151	671	5	41	0
151	672	5	10	0
151	673	5	12	0
151	665	5	42	0
151	19	5	38	0
151	47	5	1	0
151	50	5	4	0
151	71	5	21	0
151	72	5	8	0
151	77	5	6	0.375
151	87	5	29	0
151	678	5	22	0
151	95	5	23	0
151	107	5	7	0
151	111	5	17	0
151	136	5	40	0
151	138	5	4	0
151	142	5	5	1
151	184	5	1	0
151	203	5	1	0
151	222	5	16	0
151	255	5	2	0
151	356	5	6	0
151	413	5	2	0.4
151	482	5	17	0
151	490	5	7	0
151	519	5	14	0
151	573	5	1	0
151	628	5	1	0
114	671	1	41	0
114	672	1	10	0
114	673	1	12	0
114	665	1	42	0
114	19	1	38	0
114	47	1	1	0
114	50	1	4	0
114	71	1	21	0
114	72	1	8	0
114	77	1	6	0
114	87	1	29	0
114	678	1	22	0
114	95	1	23	0
114	107	1	7	0
114	111	1	17	0
114	136	1	40	0
114	138	1	4	0
114	142	1	5	0
114	184	1	1	1
114	203	1	1	0
114	222	1	16	0
114	255	1	2	0
114	356	1	6	0
114	413	1	2	0
114	482	1	17	0
114	490	1	7	0
114	519	1	14	0
114	573	1	1	0
114	628	1	1	0
209	671	4	41	0
209	672	4	10	0
209	673	4	12	0
209	665	4	42	0
209	19	4	38	0
209	47	4	1	0
209	50	4	4	0
209	71	4	21	0
209	72	4	8	0
209	77	4	6	0
209	87	4	29	0
209	678	4	22	0
209	95	4	23	0
209	107	4	7	0
209	111	4	17	0
209	136	4	40	0
209	138	4	4	0
209	142	4	5	0
209	184	4	1	0
209	203	4	1	0
209	222	4	16	0
209	255	4	2	0
209	356	4	6	0
209	413	4	2	0
209	482	4	17	0
209	490	4	7	0
209	519	4	14	0
209	573	4	1	0
209	628	4	1	0
