comm1	comm2	terms1	terms2	jaccard
671	671	99	99	1
671	672	99	21	0.02564102564102564
671	673	99	33	0.056
671	665	99	179	0.04119850187265917
671	19	99	88	0
671	47	99	1	0
671	50	99	8	0
671	71	99	69	0
671	72	99	10	0
671	77	99	17	0
671	87	99	61	0
671	678	99	53	0
671	95	99	48	0.12213740458015267
671	107	99	9	0
671	111	99	31	0.007751937984496124
671	136	99	96	0
671	138	99	15	0
671	142	99	15	0
671	184	99	3	0
671	203	99	4	0.04040404040404041
671	222	99	23	0
671	255	99	5	0.009708737864077669
671	356	99	12	0
671	413	99	8	0
671	482	99	51	0.006711409395973154
671	490	99	16	0
671	519	99	46	0.013986013986013986
671	573	99	2	0
671	628	99	2	0
672	671	21	99	0.02564102564102564
672	672	21	21	1
672	673	21	33	0.6363636363636364
672	665	21	179	0
672	19	21	88	0
672	47	21	1	0
672	50	21	8	0
672	71	21	69	0
672	72	21	10	0
672	77	21	17	0
672	87	21	61	0
672	678	21	53	0
672	95	21	48	0
672	107	21	9	0
672	111	21	31	0
672	136	21	96	0.017391304347826087
672	138	21	15	0
672	142	21	15	0
672	184	21	3	0
672	203	21	4	0
672	222	21	23	0
672	255	21	5	0
672	356	21	12	0
672	413	21	8	0
672	482	21	51	0
672	490	21	16	0
672	519	21	46	0
672	573	21	2	0
672	628	21	2	0
673	671	33	99	0.056
673	672	33	21	0.6363636363636364
673	673	33	33	1
673	665	33	179	0
673	19	33	88	0
673	47	33	1	0
673	50	33	8	0
673	71	33	69	0
673	72	33	10	0
673	77	33	17	0
673	87	33	61	0
673	678	33	53	0
673	95	33	48	0
673	107	33	9	0
673	111	33	31	0
673	136	33	96	0.015748031496062992
673	138	33	15	0
673	142	33	15	0
673	184	33	3	0
673	203	33	4	0
673	222	33	23	0
673	255	33	5	0
673	356	33	12	0
673	413	33	8	0
673	482	33	51	0
673	490	33	16	0
673	519	33	46	0
673	573	33	2	0
673	628	33	2	0
665	671	179	99	0.04119850187265917
665	672	179	21	0
665	673	179	33	0
665	665	179	179	1
665	19	179	88	0
665	47	179	1	0
665	50	179	8	0
665	71	179	69	0
665	72	179	10	0
665	77	179	17	0
665	87	179	61	0
665	678	179	53	0
665	95	179	48	0.027149321266968326
665	107	179	9	0
665	111	179	31	0
665	136	179	96	0
665	138	179	15	0
665	142	179	15	0
665	184	179	3	0
665	203	179	4	0
665	222	179	23	0
665	255	179	5	0
665	356	179	12	0
665	413	179	8	0
665	482	179	51	0.06976744186046512
665	490	179	16	0
665	519	179	46	0.03211009174311927
665	573	179	2	0
665	628	179	2	0
19	671	88	99	0
19	672	88	21	0
19	673	88	33	0
19	665	88	179	0
19	19	88	88	1
19	47	88	1	0
19	50	88	8	0
19	71	88	69	0.03289473684210526
19	72	88	10	0
19	77	88	17	0.029411764705882353
19	87	88	61	0
19	678	88	53	0.044444444444444446
19	95	88	48	0
19	107	88	9	0
19	111	88	31	0
19	136	88	96	0.05142857142857143
19	138	88	15	0
19	142	88	15	0
19	184	88	3	0
19	203	88	4	0
19	222	88	23	0
19	255	88	5	0
19	356	88	12	0.041666666666666664
19	413	88	8	0
19	482	88	51	0.007246376811594203
19	490	88	16	0
19	519	88	46	0.03875968992248062
19	573	88	2	0
