comm1	comm2	terms1	terms2	jaccard
671	150	99	6	0.039603960396039604
671	206	99	6	0.06060606060606061
671	208	99	185	0.040293040293040296
671	139	99	88	0
671	54	99	40	0.05303030303030303
671	159	99	1	0
671	161	99	8	0
671	80	99	69	0
671	178	99	10	0
671	5	99	17	0
671	484	99	61	0
671	193	99	53	0
671	611	99	48	0.12213740458015267
671	76	99	9	0
671	232	99	31	0.007751937984496124
671	129	99	96	0
671	231	99	15	0
671	233	99	15	0
671	344	99	3	0
671	412	99	4	0.04040404040404041
671	381	99	23	0
671	91	99	5	0.009708737864077669
671	65	99	12	0
671	95	99	8	0
671	539	99	51	0.006711409395973154
671	87	99	16	0
671	572	99	46	0.013986013986013986
671	620	99	2	0
671	122	99	2	0
672	150	21	6	0
672	206	21	6	0.038461538461538464
672	208	21	185	0
672	139	21	88	0
672	54	21	40	0.525
672	159	21	1	0
672	161	21	8	0
672	80	21	69	0
672	178	21	10	0
672	5	21	17	0
672	484	21	61	0
672	193	21	53	0
672	611	21	48	0
672	76	21	9	0
672	232	21	31	0
672	129	21	96	0.017391304347826087
672	231	21	15	0
672	233	21	15	0
672	344	21	3	0
672	412	21	4	0
672	381	21	23	0
672	91	21	5	0
672	65	21	12	0
672	95	21	8	0
672	539	21	51	0
672	87	21	16	0
672	572	21	46	0
672	620	21	2	0
672	122	21	2	0
673	150	33	6	0
673	206	33	6	0.02631578947368421
673	208	33	185	0
673	139	33	88	0
673	54	33	40	0.825
673	159	33	1	0
673	161	33	8	0
673	80	33	69	0
673	178	33	10	0
673	5	33	17	0
673	484	33	61	0
673	193	33	53	0
673	611	33	48	0
673	76	33	9	0
673	232	33	31	0
673	129	33	96	0.015748031496062992
673	231	33	15	0
673	233	33	15	0
673	344	33	3	0
673	412	33	4	0
673	381	33	23	0
673	91	33	5	0
673	65	33	12	0
673	95	33	8	0
673	539	33	51	0
673	87	33	16	0
673	572	33	46	0
673	620	33	2	0
673	122	33	2	0
665	150	179	6	0
665	206	179	6	0
665	208	179	185	0.946524064171123
665	139	179	88	0
665	54	179	40	0.009216589861751152
665	159	179	1	0
665	161	179	8	0
665	80	179	69	0
665	178	179	10	0
665	5	179	17	0
665	484	179	61	0
665	193	179	53	0
665	611	179	48	0.027149321266968326
665	76	179	9	0
665	232	179	31	0
665	129	179	96	0
665	231	179	15	0
665	233	179	15	0
665	344	179	3	0
665	412	179	4	0
665	381	179	23	0
665	91	179	5	0
665	65	179	12	0
665	95	179	8	0
665	539	179	51	0.06976744186046512
665	87	179	16	0
665	572	179	46	0.03211009174311927
665	620	179	2	0
665	122	179	2	0
19	150	88	6	0
19	206	88	6	0
19	208	88	185	0
19	139	88	88	1
19	54	88	40	0
19	159	88	1	0
19	161	88	8	0
19	80	88	69	0.03289473684210526
19	178	88	10	0
19	5	88	17	0.029411764705882353
19	484	88	61	0
19	193	88	53	0.044444444444444446
19	611	88	48	0
19	76	88	9	0
19	232	88	31	0
19	129	88	96	0.05142857142857143
19	231	88	15	0
19	233	88	15	0
19	344	88	3	0
19	412	88	4	0
19	381	88	23	0
19	91	88	5	0
19	65	88	12	0.041666666666666664
19	95	88	8	0
19	539	88	51	0.007246376811594203
19	87	88	16	0
19	572	88	46	0.03875968992248062
19	620	88	2	0
19	122	88	2	0
47	150	1	6	0
47	206	1	6	0
47	208	1	185	0
47	139	1	88	0
47	54	1	40	0
47	159	1	1	1
47	161	1	8	0
47	80	1	69	0.014492753623188406
47	178	1	10	0
47	5	1	17	0
47	484	1	61	0
47	193	1	53	0
47	611	1	48	0.020833333333333332
47	76	1	9	0
47	232	1	31	0
47	129	1	96	0
47	231	1	15	0
47	233	1	15	0
47	344	1	3	0
47	412	1	4	0
47	381	1	23	0.043478260869565216
47	91	1	5	0
47	65	1	12	0
47	95	1	8	0
47	539	1	51	0
47	87	1	16	0
47	572	1	46	0.021739130434782608
47	620	1	2	0
47	122	1	2	0
50	150	8	6	0
50	206	8	6	0
50	208	8	185	0
50	139	8	88	0
50	54	8	40	0
50	159	8	1	0
50	161	8	8	1
50	80	8	69	0
50	178	8	10	0
50	5	8	17	0
50	484	8	61	0
50	193	8	53	0
50	611	8	48	0
50	76	8	9	0
50	232	8	31	0
50	129	8	96	0
50	231	8	15	0
50	233	8	15	0
50	344	8	3	0
50	412	8	4	0
50	381	8	23	0
50	91	8	5	0.08333333333333333
50	65	8	12	0
50	95	8	8	0
50	539	8	51	0
50	87	8	16	0
50	572	8	46	0
50	620	8	2	0
50	122	8	2	0
71	150	69	6	0
71	206	69	6	0
71	208	69	185	0
71	139	69	88	0.03289473684210526
71	54	69	40	0
71	159	69	1	0.014492753623188406
71	161	69	8	0
71	80	69	69	1
71	178	69	10	0
71	5	69	17	0
71	484	69	61	0
71	193	69	53	0
71	611	69	48	0.09345794392523364
71	76	69	9	0
71	232	69	31	0
71	129	69	96	0.03773584905660377
71	231	69	15	0
71	233	69	15	0
71	344	69	3	0
71	412	69	4	0
71	381	69	23	0.045454545454545456
71	91	69	5	0
71	65	69	12	0
71	95	69	8	0
71	539	69	51	0
71	87	69	16	0
71	572	69	46	0.41975308641975306
71	620	69	2	0
71	122	69	2	0
72	150	10	6	0
72	206	10	6	0
72	208	10	185	0
72	139	10	88	0
72	54	10	40	0
72	159	10	1	0
72	161	10	8	0
72	80	10	69	0
72	178	10	10	1
72	5	10	17	0
72	484	10	61	0
72	193	10	53	0
72	611	10	48	0
72	76	10	9	0
72	232	10	31	0
72	129	10	96	0.019230769230769232
72	231	10	15	0
72	233	10	15	0
72	344	10	3	0
72	412	10	4	0
72	381	10	23	0
72	91	10	5	0
72	65	10	12	0
72	95	10	8	0
72	539	10	51	0
72	87	10	16	0
72	572	10	46	0
72	620	10	2	0
72	122	10	2	0
77	150	17	6	0
77	206	17	6	0
77	208	17	185	0
77	139	17	88	0.029411764705882353
77	54	17	40	0
77	159	17	1	0
77	161	17	8	0
77	80	17	69	0
77	178	17	10	0
77	5	17	17	1
77	484	17	61	0.02631578947368421
77	193	17	53	0
77	611	17	48	0
77	76	17	9	0
77	232	17	31	0
77	129	17	96	0.02727272727272727
77	231	17	15	0
77	233	17	15	0.45454545454545453
77	344	17	3	0
77	412	17	4	0
77	381	17	23	0
77	91	17	5	0
77	65	17	12	0
77	95	17	8	0.47058823529411764
77	539	17	51	0.030303030303030304
77	87	17	16	0
77	572	17	46	0
77	620	17	2	0
77	122	17	2	0
87	150	61	6	0
87	206	61	6	0
87	208	61	185	0
87	139	61	88	0
87	54	61	40	0
87	159	61	1	0
87	161	61	8	0
87	80	61	69	0
87	178	61	10	0
87	5	61	17	0.02631578947368421
87	484	61	61	1
87	193	61	53	0
87	611	61	48	0
87	76	61	9	0
87	232	61	31	0
87	129	61	96	0.00641025641025641
87	231	61	15	0
87	233	61	15	0.02702702702702703
87	344	61	3	0
87	412	61	4	0
87	381	61	23	0
87	91	61	5	0.03125
87	65	61	12	0
87	95	61	8	0.029850746268656716
87	539	61	51	0.009009009009009009
87	87	61	16	0.013157894736842105
87	572	61	46	0
87	620	61	2	0
87	122	61	2	0
678	150	53	6	0
678	206	53	6	0
678	208	53	185	0
678	139	53	88	0.044444444444444446
678	54	53	40	0
678	159	53	1	0
678	161	53	8	0
678	80	53	69	0
678	178	53	10	0
678	5	53	17	0
678	484	53	61	0
678	193	53	53	1
678	611	53	48	0
678	76	53	9	0
678	232	53	31	0
678	129	53	96	0.04195804195804196
678	231	53	15	0
678	233	53	15	0
678	344	53	3	0
678	412	53	4	0
678	381	53	23	0
678	91	53	5	0
678	65	53	12	0
678	95	53	8	0
678	539	53	51	0
678	87	53	16	0
678	572	53	46	0.03125
678	620	53	2	0
678	122	53	2	0
95	150	48	6	0.038461538461538464
95	206	48	6	0
95	208	48	185	0.02643171806167401
95	139	48	88	0
95	54	48	40	0
95	159	48	1	0.020833333333333332
95	161	48	8	0
95	80	48	69	0.09345794392523364
95	178	48	10	0
95	5	48	17	0
95	484	48	61	0
95	193	48	53	0
95	611	48	48	1
95	76	48	9	0
95	232	48	31	0
95	129	48	96	0
95	231	48	15	0
95	233	48	15	0
95	344	48	3	0
95	412	48	4	0
95	381	48	23	0.028985507246376812
95	91	48	5	0
95	65	48	12	0
95	95	48	8	0
95	539	48	51	0
95	87	48	16	0
95	572	48	46	0.14634146341463414
95	620	48	2	0
95	122	48	2	0
107	150	9	6	0
107	206	9	6	0
107	208	9	185	0
107	139	9	88	0
107	54	9	40	0
107	159	9	1	0
107	161	9	8	0
107	80	9	69	0
107	178	9	10	0
107	5	9	17	0
107	484	9	61	0
107	193	9	53	0
107	611	9	48	0
107	76	9	9	1
107	232	9	31	0
107	129	9	96	0
107	231	9	15	0.09090909090909091
107	233	9	15	0
107	344	9	3	0
107	412	9	4	0
107	381	9	23	0.03225806451612903
107	91	9	5	0
107	65	9	12	0
107	95	9	8	0
107	539	9	51	0
107	87	9	16	0
107	572	9	46	0
107	620	9	2	0.2222222222222222
107	122	9	2	0.2222222222222222
111	150	31	6	0
111	206	31	6	0
111	208	31	185	0
111	139	31	88	0
111	54	31	40	0
111	159	31	1	0
111	161	31	8	0
111	80	31	69	0
111	178	31	10	0
111	5	31	17	0
111	484	31	61	0
111	193	31	53	0
111	611	31	48	0
111	76	31	9	0
111	232	31	31	1
111	129	31	96	0
111	231	31	15	0
111	233	31	15	0
111	344	31	3	0
111	412	31	4	0
111	381	31	23	0
111	91	31	5	0
111	65	31	12	0
111	95	31	8	0
111	539	31	51	0
111	87	31	16	0
111	572	31	46	0
111	620	31	2	0
111	122	31	2	0
136	150	96	6	0
136	206	96	6	0
136	208	96	185	0
136	139	96	88	0.05142857142857143
136	54	96	40	0.014925373134328358
