comm1	comm2	terms1	terms2	jaccard
150	150	6	6	1
150	206	6	2	0
150	208	6	45	0
150	139	6	38	0
150	54	6	15	0
150	159	6	1	0
150	161	6	4	0
150	80	6	21	0
150	178	6	8	0
150	5	6	6	0
150	484	6	29	0
150	193	6	22	0
150	611	6	23	0.03571428571428571
150	76	6	7	0
150	232	6	17	0
150	129	6	40	0
150	231	6	4	0
150	233	6	5	0
150	344	6	1	0
150	412	6	1	0
150	381	6	16	0
150	91	6	2	0
150	65	6	6	0
150	95	6	2	0
150	539	6	17	0
150	87	6	7	0
150	572	6	14	0
150	620	6	1	0
150	122	6	1	0
206	150	2	6	0
206	206	2	2	1
206	208	2	45	0
206	139	2	38	0
206	54	2	15	0
206	159	2	1	0
206	161	2	4	0
206	80	2	21	0
206	178	2	8	0
206	5	2	6	0
206	484	2	29	0
206	193	2	22	0
206	611	2	23	0
206	76	2	7	0
206	232	2	17	0
206	129	2	40	0
206	231	2	4	0
206	233	2	5	0
206	344	2	1	0
206	412	2	1	0.5
206	381	2	16	0
206	91	2	2	0
206	65	2	6	0
206	95	2	2	0
206	539	2	17	0
206	87	2	7	0
206	572	2	14	0
206	620	2	1	0
206	122	2	1	0
208	150	45	6	0
208	206	45	2	0
208	208	45	45	1
208	139	45	38	0
208	54	45	15	0
208	159	45	1	0
208	161	45	4	0
208	80	45	21	0
208	178	45	8	0
208	5	45	6	0
208	484	45	29	0
208	193	45	22	0
208	611	45	23	0
208	76	45	7	0
208	232	45	17	0
208	129	45	40	0
208	231	45	4	0
208	233	45	5	0
208	344	45	1	0
208	412	45	1	0
208	381	45	16	0
208	91	45	2	0
208	65	45	6	0
208	95	45	2	0
208	539	45	17	0.05084745762711865
208	87	45	7	0
208	572	45	14	0.017241379310344827
208	620	45	1	0
208	122	45	1	0
139	150	38	6	0
139	206	38	2	0
139	208	38	45	0
139	139	38	38	1
139	54	38	15	0
139	159	38	1	0
139	161	38	4	0
139	80	38	21	0
139	178	38	8	0
139	5	38	6	0.023255813953488372
139	484	38	29	0
139	193	38	22	0.01694915254237288
139	611	38	23	0
139	76	38	7	0
139	232	38	17	0
139	129	38	40	0.012987012987012988
139	231	38	4	0
139	233	38	5	0
139	344	38	1	0
139	412	38	1	0
139	381	38	16	0
139	91	38	2	0
139	65	38	6	0
139	95	38	2	0
139	539	38	17	0
139	87	38	7	0
139	572	38	14	0
139	620	38	1	0
139	122	38	1	0
54	150	15	6	0
54	206	15	2	0
54	208	15	45	0
54	139	15	38	0
54	54	15	15	1
54	159	15	1	0
54	161	15	4	0
54	80	15	21	0
54	178	15	8	0
54	5	15	6	0
54	484	15	29	0
54	193	15	22	0
54	611	15	23	0
54	76	15	7	0
54	232	15	17	0
54	129	15	40	0.018518518518518517
54	231	15	4	0
54	233	15	5	0
54	344	15	1	0
54	412	15	1	0
54	381	15	16	0
54	91	15	2	0
54	65	15	6	0
54	95	15	2	0
54	539	15	17	0
54	87	15	7	0
54	572	15	14	0
54	620	15	1	0
54	122	15	1	0
159	150	1	6	0
159	206	1	2	0
159	208	1	45	0
159	139	1	38	0
159	54	1	15	0
159	159	1	1	1
159	161	1	4	0
159	80	1	21	0.047619047619047616
159	178	1	8	0
159	5	1	6	0
159	484	1	29	0
159	193	1	22	0
159	611	1	23	0.043478260869565216
159	76	1	7	0
159	232	1	17	0
159	129	1	40	0
159	231	1	4	0
159	233	1	5	0
159	344	1	1	0
159	412	1	1	0
159	381	1	16	0
159	91	1	2	0
159	65	1	6	0
159	95	1	2	0
159	539	1	17	0
159	87	1	7	0
159	572	1	14	0.07142857142857142
159	620	1	1	0
159	122	1	1	0
161	150	4	6	0
161	206	4	2	0
161	208	4	45	0
161	139	4	38	0
161	54	4	15	0
161	159	4	1	0
161	161	4	4	1
161	80	4	21	0
161	178	4	8	0
161	5	4	6	0
161	484	4	29	0
161	193	4	22	0
161	611	4	23	0
161	76	4	7	0
161	232	4	17	0
161	129	4	40	0
161	231	4	4	0
161	233	4	5	0
161	344	4	1	0
161	412	4	1	0
161	381	4	16	0
161	91	4	2	0.2
161	65	4	6	0
161	95	4	2	0
161	539	4	17	0
161	87	4	7	0
161	572	4	14	0
161	620	4	1	0
161	122	4	1	0
80	150	21	6	0
80	206	21	2	0
80	208	21	45	0
80	139	21	38	0
80	54	21	15	0
80	159	21	1	0.047619047619047616
80	161	21	4	0
80	80	21	21	1
80	178	21	8	0
80	5	21	6	0
80	484	21	29	0
80	193	21	22	0
80	611	21	23	0.047619047619047616
80	76	21	7	0
80	232	21	17	0
80	129	21	40	0.05172413793103448
80	231	21	4	0
80	233	21	5	0
80	344	21	1	0
80	412	21	1	0
80	381	21	16	0.027777777777777776
80	91	21	2	0
80	65	21	6	0
80	95	21	2	0
80	539	21	17	0
80	87	21	7	0
80	572	21	14	0.20689655172413793
80	620	21	1	0
80	122	21	1	0
178	150	8	6	0
178	206	8	2	0
178	208	8	45	0
178	139	8	38	0
178	54	8	15	0
178	159	8	1	0
178	161	8	4	0
178	80	8	21	0
178	178	8	8	1
178	5	8	6	0
178	484	8	29	0
178	193	8	22	0
178	611	8	23	0
178	76	8	7	0
178	232	8	17	0
178	129	8	40	0.043478260869565216
178	231	8	4	0
178	233	8	5	0
178	344	8	1	0
178	412	8	1	0
178	381	8	16	0
178	91	8	2	0
178	65	8	6	0
178	95	8	2	0
178	539	8	17	0
178	87	8	7	0
178	572	8	14	0
178	620	8	1	0
178	122	8	1	0
5	150	6	6	0
5	206	6	2	0
5	208	6	45	0
5	139	6	38	0.023255813953488372
5	54	6	15	0
5	159	6	1	0
5	161	6	4	0
5	80	6	21	0
5	178	6	8	0
5	5	6	6	1
5	484	6	29	0
5	193	6	22	0
5	611	6	23	0
5	76	6	7	0
5	232	6	17	0
5	129	6	40	0
5	231	6	4	0
5	233	6	5	0.375
5	344	6	1	0
5	412	6	1	0
5	381	6	16	0
5	91	6	2	0
5	65	6	6	0
5	95	6	2	0.3333333333333333
5	539	6	17	0
5	87	6	7	0
5	572	6	14	0
5	620	6	1	0
5	122	6	1	0
484	150	29	6	0
484	206	29	2	0
484	208	29	45	0
484	139	29	38	0
484	54	29	15	0
484	159	29	1	0
484	161	29	4	0
484	80	29	21	0
484	178	29	8	0
484	5	29	6	0
484	484	29	29	1
484	193	29	22	0
484	611	29	23	0
484	76	29	7	0
484	232	29	17	0
484	129	29	40	0.014705882352941176
