com_id	pg_gene	chr	order	size
120	ENSG00000006744	17	165	3750
165	ENSG00000100324	22	158	1246
26	ENSG00000091164	18	107	1073
346	ENSG00000147419	8	79	943
214	ENSG00000177479	3	117	844
63	ENSG00000136152	13	125	712
158	ENSG00000137804	1	80	658
90	ENSG00000137656	11	86	624
141	ENSG00000182149	16	144	495
169	ENSG00000139977	14	177	491
494	ENSG00000180900	8	71	441
348	ENSG00000167770	11	109	429
146	ENSG00000136942	17	103	394
117	ENSG00000175602	19	143	386
142	ENSG00000160908	7	145	383
526	ENSG00000138614	15	148	369
74	ENSG00000198730	11	107	339
145	ENSG00000205937	16	115	284
28	ENSG00000168438	6	106	276
254	ENSG00000101266	20	66	261
140	ENSG00000106263	7	74	256
653	ENSG00000055950	10	120	251
277	ENSG00000149658	20	72	213
126	ENSG00000110717	11	52	212
296	ENSG00000176101	9	91	200
64	ENSG00000147533	8	34	192
194	ENSG00000121073	17	67	185
77	ENSG00000187531	17	78	173
205	ENSG00000112640	6	90	160
534	ENSG00000031698	1	70	158
281	ENSG00000164338	5	110	156
163	ENSG00000183495	12	89	149
76	ENSG00000181924	11	43	144
53	ENSG00000136738	10	38	130
546	ENSG00000067596	17	67	125
359	ENSG00000213762	19	30	111
184	ENSG00000126267	19	69	107
371	ENSG00000159131	21	48	94
106	ENSG00000122692	9	46	90
5	ENSG00000150316	11	26	89
83	ENSG00000125386	4	35	87
385	ENSG00000143379	1	48	81
197	ENSG00000157601	4	23	73
238	ENSG00000161204	3	46	71
418	ENSG00000113460	5	30	70
183	ENSG00000271503	11	26	70
123	ENSG00000004142	17	27	68
138	ENSG00000267680	19	20	67
374	ENSG00000160087	1	34	65
105	ENSG00000166164	16	19	54
222	ENSG00000069248	1	36	51
432	ENSG00000198356	19	37	50
230	ENSG00000123358	1	20	50
448	ENSG00000187735	8	23	46
167	ENSG00000163751	1	15	46
465	ENSG00000132155	3	38	46
669	ENSG00000117751	1	38	40
312	ENSG00000111667	12	23	36
349	ENSG00000149564	1	23	31
236	ENSG00000138246	3	25	30
532	ENSG00000197937	19	17	30
316	ENSG00000204262	7	20	27
575	ENSG00000196126	6	12	26
588	ENSG00000198342	19	13	24
468	ENSG00000168329	3	14	17
91	ENSG00000180573	6	7	17
414	ENSG00000138802	4	16	16
246	ENSG00000127837	2	14	15
134	ENSG00000120093	17	7	15
350	ENSG00000107796	1	11	15
621	ENSG00000253731	5	10	15
94	ENSG00000171115	7	7	14
57	ENSG00000254709	22	7	13
95	ENSG00000102401	X	7	13
408	ENSG00000183520	1	12	13
594	ENSG00000197619	19	8	13
4	ENSG00000106004	7	6	12
232	ENSG00000163798	2	11	12
210	ENSG00000120324	5	11	11
401	ENSG00000138398	2	10	11
379	ENSG00000159189	1	8	11
14	ENSG00000049246	1	6	10
445	ENSG00000115685	2	11	10
505	ENSG00000198466	19	6	10
503	ENSG00000130021	X	10	9
378	ENSG00000124214	20	8	9
547	ENSG00000186081	12	6	9
69	ENSG00000077549	1	6	8
147	ENSG00000152944	12	8	8
36	ENSG00000011600	1	6	8
164	ENSG00000047315	4	9	8
121	ENSG00000168394	6	7	8
475	ENSG00000197757	12	5	8
681	ENSG00000198521	19	9	8
211	ENSG00000121579	3	8	7
160	ENSG00000054116	1	8	7
86	ENSG00000133134	X	5	7
332	ENSG00000111540	12	7	6
66	ENSG00000133142	X	4	6
38	ENSG00000025800	1	6	5
515	ENSG00000180182	X	6	5
22	ENSG00000134717	1	5	5
11	ENSG00000122741	9	4	5
299	ENSG00000231767	1	6	5
333	ENSG00000197635	7	6	5
49	ENSG00000155097	8	6	5
421	ENSG00000161649	17	6	5
577	ENSG00000196247	7	5	5
622	ENSG00000204969	5	4	5
129	ENSG00000248383	5	5	5
154	ENSG00000077254	1	4	4
672	ENSG00000246705	12	5	4
13	ENSG00000101473	20	5	4
596	ENSG00000139343	12	5	4
369	ENSG00000119138	9	5	4
300	ENSG00000124523	6	5	4
288	ENSG00000005486	7	5	4
81	ENSG00000132514	1	5	4
30	ENSG00000065518	3	4	4
549	ENSG00000071553	X	5	4
87	ENSG00000185800	19	5	4
387	ENSG00000161813	12	5	4
439	ENSG00000170989	1	5	4
473	ENSG00000172661	10	4	4
496	ENSG00000176842	16	4	4
233	ENSG00000080608	9	4	3
7	ENSG00000081870	1	3	3
115	ENSG00000085872	19	4	3
89	ENSG00000086619	1	3	3
182	ENSG00000105171	19	4	3
251	ENSG00000111845	6	4	3
20	ENSG00000115840	2	3	3
8	ENSG00000116670	1	4	3
244	ENSG00000123338	12	4	3
258	ENSG00000196976	X	4	3
19	ENSG00000128284	22	3	3
