ensemblID	community
ENSG00000001461	139
ENSG00000004534	214
ENSG00000005100	120
ENSG00000005483	142
ENSG00000005812	63
ENSG00000006695	120
ENSG00000006744	120
ENSG00000007168	120
ENSG00000007202	141
ENSG00000007520	145
ENSG00000010256	214
ENSG00000010322	214
ENSG00000011021	669
ENSG00000011258	194
ENSG00000011260	194
ENSG00000011275	140
ENSG00000011295	120
ENSG00000011376	214
ENSG00000013375	28
ENSG00000013392	28
ENSG00000015532	194
ENSG00000015676	140
ENSG00000016864	214
ENSG00000024048	205
ENSG00000025800	38
ENSG00000029725	120
ENSG00000031698	534
ENSG00000032742	63
ENSG00000033050	142
ENSG00000034693	28
ENSG00000035928	34
ENSG00000037637	669
ENSG00000038219	83
ENSG00000040531	120
ENSG00000040633	120
ENSG00000042317	169
ENSG00000042429	5
ENSG00000042753	184
ENSG00000044090	205
ENSG00000046651	96
ENSG00000047249	448
ENSG00000048405	142
ENSG00000049541	142
ENSG00000049656	418
ENSG00000050820	141
ENSG00000052723	534
ENSG00000053371	69
ENSG00000053372	374
ENSG00000054611	165
ENSG00000054793	277
ENSG00000054967	76
ENSG00000055070	669
ENSG00000055130	142
ENSG00000055147	143
ENSG00000055609	142
ENSG00000056736	144
ENSG00000057608	53
ENSG00000057663	28
ENSG00000057757	669
ENSG00000058600	145
ENSG00000060762	28
ENSG00000062194	281
ENSG00000063046	146
ENSG00000063245	117
ENSG00000063322	184
ENSG00000063978	83
ENSG00000064102	147
ENSG00000064419	142
ENSG00000064703	534
ENSG00000064999	205
ENSG00000065057	148
ENSG00000065135	534
ENSG00000065427	141
ENSG00000065457	141
ENSG00000065526	669
ENSG00000065559	120
ENSG00000065883	140
ENSG00000065970	312
ENSG00000066279	158
ENSG00000066336	36
ENSG00000066926	26
ENSG00000067064	53
ENSG00000067248	281
ENSG00000067369	526
ENSG00000067560	214
ENSG00000067596	546
ENSG00000067900	26
ENSG00000068024	141
ENSG00000068028	214
ENSG00000068097	194
ENSG00000068383	653
ENSG00000068394	128
ENSG00000068745	214
ENSG00000069248	222
ENSG00000069345	105
ENSG00000070047	74
ENSG00000070366	120
ENSG00000070367	169
ENSG00000070413	165
ENSG00000070423	117
ENSG00000070444	120
ENSG00000070718	64
ENSG00000070761	141
ENSG00000070770	141
ENSG00000070831	669
ENSG00000071189	140
ENSG00000071462	142
ENSG00000071994	28
ENSG00000072134	120
ENSG00000072518	348
ENSG00000072571	158
ENSG00000072778	120
ENSG00000072803	281
ENSG00000072840	151
ENSG00000072849	120
ENSG00000073050	184
ENSG00000073169	165
ENSG00000073536	546
ENSG00000073614	152
ENSG00000073969	546
ENSG00000074071	145
ENSG00000074201	76
ENSG00000074219	2
ENSG00000074266	5
ENSG00000074319	74
ENSG00000074356	120
ENSG00000074603	526
ENSG00000074755	120
ENSG00000074935	28
ENSG00000075188	163
ENSG00000075218	158
ENSG00000075240	165
ENSG00000075336	26
ENSG00000075914	214
ENSG00000076043	90
ENSG00000076053	90
ENSG00000076201	214
ENSG00000076351	141
ENSG00000076924	432
ENSG00000076944	432
ENSG00000077147	653
ENSG00000077235	153
ENSG00000077254	154
ENSG00000077458	5
ENSG00000077463	546
ENSG00000077549	69
ENSG00000077721	1
ENSG00000078043	26
ENSG00000078061	515
ENSG00000078140	83
ENSG00000078142	26
ENSG00000078246	312
ENSG00000078304	169
ENSG00000078369	374
ENSG00000078668	64
ENSG00000078808	374
ENSG00000078902	74
ENSG00000079134	26
ENSG00000079313	117
ENSG00000079459	346
ENSG00000079616	145
ENSG00000079974	165
ENSG00000080603	145
ENSG00000080608	233
ENSG00000080802	142
ENSG00000080815	169
ENSG00000080986	158
ENSG00000081019	534
ENSG00000081087	28
ENSG00000081177	169
ENSG00000081870	7
ENSG00000081913	26
ENSG00000081923	26
ENSG00000082213	418
ENSG00000082458	156
ENSG00000082516	281
ENSG00000082701	211
ENSG00000083093	145
ENSG00000083097	28
ENSG00000083099	28
ENSG00000083168	64
ENSG00000083290	120
ENSG00000083457	120
ENSG00000083520	63
ENSG00000083535	63
ENSG00000083635	63
ENSG00000083838	117
ENSG00000083845	146
ENSG00000084112	163
ENSG00000084444	157
ENSG00000084463	672
ENSG00000084652	38
ENSG00000085377	28
ENSG00000085382	28
ENSG00000085415	26
ENSG00000085433	534
ENSG00000085644	145
ENSG00000085788	64
ENSG00000085840	158
ENSG00000085872	115
ENSG00000085978	159
ENSG00000085998	38
ENSG00000085999	158
ENSG00000086061	106
ENSG00000086189	281
ENSG00000086200	281
ENSG00000086232	140
ENSG00000086475	53
ENSG00000086504	145
ENSG00000086589	281
ENSG00000086619	89
ENSG00000086712	503
ENSG00000086827	90
ENSG00000086848	90
ENSG00000087053	5
ENSG00000087111	123
ENSG00000087152	546
ENSG00000087157	77
ENSG00000087191	194
ENSG00000087263	141
ENSG00000087274	83
ENSG00000087299	169
ENSG00000087302	169
ENSG00000087502	147
ENSG00000087884	76
ENSG00000088038	117
ENSG00000088247	546
ENSG00000088256	117
ENSG00000088298	277
ENSG00000088325	158
ENSG00000088387	63
ENSG00000088448	63
ENSG00000088451	63
ENSG00000088682	141
ENSG00000088727	214
ENSG00000088812	254
ENSG00000088833	254
ENSG00000088876	254
ENSG00000088888	254
ENSG00000088930	254
ENSG00000089006	254
ENSG00000089022	163
ENSG00000089048	254
ENSG00000089053	163
ENSG00000089063	254
ENSG00000089091	254
ENSG00000089123	254
ENSG00000089154	163
ENSG00000089195	254
ENSG00000089220	163
ENSG00000089234	163
ENSG00000089289	146
ENSG00000089597	348
ENSG00000089685	158
ENSG00000089693	312
ENSG00000089818	312
ENSG00000089876	653
ENSG00000089902	169
ENSG00000089916	169
ENSG00000090263	142
ENSG00000090316	83
ENSG00000090372	184
ENSG00000090470	526
ENSG00000090487	526
ENSG00000090539	162
ENSG00000090615	163
ENSG00000090686	669
ENSG00000090889	158
ENSG00000090905	145
ENSG00000090989	164
ENSG00000091009	281
ENSG00000091140	142
ENSG00000091157	26
ENSG00000091164	26
ENSG00000091542	120
ENSG00000091640	120
ENSG00000091651	105
ENSG00000091732	142
ENSG00000092201	169
ENSG00000092203	169
ENSG00000092330	169
ENSG00000092439	526
ENSG00000092470	526
ENSG00000092531	526
ENSG00000092820	28
ENSG00000092853	158
ENSG00000092871	546
ENSG00000093000	165
ENSG00000093009	158
ENSG00000093183	214
ENSG00000095139	90
ENSG00000095574	653
ENSG00000095787	53
ENSG00000095906	145
ENSG00000095970	36
ENSG00000096401	205
ENSG00000099246	53
ENSG00000099330	39
ENSG00000099341	184
ENSG00000099381	145
ENSG00000099622	117
ENSG00000099800	117
ENSG00000099804	117
ENSG00000099810	100
ENSG00000099817	117
ENSG00000099821	117
ENSG00000099849	74
ENSG00000099875	117
ENSG00000099889	165
ENSG00000099899	165
ENSG00000099901	165
ENSG00000099910	165
ENSG00000099917	165
ENSG00000099940	165
ENSG00000099942	165
ENSG00000099949	165
ENSG00000099956	165
ENSG00000099958	57
ENSG00000099968	165
ENSG00000099991	165
ENSG00000099995	165
ENSG00000100023	165
ENSG00000100028	165
ENSG00000100029	165
ENSG00000100030	165
ENSG00000100056	165
ENSG00000100075	165
ENSG00000100083	165
ENSG00000100084	165
ENSG00000100099	165
ENSG00000100104	165
ENSG00000100105	165
ENSG00000100109	165
ENSG00000100124	165
ENSG00000100129	165
ENSG00000100138	165
ENSG00000100150	165
ENSG00000100151	165
ENSG00000100196	169
ENSG00000100207	165
ENSG00000100209	165
ENSG00000100211	165
ENSG00000100216	165
ENSG00000100220	165
ENSG00000100221	165
ENSG00000100225	165
ENSG00000100226	165
ENSG00000100227	165
ENSG00000100239	165
ENSG00000100241	165
ENSG00000100246	165
ENSG00000100258	165
ENSG00000100263	165
ENSG00000100271	165
ENSG00000100280	165
ENSG00000100281	165
ENSG00000100284	165
ENSG00000100294	165
ENSG00000100297	165
ENSG00000100304	37
ENSG00000100307	165
ENSG00000100319	165
ENSG00000100320	165
ENSG00000100324	165
ENSG00000100325	165
ENSG00000100330	165
ENSG00000100335	165
ENSG00000100345	166
ENSG00000100347	165
ENSG00000100348	165
ENSG00000100353	165
ENSG00000100359	165
ENSG00000100372	165
ENSG00000100380	165
ENSG00000100387	165
ENSG00000100393	165
ENSG00000100395	165
ENSG00000100401	165
ENSG00000100403	165
ENSG00000100410	165
ENSG00000100412	165
ENSG00000100413	165
ENSG00000100416	165
ENSG00000100417	165
ENSG00000100418	165
ENSG00000100425	165
ENSG00000100426	165
ENSG00000100429	165
ENSG00000100448	167
ENSG00000100461	169
ENSG00000100462	169
ENSG00000100483	169
ENSG00000100485	169
