ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000259424	210	3.2	2	6.638873484886225	2	3	1	93
ENSG00000140443	210	3.2	2	6.638873484886225	2	3	1	93
ENSG00000278022	210	3.2	2	6.638873484886225	2	3	1	93
ENSG00000264480	210	3.2	2	6.638873484886225	2	3	1	93
ENSG00000259621	210	3.204761904761905	2	6.638367254039109	2	3	1	93
ENSG00000259475	210	3.204761904761905	2	6.638367254039109	2	3	1	93
ENSG00000183571	210	3.204761904761905	2	6.638367254039109	2	3	1	93
ENSG00000278090	210	3.204761904761905	2	6.638367254039109	2	3	1	93
ENSG00000274312	210	3.1904761904761907	2	6.633386973384324	2	3	1	93
ENSG00000277987	210	3.1904761904761907	2	6.633386973384324	2	3	1	93
ENSG00000185087	210	3.1904761904761907	2	6.633386973384324	2	3	1	93
ENSG00000259507	210	3.1904761904761907	2	6.633386973384324	2	3	1	93
ENSG00000182253	210	3.1857142857142855	2	6.63027604946728	2	3	1	93
ENSG00000261054	209	3.148325358851675	2	6.623966506425592	2	3	1	93
ENSG00000259199	210	3.176190476190476	2	6.619704149412282	2	3	1	93
ENSG00000259266	210	3.176190476190476	2	6.619704149412282	2	3	1	93
ENSG00000259320	210	3.176190476190476	2	6.619704149412282	2	3	1	93
ENSG00000259041	210	3.176190476190476	2	6.619704149412282	2	3	1	93
ENSG00000261616	210	3.142857142857143	2	6.608575799241977	2	3	1	93
ENSG00000258483	210	3.157142857142857	2	6.599918183382358	2	3	1	93
ENSG00000222361	210	3.157142857142857	2	6.599918183382358	2	3	1	93
ENSG00000259611	210	3.157142857142857	2	6.599918183382358	2	3	1	93
ENSG00000259403	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000259485	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000242863	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000259664	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000251729	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000279091	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000259582	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000251209	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000259870	210	3.138095238095238	2	6.591641524030029	2	3	1	93
ENSG00000215983	210	3.138095238095238	2	6.591641524030029	2	3	1	93
