ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	tf	cond
HOXB5	HOXB5	1/1	1/6328	1.5802781289520063e-4	0.023862199747175294	0.023454654334971885	ENSG00000073614	1	ENSG00000080603	healthy
RAG1	RAG1	7/29	292/6328	2.690324301995567e-4	0.04145922585731205	0.041440889180683435	ENSG00000105643/ENSG00000107372/ENSG00000118503/ENSG00000155926/ENSG00000157514/ENSG00000164442/ENSG00000168209	7	ENSG00000100906	healthy
PMEPA1	PMEPA1	11/29	783/6328	4.052604379921114e-4	0.04145922585731205	0.041440889180683435	ENSG00000105643/ENSG00000107372/ENSG00000118503/ENSG00000118515/ENSG00000137193/ENSG00000157514/ENSG00000163659/ENSG00000221869/ENSG00000057657/ENSG00000019549/ENSG00000078401	11	ENSG00000100906	healthy
NFIA	NFIA	12/29	948/6328	5.225952839156982e-4	0.04145922585731205	0.041440889180683435	ENSG00000105643/ENSG00000116285/ENSG00000118503/ENSG00000130222/ENSG00000143878/ENSG00000152804/ENSG00000164442/ENSG00000167470/ENSG00000168209/ENSG00000168497/ENSG00000179094/ENSG00000203883	12	ENSG00000100906	healthy
HMG20B	HMG20B	4/5	388/6328	6.626442307281906e-5	0.014710701922165831	0.013252884614563814	ENSG00000100934/ENSG00000112186/ENSG00000119638/ENSG00000154945	4	ENSG00000102935	healthy
HSD17B8	HSD17B8	33/44	156/6328	1.501998868239235e-45	4.040376955563542e-43	3.177913394906171e-43	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000089685/ENSG00000101447/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000129195/ENSG00000135451/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185	33	ENSG00000111206	healthy
RBL2	RBL2	41/44	1671/6328	7.472784227320084e-21	1.0050894785745512e-18	7.905419103638614e-19	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	41	ENSG00000111206	healthy
SIN3B	SIN3B	41/44	1889/6328	1.0508277458173737e-18	9.422422120829118e-17	7.411100944185689e-17	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000035499	41	ENSG00000111206	healthy
E2F5	E2F5	18/44	296/6328	2.3604594508676993e-13	1.5874089807085278e-11	1.2485588148010726e-11	ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000109674/ENSG00000117724/ENSG00000126787/ENSG00000143228/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000168078/ENSG00000171848/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000035499	18	ENSG00000111206	healthy
NFYC	NFYC	38/44	2822/6328	9.83525551136036e-9	5.291367465111874e-7	4.161866016386174e-7	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	38	ENSG00000111206	healthy
BARX2	BARX2	16/44	477/6328	4.888523513005933e-8	2.191688041664327e-6	1.7238477651126184e-6	ENSG00000066279/ENSG00000088325/ENSG00000093009/ENSG00000101447/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000126787/ENSG00000135451/ENSG00000142945/ENSG00000158402/ENSG00000166803/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999	16	ENSG00000111206	healthy
MAF	MAF	42/44	3902/6328	2.112691237143498e-7	7.6190321905819086e-6	5.992664724347343e-6	ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	42	ENSG00000111206	healthy
NIPBL	NIPBL	43/44	4165/6328	2.2658831793552145e-7	7.6190321905819086e-6	5.992664724347343e-6	ENSG00000066279/ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	43	ENSG00000111206	healthy
ARID4B	ARID4B	40/44	3565/6328	5.614467835014816e-7	1.589127508860582e-5	1.2499105039365172e-5	ENSG00000066279/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000035499	40	ENSG00000111206	healthy
CDK7	CDK7	42/44	4006/6328	5.907537207660156e-7	1.589127508860582e-5	1.2499105039365172e-5	ENSG00000066279/ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000137804/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000186185/ENSG00000276043/ENSG00000035499	42	ENSG00000111206	healthy
IRF1	IRF1	42/44	4126/6328	1.8594100689493592e-6	4.54710280497616e-5	3.5764729555868054e-5	ENSG00000072571/ENSG00000075218/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000093009/ENSG00000101447/ENSG00000109674/ENSG00000109805/ENSG00000112984/ENSG00000113368/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121211/ENSG00000123485/ENSG00000126787/ENSG00000127564/ENSG00000129195/ENSG00000135451/ENSG00000138160/ENSG00000142945/ENSG00000143228/ENSG00000143476/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000165480/ENSG00000166803/ENSG00000168078/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000186185/ENSG00000276043/ENSG00000035499	42	ENSG00000111206	healthy
MBD2	MBD2	28/44	1879/6328	3.0348102951303155e-6	6.803033078250457e-5	5.350849730887662e-5	ENSG00000066279/ENSG00000072571/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000093009/ENSG00000101447/ENSG00000112984/ENSG00000117399/ENSG00000117724/ENSG00000123485/ENSG00000126787/ENSG00000135451/ENSG00000143228/ENSG00000145386/ENSG00000146670/ENSG00000148773/ENSG00000156970/ENSG00000158402/ENSG00000166803/ENSG00000169607/ENSG00000171320/ENSG00000171848/ENSG00000175063/ENSG00000178999/ENSG00000183856/ENSG00000276043/ENSG00000035499	28	ENSG00000111206	healthy
