from	to	site_count	MI	distance	row_num	interaction_type	tf	community
ENSG00000126351	ENSG00000108349	1	0.136289	82028	11952	Intra-Cytoband	ENSG00000126351	146
ENSG00000167258	ENSG00000161395	1	0.186712	209611	3289	Intra-Cytoband	ENSG00000167258	146
ENSG00000167258	ENSG00000141736	1	0.165919	226403	5437	Intra-Cytoband	ENSG00000167258	146
ENSG00000167258	ENSG00000131748	1	0.241038	175554	962	Intra-Cytoband	ENSG00000167258	146
ENSG00000167258	ENSG00000108349	1	0.158744	678807	6541	Inter-Cytoband	ENSG00000167258	146
ENSG00000167258	ENSG00000108344	1	0.16263	519286	5934	Inter-Cytoband	ENSG00000167258	146
ENSG00000167258	ENSG00000008838	1	0.15171	557586	7798	Inter-Cytoband	ENSG00000167258	146
ENSG00000111206	ENSG00000198901	2	0.146216	NA	9121	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000186185	1	0.119148	NA	19690	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000175063	1	0.166687	NA	5335	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000169607	1	0.147861	NA	8680	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000166851	1	0.183502	NA	3534	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000157456	1	0.182955	NA	3579	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000156970	1	0.134068	NA	12696	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000148773	1	0.178977	NA	3956	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000145386	1	0.140096	NA	10778	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000139734	1	0.119463	NA	19507	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000138160	1	0.132845	NA	13158	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000137807	1	0.135453	NA	12226	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000137804	1	0.144001	NA	9678	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000135451	1	0.151326	46465555	7888	Inter-Cytoband	ENSG00000111206	158
ENSG00000111206	ENSG00000123485	1	0.164046	NA	5715	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000117650	1	0.128394	NA	14977	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000115163	1	0.12596	NA	16094	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000112984	1	0.131291	NA	13763	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000111665	1	0.184459	3987112	3455	Inter-Cytoband	ENSG00000111206	158
ENSG00000111206	ENSG00000101447	2	0.125699	NA	16237	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000100526	1	0.133472	NA	12919	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000090889	1	0.122821	NA	17712	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000089685	1	0.119256	NA	19607	Trans	ENSG00000111206	158
ENSG00000111206	ENSG00000088325	1	0.163852	NA	5746	Trans	ENSG00000111206	158
ENSG00000115163	ENSG00000237649	1	0.166905	NA	5312	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000183856	2	0.152488	NA	7643	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000169607	1	0.161072	85972318	6163	Inter-Cytoband	ENSG00000115163	158
ENSG00000115163	ENSG00000166851	1	0.183226	NA	3557	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000158402	1	0.163493	NA	5805	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000157456	1	0.149009	NA	8420	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000156970	1	0.125009	NA	16588	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000142945	1	0.13703	NA	11701	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000135476	1	0.153416	NA	7462	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000135451	1	0.140532	NA	10650	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000134057	1	0.139421	NA	10975	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000126787	1	0.129929	NA	14291	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000117650	1	0.154573	NA	7250	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000111206	1	0.12596	NA	16094	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000089685	1	0.137494	NA	11563	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000072571	1	0.173085	NA	4575	Trans	ENSG00000115163	158
ENSG00000115163	ENSG00000035499	1	0.138735	NA	11187	Trans	ENSG00000115163	158
ENSG00000143476	ENSG00000127564	1	0.160659	NA	6225	Trans	ENSG00000143476	158
ENSG00000122877	ENSG00000162772	1	0.149053	NA	8407	Trans	ENSG00000122877	230
ENSG00000122877	ENSG00000123358	1	0.147345	NA	8822	Trans	ENSG00000122877	230
ENSG00000123358	ENSG00000173334	1	0.11994	NA	19230	Trans	ENSG00000123358	230
ENSG00000123358	ENSG00000170345	2	0.151662	NA	7809	Trans	ENSG00000123358	230
ENSG00000123358	ENSG00000160888	1	0.140893	NA	10544	Trans	ENSG00000123358	230
ENSG00000128016	ENSG00000160888	1	0.178698	26256398	3982	Inter-Cytoband	ENSG00000128016	230
ENSG00000128016	ENSG00000123358	1	0.173607	NA	4512	Trans	ENSG00000128016	230
ENSG00000128016	ENSG00000120738	1	0.215478	NA	1702	Trans	ENSG00000128016	230
ENSG00000170345	ENSG00000171223	1	0.193761	NA	2774	Trans	ENSG00000170345	230
ENSG00000170345	ENSG00000160888	1	0.238712	NA	1017	Trans	ENSG00000170345	230
ENSG00000170345	ENSG00000128016	1	0.253736	NA	728	Trans	ENSG00000170345	230
ENSG00000170345	ENSG00000120738	1	0.401952	NA	50	Trans	ENSG00000170345	230
