from	to
ENSG00000147099	ENSG00000007923
ENSG00000147099	ENSG00000008282
ENSG00000147099	ENSG00000009335
ENSG00000147099	ENSG00000011198
ENSG00000147099	ENSG00000058804
ENSG00000147099	ENSG00000059377
ENSG00000147099	ENSG00000059378
ENSG00000147099	ENSG00000079999
ENSG00000147099	ENSG00000085415
ENSG00000147099	ENSG00000090686
ENSG00000147099	ENSG00000099385
ENSG00000147099	ENSG00000099899
ENSG00000147099	ENSG00000100027
ENSG00000147099	ENSG00000103876
ENSG00000147099	ENSG00000106976
ENSG00000147099	ENSG00000107021
ENSG00000147099	ENSG00000108406
ENSG00000147099	ENSG00000110844
ENSG00000147099	ENSG00000113648
ENSG00000147099	ENSG00000115350
ENSG00000147099	ENSG00000115641
ENSG00000147099	ENSG00000126070
ENSG00000147099	ENSG00000130640
ENSG00000147099	ENSG00000132016
ENSG00000147099	ENSG00000132024
ENSG00000147099	ENSG00000133027
ENSG00000147099	ENSG00000134146
ENSG00000147099	ENSG00000135298
ENSG00000147099	ENSG00000140931
ENSG00000147099	ENSG00000140983
ENSG00000147099	ENSG00000143093
ENSG00000147099	ENSG00000143376
ENSG00000147099	ENSG00000143761
ENSG00000147099	ENSG00000144504
ENSG00000147099	ENSG00000144647
ENSG00000147099	ENSG00000147654
ENSG00000147099	ENSG00000149823
ENSG00000147099	ENSG00000166073
ENSG00000147099	ENSG00000167536
ENSG00000147099	ENSG00000167995
ENSG00000147099	ENSG00000168118
ENSG00000147099	ENSG00000170035
ENSG00000147099	ENSG00000171988
ENSG00000147099	ENSG00000174137
ENSG00000147099	ENSG00000184863
ENSG00000147099	ENSG00000185658
ENSG00000147099	ENSG00000187147
ENSG00000147099	ENSG00000187778
ENSG00000147099	ENSG00000188542
ENSG00000147099	ENSG00000188612
ENSG00000147099	ENSG00000198546
ENSG00000147099	ENSG00000213221
ENSG00000147099	ENSG00000214212
ENSG00000147099	ENSG00000234432
ENSG00000147099	ENSG00000237119
ENSG00000147099	ENSG00000246863
ENSG00000147099	ENSG00000248079
ENSG00000147099	ENSG00000255568
ENSG00000147099	ENSG00000256546
ENSG00000147099	ENSG00000259899
ENSG00000147099	ENSG00000266594
ENSG00000147099	ENSG00000268460
ENSG00000147099	ENSG00000270021
