ensembl_id	uniprot_id	file
ENSG00000043039	Q9UMQ3	Q9UMQ3.txt
ENSG00000064961	Q9P0W2	Q9P0W2.txt
ENSG00000071564	P15923	P15923.txt
ENSG00000078900	O15350	O15350.txt
ENSG00000118513	P10242	P10242.txt
ENSG00000125846	P52736	P52736.txt
ENSG00000129245	P51116	P51116.txt
ENSG00000135373	Q9NZC4	Q9NZC4.txt
ENSG00000135457	Q12800	Q12800.txt
ENSG00000148516	P37275	P37275.txt
ENSG00000160685	O15156	O15156.txt
ENSG00000165632	Q5VWG9	Q5VWG9.txt
ENSG00000168036	P35222	P35222.txt
ENSG00000171316	Q9P2D1	Q9P2D1.txt
ENSG00000178403	Q9H2A3	Q9H2A3.txt
ENSG00000182983	Q6ZS27	Q6ZS27.txt
ENSG00000005513	P57073	P57073.txt
ENSG00000092203	O94842	O94842.txt
ENSG00000124422	Q9UPT9	Q9UPT9.txt
ENSG00000077782	P11362	P11362.txt
