from	to
ENSG00000163930	ENSG00000000419
ENSG00000163930	ENSG00000001460
ENSG00000163930	ENSG00000001561
ENSG00000163930	ENSG00000002016
ENSG00000163930	ENSG00000002822
ENSG00000163930	ENSG00000003402
ENSG00000163930	ENSG00000004455
ENSG00000163930	ENSG00000004487
ENSG00000163930	ENSG00000004766
ENSG00000163930	ENSG00000004776
ENSG00000163930	ENSG00000004897
ENSG00000163930	ENSG00000005100
ENSG00000163930	ENSG00000005156
ENSG00000163930	ENSG00000005194
ENSG00000163930	ENSG00000005448
ENSG00000163930	ENSG00000005801
ENSG00000163930	ENSG00000005889
ENSG00000163930	ENSG00000006015
ENSG00000163930	ENSG00000006062
ENSG00000163930	ENSG00000006125
ENSG00000163930	ENSG00000006282
ENSG00000163930	ENSG00000006451
ENSG00000163930	ENSG00000006530
ENSG00000163930	ENSG00000006625
ENSG00000163930	ENSG00000006652
ENSG00000163930	ENSG00000006695
ENSG00000163930	ENSG00000006747
ENSG00000163930	ENSG00000006757
ENSG00000163930	ENSG00000007047
ENSG00000163930	ENSG00000007372
ENSG00000163930	ENSG00000007392
ENSG00000163930	ENSG00000007520
ENSG00000163930	ENSG00000007541
ENSG00000163930	ENSG00000007923
ENSG00000163930	ENSG00000008128
ENSG00000163930	ENSG00000008277
ENSG00000163930	ENSG00000008300
ENSG00000163930	ENSG00000008952
ENSG00000163930	ENSG00000008988
ENSG00000163930	ENSG00000009307
ENSG00000163930	ENSG00000009844
ENSG00000163930	ENSG00000010017
ENSG00000163930	ENSG00000010292
ENSG00000163930	ENSG00000011009
ENSG00000163930	ENSG00000011021
ENSG00000163930	ENSG00000011052
ENSG00000163930	ENSG00000011198
ENSG00000163930	ENSG00000011275
ENSG00000163930	ENSG00000011304
ENSG00000163930	ENSG00000011376
ENSG00000163930	ENSG00000011451
ENSG00000163930	ENSG00000012048
ENSG00000163930	ENSG00000012061
ENSG00000163930	ENSG00000012174
ENSG00000163930	ENSG00000012822
ENSG00000163930	ENSG00000012963
ENSG00000163930	ENSG00000013275
ENSG00000163930	ENSG00000013374
ENSG00000163930	ENSG00000013523
ENSG00000163930	ENSG00000014164
ENSG00000163930	ENSG00000014641
ENSG00000163930	ENSG00000014919
ENSG00000163930	ENSG00000015479
ENSG00000163930	ENSG00000018699
ENSG00000163930	ENSG00000020426
ENSG00000163930	ENSG00000021776
ENSG00000163930	ENSG00000022277
ENSG00000163930	ENSG00000023191
ENSG00000163930	ENSG00000023228
ENSG00000163930	ENSG00000023287
ENSG00000163930	ENSG00000023697
ENSG00000163930	ENSG00000024862
ENSG00000163930	ENSG00000025434
ENSG00000163930	ENSG00000027001
ENSG00000163930	ENSG00000027847
ENSG00000163930	ENSG00000028116
ENSG00000163930	ENSG00000028528
ENSG00000163930	ENSG00000028839
ENSG00000163930	ENSG00000029363
ENSG00000163930	ENSG00000030110
ENSG00000163930	ENSG00000031003
ENSG00000163930	ENSG00000031691
ENSG00000163930	ENSG00000032389
ENSG00000163930	ENSG00000032444
ENSG00000163930	ENSG00000033050
ENSG00000163930	ENSG00000034677
ENSG00000163930	ENSG00000034693
ENSG00000163930	ENSG00000035928
ENSG00000163930	ENSG00000036054
ENSG00000163930	ENSG00000036549
ENSG00000163930	ENSG00000036672
ENSG00000163930	ENSG00000037241
ENSG00000163930	ENSG00000037637
ENSG00000163930	ENSG00000037749
ENSG00000163930	ENSG00000037897
ENSG00000163930	ENSG00000038002
ENSG00000163930	ENSG00000038219
ENSG00000163930	ENSG00000038358
ENSG00000163930	ENSG00000038532
ENSG00000163930	ENSG00000039560
ENSG00000163930	ENSG00000040275
ENSG00000163930	ENSG00000040633
ENSG00000163930	ENSG00000041802
ENSG00000163930	ENSG00000042753
ENSG00000163930	ENSG00000044090
ENSG00000163930	ENSG00000044446
ENSG00000163930	ENSG00000046651
ENSG00000163930	ENSG00000047621
ENSG00000163930	ENSG00000048162
ENSG00000163930	ENSG00000048471
ENSG00000163930	ENSG00000048544
ENSG00000163930	ENSG00000048649
ENSG00000163930	ENSG00000048707
ENSG00000163930	ENSG00000049541
ENSG00000163930	ENSG00000049656
ENSG00000163930	ENSG00000049883
ENSG00000163930	ENSG00000051009
ENSG00000163930	ENSG00000052749
ENSG00000163930	ENSG00000052841
ENSG00000163930	ENSG00000053501
ENSG00000163930	ENSG00000053770
ENSG00000163930	ENSG00000054116
ENSG00000163930	ENSG00000054611
ENSG00000163930	ENSG00000055070
ENSG00000163930	ENSG00000055147
ENSG00000163930	ENSG00000055208
ENSG00000163930	ENSG00000055917
ENSG00000163930	ENSG00000055950
ENSG00000163930	ENSG00000056050
ENSG00000163930	ENSG00000056277
ENSG00000163930	ENSG00000057608
ENSG00000163930	ENSG00000057663
ENSG00000163930	ENSG00000058056
ENSG00000163930	ENSG00000058804
ENSG00000163930	ENSG00000059691
ENSG00000163930	ENSG00000059769
ENSG00000163930	ENSG00000060339
ENSG00000163930	ENSG00000060642
ENSG00000163930	ENSG00000061794
ENSG00000163930	ENSG00000061936
ENSG00000163930	ENSG00000062370
ENSG00000163930	ENSG00000062582
ENSG00000163930	ENSG00000062598
ENSG00000163930	ENSG00000062650
ENSG00000163930	ENSG00000063015
ENSG00000163930	ENSG00000063176
ENSG00000163930	ENSG00000063180
ENSG00000163930	ENSG00000063245
ENSG00000163930	ENSG00000064102
ENSG00000163930	ENSG00000064419
ENSG00000163930	ENSG00000064652
ENSG00000163930	ENSG00000064932
ENSG00000163930	ENSG00000064961
ENSG00000163930	ENSG00000065057
ENSG00000163930	ENSG00000065135
ENSG00000163930	ENSG00000065268
ENSG00000163930	ENSG00000065427
ENSG00000163930	ENSG00000065457
ENSG00000163930	ENSG00000065621
ENSG00000163930	ENSG00000066084
ENSG00000163930	ENSG00000066136
ENSG00000163930	ENSG00000066455
ENSG00000163930	ENSG00000066557
ENSG00000163930	ENSG00000066654
ENSG00000163930	ENSG00000066827
ENSG00000163930	ENSG00000067167
ENSG00000163930	ENSG00000067221
ENSG00000163930	ENSG00000067225
ENSG00000163930	ENSG00000067334
ENSG00000163930	ENSG00000067533
ENSG00000163930	ENSG00000067596
ENSG00000163930	ENSG00000067601
ENSG00000163930	ENSG00000067704
ENSG00000163930	ENSG00000068120
ENSG00000163930	ENSG00000068305
ENSG00000163930	ENSG00000068394
ENSG00000163930	ENSG00000068745
ENSG00000163930	ENSG00000068796
ENSG00000163930	ENSG00000068912
ENSG00000163930	ENSG00000069248
ENSG00000163930	ENSG00000070047
ENSG00000163930	ENSG00000070061
ENSG00000163930	ENSG00000070081
ENSG00000163930	ENSG00000070087
ENSG00000163930	ENSG00000070269
ENSG00000163930	ENSG00000070366
ENSG00000163930	ENSG00000070367
ENSG00000163930	ENSG00000070444
ENSG00000163930	ENSG00000070610
ENSG00000163930	ENSG00000070756
ENSG00000163930	ENSG00000070778
ENSG00000163930	ENSG00000070831
ENSG00000163930	ENSG00000071082
ENSG00000163930	ENSG00000071655
ENSG00000163930	ENSG00000071894
ENSG00000163930	ENSG00000071994
ENSG00000163930	ENSG00000072364
ENSG00000163930	ENSG00000072415
ENSG00000163930	ENSG00000072609
ENSG00000163930	ENSG00000072803
ENSG00000163930	ENSG00000072864
ENSG00000163930	ENSG00000073111
ENSG00000163930	ENSG00000073536
ENSG00000163930	ENSG00000073614
ENSG00000163930	ENSG00000073921
ENSG00000163930	ENSG00000074071
ENSG00000163930	ENSG00000074201
ENSG00000163930	ENSG00000074219
ENSG00000163930	ENSG00000074266
ENSG00000163930	ENSG00000074319
ENSG00000163930	ENSG00000074356
ENSG00000163930	ENSG00000074603
ENSG00000163930	ENSG00000074696
ENSG00000163930	ENSG00000074755
ENSG00000163930	ENSG00000074842
ENSG00000163930	ENSG00000074935
ENSG00000163930	ENSG00000074966
ENSG00000163930	ENSG00000075089
ENSG00000163930	ENSG00000075131
ENSG00000163930	ENSG00000075142
ENSG00000163930	ENSG00000075188
ENSG00000163930	ENSG00000075239
ENSG00000163930	ENSG00000075336
ENSG00000163930	ENSG00000075399
ENSG00000163930	ENSG00000075413
ENSG00000163930	ENSG00000075415
ENSG00000163930	ENSG00000075624
ENSG00000163930	ENSG00000075785
ENSG00000163930	ENSG00000075914
ENSG00000163930	ENSG00000075975
ENSG00000163930	ENSG00000076043
ENSG00000163930	ENSG00000076108
ENSG00000163930	ENSG00000076201
ENSG00000163930	ENSG00000076321
ENSG00000163930	ENSG00000076924
ENSG00000163930	ENSG00000076928
ENSG00000163930	ENSG00000076944
ENSG00000163930	ENSG00000077380
ENSG00000163930	ENSG00000077463
ENSG00000163930	ENSG00000077514
ENSG00000163930	ENSG00000077684
ENSG00000163930	ENSG00000078142
ENSG00000163930	ENSG00000078403
ENSG00000163930	ENSG00000079134
ENSG00000163930	ENSG00000079246
ENSG00000163930	ENSG00000079387
ENSG00000163930	ENSG00000079432
ENSG00000163930	ENSG00000079462
ENSG00000163930	ENSG00000079616
ENSG00000163930	ENSG00000079691
ENSG00000163930	ENSG00000079785
ENSG00000163930	ENSG00000079999
ENSG00000163930	ENSG00000080345
ENSG00000163930	ENSG00000080608
ENSG00000163930	ENSG00000080802
ENSG00000163930	ENSG00000080823
ENSG00000163930	ENSG00000080824
ENSG00000163930	ENSG00000080839
ENSG00000163930	ENSG00000080986
ENSG00000163930	ENSG00000081014
ENSG00000163930	ENSG00000081019
ENSG00000163930	ENSG00000081177
ENSG00000163930	ENSG00000081692
ENSG00000163930	ENSG00000081721
ENSG00000163930	ENSG00000082068
ENSG00000163930	ENSG00000082146
ENSG00000163930	ENSG00000082898
ENSG00000163930	ENSG00000083093
ENSG00000163930	ENSG00000083168
ENSG00000163930	ENSG00000083223
ENSG00000163930	ENSG00000083457
ENSG00000163930	ENSG00000083520
ENSG00000163930	ENSG00000083535
ENSG00000163930	ENSG00000083857
ENSG00000163930	ENSG00000083896
ENSG00000163930	ENSG00000084073
ENSG00000163930	ENSG00000084207
ENSG00000163930	ENSG00000085365
ENSG00000163930	ENSG00000085449
ENSG00000163930	ENSG00000085662
ENSG00000163930	ENSG00000085721
ENSG00000163930	ENSG00000085760
ENSG00000163930	ENSG00000086102
ENSG00000163930	ENSG00000086589
ENSG00000163930	ENSG00000086598
ENSG00000163930	ENSG00000087008
ENSG00000163930	ENSG00000087086
ENSG00000163930	ENSG00000087157
ENSG00000163930	ENSG00000087206
ENSG00000163930	ENSG00000087269
ENSG00000163930	ENSG00000087338
ENSG00000163930	ENSG00000087365
ENSG00000163930	ENSG00000087470
ENSG00000163930	ENSG00000087502
ENSG00000163930	ENSG00000087903
ENSG00000163930	ENSG00000088205
ENSG00000163930	ENSG00000088305
ENSG00000163930	ENSG00000088682
ENSG00000163930	ENSG00000088727
ENSG00000163930	ENSG00000088833
ENSG00000163930	ENSG00000088970
ENSG00000163930	ENSG00000088986
ENSG00000163930	ENSG00000089006
ENSG00000163930	ENSG00000089009
ENSG00000163930	ENSG00000089053
ENSG00000163930	ENSG00000089063
ENSG00000163930	ENSG00000089335
ENSG00000163930	ENSG00000089685
ENSG00000163930	ENSG00000089693
ENSG00000163930	ENSG00000089818
ENSG00000163930	ENSG00000089820
ENSG00000163930	ENSG00000090238
ENSG00000163930	ENSG00000090263
ENSG00000163930	ENSG00000090447
ENSG00000163930	ENSG00000090520
ENSG00000163930	ENSG00000090581
ENSG00000163930	ENSG00000090612
ENSG00000163930	ENSG00000090621
ENSG00000163930	ENSG00000090674
ENSG00000163930	ENSG00000090686
ENSG00000163930	ENSG00000090924
ENSG00000163930	ENSG00000091039
ENSG00000163930	ENSG00000091164
ENSG00000163930	ENSG00000091732
ENSG00000163930	ENSG00000092036
ENSG00000163930	ENSG00000092148
ENSG00000163930	ENSG00000092201
ENSG00000163930	ENSG00000092203
ENSG00000163930	ENSG00000092421
ENSG00000163930	ENSG00000092531
ENSG00000163930	ENSG00000092847
ENSG00000163930	ENSG00000092931
ENSG00000163930	ENSG00000093167
ENSG00000163930	ENSG00000093183
ENSG00000163930	ENSG00000094914
ENSG00000163930	ENSG00000095059
ENSG00000163930	ENSG00000095066
ENSG00000163930	ENSG00000095203
ENSG00000163930	ENSG00000095261
ENSG00000163930	ENSG00000095485
ENSG00000163930	ENSG00000095564
ENSG00000163930	ENSG00000095794
ENSG00000163930	ENSG00000096093
ENSG00000163930	ENSG00000096401
ENSG00000163930	ENSG00000096717
ENSG00000163930	ENSG00000096746
ENSG00000163930	ENSG00000096872
ENSG00000163930	ENSG00000099246
ENSG00000163930	ENSG00000099326
ENSG00000163930	ENSG00000099330
ENSG00000163930	ENSG00000099622
ENSG00000163930	ENSG00000099795
ENSG00000163930	ENSG00000099817
ENSG00000163930	ENSG00000099840
ENSG00000163930	ENSG00000099866
ENSG00000163930	ENSG00000099875
ENSG00000163930	ENSG00000099899
ENSG00000163930	ENSG00000099901
ENSG00000163930	ENSG00000099917
ENSG00000163930	ENSG00000099954
ENSG00000163930	ENSG00000099995
ENSG00000163930	ENSG00000100028
ENSG00000163930	ENSG00000100038
ENSG00000163930	ENSG00000100056
ENSG00000163930	ENSG00000100083
ENSG00000163930	ENSG00000100084
ENSG00000163930	ENSG00000100099
ENSG00000163930	ENSG00000100101
ENSG00000163930	ENSG00000100104
ENSG00000163930	ENSG00000100105
ENSG00000163930	ENSG00000100109
ENSG00000163930	ENSG00000100151
ENSG00000163930	ENSG00000100211
ENSG00000163930	ENSG00000100216
ENSG00000163930	ENSG00000100227
ENSG00000163930	ENSG00000100280
ENSG00000163930	ENSG00000100294
ENSG00000163930	ENSG00000100296
ENSG00000163930	ENSG00000100316
ENSG00000163930	ENSG00000100335
ENSG00000163930	ENSG00000100353
ENSG00000163930	ENSG00000100376
ENSG00000163930	ENSG00000100380
ENSG00000163930	ENSG00000100393
ENSG00000163930	ENSG00000100401
ENSG00000163930	ENSG00000100412
ENSG00000163930	ENSG00000100416
ENSG00000163930	ENSG00000100441
ENSG00000163930	ENSG00000100445
ENSG00000163930	ENSG00000100462
