not_tf_neigh	tf_neigh	tf	type
4092	11	ENSG00000088038	regulatory
1903	2	ENSG00000088038	not_regulatory
1322	3	ENSG00000104885	regulatory
4679	4	ENSG00000104885	not_regulatory
14	0	ENSG00000104973	regulatory
5986	8	ENSG00000104973	not_regulatory
10	0	ENSG00000105229	regulatory
5997	1	ENSG00000105229	not_regulatory
900	1	ENSG00000105556	regulatory
5102	5	ENSG00000105556	not_regulatory
1220	2	ENSG00000167685	regulatory
4784	2	ENSG00000167685	not_regulatory
66	0	ENSG00000171574	regulatory
5941	1	ENSG00000171574	not_regulatory
4	0	ENSG00000176619	regulatory
6003	1	ENSG00000176619	not_regulatory
3262	0	ENSG00000177045	regulatory
2745	1	ENSG00000177045	not_regulatory
3577	3	ENSG00000182318	regulatory
2426	2	ENSG00000182318	not_regulatory
4	0	ENSG00000186300	regulatory
6000	4	ENSG00000186300	not_regulatory
116	1	ENSG00000218891	regulatory
5886	5	ENSG00000218891	not_regulatory
1	0	ENSG00000243678	regulatory
5999	8	ENSG00000243678	not_regulatory
1063	0	ENSG00000083812	regulatory
4942	3	ENSG00000083812	not_regulatory
407	0	ENSG00000064961	regulatory
5598	3	ENSG00000064961	not_regulatory
3991	0	ENSG00000071564	regulatory
2015	2	ENSG00000071564	not_regulatory
