ID	Ensembl ID	SiteCount
ENSG00000001084	ENST00000229416	1
ENSG00000006530	ENST00000473247	1
ENSG00000007047	ENST00000587566	1
ENSG00000007944	ENST00000349606	1
ENSG00000012174	ENST00000365779	1
ENSG00000025434	ENST00000395397	1
ENSG00000038358	ENST00000358933	1
ENSG00000048162	ENST00000614830	1
ENSG00000064419	ENST00000265388	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000067221	ENST00000316900	1
ENSG00000067225	ENST00000319622	1
ENSG00000070018	ENST00000535731	1
ENSG00000070444	ENST00000174618	1
ENSG00000071894	ENST00000616140	1
ENSG00000073536	ENST00000360831	1
ENSG00000074855	ENST00000159087	1
ENSG00000075399	ENST00000389386	1
ENSG00000075975	ENST00000170447	1
ENSG00000077463	ENST00000305232	1
ENSG00000081692	ENST00000620518	1
ENSG00000084073	ENST00000372759	1
ENSG00000088833	ENST00000353088	1
ENSG00000089053	ENST00000261819	1
ENSG00000092421	ENST00000343348	1
ENSG00000095370	ENST00000373276	1
ENSG00000099290	ENST00000282633	1
ENSG00000099338	ENST00000312265	1
ENSG00000099940	ENST00000215730	1
ENSG00000100038	ENST00000357179	1
ENSG00000103356	ENST00000564461	1
ENSG00000104221	ENST00000220659	1
ENSG00000104643	ENST00000221086	1
ENSG00000104953	ENST00000474207	1
ENSG00000104960	ENST00000391842	1
ENSG00000105289	ENST00000587912	1
ENSG00000105364	ENST00000393733	1
ENSG00000105429	ENST00000334370	1
ENSG00000106246	ENST00000430982	1
ENSG00000106344	ENST00000223073	1
ENSG00000107021	ENST00000223865	1
ENSG00000107614	ENST00000354631	1
ENSG00000108465	ENST00000580670	1
ENSG00000108591	ENST00000225729	1
ENSG00000108604	ENST00000584400	1
ENSG00000108666	ENST00000225805	1
ENSG00000108947	ENST00000226091	1
ENSG00000109065	ENST00000357814	1
ENSG00000109066	ENST00000335464	1
ENSG00000112282	ENST00000354577	1
ENSG00000115274	ENST00000233331	1
ENSG00000115286	ENST00000313408	1
ENSG00000115541	ENST00000233893	1
ENSG00000116898	ENST00000373116	1
ENSG00000117480	ENST00000243167	1
ENSG00000118160	ENST00000236877	1
ENSG00000120008	ENST00000605069	1
ENSG00000122386	ENST00000219091	1
ENSG00000123444	ENST00000395288	1
ENSG00000124222	ENST00000312283	1
ENSG00000124613	ENST00000461521	1
ENSG00000126460	ENST00000596877	1
ENSG00000126934	ENST00000262948	1
ENSG00000128881	ENST00000564431	1
ENSG00000129474	ENST00000262713	1
ENSG00000130299	ENST00000361619	1
ENSG00000130309	ENST00000593832	1
ENSG00000130377	ENST00000591741	1
ENSG00000130940	ENST00000344008	1
ENSG00000131351	ENST00000598517	1
ENSG00000131408	ENST00000253727	1
ENSG00000132952	ENST00000255304	1
ENSG00000133313	ENST00000324262	1
ENSG00000134575	ENST00000256997	1
ENSG00000134668	ENST00000257100	1
ENSG00000135093	ENST00000257548	1
ENSG00000135424	ENST00000553737	1
ENSG00000135441	ENST00000548925	1
ENSG00000135446	ENST00000257904	1
ENSG00000135900	ENST00000258383	1
ENSG00000138614	ENST00000561769	1
ENSG00000138764	ENST00000316355	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000140941	ENST00000562778	1
ENSG00000141664	ENST00000269499	1
ENSG00000141873	ENST00000269740	1
ENSG00000142252	ENST00000270257	1
ENSG00000142546	ENST00000339093	1
ENSG00000143486	ENST00000271764	1
ENSG00000143537	ENST00000480331	1
ENSG00000143575	ENST00000328703	1
ENSG00000143740	ENST00000418653	1
ENSG00000144381	ENST00000388968	1
ENSG00000146476	ENST00000494826	1
ENSG00000147475	ENST00000276461	1
ENSG00000148300	ENST00000371935	1
ENSG00000148690	ENST00000359204	1
ENSG00000149294	ENST00000316851	1
ENSG00000149527	ENST00000449969	1
ENSG00000149823	ENST00000279281	1
ENSG00000152784	ENST00000504452	1
ENSG00000153391	ENST00000283410	1
ENSG00000154269	ENST00000427707	1
ENSG00000154874	ENST00000445752	1
ENSG00000154945	ENST00000285243	1
ENSG00000156162	ENST00000414645	1
ENSG00000156983	ENST00000383829	1
ENSG00000157020	ENST00000337354	1
ENSG00000157870	ENST00000474659	1
ENSG00000158710	ENST00000320307	1
ENSG00000158805	ENST00000289816	1
ENSG00000158828	ENST00000321556	1
ENSG00000160256	ENST00000291634	1
ENSG00000160445	ENST00000291900	1
ENSG00000162441	ENST00000377213	1
ENSG00000162757	ENST00000294811	1
ENSG00000165406	ENST00000319836	1
ENSG00000165699	ENST00000298552	1
ENSG00000166111	ENST00000546618	1
ENSG00000166199	ENST00000302708	1
ENSG00000166260	ENST00000571584	1
ENSG00000166263	ENST00000376352	1
ENSG00000167178	ENST00000561975	1
ENSG00000167447	ENST00000300917	1
ENSG00000167977	ENST00000301738	1
ENSG00000168818	ENST00000306200	1
ENSG00000169169	ENST00000598647	1
ENSG00000171425	ENST00000270451	1
ENSG00000171863	ENST00000304921	1
ENSG00000172171	ENST00000306049	1
ENSG00000173614	ENST00000377205	1
ENSG00000174989	ENST00000309909	1
ENSG00000175182	ENST00000340957	1
ENSG00000175213	ENST00000311764	1
ENSG00000175334	ENST00000445560	1
ENSG00000175376	ENST00000312234	1
ENSG00000175756	ENST00000321751	1
ENSG00000176155	ENST00000389641	1
ENSG00000176894	ENST00000317479	1
ENSG00000177084	ENST00000320574	1
ENSG00000178028	ENST00000315913	1
ENSG00000179950	ENST00000349157	1
ENSG00000180098	ENST00000373830	1
ENSG00000180747	ENST00000437413	1
ENSG00000181873	ENST00000546123	1
ENSG00000183250	ENST00000397841	1
ENSG00000184060	ENST00000583688	1
ENSG00000185658	ENST00000333229	1
ENSG00000186591	ENST00000355621	1
ENSG00000187609	ENST00000340951	1
ENSG00000188747	ENST00000341349	1
ENSG00000197006	ENST00000358154	1
ENSG00000199990	ENST00000363120	1
ENSG00000206053	ENST00000248098	1
ENSG00000211450	ENST00000534355	1
ENSG00000213619	ENST00000263774	1
ENSG00000215712	ENST00000367144	1
ENSG00000224032	ENST00000442823	1
ENSG00000227165	ENST00000598981	1
ENSG00000232040	ENST00000452236	1
ENSG00000233016	ENST00000414282	1
ENSG00000235618	ENST00000456967	1
ENSG00000241468	ENST00000359832	1
ENSG00000241973	ENST00000255882	1
ENSG00000243725	ENST00000371281	1
ENSG00000246250	ENST00000530450	1
ENSG00000246350	ENST00000499525	1
ENSG00000247416	ENST00000532002	1
ENSG00000247708	ENST00000499430	1
ENSG00000248919	ENST00000413834	1
ENSG00000254901	ENST00000585679	1
ENSG00000254929	ENST00000431840	1
ENSG00000255468	ENST00000580881	1
ENSG00000255568	ENST00000603064	1
ENSG00000258311	ENST00000257899	1
ENSG00000258366	ENST00000356810	1
ENSG00000258457	ENST00000555294	1
ENSG00000261570	ENST00000567503	1
ENSG00000261949	ENST00000610896	1
ENSG00000263072	ENST00000576943	1
ENSG00000266412	ENST00000578454	1
ENSG00000267140	ENST00000589258	1
ENSG00000267649	ENST00000585911	1
ENSG00000268006	ENST00000600742	1
