ID	Ensembl ID	SiteCount
ENSG00000000003	ENST00000373020	1
ENSG00000000457	ENST00000367771	2
ENSG00000000460	ENST00000359326	1
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000504525	2
ENSG00000001460	ENST00000003583	1
ENSG00000001461	ENST00000003912	1
ENSG00000001497	ENST00000484069	1
ENSG00000001561	ENST00000321037	1
ENSG00000001617	ENST00000426511	1
ENSG00000001630	ENST00000003100	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000358495	2
ENSG00000002549	ENST00000508497	1
ENSG00000002586	ENST00000381180	1
ENSG00000002745	ENST00000222462	1
ENSG00000002822	ENST00000399654	2
ENSG00000003056	ENST00000536844	1
ENSG00000003147	ENST00000265577	1
ENSG00000003393	ENST00000409632	1
ENSG00000003400	ENST00000272879	1
ENSG00000003402	ENST00000439154	1
ENSG00000003436	ENST00000481132	1
ENSG00000003509	ENST00000455230	2
ENSG00000003756	ENST00000347869	1
ENSG00000003987	ENST00000521177	1
ENSG00000004059	ENST00000459680	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000373449	2
ENSG00000004478	ENST00000543769	1
ENSG00000004487	ENST00000356634	2
ENSG00000004534	ENST00000266022	1
ENSG00000004700	ENST00000444129	2
ENSG00000004766	ENST00000251739	1
ENSG00000004776	ENST00000592984	2
ENSG00000004777	ENST00000221905	1
ENSG00000004779	ENST00000007516	2
ENSG00000004838	ENST00000443080	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000416240	2
ENSG00000004866	ENST00000420755	2
ENSG00000004948	ENST00000360249	2
ENSG00000004975	ENST00000005340	1
ENSG00000005001	ENST00000161006	1
ENSG00000005007	ENST00000262803	1
ENSG00000005020	ENST00000468712	2
ENSG00000005022	ENST00000460013	1
ENSG00000005059	ENST00000394650	1
ENSG00000005100	ENST00000225296	1
ENSG00000005156	ENST00000262327	1
ENSG00000005175	ENST00000005386	1
ENSG00000005187	ENST00000440284	1
ENSG00000005189	ENST00000261377	1
ENSG00000005194	ENST00000563341	1
ENSG00000005302	ENST00000380692	1
ENSG00000005421	ENST00000222381	1
ENSG00000005436	ENST00000321027	1
ENSG00000005448	ENST00000461531	2
ENSG00000005469	ENST00000479014	1
ENSG00000005483	ENST00000257745	1
ENSG00000005513	ENST00000566034	1
ENSG00000005700	ENST00000306270	1
ENSG00000005801	ENST00000343338	3
ENSG00000005810	ENST00000544440	1
ENSG00000005812	ENST00000355619	1
ENSG00000005882	ENST00000503176	1
ENSG00000005884	ENST00000007722	1
ENSG00000005961	ENST00000588098	1
ENSG00000006007	ENST00000353258	1
ENSG00000006015	ENST00000358607	1
ENSG00000006016	ENST00000594325	1
ENSG00000006118	ENST00000005286	1
ENSG00000006125	ENST00000590432	2
ENSG00000006194	ENST00000219069	1
ENSG00000006210	ENST00000006053	1
ENSG00000006282	ENST00000356488	1
ENSG00000006377	ENST00000518156	1
ENSG00000006432	ENST00000381250	1
ENSG00000006451	ENST00000468201	2
ENSG00000006468	ENST00000242066	1
ENSG00000006530	ENST00000473247	1
ENSG00000006534	ENST00000342456	1
ENSG00000006576	ENST00000275575	1
ENSG00000006607	ENST00000264042	1
ENSG00000006625	ENST00000005374	2
ENSG00000006634	ENST00000265728	1
ENSG00000006638	ENST00000375190	1
ENSG00000006652	ENST00000403825	1
ENSG00000006695	ENST00000261643	1
ENSG00000006704	ENST00000455841	1
ENSG00000006712	ENST00000221265	3
ENSG00000006715	ENST00000265745	1
ENSG00000006740	ENST00000340825	1
ENSG00000006744	ENST00000338034	1
ENSG00000006747	ENST00000417018	1
ENSG00000006831	ENST00000357103	1
ENSG00000006837	ENST00000519312	1
ENSG00000007001	ENST00000605860	1
ENSG00000007047	ENST00000587566	1
ENSG00000007062	ENST00000502501	1
ENSG00000007080	ENST00000445755	1
ENSG00000007174	ENST00000262442	2
ENSG00000007202	ENST00000528896	1
ENSG00000007306	ENST00000599715	1
ENSG00000007341	ENST00000358039	1
ENSG00000007372	ENST00000379111	2
ENSG00000007392	ENST00000293872	2
ENSG00000007520	ENST00000007390	1
ENSG00000007923	ENST00000426784	1
ENSG00000008018	ENST00000262193	1
ENSG00000008083	ENST00000341776	1
ENSG00000008086	ENST00000379989	1
ENSG00000008128	ENST00000357760	1
ENSG00000008256	ENST00000350796	1
ENSG00000008277	ENST00000398201	2
ENSG00000008282	ENST00000011473	1
ENSG00000008294	ENST00000510283	2
ENSG00000008311	ENST00000417368	1
ENSG00000008324	ENST00000011691	2
ENSG00000008394	ENST00000396210	1
ENSG00000008513	ENST00000519924	1
ENSG00000008838	ENST00000356271	1
ENSG00000008869	ENST00000233099	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009307	ENST00000261443	1
ENSG00000009413	ENST00000368802	1
ENSG00000009709	ENST00000400661	1
ENSG00000009830	ENST00000261534	1
ENSG00000009844	ENST00000452973	2
ENSG00000009954	ENST00000339594	1
ENSG00000010017	ENST00000011619	1
ENSG00000010165	ENST00000485629	2
ENSG00000010219	ENST00000536137	1
ENSG00000010244	ENST00000321233	1
ENSG00000010256	ENST00000412343	2
ENSG00000010270	ENST00000009041	2
ENSG00000010278	ENST00000382518	1
ENSG00000010292	ENST00000382457	2
ENSG00000010310	ENST00000593127	1
ENSG00000010318	ENST00000327906	1
ENSG00000010319	ENST00000231721	1
ENSG00000010361	ENST00000531017	2
ENSG00000010539	ENST00000396870	1
ENSG00000010626	ENST00000433346	2
ENSG00000010803	ENST00000460215	1
ENSG00000010810	ENST00000354650	1
ENSG00000010818	ENST00000367603	1
ENSG00000011009	ENST00000374502	1
ENSG00000011021	ENST00000312413	1
ENSG00000011052	ENST00000555572	2
ENSG00000011114	ENST00000298896	1
ENSG00000011143	ENST00000313863	1
ENSG00000011198	ENST00000013894	1
ENSG00000011243	ENST00000397410	1
ENSG00000011258	ENST00000405860	1
ENSG00000011260	ENST00000225298	2
ENSG00000011275	ENST00000411812	1
ENSG00000011295	ENST00000466729	1
ENSG00000011304	ENST00000349038	1
ENSG00000011332	ENST00000355526	1
ENSG00000011376	ENST00000265537	2
ENSG00000011422	ENST00000221264	1
ENSG00000011426	ENST00000265748	1
ENSG00000011451	ENST00000599910	1
ENSG00000011523	ENST00000260569	1
ENSG00000011566	ENST00000437545	1
ENSG00000012048	ENST00000468300	1
ENSG00000012061	ENST00000300853	1
ENSG00000012171	ENST00000416295	1
ENSG00000012174	ENST00000365779	1
ENSG00000012211	ENST00000376310	1
ENSG00000012223	ENST00000443496	1
ENSG00000012232	ENST00000220562	1
ENSG00000012660	ENST00000370913	2
ENSG00000012817	ENST00000317961	1
ENSG00000012822	ENST00000548431	1
ENSG00000012963	ENST00000013070	1
ENSG00000012983	ENST00000013125	2
ENSG00000013275	ENST00000157812	2
ENSG00000013297	ENST00000064724	1
ENSG00000013306	ENST00000225308	1
ENSG00000013374	ENST00000413040	1
ENSG00000013375	ENST00000283977	1
ENSG00000013392	ENST00000369724	1
ENSG00000013441	ENST00000321356	2
ENSG00000013523	ENST00000251089	2
ENSG00000013561	ENST00000347642	1
ENSG00000013563	ENST00000309585	1
ENSG00000013573	ENST00000535317	2
ENSG00000013583	ENST00000014930	1
ENSG00000013725	ENST00000541964	1
ENSG00000013810	ENST00000313288	1
ENSG00000014123	ENST00000369278	1
ENSG00000014138	ENST00000265465	1
ENSG00000014164	ENST00000262577	1
ENSG00000014216	ENST00000527323	1
ENSG00000014257	ENST00000336375	2
ENSG00000014641	ENST00000409908	2
ENSG00000014824	ENST00000264451	1
ENSG00000014919	ENST00000016171	1
ENSG00000015413	ENST00000564281	1
ENSG00000015479	ENST00000394805	1
ENSG00000015676	ENST00000464812	1
ENSG00000016082	ENST00000505475	1
ENSG00000016864	ENST00000266014	2
ENSG00000017427	ENST00000424202	2
ENSG00000018236	ENST00000547849	1
ENSG00000018408	ENST00000360632	2
ENSG00000018510	ENST00000264167	1
ENSG00000018610	ENST00000320339	1
ENSG00000018869	ENST00000301310	1
ENSG00000019144	ENST00000526374	1
ENSG00000019505	ENST00000533332	1
ENSG00000019549	ENST00000020945	1
ENSG00000019582	ENST00000009530	1
ENSG00000020129	ENST00000356090	1
ENSG00000020181	ENST00000315215	1
ENSG00000020256	ENST00000361387	1
ENSG00000020426	ENST00000261245	1
ENSG00000020577	ENST00000251091	1
ENSG00000020922	ENST00000536144	1
ENSG00000021300	ENST00000354190	1
ENSG00000021355	ENST00000380739	1
ENSG00000021574	ENST00000345662	1
ENSG00000021645	ENST00000281127	2
ENSG00000021762	ENST00000263650	1
ENSG00000021776	ENST00000543879	1
ENSG00000021826	ENST00000417946	1
ENSG00000022277	ENST00000395881	2
ENSG00000022355	ENST00000638112	1
ENSG00000022567	ENST00000024061	1
ENSG00000023041	ENST00000369405	1
ENSG00000023171	ENST00000456860	1
ENSG00000023228	ENST00000233190	1
ENSG00000023287	ENST00000025008	1
ENSG00000023318	ENST00000262455	1
ENSG00000023330	ENST00000310271	1
ENSG00000023445	ENST00000263464	1
ENSG00000023572	ENST00000367440	1
ENSG00000023697	ENST00000524480	1
ENSG00000023734	ENST00000025399	1
ENSG00000023892	ENST00000316637	2
ENSG00000023909	ENST00000370238	1
ENSG00000024048	ENST00000372899	1
ENSG00000024422	ENST00000540884	1
ENSG00000024526	ENST00000456315	1
ENSG00000024862	ENST00000332797	1
ENSG00000025156	ENST00000368455	1
ENSG00000025293	ENST00000461122	1
ENSG00000025423	ENST00000555159	1
ENSG00000025434	ENST00000395397	2
ENSG00000025770	ENST00000299821	2
ENSG00000025772	ENST00000372813	1
ENSG00000025796	ENST00000369002	1
