cytoband	11q13.3	8p11.23	20q13.2	19q13.43	8q24.13	17q23.2	1q43	15q26.2	11p13	6q13	10q21.3	3q28	17p11.2	10p15.1	7p21.2	4q31.21	5p14.3	13q32.2	16p13.2	17q24.3	19p13.2	1p31.3	16q12.1	21q22.3	2p25.1	20q11.23	2q24.3	4p15.1	9p24.1	12p11.22	12q24.13	3p22.3	Xp21.3	18p11.31	13q12.3	7q21.3	14q32.2	11q24.2	1q21.2	8p22	18q12.2	16p11.2	6p24.3	6p22.3	
q value	1.3515e-21	1.0744e-19	1.359e-06	5.2162e-05	0.00014532	0.00014097	0.00085256	0.0020356	0.0026819	0.0074477	0.007531	0.0080125	0.011679	0.014325	0.019691	0.019868	0.02214	0.020867	0.028836	0.0026819	0.038805	0.045828	0.046755	0.060924	0.07035	0.055479	0.072982	0.072982	0.081303	0.089984	0.089984	0.092655	0.10547	0.10934	0.10934	0.12499	0.13396	0.13768	0.013047	0.11294	0.17115	0.13768	0.092655	0.081303	
residual q value	1.3515e-21	1.8275e-19	2.0522e-06	5.2162e-05	0.00014532	0.00074208	0.0012612	0.0020356	0.0026819	0.0074477	0.007531	0.0080125	0.011679	0.014325	0.019691	0.019868	0.02214	0.022813	0.033627	0.03561	0.038805	0.045828	0.049562	0.060924	0.07035	0.07035	0.072982	0.072982	0.081303	0.089984	0.089984	0.092655	0.10547	0.10934	0.11671	0.12499	0.13396	0.13768	0.17115	0.17115	0.17115	0.19568	0.22266	0.90278	
wide peak boundaries	chr11:69455582-69537026	chr8:37455570-37708883	chr20:53210118-53916097	chr19:57207248-57887587	chr8:122422312-122432548	chr17:59376086-62502633	chr1:239135696-239145315	chr15:97563924-97573656	chr11:33936159-33942692	chr6:71531479-71537552	chr10:67707283-67729240	chr3:189482142-189487574	chr17:20994702-21016190	chr10:4971325-4997371	chr7:13929642-13939574	chr4:143798105-143815906	chr5:22482364-22489518	chr13:97522958-97525262	chr16:9713931-9717277	chr17:72879842-72883420	chr19:8699089-8706231	chr1:64268697-64279932	chr16:50498261-50512380	chr21:41477658-41485182	chr2:7089617-7097190	chr20:37090163-37092794	chr2:167627311-167638318	chr4:27900886-27911833	chr9:5024481-5039433	chr12:29180785-29185531	chr12:112489042-112503862	chr3:36260467-36268403	chrX:29175171-29181833	chr18:6939010-6941108	chr13:25890245-30655383	chr7:93691368-93696368	chr14:97662844-97680984	chr11:124241035-124248599	chr1:119981333-152770672	chr8:13242737-13252294	chr18:36815578-36821038	chr16:30446030-46473752	chr6:8230713-8240620	chr6:1-170805979	
genes in wide peak	LINC01488	ZNF703	ZNF217	hsa-mir-1274b	LOC105375734	CA4	[CHRM3]	[LOC101927310]	[LMO2]	[LINC01626]	[CTNNA3]	[TP63]	USP22	AKR1C1	ETV1	[LOC105377458]	CDH12	[RAP2A]	[GRIN2A]	SLC39A11	[ACTL9]	[UBE2U]	[NKD1]	TMPRSS2	[LOC101929452]	RBL1	[LOC105616981]	[LOC101929199]	JAK2	FAR2	PTPN11	[STAC]	IL1RAPL1	[LAMA1]	CDK8	[MIR4652]	LOC100129345	[OR8G1]	ARNT	DLC1	TPGS2	hsa-mir-1826	[EEF1E1-BLOC1S5]	hsa-mir-2113	
		LINC01605	TSHZ2	FKBP1AP1		CLTC								AKR1C2																					CDX2				BCL9			COX6A2		ABCF1	
			SUMO1P1	AURKC		RPS6KB1																													FLT1				CTSK			CTF1		ACAT2	
			LOC101927770	ZNF17		TBX2																													FLT3				CTSS			FUS		CRISP1	
			LOC105372672	ZNF134		PPM1D																													GPR12				DRD5P2			ITGAD		AGER	
				ZNF154		TBX4																													GTF3A				ECM1			ITGAL		AIF1	
				ZNF264		MED13																													HMGB1				ENSA			ITGAM		AIM1	
