ctcf	sequence	type
MACS_peak_579	ENSG00000156869	promoter
MACS_peak_690	ENSG00000116266	promoter
MACS_peak_1050	ENSG00000163156	promoter
MACS_peak_1050	ENSG00000163154	promoter
MACS_peak_1097	ENSG00000163346	promoter
MACS_peak_1104	ENSG00000143630	promoter
MACS_peak_1165	ENSG00000162755	promoter
MACS_peak_1245	ENSG00000117523	promoter
MACS_peak_1583	ENSG00000122176	promoter
MACS_peak_1594	ENSG00000182004	promoter
MACS_peak_1616	ENSG00000133059	promoter
MACS_peak_1619	ENSG00000162873	promoter
MACS_peak_1648	ENSG00000162891	promoter
MACS_peak_1794	ENSG00000154370	promoter
MACS_peak_43	ENSG00000189339	gene
MACS_peak_44	ENSG00000067606	gene
MACS_peak_45	ENSG00000116151	gene
MACS_peak_46	ENSG00000142611	gene
MACS_peak_48	ENSG00000078900	gene
MACS_peak_50	ENSG00000116198	gene
MACS_peak_57	ENSG00000097021	gene
MACS_peak_60	ENSG00000171735	gene
MACS_peak_61	ENSG00000171735	gene
MACS_peak_62	ENSG00000171735	gene
MACS_peak_63	ENSG00000171735	gene
MACS_peak_64	ENSG00000171735	gene
MACS_peak_65	ENSG00000171735	gene
MACS_peak_66	ENSG00000049246	gene
MACS_peak_67	ENSG00000116288	gene
MACS_peak_70	ENSG00000142599	gene
MACS_peak_73	ENSG00000180758	gene
MACS_peak_80	ENSG00000142655	gene
MACS_peak_81	ENSG00000171824	gene
MACS_peak_83	ENSG00000116661	gene
MACS_peak_84	ENSG00000083444	gene
MACS_peak_85	ENSG00000120949	gene
MACS_peak_94	ENSG00000189337	gene
MACS_peak_95	ENSG00000189337	gene
MACS_peak_96	ENSG00000142621	gene
MACS_peak_97	ENSG00000197312	gene
MACS_peak_100	ENSG00000219481	gene
MACS_peak_101	ENSG00000219481	gene
MACS_peak_102	ENSG00000219481	gene
MACS_peak_103	ENSG00000219481	gene
MACS_peak_104	ENSG00000219481	gene
MACS_peak_109	ENSG00000058453	gene
MACS_peak_110	ENSG00000058453	gene
MACS_peak_111	ENSG00000179051	gene
MACS_peak_122	ENSG00000117245	gene
MACS_peak_123	ENSG00000075151	gene
MACS_peak_124	ENSG00000075151	gene
MACS_peak_127	ENSG00000090686	gene
MACS_peak_128	ENSG00000090686	gene
MACS_peak_130	ENSG00000133216	gene
MACS_peak_134	ENSG00000001460	gene
MACS_peak_135	ENSG00000117602	gene
MACS_peak_136	ENSG00000133226	gene
MACS_peak_137	ENSG00000169504	gene
MACS_peak_138	ENSG00000169504	gene
MACS_peak_140	ENSG00000117616	gene
MACS_peak_140	ENSG00000187010	gene
MACS_peak_141	ENSG00000188672	gene
MACS_peak_142	ENSG00000188672	gene
MACS_peak_147	ENSG00000158008	gene
MACS_peak_149	ENSG00000176092	gene
MACS_peak_150	ENSG00000176083	gene
MACS_peak_154	ENSG00000142751	gene
MACS_peak_155	ENSG00000253368	gene
MACS_peak_157	ENSG00000142784	gene
MACS_peak_158	ENSG00000126705	gene
MACS_peak_159	ENSG00000126709	gene
MACS_peak_161	ENSG00000158161	gene
MACS_peak_162	ENSG00000204138	gene
MACS_peak_163	ENSG00000120656	gene
MACS_peak_164	ENSG00000162419	gene
MACS_peak_166	ENSG00000116329	gene
MACS_peak_168	ENSG00000060656	gene
MACS_peak_169	ENSG00000060656	gene
MACS_peak_178	ENSG00000084636	gene
MACS_peak_180	ENSG00000025800	gene
MACS_peak_181	ENSG00000222046	gene
MACS_peak_181	ENSG00000160055	gene
MACS_peak_182	ENSG00000254553	gene
MACS_peak_183	ENSG00000254553	gene
MACS_peak_184	ENSG00000254553	gene
MACS_peak_184	ENSG00000160062	gene
MACS_peak_186	ENSG00000121904	gene
MACS_peak_187	ENSG00000121904	gene
MACS_peak_188	ENSG00000121904	gene
MACS_peak_193	ENSG00000163866	gene
MACS_peak_194	ENSG00000116544	gene
MACS_peak_196	ENSG00000271741	gene
MACS_peak_196	ENSG00000163867	gene
MACS_peak_198	ENSG00000146463	gene
MACS_peak_199	ENSG00000054116	gene
MACS_peak_203	ENSG00000204084	gene
MACS_peak_204	ENSG00000183431	gene
MACS_peak_205	ENSG00000183431	gene
MACS_peak_210	ENSG00000043514	gene
MACS_peak_214	ENSG00000131238	gene
MACS_peak_215	ENSG00000117000	gene
MACS_peak_216	ENSG00000117000	gene
MACS_peak_217	ENSG00000188800	gene
MACS_peak_218	ENSG00000084070	gene
MACS_peak_221	ENSG00000010803	gene
MACS_peak_222	ENSG00000010803	gene
MACS_peak_223	ENSG00000127124	gene
MACS_peak_225	ENSG00000127124	gene
MACS_peak_227	ENSG00000198815	gene
MACS_peak_229	ENSG00000186409	gene
MACS_peak_231	ENSG00000126091	gene
MACS_peak_231	ENSG00000284989	gene
MACS_peak_235	ENSG00000187147	gene
MACS_peak_236	ENSG00000126106	gene
MACS_peak_239	ENSG00000117425	gene
MACS_peak_240	ENSG00000162415	gene
MACS_peak_241	ENSG00000117450	gene
MACS_peak_241	ENSG00000132763	gene
MACS_peak_242	ENSG00000197429	gene
MACS_peak_243	ENSG00000086015	gene
MACS_peak_244	ENSG00000086015	gene
MACS_peak_245	ENSG00000086015	gene
MACS_peak_247	ENSG00000117480	gene
MACS_peak_250	ENSG00000079277	gene
MACS_peak_251	ENSG00000159658	gene
MACS_peak_253	ENSG00000142973	gene
MACS_peak_256	ENSG00000186160	gene
MACS_peak_257	ENSG00000186160	gene
MACS_peak_263	ENSG00000186564	gene
MACS_peak_265	ENSG00000269113	gene
MACS_peak_274	ENSG00000186094	gene
MACS_peak_275	ENSG00000186094	gene
MACS_peak_276	ENSG00000186094	gene
MACS_peak_277	ENSG00000186094	gene
MACS_peak_278	ENSG00000186094	gene
MACS_peak_279	ENSG00000186094	gene
MACS_peak_280	ENSG00000186094	gene
MACS_peak_281	ENSG00000186094	gene
MACS_peak_282	ENSG00000186094	gene
MACS_peak_283	ENSG00000186094	gene
MACS_peak_284	ENSG00000186094	gene
MACS_peak_285	ENSG00000186094	gene
MACS_peak_286	ENSG00000186094	gene
MACS_peak_287	ENSG00000186094	gene
MACS_peak_288	ENSG00000186094	gene
MACS_peak_289	ENSG00000186094	gene
MACS_peak_291	ENSG00000185104	gene
MACS_peak_292	ENSG00000185104	gene
MACS_peak_293	ENSG00000185104	gene
MACS_peak_298	ENSG00000085831	gene
MACS_peak_299	ENSG00000117859	gene
MACS_peak_300	ENSG00000085840	gene
MACS_peak_301	ENSG00000162377	gene
MACS_peak_302	ENSG00000162378	gene
MACS_peak_304	ENSG00000203995	gene
MACS_peak_306	ENSG00000058799	gene
MACS_peak_307	ENSG00000116212	gene
MACS_peak_311	ENSG00000284686	gene
MACS_peak_312	ENSG00000162407	gene
MACS_peak_313	ENSG00000162407	gene
MACS_peak_314	ENSG00000162409	gene
MACS_peak_316	ENSG00000021852	gene
MACS_peak_317	ENSG00000173406	gene
MACS_peak_318	ENSG00000173406	gene
MACS_peak_319	ENSG00000173406	gene
MACS_peak_320	ENSG00000173406	gene
MACS_peak_320	ENSG00000162600	gene
