ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
hsa04726	Serotonergic synapse	4/29	25/2981	7.94212114180226e-05	0.00675924551476667	0.00534851369226546	ENSG00000065135/ENSG00000142875/ENSG00000174021/ENSG00000213281	4	534
hsa04725	Cholinergic synapse	4/29	26/2981	9.32309726174713e-05	0.00675924551476667	0.00534851369226546	ENSG00000065135/ENSG00000142875/ENSG00000174021/ENSG00000213281	4	534
hsa03050	Proteasome	7/67	39/2981	1.83551893044641e-05	0.00278998877427854	0.00278226027351877	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000092010	7	169
hsa05168	Herpes simplex virus 1 infection	22/47	309/2981	1.43544143540328e-10	7.46429546409705e-09	7.46429546409705e-09	ENSG00000120784/ENSG00000171827/ENSG00000180479/ENSG00000185869/ENSG00000186017/ENSG00000186020/ENSG00000188227/ENSG00000188283/ENSG00000189042/ENSG00000189164/ENSG00000196437/ENSG00000196967/ENSG00000197050/ENSG00000197808/ENSG00000197841/ENSG00000197863/ENSG00000198182/ENSG00000198453/ENSG00000245680/ENSG00000089335/ENSG00000161298/ENSG00000181666	22	184
hsa00980	Metabolism of xenobiotics by cytochrome P450	2/4	12/2981	8.87566673586288e-05	0.000266270002075886	9.34280709038198e-05	ENSG00000053371/ENSG00000162482	2	69
hsa03010	Ribosome	59/82	115/2981	6.45057721034163e-72	3.74133478199814e-70	3.74133478199814e-70	ENSG00000083845/ENSG00000105372/ENSG00000105640/ENSG00000108107/ENSG00000108298/ENSG00000109475/ENSG00000112306/ENSG00000114391/ENSG00000115268/ENSG00000116251/ENSG00000122406/ENSG00000124614/ENSG00000125691/ENSG00000130255/ENSG00000131469/ENSG00000134419/ENSG00000136942/ENSG00000138326/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000142676/ENSG00000142937/ENSG00000144713/ENSG00000145425/ENSG00000145592/ENSG00000148303/ENSG00000149273/ENSG00000161016/ENSG00000162244/ENSG00000164587/ENSG00000168028/ENSG00000170889/ENSG00000171858/ENSG00000171863/ENSG00000172809/ENSG00000174748/ENSG00000177954/ENSG00000182774/ENSG00000182899/ENSG00000188846/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198755/ENSG00000198918/ENSG00000213741/ENSG00000221983/ENSG00000229117/ENSG00000231500/ENSG00000233927/ENSG00000241343/ENSG00000063177/ENSG00000105193/ENSG00000089009/ENSG00000071082/ENSG00000147604/ENSG00000163682/ENSG00000174444	59	146
hsa04110	Cell cycle	16/33	81/2981	1.53946845256076e-17	7.54339541754773e-16	6.15787381024304e-16	ENSG00000085840/ENSG00000093009/ENSG00000112742/ENSG00000117399/ENSG00000127564/ENSG00000134057/ENSG00000135476/ENSG00000145386/ENSG00000156970/ENSG00000157456/ENSG00000158402/ENSG00000164109/ENSG00000164611/ENSG00000166851/ENSG00000170312/ENSG00000007968	16	158
hsa04114	Oocyte meiosis	11/33	63/2981	2.05346113063623e-11	5.03097977005876e-10	4.10692226127246e-10	ENSG00000117399/ENSG00000127564/ENSG00000129810/ENSG00000134057/ENSG00000135476/ENSG00000157456/ENSG00000158402/ENSG00000164109/ENSG00000164611/ENSG00000166851/ENSG00000170312	11	158
hsa04914	Progesterone-mediated oocyte maturation	8/33	44/2981	1.22473073888403e-08	2.00039354017725e-07	1.63297431851204e-07	ENSG00000127564/ENSG00000134057/ENSG00000145386/ENSG00000157456/ENSG00000158402/ENSG00000164109/ENSG00000166851/ENSG00000170312	8	158
hsa04115	p53 signaling pathway	5/33	32/2981	1.97620296673544e-05	0.000204970510294651	0.000167322865546654	ENSG00000075218/ENSG00000134057/ENSG00000157456/ENSG00000170312/ENSG00000171848	5	158
hsa05166	Human T-cell leukemia virus 1 infection	8/33	113/2981	2.09153581933317e-05	0.000204970510294651	0.000167322865546654	ENSG00000117399/ENSG00000135476/ENSG00000145386/ENSG00000156970/ENSG00000157456/ENSG00000164109/ENSG00000164611/ENSG00000007968	8	158
hsa04218	Cellular senescence	6/33	78/2981	0.000166776889138021	0.00136201126129383	0.0011118459275868	ENSG00000111206/ENSG00000134057/ENSG00000145386/ENSG00000157456/ENSG00000170312/ENSG00000007968	6	158
hsa04380	Osteoclast differentiation	3/5	54/2981	5.48023308938924e-05	0.000767232632514494	0.000576866640988341	ENSG00000066336/ENSG00000095970/ENSG00000011600	3	36
hsa05322	Systemic lupus erythematosus	2/4	42/2981	0.00114235050062048	0.00587615826597963	0.00412361983577518	ENSG00000246705/ENSG00000197837	2	672
hsa05034	Alcoholism	2/4	55/2981	0.00195871942199321	0.00587615826597963	0.00412361983577518	ENSG00000246705/ENSG00000197837	2	672
hsa04614	Renin-angiotensin system	3/10	10/2981	3.22476767481171e-06	9.67430302443512e-05	7.12843380747851e-05	ENSG00000100448/ENSG00000163751/ENSG00000092009	3	167
hsa00052	Galactose metabolism	1/1	11/2981	0.00369003690036895	0.00849826680084975	NA	ENSG00000102393	1	95
hsa00561	Glycerolipid metabolism	1/1	16/2981	0.00536732640053683	0.00849826680084975	NA	ENSG00000102393	1	95
hsa00600	Sphingolipid metabolism	1/1	19/2981	0.00637370010063731	0.00849826680084975	NA	ENSG00000102393	1	95
hsa05168	Herpes simplex virus 1 infection	22/22	309/2981	1.10761297533121e-22	1.10761297533121e-22	NA	ENSG00000105136/ENSG00000121406/ENSG00000121417/ENSG00000131845/ENSG00000152433/ENSG00000152439/ENSG00000152454/ENSG00000166704/ENSG00000176293/ENSG00000178229/ENSG00000179909/ENSG00000183647/ENSG00000186230/ENSG00000186272/ENSG00000188785/ENSG00000196724/ENSG00000197128/ENSG00000198131/ENSG00000204519/ENSG00000251369/ENSG00000083817/ENSG00000083814	22	359
hsa05340	Primary immunodeficiency	7/16	14/2981	9.35114621317366e-14	4.39503872019162e-12	2.75612730493539e-12	ENSG00000115085/ENSG00000153563/ENSG00000167286/ENSG00000172116/ENSG00000182866/ENSG00000198851/ENSG00000147168	7	183
hsa04640	Hematopoietic cell lineage	6/16	32/2981	6.94090505955375e-09	1.63111268899513e-07	1.02287021930266e-07	ENSG00000110448/ENSG00000116824/ENSG00000153563/ENSG00000167286/ENSG00000172116/ENSG00000198851	6	183
hsa04658	Th1 and Th2 cell differentiation	6/16	41/2981	3.35507712924794e-08	5.25628750248844e-07	3.29621612698043e-07	ENSG00000115085/ENSG00000167286/ENSG00000182866/ENSG00000198851/ENSG00000073861/ENSG00000147168	6	183
hsa04659	Th17 cell differentiation	6/16	49/2981	1.0194104707875e-07	1.08574671215151e-06	6.80871398437676e-07	ENSG00000115085/ENSG00000167286/ENSG00000182866/ENSG00000198851/ENSG00000073861/ENSG00000147168	6	183
hsa04660	T cell receptor signaling pathway	6/16	50/2981	1.1550496937782e-07	1.08574671215151e-06	6.80871398437676e-07	ENSG00000115085/ENSG00000153563/ENSG00000167286/ENSG00000172116/ENSG00000182866/ENSG00000198851	6	183
