ID	Ensembl ID	SiteCount
ENSG00000007372	ENST00000524853	1
ENSG00000008083	ENST00000341776	1
ENSG00000011052	ENST00000376392	1
ENSG00000012174	ENST00000365779	1
ENSG00000012223	ENST00000493056	1
ENSG00000013725	ENST00000538288	1
ENSG00000021574	ENST00000345662	1
ENSG00000023445	ENST00000528940	1
ENSG00000024048	ENST00000372899	1
ENSG00000025434	ENST00000395397	1
ENSG00000033011	ENST00000588623	1
ENSG00000041802	ENST00000265245	1
ENSG00000047579	ENST00000509674	1
ENSG00000047648	ENST00000303025	1
ENSG00000048162	ENST00000614830	1
ENSG00000049449	ENST00000530348	1
ENSG00000052841	ENST00000525029	1
ENSG00000054938	ENST00000376324	1
ENSG00000056487	ENST00000396103	1
ENSG00000058866	ENST00000265022	1
ENSG00000059377	ENST00000336425	1
ENSG00000061455	ENST00000407847	1
ENSG00000063854	ENST00000397356	1
ENSG00000064205	ENST00000190983	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000064989	ENST00000392370	1
ENSG00000065809	ENST00000494865	1
ENSG00000066136	ENST00000372654	1
ENSG00000066654	ENST00000396083	1
ENSG00000070785	ENST00000360403	1
ENSG00000072041	ENST00000450363	1
ENSG00000073803	ENST00000265026	1
ENSG00000074416	ENST00000265052	1
ENSG00000074855	ENST00000159087	1
ENSG00000076321	ENST00000209884	1
ENSG00000076928	ENST00000594521	1
ENSG00000077097	ENST00000424225	1
ENSG00000079215	ENST00000505202	1
ENSG00000079308	ENST00000480665	1
ENSG00000079435	ENST00000600224	1
ENSG00000080503	ENST00000439732	1
ENSG00000080561	ENST00000262843	1
ENSG00000081177	ENST00000409014	1
ENSG00000081692	ENST00000620518	1
ENSG00000082014	ENST00000392811	1
ENSG00000082641	ENST00000581441	1
ENSG00000082898	ENST00000457483	1
ENSG00000084070	ENST00000372708	1
ENSG00000085185	ENST00000218147	1
ENSG00000085276	ENST00000464456	1
ENSG00000085465	ENST00000369732	1
ENSG00000085978	ENST00000392018	1
ENSG00000086758	ENST00000463852	1
ENSG00000087266	ENST00000515802	1
ENSG00000089250	ENST00000317775	1
ENSG00000089327	ENST00000423817	1
ENSG00000089818	ENST00000540083	1
ENSG00000090447	ENST00000204517	1
ENSG00000090487	ENST00000433215	1
ENSG00000090674	ENST00000264079	1
ENSG00000091947	ENST00000206380	1
ENSG00000092203	ENST00000447695	1
ENSG00000092421	ENST00000343348	1
ENSG00000092841	ENST00000548293	1
ENSG00000092969	ENST00000366929	1
ENSG00000094841	ENST00000530743	1
ENSG00000099968	ENST00000355028	1
ENSG00000099991	ENST00000454754	1
ENSG00000100038	ENST00000357179	1
ENSG00000100092	ENST00000471650	1
ENSG00000100206	ENST00000415483	1
ENSG00000100292	ENST00000216117	1
ENSG00000100311	ENST00000381551	1
ENSG00000100320	ENST00000405409	1
ENSG00000100353	ENST00000462641	1
ENSG00000100385	ENST00000216223	1
ENSG00000100605	ENST00000556185	1
ENSG00000101204	ENST00000626188	1
ENSG00000101333	ENST00000437503	1
ENSG00000102048	ENST00000380483	1
ENSG00000102109	ENST00000611033	1
ENSG00000102738	ENST00000323563	1
ENSG00000103174	ENST00000312251	1
ENSG00000103227	ENST00000545827	1
ENSG00000103342	ENST00000434724	1
ENSG00000103642	ENST00000261893	1
ENSG00000103657	ENST00000443617	1
ENSG00000104081	ENST00000397573	1
ENSG00000104221	ENST00000220659	1
ENSG00000105248	ENST00000262962	1
ENSG00000105409	ENST00000468774	1
ENSG00000105419	ENST00000561040	1
ENSG00000105486	ENST00000598938	1
ENSG00000105784	ENST00000394654	1
ENSG00000105948	ENST00000343187	1
ENSG00000106028	ENST00000265304	1
ENSG00000106034	ENST00000340646	1
ENSG00000106066	ENST00000455544	1
ENSG00000106246	ENST00000430982	1
ENSG00000106278	ENST00000449182	1
ENSG00000106344	ENST00000223073	1
ENSG00000106366	ENST00000223095	1
ENSG00000107105	ENST00000380117	1
ENSG00000107371	ENST00000489414	1
ENSG00000107614	ENST00000354631	1
ENSG00000108094	ENST00000374751	1
ENSG00000108349	ENST00000581849	1
ENSG00000108591	ENST00000225729	1
ENSG00000108666	ENST00000225805	1
ENSG00000109381	ENST00000420916	1
ENSG00000109670	ENST00000604822	1
ENSG00000109686	ENST00000604030	1
ENSG00000110057	ENST00000227471	1
ENSG00000110514	ENST00000342922	1
ENSG00000110713	ENST00000530516	1
ENSG00000110844	ENST00000547764	1
ENSG00000110987	ENST00000432926	1
ENSG00000111364	ENST00000238146	1
ENSG00000111701	ENST00000229304	1
ENSG00000111783	ENST00000549040	1
ENSG00000112282	ENST00000354577	1
ENSG00000112294	ENST00000479394	1
ENSG00000113141	ENST00000502899	1
ENSG00000113558	ENST00000517625	1
ENSG00000113657	ENST00000398514	1
ENSG00000113742	ENST00000517880	1
ENSG00000114019	ENST00000506107	1
ENSG00000114251	ENST00000264634	1
ENSG00000114268	ENST00000422701	1
ENSG00000114439	ENST00000325805	1
ENSG00000114541	ENST00000483668	1
ENSG00000114650	ENST00000495603	1
ENSG00000114805	ENST00000494598	1
ENSG00000115274	ENST00000233331	1
ENSG00000115286	ENST00000313408	1
ENSG00000115541	ENST00000233893	1
ENSG00000115875	ENST00000415527	1
ENSG00000116161	ENST00000461977	1
ENSG00000116497	ENST00000373476	1
ENSG00000116698	ENST00000440812	1
ENSG00000116991	ENST00000308942	1
ENSG00000117245	ENST00000498225	1
ENSG00000117461	ENST00000372006	1
ENSG00000117543	ENST00000492067	1
ENSG00000117620	ENST00000370153	1
ENSG00000117713	ENST00000430799	1
ENSG00000118160	ENST00000236877	1
ENSG00000119333	ENST00000372715	1
ENSG00000119760	ENST00000337768	1
ENSG00000120008	ENST00000605069	1
ENSG00000120251	ENST00000264426	1
ENSG00000120278	ENST00000358517	1
ENSG00000120457	ENST00000338350	1
ENSG00000120709	ENST00000511024	1
ENSG00000120896	ENST00000518512	1
ENSG00000120903	ENST00000407991	1
ENSG00000120907	ENST00000380573	1
ENSG00000120915	ENST00000518328	1
ENSG00000121989	ENST00000465329	1
ENSG00000122756	ENST00000417345	1
ENSG00000123146	ENST00000242786	1
ENSG00000123154	ENST00000547255	1
ENSG00000123411	ENST00000551701	1
ENSG00000124006	ENST00000491370	1
ENSG00000124762	ENST00000459970	1
ENSG00000124785	ENST00000616243	1
ENSG00000125895	ENST00000381894	1
ENSG00000125931	ENST00000417400	1
ENSG00000125952	ENST00000246163	1
ENSG00000126226	ENST00000246505	1
ENSG00000127241	ENST00000169293	1
ENSG00000127483	ENST00000491748	1
ENSG00000127507	ENST00000392962	1
ENSG00000128573	ENST00000350908	1
ENSG00000128710	ENST00000490088	1
ENSG00000129521	ENST00000551935	1
ENSG00000130244	ENST00000586372	1
ENSG00000130299	ENST00000361619	1
ENSG00000130822	ENST00000458354	1
ENSG00000130940	ENST00000344008	1
ENSG00000131051	ENST00000338163	1
ENSG00000131188	ENST00000507881	1
ENSG00000131446	ENST00000446023	1
ENSG00000131748	ENST00000583718	1
ENSG00000132405	ENST00000446947	1
ENSG00000132423	ENST00000254759	1
ENSG00000133636	ENST00000256010	1
ENSG00000133878	ENST00000522982	1
ENSG00000133983	ENST00000389912	1
ENSG00000134056	ENST00000503793	1
ENSG00000134138	ENST00000338564	1
ENSG00000134504	ENST00000584630	1
ENSG00000134532	ENST00000367206	1
ENSG00000134575	ENST00000256997	1
ENSG00000134684	ENST00000481895	1
ENSG00000134769	ENST00000283365	1
ENSG00000134986	ENST00000507032	1
ENSG00000135093	ENST00000257548	1
ENSG00000135205	ENST00000415740	1
ENSG00000135392	ENST00000357606	1
