ID	Ensembl ID	SiteCount
ENSG00000002586	ENST00000381180	1
ENSG00000004487	ENST00000356634	1
ENSG00000006451	ENST00000468201	1
ENSG00000007264	ENST00000591059	1
ENSG00000014216	ENST00000533820	1
ENSG00000028839	ENST00000457715	1
ENSG00000041880	ENST00000398755	1
ENSG00000046647	ENST00000380523	1
ENSG00000047346	ENST00000561543	1
ENSG00000051108	ENST00000439977	1
ENSG00000052126	ENST00000538034	1
ENSG00000054282	ENST00000366541	1
ENSG00000057935	ENST00000461256	1
ENSG00000061656	ENST00000498203	1
ENSG00000062282	ENST00000228027	1
ENSG00000062485	ENST00000547298	1
ENSG00000062524	ENST00000355166	1
ENSG00000065243	ENST00000316005	1
ENSG00000066027	ENST00000261461	1
ENSG00000069702	ENST00000212355	1
ENSG00000070444	ENST00000571836	1
ENSG00000070731	ENST00000225276	1
ENSG00000072210	ENST00000176643	1
ENSG00000072274	ENST00000360110	1
ENSG00000073921	ENST00000526033	1
ENSG00000074317	ENST00000393693	1
ENSG00000074410	ENST00000344366	1
ENSG00000074527	ENST00000538383	1
ENSG00000074755	ENST00000381638	1
ENSG00000075651	ENST00000356327	2
ENSG00000075856	ENST00000548582	1
ENSG00000077616	ENST00000321955	1
ENSG00000083223	ENST00000277141	1
ENSG00000085741	ENST00000529461	1
ENSG00000086475	ENST00000327347	1
ENSG00000087077	ENST00000417475	1
ENSG00000088986	ENST00000392509	1
ENSG00000090554	ENST00000204637	1
ENSG00000091136	ENST00000222399	1
ENSG00000091181	ENST00000445701	1
ENSG00000092421	ENST00000343348	1
ENSG00000094914	ENST00000551724	1
ENSG00000097033	ENST00000370558	1
ENSG00000099194	ENST00000370355	1
ENSG00000100038	ENST00000357179	1
ENSG00000100221	ENST00000490169	1
ENSG00000100225	ENST00000397426	1
ENSG00000100344	ENST00000478713	1
ENSG00000100605	ENST00000557309	1
ENSG00000100926	ENST00000261789	1
ENSG00000101144	ENST00000395863	1
ENSG00000102796	ENST00000497151	1
ENSG00000103024	ENST00000561637	1
ENSG00000103356	ENST00000449606	1
ENSG00000104427	ENST00000263849	1
ENSG00000104529	ENST00000531281	1
ENSG00000104679	ENST00000518840	1
ENSG00000104756	ENST00000518067	1
ENSG00000104833	ENST00000598006	1
ENSG00000104894	ENST00000600121	1
ENSG00000104907	ENST00000357720	1
ENSG00000104953	ENST00000474207	1
ENSG00000105523	ENST00000599126	1
ENSG00000105974	ENST00000341049	1
ENSG00000106785	ENST00000341469	1
ENSG00000107175	ENST00000486056	1
ENSG00000107331	ENST00000398207	1
ENSG00000107614	ENST00000424636	1
ENSG00000107821	ENST00000465807	1
ENSG00000107897	ENST00000375888	1
ENSG00000107968	ENST00000413724	1
ENSG00000108375	ENST00000577716	1
ENSG00000108578	ENST00000577623	1
ENSG00000108599	ENST00000225737	1
ENSG00000108784	ENST00000225927	1
ENSG00000108852	ENST00000461854	1
ENSG00000108953	ENST00000264335	1
ENSG00000108961	ENST00000580777	1
ENSG00000110921	ENST00000535044	1
ENSG00000111012	ENST00000228606	1
ENSG00000111596	ENST00000229195	1
ENSG00000111666	ENST00000229266	1
ENSG00000111679	ENST00000543115	1
ENSG00000111727	ENST00000229330	1
ENSG00000111786	ENST00000229390	1
ENSG00000111846	ENST00000397423	1
ENSG00000112294	ENST00000357578	1
ENSG00000112837	ENST00000606325	1
ENSG00000113441	ENST00000231368	1
ENSG00000114115	ENST00000487424	1
ENSG00000114166	ENST00000263754	1
ENSG00000114416	ENST00000305586	1
