ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000000460	ENST00000359326	1
ENSG00000001084	ENST00000229416	1
ENSG00000001630	ENST00000003100	1
ENSG00000002016	ENST00000358495	1
ENSG00000002726	ENST00000493429	1
ENSG00000002822	ENST00000399654	1
ENSG00000002834	ENST00000419929	1
ENSG00000002933	ENST00000484928	1
ENSG00000003400	ENST00000272879	1
ENSG00000003509	ENST00000002125	1
ENSG00000004455	ENST00000354858	1
ENSG00000004660	ENST00000381769	1
ENSG00000004700	ENST00000421138	1
ENSG00000004866	ENST00000489293	1
ENSG00000004975	ENST00000005340	1
ENSG00000005020	ENST00000345317	1
ENSG00000005100	ENST00000225296	1
ENSG00000005156	ENST00000262327	1
ENSG00000005339	ENST00000572134	1
ENSG00000005981	ENST00000257621	1
ENSG00000006125	ENST00000590538	1
ENSG00000006194	ENST00000575332	1
ENSG00000006282	ENST00000006658	1
ENSG00000006607	ENST00000471447	1
ENSG00000006634	ENST00000265728	1
ENSG00000006712	ENST00000416728	1
ENSG00000007174	ENST00000579703	1
ENSG00000008226	ENST00000308059	1
ENSG00000008256	ENST00000481329	1
ENSG00000008277	ENST00000265727	1
ENSG00000008513	ENST00000518298	1
ENSG00000009307	ENST00000530886	1
ENSG00000009844	ENST00000367630	1
ENSG00000010292	ENST00000315579	1
ENSG00000010539	ENST00000396868	1
ENSG00000010704	ENST00000309234	1
ENSG00000010810	ENST00000518630	1
ENSG00000011052	ENST00000376392	1
ENSG00000011114	ENST00000298896	1
ENSG00000011275	ENST00000389902	1
ENSG00000011426	ENST00000452877	1
ENSG00000011454	ENST00000456584	1
ENSG00000012048	ENST00000352993	1
ENSG00000012061	ENST00000013807	1
ENSG00000012124	ENST00000598537	1
ENSG00000012171	ENST00000616701	1
ENSG00000012660	ENST00000304434	1
ENSG00000013588	ENST00000537783	1
ENSG00000014914	ENST00000466496	1
ENSG00000015676	ENST00000355451	1
ENSG00000018408	ENST00000360632	1
ENSG00000019549	ENST00000020945	1
ENSG00000020256	ENST00000456175	1
ENSG00000020577	ENST00000553988	1
ENSG00000021355	ENST00000460260	1
ENSG00000021776	ENST00000156471	1
ENSG00000023734	ENST00000025399	1
ENSG00000023892	ENST00000316637	1
ENSG00000025293	ENST00000339089	1
ENSG00000026508	ENST00000526553	1
ENSG00000028528	ENST00000261889	1
ENSG00000028839	ENST00000237264	1
ENSG00000030110	ENST00000360661	1
ENSG00000031691	ENST00000335783	1
ENSG00000031823	ENST00000340578	1
ENSG00000032444	ENST00000600737	1
ENSG00000033178	ENST00000322244	1
ENSG00000033627	ENST00000587299	1
ENSG00000034677	ENST00000523481	1
ENSG00000035115	ENST00000403657	1
ENSG00000035928	ENST00000349703	1
ENSG00000036257	ENST00000264414	1
ENSG00000036549	ENST00000370801	1
ENSG00000038532	ENST00000409790	1
ENSG00000040275	ENST00000503209	1
ENSG00000040633	ENST00000570899	1
ENSG00000042429	ENST00000251871	1
ENSG00000042445	ENST00000295802	1
ENSG00000042493	ENST00000415012	1
ENSG00000042753	ENST00000263270	1
ENSG00000042832	ENST00000519294	1
ENSG00000044524	ENST00000452448	1
ENSG00000044574	ENST00000324460	1
ENSG00000046647	ENST00000332885	1
ENSG00000047249	ENST00000359530	1
ENSG00000047315	ENST00000314595	1
ENSG00000047410	ENST00000451586	1
ENSG00000047578	ENST00000261588	1
ENSG00000047932	ENST00000535237	1
ENSG00000048052	ENST00000456174	1
ENSG00000049323	ENST00000415140	1
ENSG00000050165	ENST00000526218	1
ENSG00000050405	ENST00000552008	1
ENSG00000050426	ENST00000551477	1
ENSG00000053254	ENST00000553353	1
ENSG00000053501	ENST00000263897	1
ENSG00000056277	ENST00000370978	1
ENSG00000057608	ENST00000608581	1
ENSG00000057663	ENST00000636335	1
ENSG00000057704	ENST00000552239	1
ENSG00000058272	ENST00000450142	1
ENSG00000058729	ENST00000283109	1
ENSG00000060339	ENST00000536391	1
ENSG00000060982	ENST00000342945	1
ENSG00000062194	ENST00000424459	1
ENSG00000062582	ENST00000317534	1
ENSG00000062716	ENST00000587470	1
ENSG00000063978	ENST00000503123	1
ENSG00000064102	ENST00000261191	1
ENSG00000064199	ENST00000227135	1
ENSG00000064601	ENST00000191018	1
ENSG00000064687	ENST00000433129	1
