ID	Ensembl ID	SiteCount
ENSG00000004487	ENST00000356634	1
ENSG00000010610	ENST00000536563	1
ENSG00000065534	ENST00000578202	1
ENSG00000070061	ENST00000374647	1
ENSG00000075151	ENST00000356916	1
ENSG00000085276	ENST00000264674	1
ENSG00000092421	ENST00000343348	1
ENSG00000095794	ENST00000344351	1
ENSG00000100483	ENST00000395859	1
ENSG00000103671	ENST00000261884	1
ENSG00000104221	ENST00000220659	1
ENSG00000104907	ENST00000357720	1
ENSG00000105677	ENST00000222284	1
ENSG00000106004	ENST00000222726	1
ENSG00000106609	ENST00000413593	1
ENSG00000108591	ENST00000225729	1
ENSG00000108826	ENST00000507088	1
ENSG00000111328	ENST00000544658	1
ENSG00000114541	ENST00000483668	1
ENSG00000115548	ENST00000312912	1
ENSG00000117697	ENST00000366976	1
ENSG00000117713	ENST00000430799	1
ENSG00000119328	ENST00000322940	1
ENSG00000119383	ENST00000432124	1
ENSG00000120093	ENST00000460160	1
ENSG00000122882	ENST00000372979	1
ENSG00000125864	ENST00000473415	1
ENSG00000131732	ENST00000507402	1
ENSG00000136193	ENST00000421434	1
ENSG00000136319	ENST00000258821	1
ENSG00000138286	ENST00000242505	1
ENSG00000138303	ENST00000461369	1
ENSG00000138696	ENST00000512312	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000141556	ENST00000572389	1
ENSG00000142599	ENST00000377464	1
ENSG00000143458	ENST00000368918	1
ENSG00000146872	ENST00000577616	1
ENSG00000154380	ENST00000483952	1
ENSG00000154920	ENST00000338165	1
ENSG00000156831	ENST00000521460	1
ENSG00000164251	ENST00000296677	1
ENSG00000164741	ENST00000520226	1
ENSG00000164828	ENST00000421580	1
ENSG00000166803	ENST00000558250	1
ENSG00000176771	ENST00000317721	1
ENSG00000180376	ENST00000469966	1
ENSG00000184530	ENST00000498112	1
ENSG00000189337	ENST00000376028	1
ENSG00000197837	ENST00000358064	1
ENSG00000202111	ENST00000365241	1
ENSG00000203705	ENST00000366973	1
ENSG00000214338	ENST00000525778	1
ENSG00000214407	ENST00000465215	1
ENSG00000230561	ENST00000513708	1
ENSG00000233101	ENST00000474040	1
ENSG00000233607	ENST00000419883	1
ENSG00000236144	ENST00000444728	1
ENSG00000247572	ENST00000503483	1
ENSG00000250413	ENST00000503493	1
ENSG00000251456	ENST00000507630	1
ENSG00000269826	ENST00000595705	1
ENSG00000272886	ENST00000294241	1
ENSG00000275728	ENST00000616301	1
ENSG00000277129	ENST00000611375	1
ENSG00000280319	ENST00000623945	1
