ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371584	1
ENSG00000000457	ENST00000367771	1
ENSG00000000460	ENST00000359326	1
ENSG00000001084	ENST00000229416	1
ENSG00000001460	ENST00000498488	2
ENSG00000001461	ENST00000003912	1
ENSG00000001630	ENST00000450723	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000358495	1
ENSG00000002587	ENST00000514690	1
ENSG00000002822	ENST00000402746	2
ENSG00000002919	ENST00000359238	1
ENSG00000003056	ENST00000000412	1
ENSG00000003147	ENST00000339809	1
ENSG00000003249	ENST00000002501	1
ENSG00000003393	ENST00000264276	1
ENSG00000003402	ENST00000423241	1
ENSG00000003987	ENST00000180173	2
ENSG00000004142	ENST00000540200	1
ENSG00000004399	ENST00000508630	1
ENSG00000004455	ENST00000373449	2
ENSG00000004478	ENST00000543037	1
ENSG00000004700	ENST00000421138	1
ENSG00000004766	ENST00000251739	1
ENSG00000004777	ENST00000587984	1
ENSG00000004779	ENST00000007516	1
ENSG00000004838	ENST00000443080	1
ENSG00000004848	ENST00000379044	1
ENSG00000004866	ENST00000393443	1
ENSG00000004948	ENST00000421592	1
ENSG00000005059	ENST00000394650	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000572490	1
ENSG00000005156	ENST00000378526	1
ENSG00000005175	ENST00000005386	1
ENSG00000005187	ENST00000561795	1
ENSG00000005189	ENST00000568894	1
ENSG00000005194	ENST00000394391	1
ENSG00000005206	ENST00000585725	1
ENSG00000005381	ENST00000581022	1
ENSG00000005436	ENST00000321027	1
ENSG00000005448	ENST00000468778	1
ENSG00000005483	ENST00000257745	1
ENSG00000005486	ENST00000468304	1
ENSG00000005801	ENST00000343338	1
ENSG00000005884	ENST00000007722	1
ENSG00000005981	ENST00000257621	1
ENSG00000006007	ENST00000353258	1
ENSG00000006015	ENST00000595490	1
ENSG00000006047	ENST00000571834	1
ENSG00000006118	ENST00000537110	1
ENSG00000006125	ENST00000590432	2
ENSG00000006282	ENST00000006658	1
ENSG00000006432	ENST00000381250	1
ENSG00000006451	ENST00000436179	2
ENSG00000006453	ENST00000005260	1
ENSG00000006468	ENST00000242066	1
ENSG00000006530	ENST00000473247	2
ENSG00000006555	ENST00000371274	1
ENSG00000006634	ENST00000413643	1
ENSG00000006652	ENST00000432734	1
ENSG00000006695	ENST00000429152	1
ENSG00000006715	ENST00000265745	1
ENSG00000006740	ENST00000262444	1
ENSG00000006744	ENST00000338034	1
ENSG00000006756	ENST00000381154	1
ENSG00000006837	ENST00000265334	1
ENSG00000007038	ENST00000575739	1
ENSG00000007047	ENST00000587566	1
ENSG00000007264	ENST00000619596	1
ENSG00000007306	ENST00000599715	1
ENSG00000007341	ENST00000358039	1
ENSG00000007372	ENST00000241001	1
ENSG00000007376	ENST00000562070	1
ENSG00000007392	ENST00000494366	1
ENSG00000007402	ENST00000266039	1
ENSG00000007516	ENST00000426824	1
ENSG00000007541	ENST00000321878	1
ENSG00000008130	ENST00000341991	1
ENSG00000008277	ENST00000265727	1
ENSG00000008282	ENST00000011473	1
ENSG00000008294	ENST00000505279	1
ENSG00000008311	ENST00000417368	1
ENSG00000008323	ENST00000396988	1
ENSG00000008324	ENST00000447630	1
ENSG00000008394	ENST00000396209	1
ENSG00000008441	ENST00000588680	1
ENSG00000008513	ENST00000522285	1
ENSG00000008838	ENST00000356271	1
ENSG00000008869	ENST00000233099	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009307	ENST00000358528	1
ENSG00000009790	ENST00000367025	1
ENSG00000009830	ENST00000556851	1
ENSG00000009844	ENST00000367621	2
ENSG00000010219	ENST00000536137	1
ENSG00000010244	ENST00000584696	1
ENSG00000010256	ENST00000412343	1
ENSG00000010270	ENST00000429075	1
ENSG00000010292	ENST00000315579	1
ENSG00000010322	ENST00000345716	1
ENSG00000010438	ENST00000379405	1
ENSG00000010539	ENST00000575617	1
ENSG00000011021	ENST00000346436	1
ENSG00000011052	ENST00000376392	2
ENSG00000011143	ENST00000393119	1
ENSG00000011243	ENST00000397410	1
ENSG00000011275	ENST00000411812	1
ENSG00000011295	ENST00000261647	1
ENSG00000011376	ENST00000414984	1
ENSG00000011422	ENST00000593396	1
ENSG00000011426	ENST00000424865	2
ENSG00000011451	ENST00000596159	1
ENSG00000011454	ENST00000456584	1
ENSG00000011638	ENST00000233047	1
ENSG00000012061	ENST00000300853	1
ENSG00000012174	ENST00000365779	1
ENSG00000012232	ENST00000220562	1
ENSG00000012504	ENST00000321046	1
ENSG00000012817	ENST00000382806	1
ENSG00000012822	ENST00000262059	1
ENSG00000012983	ENST00000554990	1
ENSG00000013364	ENST00000395353	1
ENSG00000013441	ENST00000481641	1
ENSG00000013503	ENST00000539066	1
ENSG00000013523	ENST00000556298	1
ENSG00000013561	ENST00000347642	1
ENSG00000013563	ENST00000309585	1
ENSG00000014123	ENST00000369278	1
ENSG00000014138	ENST00000527850	1
ENSG00000014216	ENST00000527323	1
ENSG00000014641	ENST00000409476	2
ENSG00000014919	ENST00000016171	1
ENSG00000015133	ENST00000389856	1
ENSG00000015153	ENST00000547622	1
ENSG00000015413	ENST00000261615	1
ENSG00000015475	ENST00000551952	1
ENSG00000015676	ENST00000464812	1
ENSG00000017483	ENST00000494034	1
ENSG00000018189	ENST00000226328	1
ENSG00000018280	ENST00000483487	1
ENSG00000018510	ENST00000264167	1
ENSG00000018610	ENST00000320339	1
ENSG00000018625	ENST00000468587	1
ENSG00000018699	ENST00000454690	1
ENSG00000019549	ENST00000396822	1
ENSG00000019582	ENST00000353334	1
ENSG00000020129	ENST00000356090	1
ENSG00000020256	ENST00000216923	1
ENSG00000020426	ENST00000539616	2
ENSG00000020577	ENST00000553988	1
ENSG00000020922	ENST00000535120	1
ENSG00000021300	ENST00000541597	1
ENSG00000021645	ENST00000281127	1
ENSG00000021776	ENST00000543879	1
ENSG00000021826	ENST00000417946	1
ENSG00000022267	ENST00000543669	1
ENSG00000022277	ENST00000023939	1
ENSG00000022355	ENST00000393943	1
ENSG00000022840	ENST00000538796	1
ENSG00000022976	ENST00000558850	1
ENSG00000023041	ENST00000369404	2
ENSG00000023191	ENST00000526295	1
ENSG00000023287	ENST00000517963	1
ENSG00000023445	ENST00000532808	1
ENSG00000023697	ENST00000532573	1
ENSG00000023839	ENST00000370449	1
ENSG00000023892	ENST00000316637	1
ENSG00000023902	ENST00000369124	1
ENSG00000023909	ENST00000370238	1
ENSG00000024048	ENST00000372899	1
ENSG00000024422	ENST00000540884	1
ENSG00000025434	ENST00000444396	2
ENSG00000025770	ENST00000522304	1
ENSG00000026025	ENST00000469543	2
ENSG00000026103	ENST00000352159	1
ENSG00000026508	ENST00000525209	1
ENSG00000027075	ENST00000552875	1
ENSG00000027847	ENST00000029410	1
ENSG00000028116	ENST00000428021	1
ENSG00000028137	ENST00000622420	1
ENSG00000028203	ENST00000547894	2
ENSG00000028310	ENST00000467963	1
ENSG00000028528	ENST00000558040	2
ENSG00000028839	ENST00000237264	1
ENSG00000029364	ENST00000557046	1
ENSG00000029534	ENST00000314214	1
ENSG00000029725	ENST00000575991	1
ENSG00000030066	ENST00000528071	1
ENSG00000030110	ENST00000374467	1
ENSG00000030304	ENST00000374448	2
ENSG00000030419	ENST00000342002	1
ENSG00000031698	ENST00000234677	1
ENSG00000032219	ENST00000348476	2
ENSG00000032389	ENST00000398659	1
ENSG00000032444	ENST00000596515	1
ENSG00000033011	ENST00000588623	1
ENSG00000033030	ENST00000544054	1
ENSG00000033050	ENST00000287844	1
ENSG00000034533	ENST00000264992	1
ENSG00000034677	ENST00000523255	1
ENSG00000034693	ENST00000367592	1
ENSG00000035115	ENST00000356150	1
ENSG00000035141	ENST00000037869	1
ENSG00000035687	ENST00000366535	1
ENSG00000035720	ENST00000265404	1
ENSG00000035928	ENST00000349703	1
ENSG00000036257	ENST00000536702	1
ENSG00000036549	ENST00000414381	1
ENSG00000037241	ENST00000265100	1
ENSG00000037474	ENST00000506139	1
ENSG00000037749	ENST00000439768	1
ENSG00000038002	ENST00000506853	1
ENSG00000038210	ENST00000264864	2
ENSG00000038358	ENST00000358933	1
ENSG00000038382	ENST00000515710	1
ENSG00000038945	ENST00000518960	1
ENSG00000039068	ENST00000422392	1
ENSG00000039123	ENST00000503165	1
ENSG00000039560	ENST00000265109	1
ENSG00000039600	ENST00000311371	1
ENSG00000039650	ENST00000593946	1
ENSG00000040199	ENST00000564884	1
ENSG00000040275	ENST00000265295	1
ENSG00000040531	ENST00000452111	1
ENSG00000040633	ENST00000574236	1
ENSG00000040933	ENST00000409540	1
ENSG00000041353	ENST00000586594	1
ENSG00000041357	ENST00000413382	2
ENSG00000041802	ENST00000265245	1
ENSG00000041982	ENST00000476680	1
