ID	Ensembl ID	SiteCount
ENSG00000000003	ENST00000496771	1
ENSG00000000457	ENST00000367771	1
ENSG00000000460	ENST00000359326	1
ENSG00000000938	ENST00000475472	1
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000513939	2
ENSG00000001460	ENST00000003583	1
ENSG00000001461	ENST00000339255	1
ENSG00000001497	ENST00000374804	1
ENSG00000001561	ENST00000321037	1
ENSG00000001617	ENST00000002829	1
ENSG00000001629	ENST00000265742	1
ENSG00000001630	ENST00000450723	1
ENSG00000001631	ENST00000412043	2
ENSG00000002016	ENST00000397230	1
ENSG00000002079	ENST00000413734	1
ENSG00000002330	ENST00000544271	1
ENSG00000002549	ENST00000226299	1
ENSG00000002586	ENST00000381180	2
ENSG00000002745	ENST00000222462	1
ENSG00000002746	ENST00000464944	1
ENSG00000002822	ENST00000399654	1
ENSG00000002834	ENST00000318008	2
ENSG00000002919	ENST00000584335	2
ENSG00000002933	ENST00000004103	1
ENSG00000003056	ENST00000000412	1
ENSG00000003096	ENST00000540167	1
ENSG00000003147	ENST00000430867	2
ENSG00000003393	ENST00000409632	1
ENSG00000003400	ENST00000313728	2
ENSG00000003402	ENST00000439154	2
ENSG00000003436	ENST00000233156	1
ENSG00000003509	ENST00000002125	1
ENSG00000003756	ENST00000433556	1
ENSG00000003989	ENST00000004531	1
ENSG00000004059	ENST00000000233	1
ENSG00000004139	ENST00000578128	1
ENSG00000004142	ENST00000618887	1
ENSG00000004399	ENST00000504767	1
ENSG00000004455	ENST00000548559	1
ENSG00000004478	ENST00000543769	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000488807	2
ENSG00000004700	ENST00000421138	1
ENSG00000004766	ENST00000251739	1
ENSG00000004777	ENST00000007510	1
ENSG00000004809	ENST00000330550	1
ENSG00000004846	ENST00000441315	1
ENSG00000004848	ENST00000637394	1
ENSG00000004864	ENST00000265631	1
ENSG00000004866	ENST00000393443	2
ENSG00000004897	ENST00000527547	1
ENSG00000004939	ENST00000262418	1
ENSG00000004961	ENST00000380762	1
ENSG00000004975	ENST00000576949	2
ENSG00000005001	ENST00000161006	1
ENSG00000005007	ENST00000599848	1
ENSG00000005020	ENST00000345317	1
ENSG00000005073	ENST00000006015	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000574023	2
ENSG00000005102	ENST00000393661	1
ENSG00000005156	ENST00000378526	1
