ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000002016	ENST00000397230	1
ENSG00000004455	ENST00000354858	1
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000251739	1
ENSG00000005020	ENST00000490456	1
ENSG00000006125	ENST00000590432	1
ENSG00000007080	ENST00000445755	1
ENSG00000008018	ENST00000262193	1
ENSG00000008838	ENST00000356271	1
ENSG00000008988	ENST00000523936	1
ENSG00000009765	ENST00000229447	1
ENSG00000009844	ENST00000452973	1
ENSG00000010244	ENST00000577324	1
ENSG00000011052	ENST00000376392	1
ENSG00000011258	ENST00000591270	1
ENSG00000011275	ENST00000389902	1
ENSG00000012048	ENST00000352993	1
ENSG00000012061	ENST00000423698	1
ENSG00000012660	ENST00000304434	1
ENSG00000012822	ENST00000262059	1
ENSG00000014257	ENST00000507647	1
ENSG00000014914	ENST00000369140	1
ENSG00000015676	ENST00000355451	1
ENSG00000020922	ENST00000323929	1
ENSG00000021355	ENST00000380739	1
ENSG00000021645	ENST00000281127	1
ENSG00000024862	ENST00000617445	1
ENSG00000028528	ENST00000261889	1
ENSG00000033050	ENST00000287844	1
ENSG00000034677	ENST00000519527	1
ENSG00000035681	ENST00000038176	1
ENSG00000036054	ENST00000344949	1
ENSG00000036549	ENST00000370801	1
ENSG00000042753	ENST00000263270	1
ENSG00000047188	ENST00000161863	1
ENSG00000047315	ENST00000314595	1
ENSG00000047410	ENST00000367478	1
ENSG00000047621	ENST00000535030	1
ENSG00000048162	ENST00000502577	1
ENSG00000049323	ENST00000498013	1
ENSG00000050426	ENST00000262055	1
ENSG00000051825	ENST00000369865	1
ENSG00000057663	ENST00000636335	1
ENSG00000058085	ENST00000264144	1
ENSG00000058272	ENST00000550107	1
ENSG00000058799	ENST00000072644	1
ENSG00000059573	ENST00000489386	1
ENSG00000060971	ENST00000480865	1
ENSG00000060982	ENST00000612790	1
ENSG00000061936	ENST00000261674	1
ENSG00000062716	ENST00000591782	1
ENSG00000064012	ENST00000339403	1
ENSG00000064419	ENST00000471234	1
ENSG00000064763	ENST00000547411	1
ENSG00000064995	ENST00000361288	1
ENSG00000065615	ENST00000369681	1
ENSG00000065882	ENST00000405444	1
ENSG00000066136	ENST00000372654	1
ENSG00000066379	ENST00000332435	1
ENSG00000066651	ENST00000444121	1
ENSG00000067334	ENST00000359208	1
ENSG00000067596	ENST00000262415	1
ENSG00000068079	ENST00000246911	1
ENSG00000068120	ENST00000393818	1
ENSG00000068745	ENST00000328631	1
ENSG00000068885	ENST00000465537	1
ENSG00000069943	ENST00000164305	1
ENSG00000070019	ENST00000261170	1
ENSG00000070269	ENST00000556422	1
ENSG00000070669	ENST00000394309	1
ENSG00000070761	ENST00000262498	1
ENSG00000071082	ENST00000409000	1
ENSG00000073584	ENST00000377808	1
ENSG00000073614	ENST00000535014	1
ENSG00000073803	ENST00000428617	1
ENSG00000074054	ENST00000485112	1
ENSG00000074276	ENST00000510636	1
ENSG00000074966	ENST00000507351	1
ENSG00000075089	ENST00000546902	1
ENSG00000075856	ENST00000431469	1
ENSG00000076554	ENST00000520741	1
ENSG00000077157	ENST00000356764	1
ENSG00000077348	ENST00000221233	1
ENSG00000077458	ENST00000358780	1
ENSG00000077684	ENST00000610919	1
ENSG00000078070	ENST00000265594	1
ENSG00000079387	ENST00000549518	1
ENSG00000079459	ENST00000525777	1
ENSG00000080815	ENST00000406768	1
ENSG00000081154	ENST00000265260	1
ENSG00000081791	ENST00000194118	1
ENSG00000082068	ENST00000265107	1
ENSG00000082269	ENST00000418814	1
ENSG00000082641	ENST00000581441	1
ENSG00000082701	ENST00000316626	1
ENSG00000082781	ENST00000608107	1
ENSG00000083312	ENST00000506351	1
