ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001084	ENST00000229416	1
ENSG00000001630	ENST00000003100	1
ENSG00000002822	ENST00000438959	1
ENSG00000003096	ENST00000262820	1
ENSG00000003147	ENST00000317367	1
ENSG00000003393	ENST00000410052	1
ENSG00000003509	ENST00000002125	1
ENSG00000004059	ENST00000459680	1
ENSG00000004139	ENST00000585482	1
ENSG00000004478	ENST00000001008	1
ENSG00000004487	ENST00000356634	1
ENSG00000004766	ENST00000251739	2
ENSG00000004864	ENST00000416240	1
ENSG00000004866	ENST00000393444	2
ENSG00000004897	ENST00000528748	1
ENSG00000004975	ENST00000005340	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005108	ENST00000423059	1
ENSG00000005189	ENST00000261377	1
ENSG00000005448	ENST00000469321	1
ENSG00000005801	ENST00000005082	1
ENSG00000005882	ENST00000503176	1
ENSG00000006025	ENST00000392507	1
ENSG00000006118	ENST00000005286	1
ENSG00000006125	ENST00000590432	2
ENSG00000006210	ENST00000563383	1
ENSG00000006282	ENST00000006658	1
ENSG00000006468	ENST00000405192	1
ENSG00000006576	ENST00000307305	1
ENSG00000006625	ENST00000005374	1
ENSG00000006634	ENST00000430279	1
ENSG00000006652	ENST00000443101	1
ENSG00000006715	ENST00000265745	1
ENSG00000006757	ENST00000442940	1
ENSG00000006837	ENST00000519312	1
ENSG00000007168	ENST00000576586	1
ENSG00000007237	ENST00000580811	1
ENSG00000007384	ENST00000262316	1
ENSG00000007392	ENST00000293872	1
ENSG00000007541	ENST00000293874	1
ENSG00000008128	ENST00000357760	1
ENSG00000008256	ENST00000488964	1
ENSG00000008277	ENST00000265727	1
ENSG00000008282	ENST00000011473	1
ENSG00000008283	ENST00000392975	1
ENSG00000008324	ENST00000447630	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009307	ENST00000369530	1
ENSG00000009844	ENST00000367621	1
ENSG00000009954	ENST00000339594	1
ENSG00000010219	ENST00000536137	1
ENSG00000010626	ENST00000449039	1
ENSG00000010671	ENST00000621635	1
ENSG00000010803	ENST00000397174	1
ENSG00000010810	ENST00000354650	1
ENSG00000011009	ENST00000374514	1
ENSG00000011028	ENST00000303375	1
ENSG00000011052	ENST00000376392	1
ENSG00000011143	ENST00000393119	1
ENSG00000011243	ENST00000397410	1
ENSG00000011275	ENST00000389902	1
ENSG00000011304	ENST00000587094	1
ENSG00000011332	ENST00000355526	1
ENSG00000011478	ENST00000012049	1
ENSG00000011566	ENST00000437545	1
ENSG00000011638	ENST00000261388	1
ENSG00000012048	ENST00000471181	1
ENSG00000012061	ENST00000340192	1
ENSG00000012660	ENST00000304434	1
ENSG00000013364	ENST00000357402	1
ENSG00000013561	ENST00000506822	1
ENSG00000013573	ENST00000535317	1
ENSG00000014123	ENST00000369278	1
ENSG00000014257	ENST00000507647	1
ENSG00000014641	ENST00000233114	1
ENSG00000015171	ENST00000309776	1
ENSG00000016402	ENST00000461799	1
ENSG00000017797	ENST00000458039	1
ENSG00000018189	ENST00000226328	1
ENSG00000018610	ENST00000320339	1
ENSG00000018699	ENST00000317907	1
ENSG00000020181	ENST00000428068	1
ENSG00000020256	ENST00000346617	1
ENSG00000020426	ENST00000261245	1
ENSG00000021776	ENST00000543879	1
ENSG00000022267	ENST00000420362	1
ENSG00000022567	ENST00000024061	2
ENSG00000023171	ENST00000456860	1
ENSG00000023191	ENST00000397614	1
ENSG00000024048	ENST00000372899	1
ENSG00000024422	ENST00000263277	1
ENSG00000025434	ENST00000395397	1
ENSG00000025800	ENST00000373625	1
ENSG00000026025	ENST00000478746	1
ENSG00000026559	ENST00000447736	1
ENSG00000026652	ENST00000320285	1
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000555233	1
ENSG00000028203	ENST00000546398	1
ENSG00000028528	ENST00000261889	1
ENSG00000028839	ENST00000237264	1
ENSG00000032389	ENST00000462515	1
ENSG00000033011	ENST00000262374	2
ENSG00000033170	ENST00000342677	1
ENSG00000034533	ENST00000509060	1
ENSG00000034693	ENST00000367592	1
ENSG00000035115	ENST00000462719	1
ENSG00000035862	ENST00000585421	1
ENSG00000035928	ENST00000349703	1
ENSG00000036054	ENST00000486274	1
ENSG00000036549	ENST00000370801	1
ENSG00000036565	ENST00000265808	1
ENSG00000036672	ENST00000455332	1
ENSG00000037241	ENST00000265100	1
ENSG00000037749	ENST00000322602	1
ENSG00000037757	ENST00000040663	1
ENSG00000038002	ENST00000264595	1
ENSG00000038358	ENST00000358933	1
ENSG00000038382	ENST00000515710	2
ENSG00000039068	ENST00000564745	1
ENSG00000039650	ENST00000595792	1
ENSG00000040275	ENST00000513795	1
ENSG00000040633	ENST00000570899	1
ENSG00000041802	ENST00000265245	1
ENSG00000041880	ENST00000471971	1
ENSG00000042317	ENST00000393545	1
ENSG00000042753	ENST00000263270	1
ENSG00000046647	ENST00000332885	1
ENSG00000046651	ENST00000340096	1
ENSG00000047315	ENST00000314595	1
ENSG00000047346	ENST00000546305	1
ENSG00000047578	ENST00000261588	1
ENSG00000047849	ENST00000360240	1
ENSG00000048052	ENST00000401921	1
ENSG00000048162	ENST00000614830	1
ENSG00000048544	ENST00000053468	2
ENSG00000048649	ENST00000467567	1
ENSG00000049089	ENST00000417105	1
ENSG00000049618	ENST00000637568	2
ENSG00000050344	ENST00000606261	1
ENSG00000050426	ENST00000551477	1
ENSG00000050438	ENST00000514353	1
ENSG00000050820	ENST00000393422	1
ENSG00000051596	ENST00000513118	1
ENSG00000051825	ENST00000539639	1
ENSG00000052126	ENST00000538972	1
ENSG00000053254	ENST00000553904	1
ENSG00000053747	ENST00000586709	1
ENSG00000053770	ENST00000261558	1
ENSG00000053918	ENST00000335475	1
ENSG00000054282	ENST00000366541	1
ENSG00000054356	ENST00000423636	1
ENSG00000054392	ENST00000413764	1
ENSG00000054523	ENST00000377081	1
ENSG00000054611	ENST00000337137	1
ENSG00000054967	ENST00000537771	1
ENSG00000055044	ENST00000264279	1
ENSG00000055070	ENST00000401088	1
ENSG00000055147	ENST00000351797	1
ENSG00000055332	ENST00000390013	1
ENSG00000055955	ENST00000473904	1
ENSG00000056277	ENST00000370978	1
ENSG00000056972	ENST00000368730	1
ENSG00000057294	ENST00000549461	1
ENSG00000057593	ENST00000444337	1
ENSG00000058600	ENST00000359210	1
ENSG00000059377	ENST00000469630	1
ENSG00000059769	ENST00000313525	1
ENSG00000060339	ENST00000265872	1
ENSG00000060642	ENST00000374145	1
ENSG00000060982	ENST00000342945	1
ENSG00000061273	ENST00000427332	1
ENSG00000061656	ENST00000430878	1
ENSG00000061676	ENST00000471640	1
ENSG00000061794	ENST00000536569	1
ENSG00000061918	ENST00000264424	1
ENSG00000061936	ENST00000261674	1
ENSG00000061938	ENST00000486523	1
ENSG00000062096	ENST00000359361	1
ENSG00000062282	ENST00000604935	1
ENSG00000062485	ENST00000351328	1
ENSG00000062716	ENST00000262291	1
ENSG00000063176	ENST00000600537	1
ENSG00000063245	ENST00000085079	1
ENSG00000063322	ENST00000594368	1
ENSG00000063854	ENST00000397356	1
ENSG00000064042	ENST00000509638	1
ENSG00000064225	ENST00000468553	1
ENSG00000064419	ENST00000265388	1
ENSG00000064545	ENST00000162044	1
ENSG00000064601	ENST00000191018	1
ENSG00000064703	ENST00000533164	1
ENSG00000064932	ENST00000361757	1
ENSG00000065029	ENST00000339411	1
ENSG00000065054	ENST00000564033	1
ENSG00000065135	ENST00000369851	1
ENSG00000065357	ENST00000331886	1
ENSG00000065548	ENST00000337859	1
ENSG00000065615	ENST00000369679	1
ENSG00000065621	ENST00000450629	1
ENSG00000065882	ENST00000406664	1
ENSG00000065883	ENST00000611390	1
ENSG00000065911	ENST00000394053	1
ENSG00000066136	ENST00000372654	2
ENSG00000066185	ENST00000372565	1
ENSG00000066379	ENST00000332435	1
ENSG00000066557	ENST00000370952	2
ENSG00000066629	ENST00000556199	1
ENSG00000066697	ENST00000613183	1
ENSG00000066827	ENST00000377838	1
ENSG00000066923	ENST00000459699	1
ENSG00000067225	ENST00000335181	1
ENSG00000067334	ENST00000436063	1
ENSG00000067369	ENST00000263801	1
ENSG00000067533	ENST00000366932	1
ENSG00000067596	ENST00000262415	1
ENSG00000067606	ENST00000461106	1
ENSG00000067829	ENST00000217901	1
ENSG00000067836	ENST00000322048	1
ENSG00000068120	ENST00000393818	1
ENSG00000068137	ENST00000591196	1
ENSG00000068305	ENST00000338042	1
ENSG00000068697	ENST00000175091	1
ENSG00000068781	ENST00000463040	1
ENSG00000068912	ENST00000185150	1
ENSG00000068976	ENST00000377432	1
ENSG00000069188	ENST00000410094	1
ENSG00000069943	ENST00000539642	1
ENSG00000069974	ENST00000396307	1
ENSG00000069998	ENST00000463033	1
ENSG00000070061	ENST00000374647	1
ENSG00000070366	ENST00000570756	1
ENSG00000070367	ENST00000340918	1
ENSG00000070444	ENST00000571836	1
ENSG00000070495	ENST00000397625	1
ENSG00000070614	ENST00000518299	1
ENSG00000070729	ENST00000564654	1
ENSG00000070731	ENST00000225276	1
ENSG00000070761	ENST00000564150	1
ENSG00000070778	ENST00000554628	1
ENSG00000070785	ENST00000360403	1
ENSG00000070831	ENST00000344548	1
ENSG00000071082	ENST00000409000	1
ENSG00000071243	ENST00000315870	1
ENSG00000071282	ENST00000157600	1
ENSG00000071462	ENST00000265758	1
ENSG00000071994	ENST00000544336	1
ENSG00000072195	ENST00000396686	1
ENSG00000072274	ENST00000392396	1
ENSG00000072415	ENST00000261681	1
ENSG00000072518	ENST00000350490	1
ENSG00000072609	ENST00000536932	1
ENSG00000072778	ENST00000582166	1
ENSG00000072832	ENST00000512574	1
ENSG00000072849	ENST00000158771	1
ENSG00000072952	ENST00000532037	1
ENSG00000073008	ENST00000406449	1
ENSG00000073050	ENST00000262887	1
ENSG00000073146	ENST00000354853	1
ENSG00000073417	ENST00000310298	1
ENSG00000073536	ENST00000360831	1
ENSG00000073803	ENST00000424227	1
ENSG00000074201	ENST00000263309	1
ENSG00000074211	ENST00000507028	1
ENSG00000074266	ENST00000528180	1
ENSG00000074317	ENST00000614675	1
ENSG00000074603	ENST00000300141	1
ENSG00000074621	ENST00000434116	1
ENSG00000074696	ENST00000562901	1
ENSG00000074855	ENST00000159087	1
ENSG00000074935	ENST00000368657	1
ENSG00000075089	ENST00000546902	1
ENSG00000075151	ENST00000463775	1
ENSG00000075188	ENST00000543021	1
ENSG00000075223	ENST00000265361	1
ENSG00000075234	ENST00000417709	1
ENSG00000075399	ENST00000389386	1
