ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001460	ENST00000003583	1
ENSG00000002919	ENST00000582104	1
ENSG00000004866	ENST00000393446	1
ENSG00000005189	ENST00000563617	1
ENSG00000005810	ENST00000429715	1
ENSG00000005844	ENST00000566267	1
ENSG00000005882	ENST00000505897	1
ENSG00000005884	ENST00000505306	1
ENSG00000006042	ENST00000439138	1
ENSG00000006282	ENST00000505559	1
ENSG00000006530	ENST00000473247	1
ENSG00000006652	ENST00000005558	1
ENSG00000006744	ENST00000480891	1
ENSG00000007237	ENST00000581112	1
ENSG00000007384	ENST00000417043	1
ENSG00000007392	ENST00000494545	1
ENSG00000007944	ENST00000349606	1
ENSG00000008513	ENST00000519435	1
ENSG00000008952	ENST00000337002	1
ENSG00000009307	ENST00000525878	1
ENSG00000010671	ENST00000478995	1
ENSG00000010810	ENST00000467921	1
ENSG00000011105	ENST00000431374	1
ENSG00000012048	ENST00000461574	1
ENSG00000015171	ENST00000488275	1
ENSG00000015676	ENST00000355451	1
ENSG00000016864	ENST00000484163	1
ENSG00000017483	ENST00000497336	1
ENSG00000017797	ENST00000019317	1
ENSG00000022267	ENST00000394153	1
ENSG00000023445	ENST00000263464	1
ENSG00000024526	ENST00000370966	1
ENSG00000025434	ENST00000405853	1
ENSG00000026950	ENST00000082468	1
ENSG00000027075	ENST00000555185	1
ENSG00000030066	ENST00000528071	1
ENSG00000030419	ENST00000374319	1
ENSG00000031691	ENST00000335783	1
ENSG00000034533	ENST00000504725	1
ENSG00000034693	ENST00000367592	1
ENSG00000035687	ENST00000366535	1
ENSG00000037042	ENST00000251412	1
ENSG00000037897	ENST00000257848	1
ENSG00000038382	ENST00000510757	1
ENSG00000041982	ENST00000460345	1
ENSG00000041988	ENST00000054650	1
ENSG00000042088	ENST00000553527	1
ENSG00000046604	ENST00000261590	1
ENSG00000047188	ENST00000161863	1
ENSG00000047621	ENST00000261250	1
ENSG00000048052	ENST00000405010	1
ENSG00000049089	ENST00000461118	1
ENSG00000049192	ENST00000381052	1
ENSG00000049323	ENST00000432635	1
ENSG00000049860	ENST00000513079	1
ENSG00000050426	ENST00000549395	1
ENSG00000050820	ENST00000393422	1
ENSG00000053254	ENST00000557261	1
ENSG00000054116	ENST00000373159	1
ENSG00000054118	ENST00000354618	1
ENSG00000054356	ENST00000409251	1
ENSG00000054523	ENST00000470616	1
ENSG00000056097	ENST00000265069	1
ENSG00000057657	ENST00000369091	1
ENSG00000058866	ENST00000490452	1
ENSG00000060688	ENST00000373720	1
ENSG00000061938	ENST00000486523	1
ENSG00000061987	ENST00000393629	1
ENSG00000062822	ENST00000600859	1
ENSG00000064012	ENST00000429881	1
ENSG00000064115	ENST00000542667	1
ENSG00000065485	ENST00000316218	1
ENSG00000065665	ENST00000379017	1
ENSG00000066629	ENST00000556835	1
ENSG00000066933	ENST00000444904	1
ENSG00000067064	ENST00000381344	1
ENSG00000067208	ENST00000466778	1
ENSG00000067221	ENST00000316900	1
ENSG00000067334	ENST00000436063	1
ENSG00000067840	ENST00000468491	1
ENSG00000068489	ENST00000262293	1
ENSG00000068697	ENST00000175091	1
ENSG00000068903	ENST00000423526	1
ENSG00000069011	ENST00000506438	1
ENSG00000069206	ENST00000520720	1
ENSG00000070366	ENST00000570659	1
ENSG00000070501	ENST00000524208	1
ENSG00000070731	ENST00000225276	1
ENSG00000070778	ENST00000554628	1
ENSG00000071205	ENST00000507661	1
ENSG00000072110	ENST00000538545	1
ENSG00000073331	ENST00000177648	1
ENSG00000073350	ENST00000545227	1
ENSG00000073614	ENST00000544760	1
ENSG00000073756	ENST00000559627	1
ENSG00000073849	ENST00000458216	1
ENSG00000074582	ENST00000359273	1
ENSG00000074696	ENST00000569894	1
ENSG00000074964	ENST00000375408	1
ENSG00000076321	ENST00000209884	1
ENSG00000076351	ENST00000584426	1
ENSG00000076641	ENST00000519326	1
ENSG00000076770	ENST00000370844	1
ENSG00000077147	ENST00000485093	1
ENSG00000077463	ENST00000594279	1
ENSG00000078070	ENST00000265594	1
ENSG00000078114	ENST00000417816	1
ENSG00000079134	ENST00000581116	1
ENSG00000079819	ENST00000527017	1
ENSG00000079841	ENST00000425662	1
ENSG00000079999	ENST00000393623	1
ENSG00000080371	ENST00000547246	1
ENSG00000080819	ENST00000264193	1
ENSG00000080845	ENST00000479220	1
ENSG00000081041	ENST00000296031	1
ENSG00000081154	ENST00000265260	1
ENSG00000081692	ENST00000366758	2
ENSG00000082153	ENST00000359893	1
ENSG00000082684	ENST00000451055	1
ENSG00000083857	ENST00000509647	1
ENSG00000084073	ENST00000372759	1
ENSG00000084754	ENST00000461025	1
ENSG00000085224	ENST00000623242	1
ENSG00000085276	ENST00000486748	1
ENSG00000085382	ENST00000262903	1
ENSG00000086232	ENST00000431744	1
ENSG00000086666	ENST00000261749	1
ENSG00000086717	ENST00000470157	1
ENSG00000086758	ENST00000474288	1
ENSG00000087088	ENST00000502487	1
ENSG00000087206	ENST00000377227	1
ENSG00000087266	ENST00000509677	1
ENSG00000087301	ENST00000281741	1
ENSG00000087365	ENST00000322535	1
ENSG00000087460	ENST00000487862	1
ENSG00000087502	ENST00000611644	1
ENSG00000088832	ENST00000400137	1
ENSG00000089006	ENST00000377768	1
ENSG00000089050	ENST00000491835	1
ENSG00000089091	ENST00000460891	1
ENSG00000089486	ENST00000399599	1
ENSG00000089693	ENST00000203630	1
ENSG00000091140	ENST00000494441	1
ENSG00000091164	ENST00000590954	1
ENSG00000091947	ENST00000586174	1
ENSG00000092094	ENST00000555223	1
ENSG00000092200	ENST00000554750	1
ENSG00000092470	ENST00000381246	1
ENSG00000093167	ENST00000354379	1
ENSG00000093183	ENST00000456515	1
ENSG00000093217	ENST00000207870	1
ENSG00000095564	ENST00000471217	1
ENSG00000095794	ENST00000354759	1
ENSG00000096093	ENST00000636253	1
ENSG00000097021	ENST00000481175	1
ENSG00000099204	ENST00000369256	1
ENSG00000099219	ENST00000462592	1
ENSG00000099377	ENST00000262520	1
ENSG00000099917	ENST00000451058	1
ENSG00000099968	ENST00000485631	1
ENSG00000099991	ENST00000495121	1
ENSG00000099994	ENST00000358321	1
ENSG00000099995	ENST00000444440	1
ENSG00000100030	ENST00000491588	1
ENSG00000100243	ENST00000361740	1
ENSG00000100292	ENST00000481190	1
ENSG00000100320	ENST00000262829	1
ENSG00000100376	ENST00000216214	1
ENSG00000100403	ENST00000352645	1
ENSG00000100441	ENST00000251343	1
ENSG00000100445	ENST00000555355	1
ENSG00000100461	ENST00000359890	1
ENSG00000100479	ENST00000556937	1
ENSG00000100532	ENST00000556216	1
ENSG00000100554	ENST00000555625	1
ENSG00000100558	ENST00000555803	1
ENSG00000100629	ENST00000555265	1
ENSG00000100650	ENST00000555412	1
ENSG00000100744	ENST00000555757	1
ENSG00000100865	ENST00000559504	1
ENSG00000100968	ENST00000440487	1
ENSG00000101109	ENST00000372806	1
ENSG00000101361	ENST00000467857	1
