ID	Ensembl ID	SiteCount
ENSG00000006016	ENST00000594325	1
ENSG00000007372	ENST00000379111	1
ENSG00000007516	ENST00000324385	1
ENSG00000007923	ENST00000294401	1
ENSG00000008283	ENST00000582143	1
ENSG00000008952	ENST00000337002	1
ENSG00000022567	ENST00000024061	1
ENSG00000025039	ENST00000369415	1
ENSG00000028839	ENST00000237264	1
ENSG00000034693	ENST00000367592	1
ENSG00000042062	ENST00000327979	1
ENSG00000044115	ENST00000523912	1
ENSG00000047315	ENST00000484821	1
ENSG00000049089	ENST00000417105	1
ENSG00000058404	ENST00000497127	1
ENSG00000064042	ENST00000515847	1
ENSG00000064199	ENST00000529498	1
ENSG00000067533	ENST00000366932	1
ENSG00000069493	ENST00000476198	1
ENSG00000070182	ENST00000556626	1
ENSG00000070366	ENST00000570668	1
ENSG00000070614	ENST00000523767	1
ENSG00000072182	ENST00000347842	1
ENSG00000074590	ENST00000549704	1
ENSG00000076108	ENST00000550730	1
ENSG00000076864	ENST00000317967	1
ENSG00000077264	ENST00000372007	1
ENSG00000077782	ENST00000480571	1
ENSG00000079999	ENST00000591039	1
ENSG00000080031	ENST00000586310	1
ENSG00000081014	ENST00000261842	1
ENSG00000081059	ENST00000522561	1
ENSG00000084636	ENST00000529928	1
ENSG00000086730	ENST00000275635	1
ENSG00000090006	ENST00000308370	1
ENSG00000090554	ENST00000204637	1
ENSG00000095752	ENST00000587093	1
ENSG00000100429	ENST00000216271	1
ENSG00000101115	ENST00000483130	1
ENSG00000102265	ENST00000218388	1
ENSG00000103037	ENST00000422445	1
ENSG00000103089	ENST00000219368	1
ENSG00000104695	ENST00000221138	1
ENSG00000105707	ENST00000262626	1
ENSG00000106028	ENST00000265304	1
ENSG00000106609	ENST00000341567	1
ENSG00000107105	ENST00000544538	1
ENSG00000108309	ENST00000225441	1
ENSG00000108344	ENST00000264639	1
ENSG00000108465	ENST00000578663	1
ENSG00000109680	ENST00000502873	1
ENSG00000109906	ENST00000392996	1
ENSG00000110013	ENST00000263593	1
ENSG00000110047	ENST00000488711	1
ENSG00000110076	ENST00000377551	1
ENSG00000111615	ENST00000229214	1
ENSG00000112144	ENST00000350082	1
ENSG00000113643	ENST00000231572	1
ENSG00000113734	ENST00000351486	1
ENSG00000114541	ENST00000483668	1
ENSG00000114686	ENST00000264995	1
ENSG00000114735	ENST00000424388	1
ENSG00000114982	ENST00000354204	1
ENSG00000115286	ENST00000313408	1
ENSG00000115415	ENST00000454414	1
ENSG00000115468	ENST00000264059	1
ENSG00000116809	ENST00000494020	1
ENSG00000117697	ENST00000366976	1
ENSG00000120075	ENST00000239151	1
ENSG00000120708	ENST00000508076	1
ENSG00000120733	ENST00000314358	1
ENSG00000120913	ENST00000443561	1
ENSG00000121454	ENST00000263726	1
ENSG00000122025	ENST00000241453	1
ENSG00000122592	ENST00000523796	1
ENSG00000122696	ENST00000496760	1
ENSG00000124749	ENST00000467045	1
ENSG00000125505	ENST00000464098	1
ENSG00000125520	ENST00000493772	1
ENSG00000125775	ENST00000381808	1
ENSG00000127720	ENST00000248306	1
ENSG00000128564	ENST00000445482	1
ENSG00000128918	ENST00000249750	1
ENSG00000130175	ENST00000592445	1
ENSG00000130270	ENST00000533993	1
ENSG00000130307	ENST00000598309	1
ENSG00000130684	ENST00000252979	1
ENSG00000131095	ENST00000592706	1
ENSG00000131196	ENST00000253506	1
ENSG00000131791	ENST00000254101	1
ENSG00000132464	ENST00000509221	1
ENSG00000132481	ENST00000586495	1
ENSG00000133773	ENST00000552377	1
ENSG00000134108	ENST00000256496	1
ENSG00000135063	ENST00000303068	1
ENSG00000135722	ENST00000519378	1
ENSG00000136100	ENST00000378060	1
ENSG00000136235	ENST00000463011	1
ENSG00000136997	ENST00000520751	1
ENSG00000137693	ENST00000528834	1
ENSG00000138621	ENST00000563393	1
ENSG00000138735	ENST00000354960	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000139133	ENST00000538927	1
ENSG00000139178	ENST00000266542	1
ENSG00000139263	ENST00000552646	1
ENSG00000139269	ENST00000551553	1
ENSG00000140961	ENST00000567707	1
ENSG00000142609	ENST00000461752	1
ENSG00000142623	ENST00000460293	1
ENSG00000143033	ENST00000370298	1
ENSG00000143545	ENST00000484297	1
ENSG00000145623	ENST00000274276	1
ENSG00000146648	ENST00000485503	1
ENSG00000147614	ENST00000285393	1
ENSG00000148180	ENST00000394353	1
ENSG00000148690	ENST00000359204	1
ENSG00000150540	ENST00000280097	1
ENSG00000151090	ENST00000413780	1
ENSG00000151687	ENST00000461516	1
ENSG00000154719	ENST00000307301	1
ENSG00000154945	ENST00000285243	1
ENSG00000156502	ENST00000422378	1
ENSG00000157020	ENST00000337354	1
ENSG00000157087	ENST00000360273	1
ENSG00000157240	ENST00000287934	1
ENSG00000158941	ENST00000308511	1
ENSG00000159200	ENST00000381132	1
ENSG00000160360	ENST00000440944	1
ENSG00000163171	ENST00000295324	1
ENSG00000163293	ENST00000295461	1
ENSG00000163637	ENST00000498162	1
ENSG00000163874	ENST00000472312	1
ENSG00000164251	ENST00000296677	1
ENSG00000164346	ENST00000513356	1
ENSG00000164347	ENST00000345239	1
ENSG00000164690	ENST00000472308	1
ENSG00000164867	ENST00000468293	1
ENSG00000165702	ENST00000636263	1
ENSG00000165806	ENST00000345633	1
ENSG00000166473	ENST00000527937	1
ENSG00000166526	ENST00000299667	1
ENSG00000167123	ENST00000372838	1
ENSG00000167306	ENST00000592688	1
ENSG00000168071	ENST00000472524	1
ENSG00000168228	ENST00000302874	1
ENSG00000168824	ENST00000506380	1
ENSG00000169016	ENST00000307236	1
ENSG00000169047	ENST00000498335	1
ENSG00000169288	ENST00000511521	1
ENSG00000170091	ENST00000517587	1
ENSG00000170502	ENST00000440591	1
ENSG00000171132	ENST00000480633	1
ENSG00000171791	ENST00000590515	1
ENSG00000171863	ENST00000304921	1
ENSG00000172061	ENST00000347624	1
ENSG00000172171	ENST00000306049	1
ENSG00000172172	ENST00000518918	1
ENSG00000173744	ENST00000310078	1
ENSG00000173848	ENST00000380359	1
ENSG00000174827	ENST00000417171	1
ENSG00000175482	ENST00000532830	1
ENSG00000175832	ENST00000393664	1
ENSG00000176871	ENST00000535496	1
ENSG00000176884	ENST00000471122	1
ENSG00000177453	ENST00000512796	1
ENSG00000177628	ENST00000327247	1
ENSG00000177679	ENST00000611745	1
ENSG00000178028	ENST00000315913	1
ENSG00000178209	ENST00000354958	1
ENSG00000178467	ENST00000343546	1
ENSG00000178919	ENST00000375123	1
ENSG00000180891	ENST00000407144	1
ENSG00000182247	ENST00000335798	1
ENSG00000183401	ENST00000587100	1
ENSG00000183431	ENST00000461869	1
ENSG00000183454	ENST00000636273	1
ENSG00000183486	ENST00000330714	1
ENSG00000183751	ENST00000561907	1
ENSG00000184060	ENST00000583688	1
ENSG00000184343	ENST00000393786	1
ENSG00000184374	ENST00000521788	1
ENSG00000184470	ENST00000462330	1
ENSG00000184661	ENST00000521098	1
ENSG00000185269	ENST00000409678	1
ENSG00000185296	ENST00000505520	1
ENSG00000185519	ENST00000375662	1
ENSG00000185630	ENST00000558837	1
ENSG00000185920	ENST00000421141	1
ENSG00000186162	ENST00000433871	1
ENSG00000186897	ENST00000334221	1
ENSG00000187609	ENST00000340951	1
ENSG00000188157	ENST00000477585	1
ENSG00000188747	ENST00000341349	1
ENSG00000188833	ENST00000344119	1
ENSG00000189007	ENST00000237283	1
ENSG00000189046	ENST00000343075	1
ENSG00000196196	ENST00000354323	1
ENSG00000196754	ENST00000497140	1
ENSG00000196782	ENST00000509479	1
ENSG00000197181	ENST00000519884	1
ENSG00000197467	ENST00000354547	1
ENSG00000197753	ENST00000360215	1
ENSG00000198369	ENST00000443619	1
ENSG00000198515	ENST00000513178	1
ENSG00000198625	ENST00000470908	1
ENSG00000198668	ENST00000356978	1
ENSG00000198795	ENST00000577801	1
ENSG00000198865	ENST00000361970	1
ENSG00000203705	ENST00000366973	1
ENSG00000203780	ENST00000368691	1
ENSG00000204396	ENST00000375688	1
ENSG00000205189	ENST00000379091	1
ENSG00000205334	ENST00000379677	1
ENSG00000205930	ENST00000382375	1
ENSG00000212297	ENST00000390995	1
ENSG00000214140	ENST00000397633	1
ENSG00000214530	ENST00000536290	1
ENSG00000215154	ENST00000399702	1
ENSG00000216621	ENST00000421363	1
ENSG00000217442	ENST00000406915	1
ENSG00000218358	ENST00000403651	1
ENSG00000221955	ENST00000479352	1
ENSG00000223486	ENST00000447651	1
ENSG00000224184	ENST00000449986	1
ENSG00000224897	ENST00000415715	1
ENSG00000228775	ENST00000459753	1
ENSG00000229056	ENST00000430904	1
ENSG00000229688	ENST00000436328	1
ENSG00000230333	ENST00000611449	1
ENSG00000230479	ENST00000429588	1
ENSG00000230699	ENST00000448179	1
ENSG00000233429	ENST00000495032	1
ENSG00000233858	ENST00000430626	1
ENSG00000234191	ENST00000438867	1
ENSG00000234695	ENST00000435257	1
ENSG00000235280	ENST00000446789	1
ENSG00000235770	ENST00000417922	1
ENSG00000235978	ENST00000489771	1
ENSG00000237254	ENST00000417977	1
ENSG00000239219	ENST00000469301	1
ENSG00000242147	ENST00000478294	1
ENSG00000247809	ENST00000558929	1
ENSG00000248235	ENST00000430850	1
ENSG00000248346	ENST00000513711	1
ENSG00000248587	ENST00000637595	1
ENSG00000249519	ENST00000512794	1
ENSG00000249740	ENST00000512519	1
ENSG00000251867	ENST00000605948	1
ENSG00000252827	ENST00000517018	1
ENSG00000253227	ENST00000517482	1
ENSG00000253320	ENST00000518518	1
ENSG00000253552	ENST00000524048	1
ENSG00000255248	ENST00000532350	1
ENSG00000255446	ENST00000528983	1
ENSG00000255874	ENST00000538077	1
ENSG00000258798	ENST00000557524	1
ENSG00000260220	ENST00000569961	1
ENSG00000260604	ENST00000566733	1
ENSG00000262075	ENST00000573103	1
ENSG00000263006	ENST00000576266	1
ENSG00000264116	ENST00000579386	1
ENSG00000264243	ENST00000581213	1
ENSG00000264672	ENST00000578022	1
ENSG00000266074	ENST00000584436	1
ENSG00000267279	ENST00000586949	1
ENSG00000267649	ENST00000585911	1
ENSG00000267750	ENST00000586388	1
ENSG00000267898	ENST00000594305	1
ENSG00000268223	ENST00000601302	1
ENSG00000271265	ENST00000604082	1
ENSG00000273143	ENST00000607952	1
ENSG00000273674	ENST00000613161	1
ENSG00000274029	ENST00000619282	1
ENSG00000276600	ENST00000617070	1
ENSG00000276997	ENST00000621440	1
ENSG00000277521	ENST00000619811	1
ENSG00000277602	ENST00000618631	1
ENSG00000282602	ENST00000632196	1
