ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000000460	ENST00000359326	1
ENSG00000001084	ENST00000229416	1
ENSG00000002822	ENST00000437877	1
ENSG00000002919	ENST00000582104	1
ENSG00000003402	ENST00000309955	1
ENSG00000004142	ENST00000540200	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000266022	1
ENSG00000004766	ENST00000251739	1
ENSG00000004779	ENST00000007516	2
ENSG00000005059	ENST00000394650	1
ENSG00000005100	ENST00000225296	1
ENSG00000005302	ENST00000473806	1
ENSG00000005844	ENST00000356798	1
ENSG00000005882	ENST00000503176	1
ENSG00000006194	ENST00000538765	1
ENSG00000006634	ENST00000430279	1
ENSG00000006744	ENST00000395962	1
ENSG00000006837	ENST00000519312	1
ENSG00000007047	ENST00000587566	1
ENSG00000007392	ENST00000428363	1
ENSG00000007545	ENST00000397412	1
ENSG00000007923	ENST00000426784	1
ENSG00000007968	ENST00000361729	1
ENSG00000008988	ENST00000009589	1
ENSG00000009790	ENST00000367026	1
ENSG00000009844	ENST00000367630	1
ENSG00000010810	ENST00000354650	1
ENSG00000011009	ENST00000374502	1
ENSG00000011052	ENST00000376392	1
ENSG00000011198	ENST00000013894	1
ENSG00000011275	ENST00000411812	2
ENSG00000011295	ENST00000466729	1
ENSG00000011304	ENST00000349038	1
ENSG00000011376	ENST00000265537	1
ENSG00000011485	ENST00000012443	1
ENSG00000012174	ENST00000365779	1
ENSG00000012232	ENST00000519886	1
ENSG00000012963	ENST00000553674	2
ENSG00000012983	ENST00000013125	1
ENSG00000013374	ENST00000468404	1
ENSG00000013523	ENST00000251089	1
ENSG00000013561	ENST00000506004	1
ENSG00000014123	ENST00000369278	1
ENSG00000014641	ENST00000409476	1
ENSG00000015285	ENST00000376701	1
ENSG00000015479	ENST00000394805	1
ENSG00000017797	ENST00000383432	1
ENSG00000018610	ENST00000320339	1
ENSG00000020426	ENST00000261245	1
ENSG00000021355	ENST00000460260	1
ENSG00000021574	ENST00000345662	1
ENSG00000021776	ENST00000156471	1
ENSG00000023228	ENST00000233190	1
ENSG00000023445	ENST00000263464	2
ENSG00000023697	ENST00000524480	1
ENSG00000023892	ENST00000316637	1
ENSG00000023902	ENST00000369124	1
ENSG00000024862	ENST00000617445	1
ENSG00000025434	ENST00000395397	1
ENSG00000026025	ENST00000421459	1
ENSG00000026103	ENST00000352159	1
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000553889	1
ENSG00000027847	ENST00000029410	1
ENSG00000028116	ENST00000340157	1
ENSG00000028277	ENST00000342301	1
ENSG00000028528	ENST00000261889	1
ENSG00000028839	ENST00000237264	1
ENSG00000033178	ENST00000322244	1
ENSG00000034693	ENST00000367592	1
ENSG00000035403	ENST00000436396	1
ENSG00000035681	ENST00000427130	1
ENSG00000035720	ENST00000265404	1
ENSG00000036054	ENST00000344949	1
ENSG00000036549	ENST00000370798	1
ENSG00000037749	ENST00000322602	1
ENSG00000038002	ENST00000264595	1
ENSG00000038358	ENST00000572221	1
ENSG00000039123	ENST00000503165	1
ENSG00000040633	ENST00000570899	1
ENSG00000041802	ENST00000265245	1
ENSG00000041988	ENST00000472925	1
ENSG00000042088	ENST00000335725	1
ENSG00000043143	ENST00000395003	1
ENSG00000043462	ENST00000519149	1
ENSG00000044090	ENST00000535468	1
ENSG00000047249	ENST00000359530	1
ENSG00000047346	ENST00000399202	1
ENSG00000048162	ENST00000614830	1
ENSG00000048649	ENST00000467567	2
ENSG00000048707	ENST00000613099	1
ENSG00000049089	ENST00000488463	1
ENSG00000049541	ENST00000055077	1
ENSG00000049759	ENST00000585970	1
ENSG00000051523	ENST00000261623	1
ENSG00000051620	ENST00000367697	1
ENSG00000051825	ENST00000544217	1
ENSG00000053254	ENST00000557258	1
ENSG00000053501	ENST00000263897	1
ENSG00000053770	ENST00000431972	1
ENSG00000054282	ENST00000366541	1
ENSG00000054611	ENST00000337137	1
ENSG00000055070	ENST00000401089	1
ENSG00000055147	ENST00000351797	1
ENSG00000055163	ENST00000616178	1
ENSG00000055483	ENST00000312010	1
ENSG00000056050	ENST00000393381	1
ENSG00000056277	ENST00000370978	1
ENSG00000056972	ENST00000368735	1
ENSG00000057252	ENST00000367619	1
ENSG00000057657	ENST00000369089	1
