ID	Ensembl ID	SiteCount
ENSG00000002016	ENST00000358495	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000373449	1
ENSG00000004487	ENST00000356634	1
ENSG00000004766	ENST00000251739	1
ENSG00000004779	ENST00000007516	1
ENSG00000006744	ENST00000338034	1
ENSG00000006757	ENST00000381042	1
ENSG00000006837	ENST00000265334	1
ENSG00000007923	ENST00000426784	1
ENSG00000007968	ENST00000361729	1
ENSG00000008838	ENST00000356271	1
ENSG00000010292	ENST00000315579	1
ENSG00000011243	ENST00000397410	1
ENSG00000011376	ENST00000414984	1
ENSG00000012061	ENST00000340192	1
ENSG00000013275	ENST00000157812	1
ENSG00000015676	ENST00000464812	1
ENSG00000020129	ENST00000356090	1
ENSG00000021776	ENST00000543879	1
ENSG00000022976	ENST00000442396	1
ENSG00000023228	ENST00000423725	1
ENSG00000023318	ENST00000262455	1
ENSG00000023734	ENST00000025399	1
ENSG00000024048	ENST00000372899	1
ENSG00000025800	ENST00000373625	1
ENSG00000028528	ENST00000261889	1
ENSG00000036549	ENST00000370801	1
ENSG00000037749	ENST00000322602	1
ENSG00000038219	ENST00000040738	1
ENSG00000040633	ENST00000570753	1
ENSG00000041802	ENST00000265245	1
ENSG00000047056	ENST00000263150	1
ENSG00000048162	ENST00000614830	1
ENSG00000048544	ENST00000053468	1
ENSG00000049245	ENST00000054666	1
ENSG00000049883	ENST00000308077	1
ENSG00000050426	ENST00000262055	1
ENSG00000053770	ENST00000261558	1
ENSG00000055044	ENST00000264279	1
ENSG00000055070	ENST00000401089	1
ENSG00000055147	ENST00000351797	1
ENSG00000057663	ENST00000369070	1
ENSG00000058729	ENST00000283109	1
ENSG00000060339	ENST00000265872	1
ENSG00000061656	ENST00000463973	1
ENSG00000061794	ENST00000542199	1
ENSG00000061936	ENST00000261674	1
ENSG00000062485	ENST00000351328	1
ENSG00000063176	ENST00000245222	1
ENSG00000063177	ENST00000547892	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000065357	ENST00000546878	1
ENSG00000065427	ENST00000302445	1
ENSG00000065615	ENST00000369679	1
ENSG00000066557	ENST00000370952	1
ENSG00000066654	ENST00000396083	1
ENSG00000066827	ENST00000377838	1
ENSG00000068400	ENST00000376423	1
ENSG00000068745	ENST00000328631	1
ENSG00000068903	ENST00000249396	1
ENSG00000069248	ENST00000261396	1
ENSG00000069275	ENST00000367142	1
ENSG00000069345	ENST00000563158	1
ENSG00000069943	ENST00000539642	1
ENSG00000069974	ENST00000561545	1
ENSG00000070367	ENST00000340918	1
ENSG00000071462	ENST00000265758	1
