ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000000460	ENST00000359326	1
ENSG00000001630	ENST00000450723	1
ENSG00000003147	ENST00000339809	1
ENSG00000004487	ENST00000356634	1
ENSG00000004866	ENST00000420755	1
ENSG00000005020	ENST00000345317	1
ENSG00000005059	ENST00000394650	1
ENSG00000005339	ENST00000576720	1
ENSG00000005513	ENST00000293894	1
ENSG00000005844	ENST00000356798	1
ENSG00000005882	ENST00000503176	1
ENSG00000005884	ENST00000506401	1
ENSG00000006530	ENST00000473247	1
ENSG00000006576	ENST00000248550	1
ENSG00000006695	ENST00000261643	1
ENSG00000007047	ENST00000587566	1
ENSG00000007174	ENST00000583192	1
ENSG00000007306	ENST00000599715	1
ENSG00000007516	ENST00000566162	1
ENSG00000007520	ENST00000007390	1
ENSG00000007545	ENST00000492778	1
ENSG00000008118	ENST00000009105	1
ENSG00000008988	ENST00000009589	1
ENSG00000010219	ENST00000537719	1
ENSG00000010256	ENST00000412343	1
ENSG00000010319	ENST00000475739	1
ENSG00000010361	ENST00000529302	1
ENSG00000010626	ENST00000415834	1
ENSG00000010671	ENST00000470069	1
ENSG00000010704	ENST00000317896	1
ENSG00000010932	ENST00000367750	1
ENSG00000011021	ENST00000346436	2
ENSG00000011052	ENST00000376392	1
ENSG00000011405	ENST00000503729	1
ENSG00000011454	ENST00000456584	1
ENSG00000012061	ENST00000013807	1
ENSG00000012124	ENST00000578146	1
ENSG00000012171	ENST00000416295	1
ENSG00000012174	ENST00000365779	1
ENSG00000013523	ENST00000556298	1
ENSG00000014138	ENST00000534785	1
ENSG00000014257	ENST00000507647	1
ENSG00000015133	ENST00000554051	1
ENSG00000015171	ENST00000381604	1
ENSG00000017483	ENST00000441948	1
ENSG00000018408	ENST00000472417	1
ENSG00000018699	ENST00000317907	1
ENSG00000019144	ENST00000527259	1
ENSG00000019995	ENST00000471421	1
ENSG00000020129	ENST00000423723	1
ENSG00000020426	ENST00000261245	1
ENSG00000021300	ENST00000541597	1
ENSG00000023041	ENST00000482410	1
ENSG00000023445	ENST00000532808	1
ENSG00000024526	ENST00000489862	1
ENSG00000026103	ENST00000352159	1
ENSG00000028203	ENST00000547894	1
ENSG00000032219	ENST00000348476	1
ENSG00000033030	ENST00000633063	1
ENSG00000034677	ENST00000341084	1
ENSG00000035664	ENST00000559731	1
ENSG00000035862	ENST00000585421	1
ENSG00000036549	ENST00000370798	1
ENSG00000037241	ENST00000265100	1
ENSG00000038382	ENST00000506611	1
ENSG00000039600	ENST00000311371	1
ENSG00000039650	ENST00000625299	1
ENSG00000041802	ENST00000265245	1
ENSG00000042088	ENST00000335725	1
ENSG00000042445	ENST00000295802	1
ENSG00000044115	ENST00000520158	1
ENSG00000047230	ENST00000443824	1
ENSG00000047346	ENST00000619572	1
ENSG00000047621	ENST00000544258	1
ENSG00000047849	ENST00000360240	1
ENSG00000048707	ENST00000613099	1
ENSG00000049130	ENST00000378535	1
ENSG00000049540	ENST00000466878	1
ENSG00000049618	ENST00000637904	1
ENSG00000049759	ENST00000588066	1
ENSG00000050405	ENST00000394943	1
ENSG00000050820	ENST00000393422	1
ENSG00000051620	ENST00000607197	1
ENSG00000052723	ENST00000060969	1
ENSG00000052749	ENST00000315563	1
ENSG00000053108	ENST00000265342	1
ENSG00000053501	ENST00000593597	1
ENSG00000053524	ENST00000475664	1
ENSG00000053747	ENST00000592519	1
ENSG00000054983	ENST00000393569	1
ENSG00000055917	ENST00000319801	1
ENSG00000057294	ENST00000552612	1
ENSG00000057593	ENST00000346342	1
ENSG00000057663	ENST00000360666	1
ENSG00000057704	ENST00000261226	1
ENSG00000058600	ENST00000567022	1
ENSG00000058804	ENST00000480952	1
ENSG00000060749	ENST00000527788	1
ENSG00000061656	ENST00000463973	1
ENSG00000063601	ENST00000436701	1
ENSG00000063761	ENST00000238561	1
ENSG00000064042	ENST00000509277	1
ENSG00000064115	ENST00000512808	1
ENSG00000064225	ENST00000474595	1
ENSG00000064300	ENST00000504201	1
ENSG00000064763	ENST00000536681	1
ENSG00000065057	ENST00000567727	1
ENSG00000065154	ENST00000368845	1
ENSG00000065357	ENST00000546995	1
ENSG00000065491	ENST00000373491	1
ENSG00000065618	ENST00000353479	1
ENSG00000065882	ENST00000261439	1
