ID	Ensembl ID	SiteCount
ENSG00000001167	ENST00000341376	1
ENSG00000004139	ENST00000582323	1
ENSG00000005238	ENST00000322813	1
ENSG00000010072	ENST00000295050	1
ENSG00000020577	ENST00000554335	1
ENSG00000023228	ENST00000233190	1
ENSG00000057663	ENST00000636335	1
ENSG00000057704	ENST00000552239	1
ENSG00000064102	ENST00000538727	1
ENSG00000065621	ENST00000369707	1
ENSG00000066654	ENST00000396083	1
ENSG00000074054	ENST00000485112	1
ENSG00000074621	ENST00000537259	1
ENSG00000076053	ENST00000538134	1
ENSG00000081154	ENST00000265260	1
ENSG00000086102	ENST00000318524	1
ENSG00000089101	ENST00000475466	1
ENSG00000096746	ENST00000265866	1
ENSG00000100554	ENST00000216442	1
ENSG00000101773	ENST00000579124	1
ENSG00000103091	ENST00000262144	1
ENSG00000104221	ENST00000220659	1
ENSG00000104408	ENST00000220849	1
ENSG00000104886	ENST00000589791	1
ENSG00000105258	ENST00000586439	1
ENSG00000105518	ENST00000590482	1
ENSG00000107651	ENST00000369075	1
ENSG00000107821	ENST00000477267	1
ENSG00000107890	ENST00000376087	1
ENSG00000108406	ENST00000425628	1
ENSG00000108423	ENST00000325752	1
ENSG00000108443	ENST00000225577	1
ENSG00000108469	ENST00000317905	1
ENSG00000110801	ENST00000261817	1
ENSG00000111276	ENST00000442489	1
ENSG00000111300	ENST00000549711	1
ENSG00000111731	ENST00000333957	1
ENSG00000111790	ENST00000327214	1
ENSG00000112306	ENST00000230050	1
ENSG00000112339	ENST00000314674	1
ENSG00000114942	ENST00000236957	1
ENSG00000115145	ENST00000463854	1
ENSG00000115233	ENST00000437630	1
ENSG00000115484	ENST00000461370	1
ENSG00000115486	ENST00000233838	1
ENSG00000115942	ENST00000410039	1
ENSG00000116752	ENST00000369541	1
ENSG00000116903	ENST00000366645	1
ENSG00000117461	ENST00000372006	1
ENSG00000117475	ENST00000329281	1
ENSG00000118961	ENST00000402479	1
ENSG00000119471	ENST00000398805	1
ENSG00000120341	ENST00000464631	1
ENSG00000120526	ENST00000239690	1
ENSG00000120533	ENST00000339942	1
ENSG00000122406	ENST00000315741	1
ENSG00000124784	ENST00000379834	1
ENSG00000127452	ENST00000247977	1
ENSG00000128573	ENST00000350908	1
ENSG00000130921	ENST00000253233	1
ENSG00000132254	ENST00000614314	1
ENSG00000132842	ENST00000255194	1
ENSG00000133835	ENST00000504811	1
ENSG00000133895	ENST00000377316	1
ENSG00000134001	ENST00000556724	1
ENSG00000135446	ENST00000257904	1
ENSG00000136485	ENST00000415273	1
ENSG00000136754	ENST00000346832	1
ENSG00000136875	ENST00000374198	1
ENSG00000138658	ENST00000264370	1
ENSG00000138674	ENST00000513323	1
ENSG00000139146	ENST00000539409	1
ENSG00000139160	ENST00000357721	1
ENSG00000139289	ENST00000619060	1
ENSG00000139323	ENST00000313546	1
ENSG00000139637	ENST00000551131	1
ENSG00000140297	ENST00000558721	1
ENSG00000142166	ENST00000270139	1
ENSG00000143033	ENST00000370298	1
ENSG00000143156	ENST00000480478	1
ENSG00000143622	ENST00000368323	1
ENSG00000143751	ENST00000272091	1
ENSG00000144827	ENST00000273359	1
