ID	Ensembl ID	SiteCount
ENSG00000001036	ENST00000002165	1
ENSG00000001084	ENST00000229416	1
ENSG00000001461	ENST00000003912	1
ENSG00000001630	ENST00000003100	1
ENSG00000002016	ENST00000397230	1
ENSG00000003400	ENST00000272879	1
ENSG00000003436	ENST00000392365	1
ENSG00000004059	ENST00000459680	1
ENSG00000004139	ENST00000585482	1
ENSG00000004455	ENST00000354858	1
ENSG00000004487	ENST00000356634	1
ENSG00000004766	ENST00000477935	1
ENSG00000004779	ENST00000007516	1
ENSG00000004864	ENST00000416240	1
ENSG00000005075	ENST00000292614	1
ENSG00000005100	ENST00000225296	1
ENSG00000005156	ENST00000378526	1
ENSG00000005189	ENST00000567297	1
ENSG00000005436	ENST00000409857	1
ENSG00000005471	ENST00000453593	1
ENSG00000005483	ENST00000257745	1
ENSG00000005844	ENST00000568012	1
ENSG00000005882	ENST00000505897	2
ENSG00000006007	ENST00000569773	1
ENSG00000006118	ENST00000537065	1
ENSG00000006282	ENST00000006658	1
ENSG00000006607	ENST00000492868	1
ENSG00000006634	ENST00000430279	1
ENSG00000006652	ENST00000005558	1
ENSG00000006831	ENST00000543456	1
ENSG00000006837	ENST00000519312	1
ENSG00000007341	ENST00000459630	1
ENSG00000007384	ENST00000472390	1
ENSG00000007392	ENST00000293872	1
ENSG00000007520	ENST00000007390	1
ENSG00000008083	ENST00000397311	1
ENSG00000008853	ENST00000519685	1
ENSG00000009765	ENST00000229447	1
ENSG00000009844	ENST00000367630	1
ENSG00000010282	ENST00000310417	1
ENSG00000010295	ENST00000336604	1
ENSG00000010319	ENST00000231721	1
ENSG00000010539	ENST00000396870	1
ENSG00000010626	ENST00000007969	1
ENSG00000011052	ENST00000376392	1
ENSG00000011275	ENST00000469375	1
ENSG00000011566	ENST00000429397	1
ENSG00000012061	ENST00000340192	1
ENSG00000012174	ENST00000365779	1
ENSG00000012660	ENST00000304434	1
ENSG00000012983	ENST00000013125	1
ENSG00000013275	ENST00000157812	1
ENSG00000013364	ENST00000566252	1
ENSG00000013441	ENST00000321356	1
ENSG00000014164	ENST00000262577	1
ENSG00000015153	ENST00000547622	1
ENSG00000015479	ENST00000394805	1
ENSG00000018510	ENST00000264167	1
ENSG00000020426	ENST00000261245	1
ENSG00000021300	ENST00000426191	1
ENSG00000021645	ENST00000555387	1
ENSG00000021852	ENST00000371237	1
ENSG00000022567	ENST00000024061	1
ENSG00000023228	ENST00000233190	1
ENSG00000023839	ENST00000370449	1
ENSG00000023892	ENST00000316637	1
ENSG00000023909	ENST00000370238	1
ENSG00000025423	ENST00000322165	1
ENSG00000025772	ENST00000372813	1
ENSG00000028277	ENST00000636631	1
ENSG00000028839	ENST00000237264	1
ENSG00000032389	ENST00000382125	1
ENSG00000033011	ENST00000262374	1
ENSG00000033030	ENST00000633063	1
ENSG00000033100	ENST00000035307	1
ENSG00000033800	ENST00000249636	1
ENSG00000033867	ENST00000425128	1
ENSG00000034533	ENST00000264992	1
ENSG00000034677	ENST00000432381	1
ENSG00000034693	ENST00000367592	1
ENSG00000035928	ENST00000349703	1
ENSG00000036257	ENST00000264414	1
ENSG00000036672	ENST00000260187	1
ENSG00000038219	ENST00000040738	1
ENSG00000038358	ENST00000358933	1
ENSG00000042088	ENST00000335725	1
ENSG00000042286	ENST00000307864	1
ENSG00000042429	ENST00000251871	1
ENSG00000042445	ENST00000295802	1
ENSG00000042493	ENST00000415012	1
ENSG00000042753	ENST00000263270	1
ENSG00000043514	ENST00000465417	1
ENSG00000044090	ENST00000535468	1
ENSG00000047249	ENST00000359530	1
ENSG00000047457	ENST00000264613	1
ENSG00000047621	ENST00000535030	1
ENSG00000048162	ENST00000502577	1
ENSG00000048544	ENST00000053468	1
ENSG00000049089	ENST00000427563	1
ENSG00000049323	ENST00000415140	1
ENSG00000049618	ENST00000400790	1
ENSG00000049759	ENST00000431212	1
ENSG00000049860	ENST00000261416	1
ENSG00000050405	ENST00000550592	1
ENSG00000051108	ENST00000563343	1
ENSG00000051620	ENST00000367697	1
ENSG00000052723	ENST00000060969	1
ENSG00000052749	ENST00000315563	1
ENSG00000053254	ENST00000555034	1
ENSG00000053770	ENST00000261558	1
ENSG00000054356	ENST00000477819	1
ENSG00000056097	ENST00000265069	1
ENSG00000057663	ENST00000360666	1
ENSG00000058600	ENST00000615879	1
ENSG00000058729	ENST00000283109	1
ENSG00000059122	ENST00000253928	1
ENSG00000060138	ENST00000546298	1
ENSG00000060339	ENST00000630771	1
ENSG00000060982	ENST00000342945	1
ENSG00000061656	ENST00000430878	1
ENSG00000062485	ENST00000542324	1
ENSG00000062725	ENST00000585368	1
ENSG00000063015	ENST00000335960	1
ENSG00000063169	ENST00000396720	1
ENSG00000063241	ENST00000438389	1
ENSG00000063244	ENST00000587196	1
ENSG00000063245	ENST00000270460	1
ENSG00000063854	ENST00000397356	1
ENSG00000064012	ENST00000264274	1
ENSG00000064225	ENST00000265261	1
ENSG00000064419	ENST00000265388	1
ENSG00000064601	ENST00000191018	1
ENSG00000064687	ENST00000433129	1
ENSG00000064932	ENST00000590998	1
ENSG00000064961	ENST00000483417	1
ENSG00000065029	ENST00000460229	1
ENSG00000065135	ENST00000369851	1
ENSG00000065559	ENST00000353533	1
ENSG00000065615	ENST00000369679	1
ENSG00000065802	ENST00000473306	1
ENSG00000065809	ENST00000378458	1
ENSG00000065882	ENST00000401554	1
ENSG00000065911	ENST00000394053	1
ENSG00000066027	ENST00000261461	1
ENSG00000066084	ENST00000549620	1
ENSG00000066136	ENST00000372651	1
