ID	Ensembl ID	SiteCount
ENSG00000001460	ENST00000475760	1
ENSG00000001561	ENST00000321037	1
ENSG00000002330	ENST00000544785	1
ENSG00000002834	ENST00000318008	1
ENSG00000003249	ENST00000304733	1
ENSG00000003987	ENST00000180173	1
ENSG00000004059	ENST00000459680	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000433811	1
ENSG00000004766	ENST00000436177	1
ENSG00000004779	ENST00000007516	1
ENSG00000004864	ENST00000265631	1
ENSG00000004866	ENST00000393444	2
ENSG00000004948	ENST00000359558	1
ENSG00000005020	ENST00000487720	1
ENSG00000005189	ENST00000261377	1
ENSG00000005206	ENST00000586332	1
ENSG00000005448	ENST00000469321	1
ENSG00000005700	ENST00000306270	1
ENSG00000006025	ENST00000007414	1
ENSG00000006071	ENST00000612903	1
ENSG00000006128	ENST00000319273	1
ENSG00000006210	ENST00000006053	1
ENSG00000006451	ENST00000468201	1
ENSG00000006459	ENST00000397560	1
ENSG00000006638	ENST00000411851	1
ENSG00000007237	ENST00000323816	1
ENSG00000007341	ENST00000369669	1
ENSG00000007372	ENST00000379111	1
ENSG00000007384	ENST00000450643	1
ENSG00000007541	ENST00000293874	1
ENSG00000008128	ENST00000357760	1
ENSG00000008282	ENST00000011473	1
ENSG00000008323	ENST00000449001	1
ENSG00000008952	ENST00000337002	1
ENSG00000008988	ENST00000009589	1
ENSG00000009780	ENST00000010299	1
ENSG00000009830	ENST00000554767	1
ENSG00000010017	ENST00000011619	1
ENSG00000010278	ENST00000009180	1
ENSG00000010292	ENST00000315579	1
ENSG00000010310	ENST00000263281	1
ENSG00000010539	ENST00000396868	1
ENSG00000010810	ENST00000354650	1
ENSG00000011052	ENST00000376392	1
ENSG00000011132	ENST00000316757	1
ENSG00000011275	ENST00000411812	1
ENSG00000011295	ENST00000466729	1
ENSG00000011405	ENST00000503729	1
ENSG00000011422	ENST00000339082	1
ENSG00000011426	ENST00000418118	1
ENSG00000011485	ENST00000012443	1
ENSG00000012048	ENST00000471181	1
ENSG00000012174	ENST00000365779	1
ENSG00000012232	ENST00000519288	1
ENSG00000012779	ENST00000374391	1
ENSG00000012822	ENST00000430117	1
ENSG00000012963	ENST00000553674	1
ENSG00000013288	ENST00000504248	1
ENSG00000013364	ENST00000357402	1
ENSG00000013374	ENST00000470229	1
ENSG00000013375	ENST00000283977	1
ENSG00000013392	ENST00000369724	1
ENSG00000013441	ENST00000321356	1
ENSG00000013503	ENST00000228347	1
ENSG00000013573	ENST00000535317	1
ENSG00000014164	ENST00000262577	1
ENSG00000015153	ENST00000327791	1
ENSG00000015413	ENST00000421184	1
ENSG00000015479	ENST00000394805	1
ENSG00000015592	ENST00000265770	1
ENSG00000017260	ENST00000508532	1
ENSG00000018189	ENST00000226328	1
ENSG00000018236	ENST00000551295	1
ENSG00000018510	ENST00000409888	1
ENSG00000019549	ENST00000020945	1
ENSG00000020129	ENST00000437806	1
ENSG00000020426	ENST00000261245	1
ENSG00000020577	ENST00000251091	1
ENSG00000021762	ENST00000534491	1
ENSG00000022277	ENST00000023939	1
ENSG00000022976	ENST00000442396	1
ENSG00000023191	ENST00000397614	1
ENSG00000025434	ENST00000395397	1
ENSG00000025796	ENST00000369002	1
ENSG00000025800	ENST00000469790	1
ENSG00000026025	ENST00000421459	1
ENSG00000026103	ENST00000355279	1
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000332981	1
ENSG00000028203	ENST00000547894	1
ENSG00000028277	ENST00000636631	1
ENSG00000031691	ENST00000335783	1
ENSG00000032219	ENST00000417477	1
ENSG00000032444	ENST00000596515	1
ENSG00000033011	ENST00000262374	1
ENSG00000033030	ENST00000633063	1
ENSG00000033100	ENST00000035307	1
ENSG00000033800	ENST00000249636	1
ENSG00000034693	ENST00000367592	1
ENSG00000035499	ENST00000265036	1
ENSG00000035862	ENST00000585421	1
ENSG00000035928	ENST00000349703	1
ENSG00000036530	ENST00000380228	1
ENSG00000036549	ENST00000370798	1
ENSG00000037042	ENST00000251412	1
ENSG00000037749	ENST00000322602	1
ENSG00000038219	ENST00000040738	1
ENSG00000038382	ENST00000515710	1
ENSG00000039560	ENST00000503673	1
ENSG00000039650	ENST00000594661	1
ENSG00000040341	ENST00000518767	1
ENSG00000040608	ENST00000425986	1
ENSG00000040633	ENST00000570753	1
ENSG00000041802	ENST00000265245	1
ENSG00000042753	ENST00000263270	1
ENSG00000043514	ENST00000316891	1
ENSG00000043591	ENST00000369295	1
ENSG00000044524	ENST00000452448	1
ENSG00000046647	ENST00000380523	1
ENSG00000047056	ENST00000263150	1
ENSG00000047346	ENST00000561490	1
ENSG00000047410	ENST00000451586	1
ENSG00000048471	ENST00000568949	1
ENSG00000048544	ENST00000053468	1
ENSG00000048740	ENST00000608830	1
ENSG00000049130	ENST00000228280	1
ENSG00000049192	ENST00000381055	1
ENSG00000049283	ENST00000268933	1
ENSG00000049323	ENST00000432635	1
ENSG00000050405	ENST00000341247	1
ENSG00000050628	ENST00000306666	1
ENSG00000050820	ENST00000393422	1
ENSG00000051108	ENST00000439977	1
ENSG00000051180	ENST00000267868	1
ENSG00000051523	ENST00000561972	1
ENSG00000051596	ENST00000265097	1
ENSG00000051620	ENST00000367697	1
ENSG00000052723	ENST00000060969	1
ENSG00000053108	ENST00000265342	1
ENSG00000053501	ENST00000263897	1
ENSG00000053747	ENST00000313654	1
ENSG00000054267	ENST00000366603	1
ENSG00000055118	ENST00000330883	1
ENSG00000055147	ENST00000351797	1
ENSG00000055208	ENST00000636456	1
ENSG00000055955	ENST00000471505	1
ENSG00000056050	ENST00000506125	1
ENSG00000056972	ENST00000528599	1
ENSG00000057252	ENST00000539888	1
ENSG00000057294	ENST00000070846	1
ENSG00000057663	ENST00000360666	1
ENSG00000057704	ENST00000261226	1
ENSG00000057935	ENST00000406652	1
ENSG00000058085	ENST00000264144	1
ENSG00000058272	ENST00000450142	1
ENSG00000058729	ENST00000283109	1
ENSG00000059915	ENST00000406432	1
ENSG00000060339	ENST00000265872	1
ENSG00000060971	ENST00000421218	1
ENSG00000061938	ENST00000381916	1
ENSG00000062282	ENST00000605608	1
ENSG00000062524	ENST00000263800	1
ENSG00000062716	ENST00000585847	1
ENSG00000063169	ENST00000594866	1
ENSG00000064042	ENST00000503057	1
ENSG00000064419	ENST00000265388	1
