ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367771	1
ENSG00000001036	ENST00000002165	1
ENSG00000001460	ENST00000003583	1
ENSG00000001461	ENST00000003912	1
ENSG00000001497	ENST00000374804	1
ENSG00000001561	ENST00000321037	1
ENSG00000001630	ENST00000450723	1
ENSG00000001631	ENST00000394503	1
ENSG00000002016	ENST00000358495	1
ENSG00000002330	ENST00000309032	1
ENSG00000002746	ENST00000453890	1
ENSG00000002822	ENST00000437877	1
ENSG00000002834	ENST00000435347	1
ENSG00000002933	ENST00000004103	1
ENSG00000003056	ENST00000540837	1
ENSG00000003509	ENST00000002125	1
ENSG00000004142	ENST00000540200	1
ENSG00000004455	ENST00000354858	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000422955	2
ENSG00000004700	ENST00000314748	1
ENSG00000004766	ENST00000251739	1
ENSG00000004776	ENST00000587965	1
ENSG00000004779	ENST00000007516	1
ENSG00000004866	ENST00000422922	1
ENSG00000004975	ENST00000005340	1
ENSG00000005001	ENST00000161006	1
ENSG00000005020	ENST00000345317	1
ENSG00000005100	ENST00000225296	1
ENSG00000005189	ENST00000261377	1
ENSG00000005194	ENST00000563341	1
ENSG00000005302	ENST00000380692	1
ENSG00000005381	ENST00000581022	1
ENSG00000005469	ENST00000331536	2
ENSG00000005471	ENST00000358400	1
ENSG00000005513	ENST00000566034	1
ENSG00000005700	ENST00000306270	1
ENSG00000005801	ENST00000005082	2
ENSG00000005812	ENST00000355619	1
ENSG00000005882	ENST00000503176	1
ENSG00000006007	ENST00000564172	1
ENSG00000006016	ENST00000593286	1
ENSG00000006042	ENST00000394642	1
ENSG00000006118	ENST00000540112	1
ENSG00000006128	ENST00000346867	1
ENSG00000006377	ENST00000555308	1
ENSG00000006451	ENST00000468201	1
ENSG00000006530	ENST00000473247	1
ENSG00000006534	ENST00000617449	1
ENSG00000006625	ENST00000005374	1
ENSG00000006652	ENST00000476927	1
ENSG00000006695	ENST00000261643	1
ENSG00000006712	ENST00000221265	1
ENSG00000006744	ENST00000395962	1
ENSG00000006756	ENST00000217890	1
ENSG00000006831	ENST00000357103	1
ENSG00000007038	ENST00000574265	1
ENSG00000007047	ENST00000587566	1
