ID	Ensembl ID	SiteCount
ENSG00000003147	ENST00000265577	1
ENSG00000003249	ENST00000568838	1
ENSG00000003402	ENST00000441224	1
ENSG00000005810	ENST00000357337	1
ENSG00000005882	ENST00000506647	1
ENSG00000006015	ENST00000598375	1
ENSG00000006468	ENST00000405358	1
ENSG00000006607	ENST00000471447	1
ENSG00000006634	ENST00000265728	1
ENSG00000006652	ENST00000005558	1
ENSG00000006837	ENST00000519312	1
ENSG00000007001	ENST00000605860	1
ENSG00000007306	ENST00000599715	1
ENSG00000007372	ENST00000524853	2
ENSG00000008283	ENST00000392976	1
ENSG00000010318	ENST00000347025	1
ENSG00000011052	ENST00000376392	1
ENSG00000011105	ENST00000431374	1
ENSG00000011243	ENST00000593845	1
ENSG00000011258	ENST00000591270	1
ENSG00000011422	ENST00000339082	1
ENSG00000012061	ENST00000300853	1
ENSG00000012171	ENST00000612509	1
ENSG00000015133	ENST00000555995	1
ENSG00000017427	ENST00000307046	1
ENSG00000021355	ENST00000380739	1
ENSG00000022567	ENST00000024061	1
ENSG00000023171	ENST00000525757	1
ENSG00000026025	ENST00000478746	1
ENSG00000034677	ENST00000341084	1
ENSG00000036257	ENST00000409096	1
ENSG00000036672	ENST00000527843	1
ENSG00000038532	ENST00000494853	1
ENSG00000041988	ENST00000054650	1
ENSG00000044115	ENST00000523912	1
ENSG00000047365	ENST00000303965	1
ENSG00000047457	ENST00000460674	1
ENSG00000047648	ENST00000303025	1
ENSG00000047932	ENST00000368498	1
ENSG00000048162	ENST00000614830	1
ENSG00000049089	ENST00000488463	1
ENSG00000049283	ENST00000503246	1
ENSG00000049323	ENST00000415140	1
ENSG00000049449	ENST00000530348	1
ENSG00000049618	ENST00000636254	1
ENSG00000050405	ENST00000550611	1
ENSG00000050820	ENST00000393422	1
ENSG00000051108	ENST00000563343	1
ENSG00000051128	ENST00000433218	1
ENSG00000051620	ENST00000607197	1
ENSG00000051825	ENST00000536198	1
ENSG00000052126	ENST00000538034	1
ENSG00000053524	ENST00000475664	1
ENSG00000054356	ENST00000462351	1
ENSG00000055483	ENST00000588467	1
ENSG00000055917	ENST00000319801	1
