ID	Ensembl ID	SiteCount
ENSG00000010361	ENST00000529302	1
ENSG00000013441	ENST00000461981	1
ENSG00000036672	ENST00000260187	1
ENSG00000039068	ENST00000261769	1
ENSG00000063046	ENST00000416762	1
ENSG00000072571	ENST00000358715	1
ENSG00000078142	ENST00000262039	1
ENSG00000085840	ENST00000371568	1
ENSG00000087074	ENST00000200453	1
ENSG00000088325	ENST00000300403	1
ENSG00000102103	ENST00000247140	1
ENSG00000104442	ENST00000276569	1
ENSG00000106330	ENST00000223054	1
ENSG00000110435	ENST00000526309	1
ENSG00000111801	ENST00000244519	1
ENSG00000112651	ENST00000230413	1
ENSG00000112763	ENST00000312541	1
ENSG00000112983	ENST00000254900	1
ENSG00000112984	ENST00000394894	1
ENSG00000113141	ENST00000417647	1
ENSG00000120709	ENST00000512180	1
ENSG00000121104	ENST00000505159	1
ENSG00000124659	ENST00000372876	1
ENSG00000125375	ENST00000553774	1
ENSG00000125746	ENST00000588172	1
ENSG00000126768	ENST00000464663	1
ENSG00000129460	ENST00000397154	1
ENSG00000129484	ENST00000250416	1
ENSG00000131495	ENST00000252102	1
ENSG00000134748	ENST00000257181	1
ENSG00000137171	ENST00000347162	1
ENSG00000138587	ENST00000260453	1
ENSG00000143393	ENST00000368874	1
ENSG00000143621	ENST00000361891	1
ENSG00000152443	ENST00000317178	1
ENSG00000152952	ENST00000469350	1
ENSG00000155229	ENST00000327238	1
ENSG00000158373	ENST00000289316	1
ENSG00000158402	ENST00000323760	1
ENSG00000158813	ENST00000616899	1
ENSG00000160271	ENST00000477660	1
ENSG00000164509	ENST00000396836	1
ENSG00000166250	ENST00000530371	1
ENSG00000167302	ENST00000300714	1
ENSG00000167900	ENST00000301634	1
ENSG00000168884	ENST00000505186	1
ENSG00000169429	ENST00000307407	1
ENSG00000169599	ENST00000462320	1
ENSG00000183077	ENST00000327898	1
ENSG00000184270	ENST00000331128	1
ENSG00000186019	ENST00000592946	1
ENSG00000188786	ENST00000373036	1
ENSG00000204220	ENST00000374606	1
ENSG00000204386	ENST00000375631	1
ENSG00000204592	ENST00000376630	1
ENSG00000221955	ENST00000479231	1
ENSG00000224877	ENST00000431388	1
ENSG00000227057	ENST00000374617	1
ENSG00000233607	ENST00000419883	1
ENSG00000234127	ENST00000416596	1
ENSG00000244926	ENST00000499194	1
ENSG00000245248	ENST00000498979	1
ENSG00000250124	ENST00000515706	1
ENSG00000252429	ENST00000516620	1
ENSG00000254409	ENST00000526408	1
ENSG00000256294	ENST00000262894	1
ENSG00000260100	ENST00000569583	1
ENSG00000267439	ENST00000585365	1
ENSG00000267796	ENST00000301159	1
ENSG00000273481	ENST00000609583	1
ENSG00000273703	ENST00000621112	1
ENSG00000277209	ENST00000516869	1
ENSG00000278677	ENST00000359611	1
ENSG00000281649	ENST00000625218	1
