chr	start	end	id	score	size	phits	ghits	ohits	type	near_region	near_distance
1	8561116	8561391	MACS_peak_70	1128.24	275	0	1	0	gene	ENSG00000142599	0
1	11086620	11086991	MACS_peak_81	228.35	371	0	1	0	gene	ENSG00000171824	0
1	11642461	11642648	MACS_peak_83	901.33	187	0	1	1	gene	ENSG00000116661	0
1	11954303	11954502	MACS_peak_84	809.56	199	0	1	0	gene	ENSG00000083444	0
1	21694568	21694710	MACS_peak_127	384.6	142	0	1	0	gene	ENSG00000090686	0
1	21701360	21701500	MACS_peak_128	1136.75	140	0	1	0	gene	ENSG00000090686	0
1	24390073	24390417	MACS_peak_134	784.68	344	0	1	0	gene	ENSG00000001460	0
1	24635290	24635555	MACS_peak_136	464.09	265	0	1	0	gene	ENSG00000133226	0
1	26878026	26878314	MACS_peak_154	700.62	288	0	1	0	gene	ENSG00000142751	0
1	32109480	32109695	MACS_peak_180	799.34	215	0	1	0	gene	ENSG00000025800	0
1	32215701	32216058	MACS_peak_181	399.64	357	0	1	0	gene	ENSG00000160055	0
1	36149559	36149840	MACS_peak_199	453.96	281	0	1	0	gene	ENSG00000054116	0
1	37970423	37970740	MACS_peak_204	76.3	317	0	1	0	gene	ENSG00000183431	0
1	37971799	37972153	MACS_peak_205	175.85	354	0	1	0	gene	ENSG00000183431	0
1	39853286	39853582	MACS_peak_210	445	296	0	1	0	gene	ENSG00000043514	0
1	45512650	45512867	MACS_peak_241	901.33	217	0	1	0	gene	ENSG00000117450	0
1	46693899	46694325	MACS_peak_251	202.06	426	0	1	0	gene	ENSG00000159658	0
1	50684255	50684388	MACS_peak_291	1396.21	133	0	1	0	gene	ENSG00000185104	0
1	50864358	50864796	MACS_peak_292	54.03	438	0	1	0	gene	ENSG00000185104	0
1	50929492	50929774	MACS_peak_293	453.35	282	0	1	0	gene	ENSG00000185104	0
1	51769102	51769394	MACS_peak_299	447.34	292	0	1	0	gene	ENSG00000117859	0
1	53854906	53855078	MACS_peak_306	1358.7	172	0	1	0	gene	ENSG00000058799	0
1	53959706	53959945	MACS_peak_307	620.13	239	0	1	0	gene	ENSG00000116212	0
1	70239596	70239850	MACS_peak_395	596.79	254	0	1	0	gene	ENSG00000116754	0
1	70311529	70311821	MACS_peak_396	1835.72	292	0	1	0	gene	ENSG00000118454	0
1	74228846	74229154	MACS_peak_415	380.3	308	0	1	0	gene	ENSG00000259030	0
1	74500408	74500743	MACS_peak_416	84.4	335	0	2	0	gene	ENSG00000259030	0
1	75782828	75783195	MACS_peak_432	150.31	367	0	1	0	gene	ENSG00000117054	0
1	84141168	84141498	MACS_peak_490	426.3	330	0	1	0	gene	ENSG00000142875	0
1	84230950	84231171	MACS_peak_491	132.92	221	0	1	0	gene	ENSG00000142875	0
1	84234349	84234710	MACS_peak_492	102.84	361	0	1	0	gene	ENSG00000142875	0
1	85254798	85255033	MACS_peak_498	516.86	235	0	1	0	gene	ENSG00000162642	0
