ID	Ensembl ID	SiteCount
ENSG00000013364	ENST00000357402	1
ENSG00000091656	ENST00000458716	1
ENSG00000104980	ENST00000270538	1
ENSG00000108582	ENST00000580396	1
ENSG00000118473	ENST00000468570	1
ENSG00000128699	ENST00000442547	1
ENSG00000129038	ENST00000261921	1
ENSG00000143851	ENST00000435759	1
ENSG00000146247	ENST00000275034	1
ENSG00000162493	ENST00000376057	1
ENSG00000164089	ENST00000510723	1
ENSG00000171757	ENST00000522526	1
ENSG00000184111	ENST00000332269	1
ENSG00000184634	ENST00000471663	1
ENSG00000187187	ENST00000595225	1
ENSG00000204519	ENST00000596085	1
ENSG00000228203	ENST00000418970	1
ENSG00000233527	ENST00000592880	1
ENSG00000236914	ENST00000434223	1
ENSG00000238713	ENST00000459374	1
ENSG00000245552	ENST00000540692	1
ENSG00000248114	ENST00000509542	1
ENSG00000260288	ENST00000569596	1
ENSG00000261801	ENST00000562130	1
ENSG00000266173	ENST00000245865	1
ENSG00000269026	ENST00000594684	1
ENSG00000274461	ENST00000618591	1
ENSG00000282164	ENST00000631594	1
