ID	Ensembl ID	SiteCount
ENSG00000001631	ENST00000412043	1
ENSG00000004139	ENST00000585453	1
ENSG00000004487	ENST00000356634	1
ENSG00000004766	ENST00000477935	1
ENSG00000004779	ENST00000484769	1
ENSG00000004975	ENST00000005340	1
ENSG00000005486	ENST00000468304	1
ENSG00000006015	ENST00000450195	1
ENSG00000006025	ENST00000007414	1
ENSG00000006125	ENST00000590538	1
ENSG00000006194	ENST00000572748	1
ENSG00000006530	ENST00000473247	1
ENSG00000007047	ENST00000587566	1
ENSG00000007080	ENST00000602080	1
ENSG00000007392	ENST00000494545	1
ENSG00000007520	ENST00000007390	1
ENSG00000008128	ENST00000357760	1
ENSG00000008282	ENST00000011473	1
ENSG00000008838	ENST00000479829	1
ENSG00000008988	ENST00000009589	1
ENSG00000011009	ENST00000374503	1
ENSG00000011052	ENST00000376392	1
ENSG00000011376	ENST00000430399	1
ENSG00000012174	ENST00000365779	1
ENSG00000014164	ENST00000262577	1
ENSG00000016864	ENST00000463762	1
ENSG00000018610	ENST00000320339	1
ENSG00000020256	ENST00000346617	1
ENSG00000021776	ENST00000543879	1
ENSG00000022277	ENST00000449062	1
ENSG00000022976	ENST00000442396	1
ENSG00000027001	ENST00000382172	1
ENSG00000028839	ENST00000237264	1
ENSG00000030582	ENST00000053867	1
ENSG00000031691	ENST00000335783	1
ENSG00000033011	ENST00000588623	1
ENSG00000034693	ENST00000367592	1
ENSG00000035681	ENST00000427130	1
ENSG00000035928	ENST00000349703	1
ENSG00000037241	ENST00000265100	1
ENSG00000037474	ENST00000506139	1
ENSG00000038358	ENST00000358933	1
ENSG00000041802	ENST00000265245	1
ENSG00000042317	ENST00000045347	1
ENSG00000047249	ENST00000359530	1
ENSG00000047621	ENST00000261250	1
ENSG00000048162	ENST00000614830	1
ENSG00000053900	ENST00000505080	1
ENSG00000054983	ENST00000393568	1
ENSG00000055147	ENST00000351797	1
ENSG00000055950	ENST00000370241	1
ENSG00000057663	ENST00000369070	1
ENSG00000059691	ENST00000503160	1
ENSG00000060069	ENST00000613122	1
ENSG00000061794	ENST00000542199	1
ENSG00000063245	ENST00000085079	1
ENSG00000063854	ENST00000397356	1
ENSG00000064313	ENST00000378164	1
ENSG00000064419	ENST00000265388	1
ENSG00000064601	ENST00000191018	1
ENSG00000065268	ENST00000591997	1
ENSG00000065427	ENST00000566249	1
ENSG00000066136	ENST00000372654	1
ENSG00000066379	ENST00000332435	1
ENSG00000066557	ENST00000370952	1
ENSG00000066654	ENST00000396083	1
ENSG00000067334	ENST00000359208	1
ENSG00000067533	ENST00000491428	1
ENSG00000069011	ENST00000506438	1
ENSG00000069248	ENST00000366678	1
ENSG00000070061	ENST00000374647	1
ENSG00000070501	ENST00000519771	1
ENSG00000070778	ENST00000554628	1
ENSG00000070814	ENST00000504761	1
ENSG00000070950	ENST00000415439	1
ENSG00000071894	ENST00000616140	1
ENSG00000072121	ENST00000347230	1
ENSG00000072364	ENST00000265343	1
ENSG00000073536	ENST00000593176	1
ENSG00000074319	ENST00000542488	1
ENSG00000075131	ENST00000561773	1
ENSG00000075188	ENST00000543021	1
ENSG00000075975	ENST00000411987	1
ENSG00000076321	ENST00000209884	1
ENSG00000076928	ENST00000378152	1
ENSG00000077458	ENST00000398187	1
ENSG00000078142	ENST00000585528	1
ENSG00000079102	ENST00000517493	1
ENSG00000079387	ENST00000547181	1
ENSG00000079785	ENST00000617198	1
ENSG00000079974	ENST00000468451	1
ENSG00000079999	ENST00000592055	1
ENSG00000080608	ENST00000397885	1
ENSG00000081177	ENST00000409014	1
ENSG00000081692	ENST00000480590	1
ENSG00000083844	ENST00000263095	1
ENSG00000084072	ENST00000480169	1
ENSG00000085231	ENST00000380822	1
ENSG00000085760	ENST00000263629	1
ENSG00000085998	ENST00000489985	1
ENSG00000086102	ENST00000379521	1
ENSG00000087008	ENST00000356406	1
ENSG00000087157	ENST00000262764	1
ENSG00000087365	ENST00000530322	1
ENSG00000087460	ENST00000467321	1
ENSG00000087995	ENST00000616852	1
ENSG00000088930	ENST00000377191	1
ENSG00000088986	ENST00000548342	1
ENSG00000089006	ENST00000377759	1
ENSG00000089009	ENST00000551291	1
ENSG00000089063	ENST00000379279	1
ENSG00000089091	ENST00000609267	1
ENSG00000089195	ENST00000203001	1
ENSG00000090054	ENST00000262554	1
ENSG00000090432	ENST00000264198	1
ENSG00000090470	ENST00000204549	1
ENSG00000090581	ENST00000204679	1
ENSG00000090612	ENST00000228289	1
ENSG00000090674	ENST00000264079	1
ENSG00000090989	ENST00000346134	1
ENSG00000091157	ENST00000593058	1
ENSG00000091164	ENST00000587613	1
ENSG00000091732	ENST00000471022	1
ENSG00000091947	ENST00000206380	1
ENSG00000092201	ENST00000555752	1
ENSG00000092203	ENST00000455138	1
ENSG00000092330	ENST00000557921	1
ENSG00000092531	ENST00000568227	1
ENSG00000093000	ENST00000347635	1
ENSG00000094880	ENST00000482948	1
ENSG00000095059	ENST00000210060	1
ENSG00000095485	ENST00000466955	1
ENSG00000095564	ENST00000265990	1
