from	to	site_count	MI	distance	row_num	interaction_type	tf	community
ENSG00000163930	ENSG00000259956	1	0.14959	1009745	8288	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000198218	1	0.129327	3371306	14552	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000186448	1	0.119974	7816125	19208	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000177352	1	0.140533	3238478	10649	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000172046	1	0.162497	3292967	5952	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000164081	1	0.119915	738320	19237	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000163684	1	0.18134	5905234	3722	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000132153	1	0.143859	4598104	9714	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000114735	1	0.127626	1831861	15325	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000114388	1	0.149039	2053683	8409	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000114316	1	0.118799	3123182	19863	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000093183	1	0.131165	9853044	13815	Inter-Cytoband	ENSG00000163930	210
ENSG00000163930	ENSG00000068745	1	0.133343	3713010	12970	Inter-Cytoband	ENSG00000163930	210
ENSG00000129245	ENSG00000197879	1	0.127645	6127044	15315	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000178921	1	0.144361	656388	9590	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000177731	1	0.129385	10653606	14526	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000174238	1	0.145457	6073512	9329	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000174231	1	0.229166	5940601	1257	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000171861	1	0.265902	6808957	554	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000170310	1	0.206363	1659241	2069	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000170043	1	0.271972	339115	484	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000170037	1	0.23415	340871	1128	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000167699	1	0.209778	6834133	1935	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000141504	1	0.13147	35004	13693	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000141503	1	0.168418	2757842	5143	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000141499	1	0.268836	94841	522	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000141456	1	0.231393	2921456	1204	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000108963	1	0.191721	5561120	2906	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000108591	1	0.149358	10496656	8342	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000072778	1	0.160379	374105	6264	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000040633	1	0.208996	356202	1968	Intra-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000011295	1	0.120081	8408150	19151	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000006744	1	0.25932500000000003	5401161	643	Inter-Cytoband	ENSG00000129245	6
ENSG00000129245	ENSG00000004975	1	0.190308	365889	2995	Intra-Cytoband	ENSG00000129245	6
ENSG00000132383	ENSG00000181284	1	0.174365	5605741	4422	Inter-Cytoband	ENSG00000132383	6
ENSG00000132510	ENSG00000205544	1	0.135406	436929	12243	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000178921	1	0.127576	407714	15346	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000175826	1	0.181983	596313	3668	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000171861	1	0.142459	7057631	10071	Inter-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000170291	1	0.142583	588488	10032	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000170043	1	0.224884	90441	1387	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000170037	1	0.171535	92197	4746	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000167721	1	0.182155	5517401	3657	Inter-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000141499	1	0.175664	153833	4280	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000141456	1	0.142781	3170130	9988	Inter-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000133028	1	0.183026	2832570	3567	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000129255	1	0.154673	256375	7238	Intra-Cytoband	ENSG00000132510	6
ENSG00000132510	ENSG00000129235	1	0.157292	1199146	6789	Intra-Cytoband	ENSG00000132510	6
