ID	Ensembl ID	SiteCount
ENSG00000002016	ENST00000397230	1
ENSG00000006025	ENST00000007414	1
ENSG00000008294	ENST00000510283	1
ENSG00000011052	ENST00000393193	1
ENSG00000018189	ENST00000226328	1
ENSG00000021645	ENST00000557594	1
ENSG00000023041	ENST00000369404	1
ENSG00000023445	ENST00000263464	1
ENSG00000026652	ENST00000320285	1
ENSG00000030582	ENST00000585512	1
ENSG00000034693	ENST00000367592	1
ENSG00000037042	ENST00000251412	1
ENSG00000039560	ENST00000503673	1
ENSG00000042445	ENST00000409984	1
ENSG00000049323	ENST00000402934	1
ENSG00000053770	ENST00000261558	1
ENSG00000054967	ENST00000544075	1
ENSG00000061455	ENST00000407847	1
ENSG00000064652	ENST00000261369	1
ENSG00000066855	ENST00000262146	1
ENSG00000068024	ENST00000493582	1
ENSG00000069011	ENST00000502676	1
ENSG00000069020	ENST00000403666	1
ENSG00000070366	ENST00000570659	1
ENSG00000070367	ENST00000340918	1
ENSG00000070495	ENST00000585429	1
ENSG00000070614	ENST00000518299	1
ENSG00000070785	ENST00000360403	1
ENSG00000072310	ENST00000395757	1
ENSG00000072401	ENST00000373910	1
ENSG00000074319	ENST00000251968	1
ENSG00000074855	ENST00000159087	1
ENSG00000075131	ENST00000566524	1
ENSG00000075426	ENST00000264716	1
ENSG00000077092	ENST00000330688	1
ENSG00000077152	ENST00000367274	1
ENSG00000077782	ENST00000326324	1
ENSG00000081087	ENST00000193322	1
ENSG00000083817	ENST00000196489	1
ENSG00000084073	ENST00000372759	1
ENSG00000086289	ENST00000476620	1
ENSG00000088756	ENST00000383472	1
ENSG00000089022	ENST00000550735	1
ENSG00000089163	ENST00000202967	1
ENSG00000089234	ENST00000419234	1
ENSG00000090615	ENST00000456883	1
ENSG00000090686	ENST00000489108	1
ENSG00000091732	ENST00000360708	1
ENSG00000091947	ENST00000206380	1
ENSG00000092330	ENST00000267415	1
ENSG00000092421	ENST00000343348	1
ENSG00000092820	ENST00000337147	1
ENSG00000094975	ENST00000367723	1
ENSG00000099795	ENST00000215565	1
ENSG00000100038	ENST00000357179	1
ENSG00000100147	ENST00000255784	1
ENSG00000100221	ENST00000490169	1
ENSG00000100296	ENST00000490103	1
ENSG00000100532	ENST00000216420	1
ENSG00000100578	ENST00000423743	1
ENSG00000100603	ENST00000261531	1
ENSG00000100890	ENST00000557404	1
ENSG00000100997	ENST00000339157	1
ENSG00000101019	ENST00000472559	1
ENSG00000101310	ENST00000450074	1
ENSG00000101391	ENST00000339269	1
ENSG00000102312	ENST00000470275	1
ENSG00000102393	ENST00000480513	1
ENSG00000102763	ENST00000281496	1
ENSG00000103316	ENST00000571358	1
ENSG00000103502	ENST00000563893	1
ENSG00000103852	ENST00000558438	1
ENSG00000104231	ENST00000517588	1
ENSG00000104529	ENST00000531281	1
ENSG00000104679	ENST00000518840	1
ENSG00000104907	ENST00000221504	1
ENSG00000104953	ENST00000474207	1
ENSG00000105085	ENST00000263390	1
ENSG00000105223	ENST00000356508	1
ENSG00000105467	ENST00000595322	1
ENSG00000105486	ENST00000596104	1
ENSG00000105879	ENST00000222597	1
ENSG00000105948	ENST00000343187	1
ENSG00000106333	ENST00000462260	1
ENSG00000106348	ENST00000338791	1
ENSG00000106355	ENST00000409782	1
ENSG00000107104	ENST00000382293	1
ENSG00000107371	ENST00000489414	1
ENSG00000107614	ENST00000354631	1
ENSG00000107672	ENST00000464321	1
ENSG00000107798	ENST00000336233	1
ENSG00000108176	ENST00000225171	1
ENSG00000108344	ENST00000415039	1
ENSG00000108474	ENST00000225609	1
ENSG00000108591	ENST00000225729	1
ENSG00000108604	ENST00000584400	1
ENSG00000108654	ENST00000583699	1
ENSG00000108666	ENST00000225805	1
ENSG00000109118	ENST00000578900	1
ENSG00000109458	ENST00000505913	1
ENSG00000109670	ENST00000604822	1
ENSG00000109680	ENST00000502873	1
ENSG00000109920	ENST00000263773	1
ENSG00000109929	ENST00000392789	1
ENSG00000110047	ENST00000488711	1
ENSG00000110429	ENST00000531080	1
ENSG00000110514	ENST00000342922	1
ENSG00000110911	ENST00000394904	1
ENSG00000110917	ENST00000228506	1
ENSG00000111144	ENST00000553041	1
ENSG00000111229	ENST00000228825	1
ENSG00000111271	ENST00000313698	1
ENSG00000111725	ENST00000229328	1
ENSG00000111802	ENST00000478507	1
ENSG00000111860	ENST00000419517	1
ENSG00000111961	ENST00000367467	1
ENSG00000112182	ENST00000537989	1
ENSG00000112237	ENST00000523639	1
ENSG00000112282	ENST00000354577	1
ENSG00000112304	ENST00000537591	1
ENSG00000112319	ENST00000452339	1
ENSG00000112339	ENST00000367822	1
ENSG00000112394	ENST00000368851	1
ENSG00000112769	ENST00000524032	1
ENSG00000113621	ENST00000506916	1
ENSG00000113734	ENST00000231668	1
ENSG00000114491	ENST00000460034	1
ENSG00000114744	ENST00000469896	1
ENSG00000114745	ENST00000411813	1
ENSG00000114982	ENST00000354204	1
ENSG00000115286	ENST00000313408	1
ENSG00000115661	ENST00000396738	1
ENSG00000116171	ENST00000408941	1
ENSG00000116350	ENST00000373795	1
ENSG00000116584	ENST00000495070	1
ENSG00000116586	ENST00000368305	1
ENSG00000116752	ENST00000369541	1
ENSG00000116754	ENST00000370951	1
ENSG00000116957	ENST00000366601	1
ENSG00000116977	ENST00000526634	1
ENSG00000117481	ENST00000307089	1
ENSG00000117595	ENST00000456314	1
ENSG00000117676	ENST00000526792	1
ENSG00000117697	ENST00000366976	1
ENSG00000118515	ENST00000367855	1
ENSG00000119004	ENST00000356079	1
ENSG00000119638	ENST00000553823	1
ENSG00000120008	ENST00000604585	1
ENSG00000120029	ENST00000311122	1
ENSG00000120334	ENST00000495275	1
ENSG00000120341	ENST00000528461	1
ENSG00000120907	ENST00000380573	1
ENSG00000121350	ENST00000240651	1
ENSG00000122390	ENST00000407558	1
ENSG00000122417	ENST00000294678	1
ENSG00000122435	ENST00000370141	1
ENSG00000122966	ENST00000539413	1
ENSG00000123178	ENST00000613924	1
ENSG00000123360	ENST00000243052	1
ENSG00000123472	ENST00000329231	1
ENSG00000123643	ENST00000243389	1
ENSG00000123810	ENST00000601597	1
ENSG00000123815	ENST00000596455	1
ENSG00000123989	ENST00000243776	1
ENSG00000124253	ENST00000319441	1
ENSG00000124302	ENST00000262622	1
ENSG00000124380	ENST00000409116	1
ENSG00000124613	ENST00000461521	1
ENSG00000124942	ENST00000528508	1
ENSG00000125375	ENST00000554951	1
ENSG00000125703	ENST00000317868	1
ENSG00000126261	ENST00000588585	1
ENSG00000126749	ENST00000599672	1
ENSG00000126814	ENST00000553903	1
ENSG00000127022	ENST00000514383	1
ENSG00000128335	ENST00000358502	1
ENSG00000128463	ENST00000249209	1
ENSG00000128606	ENST00000249377	1
ENSG00000128655	ENST00000286063	1
ENSG00000129028	ENST00000560604	1
ENSG00000129038	ENST00000261921	1
ENSG00000129071	ENST00000393278	1
ENSG00000129315	ENST00000261900	1
ENSG00000129595	ENST00000507810	1
ENSG00000129657	ENST00000564414	1
ENSG00000129696	ENST00000360742	1
ENSG00000130159	ENST00000592665	1
ENSG00000130299	ENST00000361619	1
ENSG00000130741	ENST00000253039	1
ENSG00000130772	ENST00000373842	1
ENSG00000131018	ENST00000471834	1
ENSG00000131469	ENST00000589037	1
ENSG00000131475	ENST00000253794	1
ENSG00000131778	ENST00000369258	1
ENSG00000132155	ENST00000251849	1
ENSG00000132549	ENST00000355155	1
ENSG00000132603	ENST00000254941	1
ENSG00000132740	ENST00000539224	1
ENSG00000132842	ENST00000255194	1
ENSG00000132874	ENST00000586448	1
ENSG00000132906	ENST00000469637	1
ENSG00000132952	ENST00000614860	1
ENSG00000133019	ENST00000468573	1
ENSG00000133460	ENST00000436643	1
ENSG00000133835	ENST00000256216	1
ENSG00000133878	ENST00000522982	1
ENSG00000133983	ENST00000389912	1
ENSG00000134240	ENST00000369406	1
ENSG00000134508	ENST00000580153	1
ENSG00000134668	ENST00000257100	1
ENSG00000134987	ENST00000505303	1
ENSG00000135045	ENST00000376854	1
ENSG00000135063	ENST00000455972	1
ENSG00000135093	ENST00000257548	1
ENSG00000135317	ENST00000346348	1
ENSG00000135423	ENST00000491880	1
ENSG00000135454	ENST00000449184	1
ENSG00000135597	ENST00000258062	1
ENSG00000135900	ENST00000258383	1
ENSG00000135930	ENST00000409098	1
ENSG00000136014	ENST00000258499	1
ENSG00000136159	ENST00000258662	1
ENSG00000136231	ENST00000258729	1
ENSG00000136504	ENST00000259021	1
ENSG00000136750	ENST00000376261	1
ENSG00000136932	ENST00000375117	1
ENSG00000137075	ENST00000353739	2
ENSG00000137200	ENST00000475364	1
ENSG00000137203	ENST00000466073	1
ENSG00000137501	ENST00000529581	1
ENSG00000137502	ENST00000524635	1
ENSG00000137806	ENST00000260361	1
ENSG00000137807	ENST00000560042	1
ENSG00000137821	ENST00000260382	1
ENSG00000137959	ENST00000370751	1
ENSG00000138135	ENST00000371852	1
ENSG00000138398	ENST00000260970	1
ENSG00000138443	ENST00000295851	1
ENSG00000138496	ENST00000360356	1
ENSG00000138614	ENST00000561769	1
ENSG00000138629	ENST00000567435	1
ENSG00000138640	ENST00000395002	1
ENSG00000138653	ENST00000264363	1
ENSG00000138663	ENST00000503682	1
ENSG00000138696	ENST00000440890	1
ENSG00000138771	ENST00000490690	1
ENSG00000138780	ENST00000394730	1
ENSG00000138785	ENST00000340139	1
ENSG00000139112	ENST00000539408	1
ENSG00000139133	ENST00000538927	1
ENSG00000139263	ENST00000433272	1
ENSG00000139289	ENST00000602540	1
ENSG00000139437	ENST00000405876	1
ENSG00000139926	ENST00000557522	1
ENSG00000139974	ENST00000451406	1
ENSG00000140319	ENST00000559439	1
ENSG00000140400	ENST00000267978	1
ENSG00000140526	ENST00000352732	1
ENSG00000140598	ENST00000560095	1
ENSG00000140691	ENST00000564514	1
ENSG00000140853	ENST00000262510	1
ENSG00000140859	ENST00000565270	1
ENSG00000140961	ENST00000393306	1
ENSG00000141298	ENST00000579040	1
ENSG00000141873	ENST00000269740	1
ENSG00000141979	ENST00000409035	1
ENSG00000142046	ENST00000413014	1
ENSG00000142599	ENST00000464972	1
ENSG00000142856	ENST00000489863	1
ENSG00000142892	ENST00000359130	1
ENSG00000143033	ENST00000370298	1
ENSG00000143224	ENST00000352210	1
ENSG00000143228	ENST00000271452	1
ENSG00000143248	ENST00000428971	1
ENSG00000143374	ENST00000438568	1
ENSG00000143390	ENST00000422595	1
ENSG00000143486	ENST00000271764	1
ENSG00000143498	ENST00000366890	1
ENSG00000143819	ENST00000272167	1
ENSG00000144597	ENST00000449565	1
ENSG00000144642	ENST00000471426	1
ENSG00000145194	ENST00000324557	1
ENSG00000145246	ENST00000273859	1
ENSG00000145354	ENST00000503643	1
ENSG00000145592	ENST00000274242	1
ENSG00000145604	ENST00000274254	1
ENSG00000145860	ENST00000519865	1
ENSG00000146247	ENST00000275034	1
ENSG00000146872	ENST00000577616	1
ENSG00000147130	ENST00000314425	1
ENSG00000147403	ENST00000344746	1
ENSG00000147894	ENST00000379995	1
ENSG00000148690	ENST00000359204	1
