ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371582	1
ENSG00000000460	ENST00000359326	1
ENSG00000001084	ENST00000504525	1
ENSG00000001460	ENST00000003583	1
ENSG00000003056	ENST00000540837	1
ENSG00000003402	ENST00000423241	1
ENSG00000004059	ENST00000000233	1
ENSG00000004487	ENST00000356634	1
ENSG00000004534	ENST00000434592	1
ENSG00000004779	ENST00000007516	1
ENSG00000005022	ENST00000475354	1
ENSG00000005100	ENST00000225296	1
ENSG00000005189	ENST00000261377	1
ENSG00000005801	ENST00000005082	1
ENSG00000005844	ENST00000564935	1
ENSG00000006451	ENST00000005257	1
ENSG00000006530	ENST00000473247	1
ENSG00000006634	ENST00000430279	1
ENSG00000006652	ENST00000005558	1
ENSG00000007392	ENST00000418978	1
ENSG00000007520	ENST00000007390	1
ENSG00000008128	ENST00000357760	1
ENSG00000008838	ENST00000495586	1
ENSG00000009844	ENST00000367621	1
ENSG00000010244	ENST00000321233	1
ENSG00000010292	ENST00000315579	1
ENSG00000010539	ENST00000396870	1
ENSG00000010810	ENST00000491885	1
ENSG00000010818	ENST00000367603	1
ENSG00000011009	ENST00000374502	1
ENSG00000011052	ENST00000376392	1
ENSG00000011143	ENST00000313863	1
ENSG00000012983	ENST00000013125	1
ENSG00000013441	ENST00000481641	1
ENSG00000013561	ENST00000506004	1
ENSG00000013573	ENST00000542244	1
ENSG00000014641	ENST00000409476	1
ENSG00000016864	ENST00000266014	1
ENSG00000020426	ENST00000261245	1
ENSG00000021776	ENST00000156471	1
ENSG00000021852	ENST00000371237	1
ENSG00000022567	ENST00000024061	1
ENSG00000023572	ENST00000367439	1
ENSG00000023697	ENST00000524480	1
ENSG00000025434	ENST00000395397	1
ENSG00000027001	ENST00000382172	1
ENSG00000028116	ENST00000340157	1
ENSG00000028203	ENST00000546398	1
ENSG00000032742	ENST00000351808	1
ENSG00000033011	ENST00000262374	1
ENSG00000033050	ENST00000222388	1
ENSG00000034677	ENST00000432381	1
ENSG00000034693	ENST00000367592	1
ENSG00000036054	ENST00000344949	1
ENSG00000037749	ENST00000322602	1
ENSG00000038358	ENST00000358933	1
ENSG00000038532	ENST00000409552	1
ENSG00000041357	ENST00000557929	1
ENSG00000041802	ENST00000265245	1
ENSG00000042445	ENST00000409984	1
ENSG00000046647	ENST00000380523	1
ENSG00000047230	ENST00000359276	1
ENSG00000047457	ENST00000264613	1
ENSG00000047621	ENST00000261250	1
ENSG00000048162	ENST00000614830	1
ENSG00000049541	ENST00000352131	2
ENSG00000050820	ENST00000561970	1
ENSG00000051523	ENST00000563526	1
ENSG00000051620	ENST00000607197	1
ENSG00000053770	ENST00000431972	1
ENSG00000054267	ENST00000421364	1
ENSG00000055147	ENST00000351797	1
ENSG00000055483	ENST00000588365	1
ENSG00000055609	ENST00000452749	1
ENSG00000059573	ENST00000483788	1
ENSG00000059691	ENST00000263985	1
ENSG00000060237	ENST00000535572	1
ENSG00000060566	ENST00000078445	1
ENSG00000060971	ENST00000418880	1
ENSG00000061987	ENST00000393629	1
ENSG00000063176	ENST00000245222	1
ENSG00000063177	ENST00000547892	1
ENSG00000064042	ENST00000505705	1
ENSG00000064489	ENST00000354191	1
ENSG00000064490	ENST00000303088	1
ENSG00000064726	ENST00000379403	1
ENSG00000064932	ENST00000590176	1
ENSG00000064995	ENST00000361288	1
ENSG00000065029	ENST00000339411	1
ENSG00000065135	ENST00000369851	1
ENSG00000065621	ENST00000473401	1
ENSG00000065802	ENST00000473306	1
ENSG00000066248	ENST00000264051	1
ENSG00000066379	ENST00000332435	1
ENSG00000066468	ENST00000478859	1
ENSG00000066654	ENST00000396083	1
ENSG00000067225	ENST00000319622	1
ENSG00000067533	ENST00000366932	1
ENSG00000067596	ENST00000592258	1
ENSG00000068120	ENST00000393818	1
ENSG00000068305	ENST00000338042	1
ENSG00000068654	ENST00000263857	1
ENSG00000068784	ENST00000263736	1
ENSG00000069702	ENST00000417833	1
ENSG00000070367	ENST00000340918	1
ENSG00000070444	ENST00000575394	1
ENSG00000070731	ENST00000592979	1
ENSG00000070785	ENST00000360403	1
ENSG00000071082	ENST00000419276	1
ENSG00000071894	ENST00000616140	1
ENSG00000072958	ENST00000429941	1
ENSG00000073536	ENST00000360831	1
ENSG00000074071	ENST00000177742	1
ENSG00000074603	ENST00000300141	1
ENSG00000074755	ENST00000381638	1
ENSG00000075151	ENST00000400422	1
ENSG00000075188	ENST00000543021	1
ENSG00000075415	ENST00000547534	1
ENSG00000075420	ENST00000415807	1
ENSG00000075568	ENST00000186436	1
ENSG00000075624	ENST00000432588	1
ENSG00000075975	ENST00000170447	1
ENSG00000076108	ENST00000546695	1
ENSG00000076513	ENST00000553025	1
ENSG00000076604	ENST00000262395	1
ENSG00000076928	ENST00000378152	1
ENSG00000077616	ENST00000527493	1
ENSG00000077684	ENST00000452328	1
ENSG00000077782	ENST00000326324	1
ENSG00000078142	ENST00000586545	1
ENSG00000079313	ENST00000170168	1
ENSG00000079387	ENST00000547181	2
ENSG00000079459	ENST00000527045	1
ENSG00000079785	ENST00000617198	1
ENSG00000080031	ENST00000586310	1
ENSG00000080345	ENST00000243326	1
ENSG00000080822	ENST00000513287	1
ENSG00000081019	ENST00000476412	1
ENSG00000081177	ENST00000409014	1
ENSG00000081692	ENST00000620518	1
ENSG00000082014	ENST00000485592	1
ENSG00000082153	ENST00000447069	1
ENSG00000082258	ENST00000419781	1
ENSG00000082641	ENST00000361665	1
ENSG00000082996	ENST00000467996	1
ENSG00000083312	ENST00000506351	1
ENSG00000083544	ENST00000535286	1
ENSG00000083642	ENST00000315596	1
ENSG00000084110	ENST00000261208	1
ENSG00000084234	ENST00000263574	1
ENSG00000084623	ENST00000373586	1
ENSG00000084674	ENST00000399256	1
ENSG00000084693	ENST00000453161	1
ENSG00000085365	ENST00000621999	1
ENSG00000085644	ENST00000573771	1
ENSG00000085831	ENST00000525906	1
ENSG00000085832	ENST00000371727	1
ENSG00000085982	ENST00000427947	1
ENSG00000086232	ENST00000431744	1
ENSG00000086300	ENST00000338523	1
ENSG00000086696	ENST00000563491	1
ENSG00000087008	ENST00000356406	1
ENSG00000087157	ENST00000262764	1
ENSG00000087191	ENST00000310144	1
ENSG00000087302	ENST00000556760	1
ENSG00000087470	ENST00000266481	1
ENSG00000088179	ENST00000460162	1
ENSG00000088766	ENST00000378863	1
ENSG00000088833	ENST00000353088	1
ENSG00000088970	ENST00000616848	1
ENSG00000089006	ENST00000377759	1
ENSG00000089009	ENST00000549847	1
ENSG00000089022	ENST00000550735	1
ENSG00000089048	ENST00000202816	1
ENSG00000089050	ENST00000491835	1
ENSG00000089057	ENST00000379333	1
ENSG00000089063	ENST00000202834	1
ENSG00000089091	ENST00000609267	1
ENSG00000089101	ENST00000340348	1
ENSG00000089195	ENST00000203001	1
ENSG00000089220	ENST00000542939	1
ENSG00000089234	ENST00000419234	1
ENSG00000089597	ENST00000526392	1
ENSG00000090020	ENST00000447808	1
ENSG00000090263	ENST00000496641	1
ENSG00000090316	ENST00000264750	1
ENSG00000090382	ENST00000548839	1
ENSG00000090447	ENST00000204517	1
ENSG00000090470	ENST00000204549	1
ENSG00000090581	ENST00000204679	1
ENSG00000090612	ENST00000228289	1
ENSG00000090615	ENST00000456883	1
ENSG00000090674	ENST00000264079	1
ENSG00000090905	ENST00000315183	1
ENSG00000091513	ENST00000414694	1
ENSG00000091732	ENST00000360708	1
ENSG00000091947	ENST00000206380	1
ENSG00000092148	ENST00000399332	1
ENSG00000092330	ENST00000557921	1
ENSG00000092820	ENST00000367075	1
ENSG00000092931	ENST00000590393	1
ENSG00000095059	ENST00000210060	1
ENSG00000095066	ENST00000264827	1
ENSG00000095139	ENST00000264028	1
ENSG00000095485	ENST00000466955	1
ENSG00000095564	ENST00000265990	1
ENSG00000096968	ENST00000381652	1
ENSG00000099204	ENST00000369253	1
ENSG00000099260	ENST00000263174	1
ENSG00000099834	ENST00000397542	1
ENSG00000099840	ENST00000481489	1
ENSG00000099995	ENST00000411423	1
ENSG00000100028	ENST00000468770	1
ENSG00000100038	ENST00000357179	1
ENSG00000100056	ENST00000472073	1
ENSG00000100083	ENST00000343632	1
ENSG00000100101	ENST00000455236	1
ENSG00000100124	ENST00000609454	1
ENSG00000100129	ENST00000381683	1
ENSG00000100138	ENST00000355257	1
ENSG00000100201	ENST00000216019	1
ENSG00000100211	ENST00000216029	2
ENSG00000100216	ENST00000216034	1
ENSG00000100221	ENST00000427389	1
ENSG00000100234	ENST00000266085	1
ENSG00000100294	ENST00000290429	1
ENSG00000100296	ENST00000397871	1
ENSG00000100320	ENST00000473487	1
ENSG00000100348	ENST00000216185	1
ENSG00000100393	ENST00000263253	1
ENSG00000100403	ENST00000352645	1
ENSG00000100483	ENST00000395859	1
ENSG00000100564	ENST00000216452	1
ENSG00000100665	ENST00000298841	1
ENSG00000100802	ENST00000556812	1
ENSG00000100811	ENST00000262238	1
ENSG00000100813	ENST00000262710	1
ENSG00000100836	ENST00000556809	1
ENSG00000100867	ENST00000556729	1
ENSG00000100888	ENST00000430710	1
ENSG00000100889	ENST00000558096	1
ENSG00000100890	ENST00000557404	1
ENSG00000100897	ENST00000559017	1
ENSG00000100902	ENST00000553688	1
ENSG00000100941	ENST00000216832	1
ENSG00000100991	ENST00000451813	1
ENSG00000101004	ENST00000278886	1
ENSG00000101019	ENST00000349714	1
ENSG00000101040	ENST00000352431	1
ENSG00000101194	ENST00000370349	1
ENSG00000101198	ENST00000370307	1
ENSG00000101199	ENST00000353546	1
ENSG00000101247	ENST00000378081	1
ENSG00000101310	ENST00000450074	1
ENSG00000101346	ENST00000486717	1
ENSG00000101365	ENST00000380843	1
ENSG00000101391	ENST00000339269	1
ENSG00000101442	ENST00000243903	1
ENSG00000101447	ENST00000619850	1
ENSG00000101457	ENST00000372622	1
ENSG00000101474	ENST00000451442	1
ENSG00000101665	ENST00000586093	1
ENSG00000102100	ENST00000376515	1
ENSG00000102103	ENST00000470062	1
ENSG00000102531	ENST00000541916	1
ENSG00000102738	ENST00000323563	1
ENSG00000102753	ENST00000261667	1
ENSG00000102786	ENST00000311234	1
ENSG00000102805	ENST00000636405	1
ENSG00000102871	ENST00000566247	1
ENSG00000102897	ENST00000568820	1
ENSG00000102908	ENST00000349945	1
ENSG00000102910	ENST00000285737	1
ENSG00000102921	ENST00000262384	1
