ID	Ensembl ID	SiteCount
ENSG00000000419	ENST00000371582	1
ENSG00000001084	ENST00000229416	1
ENSG00000002822	ENST00000399654	1
ENSG00000007202	ENST00000389003	1
ENSG00000008056	ENST00000295987	1
ENSG00000008300	ENST00000164024	1
ENSG00000008838	ENST00000495586	1
ENSG00000011243	ENST00000594893	1
ENSG00000013561	ENST00000394520	1
ENSG00000018610	ENST00000536133	1
ENSG00000024422	ENST00000596225	1
ENSG00000025434	ENST00000395397	1
ENSG00000038358	ENST00000358933	1
ENSG00000042317	ENST00000393545	1
ENSG00000049883	ENST00000308077	1
ENSG00000053501	ENST00000263897	1
ENSG00000055950	ENST00000299179	1
ENSG00000057657	ENST00000369091	1
ENSG00000062582	ENST00000317534	1
ENSG00000066248	ENST00000424488	1
ENSG00000067225	ENST00000562997	1
ENSG00000068323	ENST00000487451	1
ENSG00000068724	ENST00000409245	1
ENSG00000069020	ENST00000261569	1
ENSG00000070010	ENST00000263202	1
ENSG00000070269	ENST00000261556	1
ENSG00000070444	ENST00000174618	1
ENSG00000072041	ENST00000549540	1
ENSG00000073060	ENST00000261693	1
ENSG00000073921	ENST00000525162	1
ENSG00000074266	ENST00000528180	1
ENSG00000074319	ENST00000542488	1
ENSG00000076382	ENST00000321765	1
ENSG00000077274	ENST00000324068	1
ENSG00000077348	ENST00000602129	1
ENSG00000077721	ENST00000346330	1
ENSG00000079435	ENST00000597001	1
ENSG00000079462	ENST00000262890	2
ENSG00000081692	ENST00000620518	1
ENSG00000087460	ENST00000464788	1
ENSG00000088448	ENST00000460846	1
ENSG00000088726	ENST00000314124	1
ENSG00000089063	ENST00000379277	1
ENSG00000089280	ENST00000254108	1
ENSG00000090266	ENST00000247866	1
ENSG00000090615	ENST00000456883	1
ENSG00000091527	ENST00000431519	1
ENSG00000092203	ENST00000416256	1
ENSG00000092421	ENST00000343348	1
ENSG00000092841	ENST00000293422	1
ENSG00000095585	ENST00000224337	1
ENSG00000097046	ENST00000428239	1
ENSG00000099204	ENST00000392952	1
ENSG00000099290	ENST00000282633	1
ENSG00000099341	ENST00000592035	1
ENSG00000099810	ENST00000419385	1
ENSG00000099940	ENST00000215730	1
ENSG00000100211	ENST00000475924	1
ENSG00000100813	ENST00000262710	1
ENSG00000100897	ENST00000559115	1
ENSG00000100902	ENST00000553688	1
ENSG00000100941	ENST00000553331	1
ENSG00000101132	ENST00000441080	1
ENSG00000101361	ENST00000470143	1
ENSG00000101474	ENST00000217456	1
ENSG00000101882	ENST00000371410	1
ENSG00000102103	ENST00000218224	1
ENSG00000102897	ENST00000219168	1
ENSG00000102984	ENST00000561700	1
ENSG00000103253	ENST00000561561	1
ENSG00000103266	ENST00000219548	1
ENSG00000103342	ENST00000439887	1
ENSG00000103415	ENST00000398595	1
ENSG00000103502	ENST00000562041	1
ENSG00000103591	ENST00000261880	1
ENSG00000103599	ENST00000335894	1
ENSG00000103671	ENST00000261884	1
ENSG00000104164	ENST00000562384	1
ENSG00000104221	ENST00000220659	1
ENSG00000104613	ENST00000518424	1
ENSG00000104679	ENST00000519952	1
ENSG00000104738	ENST00000523944	1
ENSG00000104824	ENST00000601813	1
ENSG00000104852	ENST00000595231	1
ENSG00000104946	ENST00000535102	1
ENSG00000104960	ENST00000391842	1
ENSG00000105221	ENST00000423127	1
ENSG00000105245	ENST00000595741	1
ENSG00000105289	ENST00000587912	1
ENSG00000105523	ENST00000593772	1
ENSG00000105656	ENST00000262809	1
ENSG00000105672	ENST00000591135	1
ENSG00000105699	ENST00000347609	1
ENSG00000105701	ENST00000597611	1
ENSG00000105854	ENST00000460873	1
ENSG00000105879	ENST00000440859	1
ENSG00000106086	ENST00000258679	1
ENSG00000106266	ENST00000435336	1
ENSG00000106299	ENST00000223023	1
ENSG00000106617	ENST00000418337	1
ENSG00000107105	ENST00000380117	1
ENSG00000107815	ENST00000473656	1
ENSG00000107984	ENST00000373970	1
ENSG00000108094	ENST00000374748	1
ENSG00000108298	ENST00000225430	1
ENSG00000108389	ENST00000583243	1
ENSG00000108474	ENST00000225609	1
ENSG00000108591	ENST00000225729	1
ENSG00000108604	ENST00000584400	1
ENSG00000109118	ENST00000378879	1
ENSG00000109472	ENST00000402744	1
ENSG00000109971	ENST00000524590	1
ENSG00000110492	ENST00000441869	1
ENSG00000110514	ENST00000311027	1
ENSG00000110660	ENST00000525815	1
ENSG00000110841	ENST00000228425	1
ENSG00000111319	ENST00000541249	1
ENSG00000111911	ENST00000229633	1
ENSG00000112096	ENST00000535561	1
ENSG00000112576	ENST00000502771	1
ENSG00000113048	ENST00000261413	1
ENSG00000113494	ENST00000509140	1
ENSG00000113583	ENST00000231512	1
ENSG00000113597	ENST00000231526	1
ENSG00000114019	ENST00000506107	1
ENSG00000114023	ENST00000232125	1
ENSG00000114026	ENST00000302003	1
ENSG00000114850	ENST00000463503	1
ENSG00000114982	ENST00000354204	1
ENSG00000115128	ENST00000478050	1
