ID	Ensembl ID	SiteCount
ENSG00000000457	ENST00000367772	1
ENSG00000001036	ENST00000002165	1
ENSG00000003056	ENST00000536844	1
ENSG00000003393	ENST00000409632	1
ENSG00000003402	ENST00000417748	1
ENSG00000004534	ENST00000266022	1
ENSG00000004766	ENST00000251739	1
ENSG00000004848	ENST00000379044	1
ENSG00000004864	ENST00000416240	1
ENSG00000004866	ENST00000393446	2
ENSG00000004975	ENST00000005340	1
ENSG00000005020	ENST00000345317	1
ENSG00000005073	ENST00000006015	1
ENSG00000005156	ENST00000262327	1
ENSG00000005238	ENST00000605244	1
ENSG00000005882	ENST00000503176	1
ENSG00000006125	ENST00000590538	1
ENSG00000006128	ENST00000346867	1
ENSG00000006194	ENST00000572748	2
ENSG00000006534	ENST00000614849	1
ENSG00000006652	ENST00000432734	1
ENSG00000006715	ENST00000265745	1
ENSG00000006837	ENST00000519312	1
ENSG00000007038	ENST00000575199	1
ENSG00000007520	ENST00000007390	1
ENSG00000008130	ENST00000341991	1
ENSG00000010244	ENST00000321233	1
ENSG00000010322	ENST00000345716	1
ENSG00000010361	ENST00000527973	1
ENSG00000011009	ENST00000374501	1
ENSG00000011021	ENST00000346436	1
ENSG00000011052	ENST00000376392	1
ENSG00000011260	ENST00000225298	1
ENSG00000011590	ENST00000392197	1
ENSG00000012124	ENST00000598537	1
ENSG00000012211	ENST00000376317	1
ENSG00000012660	ENST00000304434	1
ENSG00000013364	ENST00000565164	1
ENSG00000013523	ENST00000251089	1
ENSG00000013563	ENST00000309585	1
ENSG00000014216	ENST00000527323	1
ENSG00000015153	ENST00000380790	1
ENSG00000015676	ENST00000355451	1
ENSG00000018189	ENST00000226328	1
ENSG00000018610	ENST00000320339	1
ENSG00000020256	ENST00000461898	1
ENSG00000022567	ENST00000024061	1
ENSG00000023191	ENST00000438658	1
ENSG00000023445	ENST00000615299	1
ENSG00000023839	ENST00000370434	1
ENSG00000024526	ENST00000456315	1
ENSG00000025156	ENST00000368455	1
ENSG00000025293	ENST00000339089	1
ENSG00000026652	ENST00000320285	1
ENSG00000026751	ENST00000359331	1
ENSG00000027001	ENST00000382172	1
ENSG00000028203	ENST00000436874	1
ENSG00000029725	ENST00000537505	2
ENSG00000030582	ENST00000053867	1
ENSG00000033011	ENST00000262374	1
ENSG00000035928	ENST00000349703	1
ENSG00000036672	ENST00000260187	1
ENSG00000037474	ENST00000506139	1
ENSG00000038002	ENST00000264595	1
ENSG00000038532	ENST00000494853	1
ENSG00000039560	ENST00000265109	1
ENSG00000039650	ENST00000322344	1
ENSG00000040531	ENST00000452111	1
ENSG00000043143	ENST00000431355	2
ENSG00000044115	ENST00000520158	1
ENSG00000046647	ENST00000380523	1
ENSG00000047249	ENST00000359530	1
ENSG00000047346	ENST00000561543	1
ENSG00000047410	ENST00000451586	1
ENSG00000047621	ENST00000261250	1
ENSG00000047849	ENST00000434267	1
ENSG00000047932	ENST00000052569	1
ENSG00000049192	ENST00000381055	1
ENSG00000049860	ENST00000261416	1
ENSG00000051108	ENST00000439977	1
ENSG00000051180	ENST00000267868	1
ENSG00000052749	ENST00000315563	1
ENSG00000054116	ENST00000497251	1
ENSG00000054611	ENST00000406733	1
ENSG00000054654	ENST00000554997	1
ENSG00000054983	ENST00000393568	1
ENSG00000055483	ENST00000312010	1
ENSG00000056291	ENST00000358749	1
ENSG00000057608	ENST00000608581	1
ENSG00000057663	ENST00000360666	1
ENSG00000058453	ENST00000375541	1
ENSG00000058600	ENST00000299853	1
ENSG00000059691	ENST00000263985	1
ENSG00000060138	ENST00000546298	1
ENSG00000060339	ENST00000536391	1
ENSG00000062194	ENST00000506184	1
ENSG00000062282	ENST00000604935	1
ENSG00000063046	ENST00000416762	1
ENSG00000063241	ENST00000085068	1
ENSG00000063761	ENST00000238561	1
ENSG00000063854	ENST00000397356	1
ENSG00000064012	ENST00000264274	1
ENSG00000064419	ENST00000265388	1
ENSG00000064601	ENST00000191018	1
ENSG00000064607	ENST00000594773	1
ENSG00000064655	ENST00000497428	1
ENSG00000065000	ENST00000345016	1
ENSG00000065057	ENST00000219066	1
ENSG00000065243	ENST00000316005	1
ENSG00000065621	ENST00000338595	1
ENSG00000065802	ENST00000473306	1
ENSG00000065809	ENST00000378470	1
ENSG00000065911	ENST00000394053	1
ENSG00000065978	ENST00000321358	1
ENSG00000065989	ENST00000592685	1
ENSG00000066084	ENST00000549620	1
